5,256
6,51
6,321
12,24
13,520
24,191
24,232
24,272
24,318
24,348
24,355
24,371
24,429
24,501
24,510
24,577
24,582
24,584
26,28
26,128
26,161
26,192
26,248
26,277
26,554
38,58
38,390
38,437
46,387
51,67
51,420
54,116
58,258
58,271
58,282
59,512
61,90
61,124
62,274
67,390
67,420
69,512
73,390
77,256
86,116
87,116
87,186
91,256
92,248
92,390
99,512
108,154
116,129
116,154
116,225
116,282
116,308
116,409
122,161
122,385
124,280
124,390
124,420
124,466
127,154
128,134
128,331
128,333
128,377
128,402
128,568
128,583
129,390
129,512
134,147
134,256
134,282
134,372
134,416
134,420
134,512
154,165
154,169
154,296
154,384
154,437
154,512
158,274
161,248
161,274
166,247
166,558
174,186
174,206
174,516
175,512
177,512
182,256
186,215
186,295
186,339
186,348
186,553
195,222
197,512
201,420
206,215
206,494
216,390
221,512
231,516
232,512
233,512
236,512
247,512
248,274
248,554
248,588
254,512
256,268
256,283
256,303
256,307
256,348
256,362
256,365
256,377
256,391
256,393
256,429
256,450
256,452
256,461
256,464
256,477
256,511
256,524
256,536
256,565
256,572
256,576
256,577
256,582
256,586
256,609
256,627
256,628
256,633
256,637
258,443
268,416
294,494
313,339
318,512
339,512
360,512
390,466
390,485
390,564
412,512
416,457
416,536
422,512
427,512
437,512
455,512
471,512
479,512
488,516
494,512
512,567
512,594
512,643
520,548
