q,r,grid,cells,pair_ticks,failure_patterns,min_mask,min_mass,min_margin
130,455,18241159416480,8269,13401668142720,2400,12848902,1160119385662,122883630786
134,147,8555103766329120,7691,6285382358935680,2334,12048446,546993258952322,240160248679806
134,256,19554522894466560,7909,14366215980436320,2314,31202206,1241945565666692,24479059135356
134,282,57441411002495520,7949,42201356623345920,2321,0262a202,3759031003043008,7053309181727424
134,372,37886888108028960,8117,27834706329590160,2367,30249140,2408678946286834,199221183954702
134,416,2444315361808320,8229,1795852167167520,2374,10241207,155760629718140,35658225009540
134,420,1222157680904160,8237,897911765562240,2467,28062405,78108263292714,32189863824342
134,512,39109045788933120,8421,28732757695862220,2382,12048446,2558810693730980,4768890549319260
154,165,18241159416480,7713,13401668142720,2386,0110a550,1168616135612,658178877636
154,169,237135072414240,7749,174221685855360,2327,0110a550,15152000479658,6035740561494
154,296,674922898409760,7989,495861721280640,2359,0110a550,43489071479554,40119909572862
154,384,145929275331840,8181,107213345141760,2376,01901588,9322900739740,3625645276260
154,437,419546666579040,8249,308238367282560,2398,0110a550,26766747602130,8118432618030
154,512,583717101327360,8437,428853380567040,2410,0110a550,37713606959964,41088833168292
158,274,197424068364563040,7989,145048487920015680,2365,1e220042,12562304719210240,1728923851992960
161,248,13005946663950240,7921,9555389385759360,2335,30249140,832629485704276,431870943568428
161,274,57477893321328480,7985,42228656317710720,2338,1e220042,3696791361040716,2986282460251188
166,247,1514016231567840,7953,1112341470166080,2338,32868100,96603836888642,29976797713086
166,350,7570081157839200,8133,5561692279228800,2337,12848902,481415732181956,48866496106428
166,494,1514016231567840,8445,1112341470166080,2390,12848902,96971044774186,53110894502358
166,558,46934503178603040,8565,34482740310258240,2391,12848902,2998213990965102,1149468716389266
174,186,565475941910880,7845,415503059811840,2318,30168440,36340961305324,27576794591892
174,206,1878839419897440,7885,1380397492393920,2317,0262a202,119751420382068,28981804480524
174,516,784369854908640,8509,576303822254160,2395,12048446,50423323677766,39189972064698
175,512,2918585506636800,8507,2144266902835200,2420,12848902,186089431330504,49292147274552
177,512,34439308978314240,8509,25302388231430310,2421,30c48500,2225070696801290,2422217985224310
182,256,291858550663680,8009,214426690283520,2359,31202206,18630296920208,6274503318384
186,215,24315465502167840,7921,17864522905861632,2304,19801c80,1554410655643350,666009296859690
186,295,33363080572741920,8081,24511688259890832,2376,32868100,2135687039509946,1095961198158918
186,339,63898781435929440,8177,46946229638227920,2369,30960500,4077392895781062,1280626690489146
186,348,565475941910880,8197,415503059811840,2372,30960500,36417746801514,32414280851862
186,553,44672599410959520,8593,32820685281521280,2418,32868100,2855306746970886,1193927415327738
195,222,674922898409760,7925,495838812446208,2353,30249140,42933588785900,5124499872660
197,512,114992268961489920,8549,84484092704921910,2419,31202206,7451791224365170,9493771289046030
201,420,1222157680904160,8373,897911765562240,2479,0ac44140,77740285857196,9007285386708
206,215,80790095055589920,7961,59355690389259264,2317,0230106c,5143857716725784,902655931364712
206,494,1878839419897440,8525,1380356747098560,2391,02423007,119642811147184,22139422682832
216,390,54723478249440,8237,40207390765080,2392,10241207,3541894375456,4245432655968
221,512,583717101327360,8573,428853696405750,2427,22088c42,37173148361190,7039941445530
231,516,784369854908640,8585,576271730136960,2411,0110c125,50096286708568,18586643005224
232,512,583717101327360,8605,428846962143600,2409,20a09640,37734753101266,42421040070318
233,512,136006084609274880,8621,99922954006045170,2427,1042d088,8637595558268572,144181733820516
236,512,34439308978314240,8629,25303093990574400,2426,12848902,2199834084730334,832311424754082
247,512,583717101327360,8649,428853851554590,2443,12848902,37668106579956,38222309227788
248,274,77470204041790560,8157,56917629139250880,2386,06418124,4964210280853630,2864431526616450
248,554,156636835909313760,8717,115080868878655680,2480,30249140,10072318270095302,8008707378748986
