6,511
6,522
27,186
28,38
28,72
28,77
28,79
28,127
28,161
28,232
28,263
28,311
28,385
28,462
28,495
28,530
28,540
51,150
53,62
53,338
55,107
55,333
55,472
55,507
55,526
74,186
76,349
76,437
79,109
79,122
79,135
100,633
100,634
100,635
100,636
102,338
108,124
108,410
109,372
117,256
125,338
125,455
128,343
128,351
128,526
135,258
136,372
147,267
147,294
147,397
147,402
147,590
162,338
169,320
169,420
179,347
186,289
186,297
186,329
186,347
186,360
186,423
186,441
186,461
186,464
186,581
186,600
186,606
189,338
197,294
200,338
205,338
213,294
218,338
249,372
256,351
256,636
265,338
272,294
275,338
294,321
294,367
294,425
294,467
294,473
294,486
294,500
294,503
294,517
294,526
294,535
294,614
294,636
306,635
314,338
318,372
319,338
320,411
320,455
320,546
335,338
338,347
338,359
338,397
338,444
338,455
338,481
338,488
338,537
338,628
338,636
349,372
372,443
372,544
372,619
372,636
384,636
420,478
