q,r,body_hex,first_mask_hex,second_mask_hex
96,591,001c7608,15600085,1d410801
96,591,055e4400,0200813f,02a08325
96,591,057c4001,288216c0,3882a082
96,591,2d10b001,00c045d4,12c14242
96,591,35624400,0200813f,08982089
105,591,051ab002,00c045d4,18450a81
105,591,05306608,12cc9000,284a0892
210,591,0538c208,1a462002,32c01c00
210,591,053ac200,1204003f,32c01c00
210,591,057ac000,1204003f,32850206
210,591,059ab000,1204003f,18450a81
210,591,05d81088,02008751,1a04a440
