q,r,ordinal,body_hex,truncated_mass,scaled_ticks
50,589,131,0109641c,487099170670970,19377728914053510
50,589,132,01096425,477776247549796,18790384757419548
50,589,133,0109642c,500486910041170,20221156494376110
50,589,134,01096445,468265796212136,18191226323146968
50,589,135,01096449,523316894444136,21659445511762968
50,589,136,0109644c,491818209032930,19675028330856990
50,589,137,01096461,487290436611836,19389778668328068
50,589,138,01096485,466902800228254,18105357576162402
50,589,139,0109648c,487627838717838,19411035001006194
50,589,140,01096505,454828949703128,17344704993079464
50,589,141,0109650c,477130560125362,18749706449680206
50,589,142,01096541,496909986296776,19995810298479288
50,589,143,01096605,477775305252648,18790325392699224
50,589,144,0109660c,495644290758162,19916071479546606
50,589,145,01096c05,448902863521528,16971361563638664
50,589,146,01096c0c,467903694524682,18168413916837366
50,589,147,01096e04,522509113912448,21608555338266624
50,589,148,01097405,439907327460146,16404642791771598
50,589,149,01097409,485028267236188,19247261997662244
50,589,150,0109740c,459091469804370,17613243759457710
50,589,151,01097421,448411630726254,16940413897536402
50,589,152,01097501,446510032212894,16820613191194722
50,589,153,01097c04,470056010819772,18304009843428036
50,589,154,0109e403,455981582853264,17417320881538032
50,589,155,0109e405,437780737932356,16270667651520828
50,589,156,0109e409,507917753015998,20689299601790274
50,589,157,0109e40a,469375567149528,18261141892202664
50,589,158,0109e40c,463567242913450,17895217465329750
50,589,159,0109e411,467142652052024,18120468241059912
50,589,160,0109e421,465729029286924,18031410006858612
50,589,161,0109e441,490799519538484,19610850892706892
50,589,162,0109e481,486987656242074,19370703505033062
50,589,163,0109e501,492810976471164,19737572679465732
50,589,164,0109e601,499856707765844,20181453751030572
50,589,165,0109e602,511642429773904,20923954237538352
50,589,166,0109e604,503023697729332,20380974118730316
50,589,167,0109ec01,472699315919844,18470538064732572
50,589,168,0109f401,455356019038674,17377910361218862
50,589,169,0109f402,450407761033984,17066170106923392
50,589,170,0109f404,452360171061292,17189171938643796
50,589,171,010a4c07,466085163134136,18053846439232968
50,589,172,010a4c45,482435812652586,19083937358895318
50,589,173,010a5c05,452978290183302,17228113443330426
50,589,174,010a6c05,457461813161964,17510575390986132
50,589,175,010ac48a,469223100739068,18251536508343684
50,589,176,010acc06,458583829914444,17581262446392372
50,589,177,010acc82,501571114724394,20289461389419222
50,589,178,010aec02,483397731099504,19144538221051152
50,589,179,010b6405,465309116827828,18004955521935564
50,589,180,010b640c,481491611615222,19024452693541386
50,589,181,010b6c04,504709169808948,20487158859746124
50,589,182,010be401,484342373107008,19204050667523904
50,589,183,010be402,491773903954944,19672237110943872
50,589,184,010be404,481567499331152,19029233619644976
50,589,185,010c4c07,447482880196602,16881902614168326
50,589,186,010c4c23,447282439375422,16869274842433986
50,589,187,010c4c45,466361881666002,18071279706740526
50,589,188,010c4c61,490056657026442,19564050554448246
50,589,189,010c4d03,439026301807572,16349138175659436
50,589,190,010c4d41,503013385463202,20380324445964126
50,589,191,010c4e06,472003288997940,18426688368652620
50,589,192,010c4e22,468241790679620,18189713974598460
50,589,193,010c4e44,492103265229280,19692986871227040
50,589,194,010c4e60,514423946671380,21099189802079340
50,589,195,010c4f02,457430843375720,17508624294452760
50,589,196,010c4f40,526510419942360,21860637618151080
50,589,197,010c548c,475196407219068,18627854816583684
50,589,198,010c54a8,473516888760090,18522045153668070
50,589,199,010c5588,479941080642810,18926769242279430
50,589,200,010c560c,458681542866540,17587418362374420
50,589,201,010c5628,458318646325058,17564555880261054
50,589,202,010c5708,464647897627472,17963298712313136
50,589,203,010c5c05,432447481622544,15934672504002672
50,589,204,010c5c0c,459774045890148,17656246052861724
50,589,205,010c5c21,442981155321636,16598293947045468
50,589,206,010c5c28,463174685319690,17870486336922870
50,589,207,010c5d01,447390446552946,16876079294617998
50,589,208,010c5d08,465462917552370,18014644967581710
50,589,209,010c5e04,451567991478782,17139264624945666
50,589,210,010c5e20,459404398088214,17632958241339882
50,589,211,010c5f00,467311460122050,18131103149471550
50,589,212,010c6c03,441056199469716,16477021728374508
50,589,213,010c6c05,419719614949764,15132816903617532
50,589,214,010c6c09,466255351884966,18064568330535258
50,589,215,010c6c11,449536365698406,17011272200781978
50,589,216,010c6c21,434714524084536,16077496179108168
50,589,217,010c6c41,469706481591396,18281989502040348
50,589,218,010c6c81,478023383155962,18805954300608006
50,589,219,010c6d01,442823275832346,16588347539220198
50,589,220,010c6e01,441392111324710,16498184175239130
50,589,221,010c6e02,475236015960426,18630350167289238
50,589,222,010c6e04,459856886597694,17661465017437122
50,589,223,010c6e08,458083752005210,17549757538110630
50,589,224,010c6e10,488532622168206,19468036358379378
50,589,225,010c6e20,475166120819126,18625946773387338
50,589,226,010c6f00,485420247257642,19271956739013846
50,589,227,010c7608,457541615495752,17515602938014776
50,589,228,010c7c01,435788685141234,16145168325680142
50,589,229,010c7c02,449887905091884,17033419182571092
50,589,230,010c7c04,447604801398408,16889583649882104
50,589,231,010c7c20,458532192827724,17578009309929012
50,589,232,010c7d00,459707983545786,17652084125166918
50,589,233,010cc40b,495576176954960,19911780309944880
50,589,234,010cc48a,451438873148760,17131130170154280
50,589,235,010cc4c8,518627962949100,21364042827575700
50,589,236,010cc60a,456397941527368,17443551478006584
50,589,237,010cc648,515175127075478,21146514167537514
50,589,238,010ccc03,448545501183426,16948847736338238
50,589,239,010ccc0a,448699163957190,16958528491085370
50,589,240,010ccc41,504285058401906,20460439841102478
50,589,241,010ccc48,517590370546530,21298674506213790
50,589,242,010cce02,461650774160804,17774479933913052
50,589,243,010cce40,522516860502504,21609043373440152
50,589,244,010cd089,502729234036260,20362422906066780
50,589,245,010cd08a,436939321664160,16217658426624480
50,589,246,010cd488,480851276230080,18984111564277440
50,589,247,010cd608,469871399755972,18292379346408636
50,589,248,010cdc01,464334040694016,17943525725505408
50,589,249,010cdc08,473174915878800,18500500862146800
50,589,250,010cde00,477669466341350,18783657541287450
50,589,251,010ce488,475757615216418,18663210920416734
50,589,252,010ce608,464690714705722,17965996188242886
50,589,253,010cec01,448642431479364,16954954344982332
50,589,254,010cec08,461947743623988,17793189010093644
50,589,255,010cee00,486636533257130,19348582756981590
50,589,256,010cfc00,469036009861536,18239749783059168
50,589,257,010d4407,458446753039618,17572626603278334
50,589,258,010d440e,473746010793438,18536479841768994
50,589,259,010d4423,460335767871118,17691634537662834
50,589,260,010d442a,471898744490878,18420102064707714
50,589,261,010d4445,478147753905408,18813789657823104
50,589,262,010d444c,504915696917258,20500170067569654
50,589,263,010d4461,497152778518848,20011106208469824
50,589,264,010d4468,521867404509468,21568127645878884
50,589,265,010d4503,452930236915288,17225086087445544
50,589,266,010d450a,462205815476388,17809447536794844
50,589,267,010d4541,508356410660108,20716935033369204
50,589,268,010d4548,530783638592068,22129850393082684
50,589,269,010d4606,492226410212936,19700745005197368
50,589,270,010d4622,493736654969896,19795890424885848
50,589,271,010d4644,513878415821346,21064821358527198
50,589,272,010d4660,538104912113066,22591090624905558
50,589,273,010d4702,482197553132626,19068927009137838
50,589,274,010d4740,550239742791166,23355584957625858
50,589,275,010d5405,443978881815918,16661150716185234
50,589,276,010d5406,458450449638536,17572859489010168
50,589,277,010d540c,467980278915742,18173238733474146
50,589,278,010d5414,480194423821306,18942729862524678
50,589,279,010d5421,449032196144266,16979509518871158
50,589,280,010d5422,445104478423176,16732063302442488
50,589,281,010d5424,487522511555256,19404399389763528
50,589,282,010d5428,468382735757340,18198593514494820
50,589,283,010d5430,485196478291466,19257859294144758
50,589,284,010d5444,479292447345386,18885905344541718
50,589,285,010d5460,492695637059586,19730306296536318
50,589,286,010d5484,474836303431998,18605168277998274
50,589,287,010d54a0,480466707155486,18959883712578018
50,589,288,010d5501,453675273313780,17272023380550540
50,589,289,010d5502,424745506822426,15449448091595238
50,589,290,010d5504,455000361443954,17355503932751502
50,589,291,010d5508,472062655345754,18430428448564902
