LRC14_SIGNATURE372_DETACHED_LITERAL_AUDIT_V1
JOINT 421 FNV 20d63dd42fe8150e FIBRE 54 FNV 47ab2af18f07ff59 WITNESS 4 FNV 2f59f31ad0512a75
DELETE_INDICES 20 50 399 401 DELETE_MASKS 19801c80 19104884 3880b200 118c0540 APPEND 19801608 11842450 01180c85 11803211
REBUILT 421 FNV f63671c303bbafe4 BODY_UNIVERSE 14307150 CHECKS 406361173 MAX_PREFIX 421 FAILURES 0 ROW_FNV 7239db05659ba187
PAIR 55,507 GRID 237135072414240 CELLS 8221 FAILURE_CLASSES 2397 PAIR_TICKS 174220991648256 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 7371096297390 MIN_MASK 08b204c0 MAX_MARGIN 200170384578486 LEDGER_FNV 9c6da21f1c1edc36
PAIR 55,526 GRID 4797424926534240 CELLS 8281 FAILURE_CLASSES 2388 PAIR_TICKS 3524642105794992 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 279386825171832 MIN_MASK 19c00c40 MAX_MARGIN 4258927166331474 LEDGER_FNV 7ba09e6b02226421
PAIR 74,186 GRID 20922609850702560 CELLS 7645 FAILURE_CLASSES 2283 PAIR_TICKS 15372954254898240 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 806061664209312 MIN_MASK 01180c85 MAX_MARGIN 21184245686140110 LEDGER_FNV 7d837582d30dbdd9
PAIR 76,349 GRID 6366164636351520 CELLS 7973 FAILURE_CLASSES 2331 PAIR_TICKS 4677177283538760 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 398384518565754 MIN_MASK 118284c0 MAX_MARGIN 6832964560974804 LEDGER_FNV bc7138f288493a90
PAIR 76,437 GRID 419546666579040 CELLS 8113 FAILURE_CLASSES 2354 PAIR_TICKS 307493830163520 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 8081808177996 MIN_MASK 118284c0 MAX_MARGIN 465861754640646 LEDGER_FNV e7468220e7c2e836
PAIR 79,109 GRID 157074623735309280 CELLS 7505 FAILURE_CLASSES 2313 PAIR_TICKS 115403997988319040 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 573949671603462 MIN_MASK 1a101c10 MAX_MARGIN 145801127501449056 LEDGER_FNV f8ed7d19af453a0f
PAIR 79,122 GRID 87904147228017120 CELLS 7529 FAILURE_CLASSES 2266 PAIR_TICKS 64584127854005760 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 681715057291884 MIN_MASK 0d600c40 MAX_MARGIN 82241525770375356 LEDGER_FNV b67b8ae8e8590d17
PAIR 79,135 GRID 4323154781705760 CELLS 7549 FAILURE_CLASSES 2314 PAIR_TICKS 3176278076171200 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 144166862840364 MIN_MASK 10259240 MAX_MARGIN 4312134784175400 LEDGER_FNV ca8bc4e2da210677
PAIR 109,372 GRID 61636877668285920 CELLS 8069 FAILURE_CLASSES 2364 PAIR_TICKS 45284329721390760 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 597830321511486 MIN_MASK 01180c85 MAX_MARGIN 63164608453566774 LEDGER_FNV f4616b10ae3ca93b
PAIR 117,256 GRID 291858550663680 CELLS 7877 FAILURE_CLASSES 2329 PAIR_TICKS 214428281174800 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 5844389539212 MIN_MASK 01180c85 MAX_MARGIN 180400030750548 LEDGER_FNV 85724171cfc6cf8c
