scenario,deleted,obligations,obligation_fnv,witnesses,witness_fnv,deck_size,deck_fnv
71,24,305,36933fb166415c54,22,b41025fec7b32530,419,e7721ba1fd1f40f7
72,3,38,8724ae947a3fd1cd,4,f1c3dc2645acaa29,422,f50945647259c809
73,4,71,77ce11f2583422bb,6,4fa72e6dda5b1ba2,423,a4a2450e8a137b80
74,23,290,a4b3d7fc8fa7f5a4,21,aac7b4f862424e47,419,dad60a8e964ee0a9
75,24,342,79a2b48df9614e40,24,9e86c420e20dea30,421,125382437993ec10
76,4,42,983138f0924e4c31,5,ce43b0d6a5f324b0,422,b692eac02c144af5
77,5,75,5cd7e28f82bcda87,6,5ba17c7ee68f8cad,422,1272d811572fd8c2
78,24,298,355edd010d7f5268,22,d66c0f90ae343f5,419,edf7639d5a93d9e2
79,25,350,1a7efa9c05493fac,24,2694b5abdb95c636,420,fc783d66fe63ad9b
80,3,28,c36ee94472bce3b0,4,113450aefab0db5f,422,546ea8411bced46
81,4,61,bfc07c234368d1a6,6,fafbf972b93737b9,423,65aec696b2cca63e
82,23,256,25fb49958c752d3f,23,9a7af7e483170759,421,d26e0724add4f2a6
83,24,307,e6db3aa58f1979d2,23,21e91a9beaf8b6d8,420,c3f9c9c0892fab35
84,4,32,e77cf7f420e007e8,5,be30340ca6f0e3c5,422,46c644d5b57b9b91
85,5,65,303ce788c7b1dc0e,6,a783397c6e04c51f,422,62c49cd3e99a33dd
86,24,264,66cce74d1561c2f7,23,d018eadf676375ff,420,1e06305df7fc0ab1
87,25,315,2a76b31a9315e036,24,605e875a0851454d,420,617d5d0b432f3d85
88,4,46,6296e01381f0d385,5,e034ded6bfcc3f52,422,ee8906421a4a9359
89,5,79,bd171bcd72491103,7,d914c992090bbfdd,423,9efd390df83163d0
90,24,300,1eb7188d6ce10b7e,22,7534a027f2d7ea3,419,cd1693ab69282fa
91,25,352,835af5d331ba1c6a,24,8b1517a368efcc68,420,8dcfcd094d67fadf
