endpoint,post_thm4277_pairs,common_active_pairs,not_common_active_pairs
2,1,1,0
3,2,2,0
4,3,3,0
5,4,4,0
6,5,2,3
7,6,4,2
9,7,7,0
11,8,4,4
12,9,4,5
13,10,8,2
14,11,7,4
17,12,9,3
18,13,10,3
19,14,10,4
21,15,14,1
22,16,5,11
23,17,8,9
24,18,2,16
25,19,0,19
26,20,12,8
27,21,17,4
28,22,13,9
29,23,20,3
31,24,12,12
32,25,13,12
33,26,22,4
34,27,22,5
35,28,14,14
36,29,15,14
37,30,24,6
38,31,24,7
39,32,28,4
41,33,29,4
43,34,31,3
44,35,15,20
45,36,27,9
46,37,9,28
47,38,23,15
48,39,1,38
49,40,37,3
50,40,0,40
51,41,28,13
52,43,27,16
53,44,29,15
54,45,33,12
55,46,9,37
56,47,39,8
57,48,37,11
58,49,34,15
59,50,23,27
61,51,36,15
62,52,26,26
64,53,10,43
65,54,24,30
66,55,52,3
67,56,41,15
68,57,49,8
69,58,38,20
70,59,7,52
71,60,49,11
72,61,9,52
73,62,39,23
74,63,44,19
75,64,18,46
76,65,45,20
77,66,53,13
78,67,53,14
79,68,36,32
81,69,56,13
82,70,41,29
83,71,32,39
86,72,51,21
87,73,62,11
89,74,62,12
90,75,52,23
91,76,69,7
92,77,43,34
93,78,44,34
94,79,37,42
96,80,0,80
97,81,68,13
98,82,65,17
99,83,67,16
100,84,0,84
101,85,73,12
102,86,58,28
103,87,32,55
104,88,31,57
105,89,1,88
106,90,35,55
107,91,76,15
108,92,48,44
109,93,62,31
110,94,6,88
111,95,63,32
112,96,59,37
113,97,75,22
114,98,70,28
115,99,77,22
116,100,50,50
117,101,89,12
118,102,86,16
119,103,89,14
121,104,90,14
122,105,45,60
123,106,87,19
124,107,78,29
125,108,75,33
127,109,63,46
128,110,9,101
129,111,71,40
130,112,32,80
131,113,97,16
133,114,100,14
134,115,97,18
135,116,69,47
136,117,84,33
137,118,95,23
138,119,101,18
139,120,111,9
140,121,9,112
141,122,72,50
142,123,108,15
144,124,62,62
146,125,75,50
147,126,32,94
148,127,50,77
149,128,116,12
150,129,76,53
151,130,84,46
152,131,102,29
153,132,31,101
154,133,94,39
155,134,98,36
156,135,113,22
157,136,119,17
158,137,58,79
159,138,110,28
160,139,69,70
161,140,89,51
162,141,110,31
163,142,105,37
164,143,83,60
165,144,97,47
166,145,74,71
167,146,133,13
169,147,106,41
171,148,130,18
172,149,70,79
173,150,63,87
174,151,130,21
175,152,107,45
177,153,127,26
178,154,136,18
179,155,112,43
180,156,110,46
181,157,140,17
182,158,151,7
183,159,35,124
184,160,110,50
185,161,120,41
186,162,31,131
187,163,147,16
188,164,134,30
189,165,136,29
191,166,151,15
192,167,6,161
194,168,156,12
195,169,112,57
196,170,144,26
197,171,147,24
198,172,134,38
199,173,162,11
200,174,131,43
201,175,131,44
202,176,154,22
203,177,130,47
204,178,112,66
205,179,122,57
206,180,26,154
207,181,172,9
208,182,40,142
209,183,157,26
210,184,0,184
211,185,135,50
212,186,113,73
213,187,175,12
214,188,157,31
215,189,170,19
216,190,139,51
217,191,158,33
218,192,146,46
219,193,157,36
220,194,63,131
221,195,156,39
222,196,149,47
223,197,143,54
224,198,142,56
225,199,163,36
226,200,184,16
227,201,160,41
228,202,175,27
229,203,186,17
230,204,168,36
231,205,153,52
232,206,160,46
233,207,126,81
234,208,189,19
235,209,197,12
236,210,186,24
237,211,173,38
238,212,176,36
239,213,178,35
241,214,196,18
242,215,181,34
243,216,200,16
244,217,112,105
245,218,197,21
246,219,186,33
247,220,190,30
248,221,145,76
249,222,192,30
250,223,157,66
251,224,200,24
253,225,154,71
254,226,162,64
255,227,213,14
256,228,14,214
257,229,204,25
258,230,134,96
259,231,195,36
260,232,14,218
261,233,212,21
262,234,212,22
263,235,199,36
265,236,151,85
266,237,218,19
267,238,211,27
268,239,223,16
269,240,193,47
270,241,111,130
271,242,147,95
272,243,204,39
273,244,222,22
274,245,189,56
275,246,186,60
276,247,221,26
277,248,192,56
278,249,230,19
279,250,217,33
280,251,213,38
281,252,223,29
282,253,103,150
283,254,235,19
284,255,235,20
285,256,244,12
287,257,232,25
288,258,195,63
289,259,238,21
291,260,233,27
292,261,218,43
293,262,235,27
294,263,45,218
295,264,239,25
296,265,178,87
297,266,220,46
298,267,260,7
299,268,249,19
300,269,225,44
301,270,217,53
302,271,229,42
303,272,243,29
304,273,241,32
305,274,261,13
306,275,109,166
307,276,253,23
308,277,190,87
309,278,243,35
310,279,214,65
311,280,227,53
312,281,250,31
313,282,120,162
314,283,246,37
315,284,182,102
316,285,171,114
317,286,271,15
318,287,261,26
319,288,226,62
320,289,97,192
321,290,261,29
322,291,233,58
323,292,267,25
324,292,228,64
325,294,193,101
326,295,251,44
327,296,259,37
328,297,246,51
329,298,278,20
330,299,231,68
331,300,280,20
332,301,156,145
333,301,279,22
334,303,284,19
335,304,226,78
336,303,292,11
337,306,260,46
338,307,198,109
339,308,273,35
340,309,300,9
341,310,283,27
342,310,295,15
343,312,292,20
344,312,246,66
345,314,286,28
346,315,192,123
347,316,262,54
348,316,295,21
349,318,258,60
350,319,239,80
351,319,305,14
352,320,310,10
353,322,297,25
354,322,296,26
355,324,315,9
356,325,296,29
357,326,313,13
358,327,277,50
359,328,285,43
360,325,284,41
361,330,258,72
362,331,314,17
363,332,292,40
364,333,321,12
365,333,319,14
366,334,103,231
367,336,315,21
368,336,303,33
369,337,295,42
370,338,226,112
371,340,300,40
372,339,167,172
373,342,311,31
374,343,331,12
375,343,284,59
376,344,321,23
377,346,326,20
378,345,270,75
379,348,325,23
380,348,332,16
381,350,244,106
382,351,337,14
383,352,223,129
384,350,131,219
385,353,273,80
386,355,349,6
387,355,311,44
388,356,338,18
389,358,333,25
390,357,288,69
391,360,341,19
392,359,344,15
393,362,336,26
394,363,335,28
395,363,315,48
396,361,336,25
397,366,312,54
398,367,350,17
399,368,358,10
400,366,344,22
401,370,360,10
402,370,329,41
403,372,355,17
404,372,340,32
405,372,346,26
406,375,332,43
407,376,345,31
408,373,337,36
409,378,274,104
410,378,277,101
411,380,341,39
412,380,278,102
413,382,366,16
414,381,367,14
415,383,348,35
416,383,116,267
417,386,353,33
418,387,361,26
419,388,325,63
420,385,211,174
421,390,358,32
422,391,312,79
423,391,366,25
424,391,365,26
425,393,372,21
426,394,376,18
427,396,355,41
428,396,318,78
429,398,382,16
430,398,373,25
431,400,314,86
432,396,367,29
433,402,338,64
434,403,341,62
435,403,390,13
436,404,383,21
437,406,329,77
438,405,370,35
439,408,376,32
440,406,199,207
441,408,381,27
442,411,360,51
443,412,359,53
444,409,341,68
445,413,347,66
446,415,373,42
447,415,404,11
448,415,353,62
449,418,388,30
450,415,391,24
451,420,396,24
452,420,408,12
453,421,389,32
454,423,360,63
455,423,365,58
456,420,393,27
457,426,403,23
458,427,406,21
459,426,367,59
460,427,398,29
461,430,407,23
462,429,262,167
463,432,415,17
464,431,407,24
465,432,398,34
466,435,333,102
467,436,398,38
468,432,395,37
469,438,422,16
470,438,422,16
471,439,398,41
472,439,421,18
473,442,415,27
474,441,405,36
475,443,422,21
476,444,426,18
477,444,419,25
478,447,406,41
479,448,431,17
480,443,423,20
481,450,388,62
482,451,436,15
483,451,401,50
484,452,380,72
485,452,384,68
486,452,420,32
487,456,409,47
488,455,388,67
489,457,405,52
490,457,437,20
491,460,428,32
492,457,420,37
493,462,435,27
494,463,428,35
495,460,375,85
496,463,425,38
497,466,440,26
498,465,435,30
499,468,438,30
500,466,448,18
501,469,457,12
502,471,444,27
503,472,455,17
504,467,452,15
505,472,460,12
506,475,433,42
507,475,451,24
508,476,444,32
509,478,448,30
510,475,463,12
511,480,464,16
512,479,265,214
513,480,440,40
514,483,448,35
515,482,458,24
516,481,362,119
517,486,453,33
518,487,433,54
519,487,368,119
520,485,152,333
521,490,465,25
522,488,475,13
523,492,461,31
524,492,471,21
525,491,459,32
526,495,459,36
527,496,470,26
528,491,486,5
529,497,476,21
530,496,389,107
531,497,466,31
532,498,467,31
533,500,462,38
534,499,478,21
535,498,481,17
536,498,479,19
537,499,447,52
538,499,395,104
539,499,470,29
540,492,392,100
541,499,452,47
542,499,420,79
543,499,459,40
544,498,447,51
545,497,433,64
546,494,463,31
547,496,465,31
548,494,462,32
549,493,447,46
550,491,376,115
551,493,482,11
552,486,449,37
553,492,467,25
554,488,423,65
555,483,441,42
556,484,445,39
557,481,456,25
558,478,430,48
559,481,466,15
560,476,455,21
561,477,446,31
562,475,449,26
563,471,447,24
564,464,405,59
565,465,446,19
566,468,443,25
567,466,350,116
568,462,430,32
569,462,432,30
570,456,433,23
571,456,401,55
572,449,440,9
573,447,420,27
574,448,428,20
575,443,419,24
576,438,396,42
577,440,427,13
578,439,417,22
579,434,427,7
580,428,422,6
581,428,398,30
582,426,412,14
583,425,411,14
584,418,399,19
585,411,386,25
586,412,397,15
587,410,399,11
588,403,334,69
589,405,374,31
590,397,380,17
591,397,382,15
592,393,352,41
593,392,376,16
594,384,357,27
595,380,348,32
596,380,371,9
597,377,367,10
598,377,371,6
599,373,361,12
600,317,307,10
601,316,312,4
602,313,301,12
603,308,301,7
604,307,298,9
605,304,298,6
606,297,283,14
607,294,289,5
608,287,279,8
609,287,281,6
610,288,283,5
611,288,280,8
612,282,256,26
613,280,276,4
614,274,266,8
615,271,263,8
616,269,248,21
617,265,249,16
618,263,251,12
619,264,236,28
620,258,245,13
621,255,248,7
622,254,240,14
623,250,241,9
624,246,237,9
625,245,234,11
626,242,218,24
627,239,237,2
628,234,227,7
629,231,224,7
630,223,204,19
631,224,220,4
632,222,209,13
633,221,219,2
634,223,222,1
635,219,215,4
636,214,207,7
637,212,208,4
638,210,201,9
639,205,200,5
640,202,187,15
641,204,197,7
642,201,192,9
643,204,188,16
644,201,194,7
645,199,197,2
646,198,194,4
647,195,186,9
648,185,178,7
649,190,188,2
650,186,160,26
651,223,222,1
652,222,219,3
653,220,214,6
654,214,201,13
655,209,207,2
656,206,203,3
657,204,202,2
658,205,204,1
659,205,202,3
660,198,193,5
661,197,196,1
662,196,195,1
663,193,190,3
664,190,180,10
665,183,171,12
666,179,178,1
667,176,172,4
668,170,169,1
669,168,162,6
670,2,0,2
