ROW;E=(1, 2, 5, 7, 8, 9, 11);K=20;rank=4;a=23;P=(26, 19, 17, 23);h=22601/123970;H=24;edges=144;initialK4=455;star_steps=20;starK4=387;paid_steps=4;paidK4=68;tree_closed=67;tree_hard=1;tree_equalities=0;positive_tree_extremum=(Fraction(10902973, 19436016600), (25, 30, 65, 67), 30);hostile_tree_extremum=(Fraction(-16127, 87026940), (25, 30, 54, 65), 54);literal_closed=1;scan=10;controls=2;empty=();witnesses=();closed=1;order=(130, 143, 77, 96, 68, 90, 37, 51, 84, 117, 50, 108, 71, 54, 39, 30, 41, 91, 31, 38, 25, 60, 65, 67);steps=((130, 'STAR', 4, '2555411/551170620', 4, 0), (143, 'STAR', 6, '27045589/2755853100', 13, 0), (77, 'STAR', 7, '214677/71371300', 17, 0), (96, 'STAR', 7, '94379/193393200', 17, 0), (68, 'STAR', 8, '1209157/290089800', 34, 0), (90, 'STAR', 9, '27319/8317260', 31, 0), (37, 'STAR', 8, '8244963/6496704200', 34, 0), (51, 'STAR', 10, '3499711/547947400', 52, 0), (84, 'STAR', 9, '842497/211988700', 43, 0), (117, 'STAR', 9, '3909797/870269400', 38, 0), (50, 'STAR', 9, '92675699/35681045400', 29, 0), (108, 'STAR', 8, '909569/870269400', 34, 0), (71, 'PAID', 4, '-', 2, 0), (54, 'PAID', 6, '-', 16, 1), (39, 'PAID', 7, '-', 25, 0), (30, 'PAID', 7, '-', 25, 0), (41, 'STAR', 6, '71344901/20483563100', 16, 0), (91, 'STAR', 5, '17237607/18984765800', 10, 0), (31, 'STAR', 5, '72706817/11586856050', 10, 0), (38, 'STAR', 4, '360788599/41031590600', 4, 0), (25, 'STAR', 3, '9458989/4859004150', 1, 0), (60, 'VACUOUS', 2, '-', 0, 0), (65, 'VACUOUS', 1, '-', 0, 0), (67, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=(((25, 30, 54, 65), '-16127/87026940', (((25, 65), (30, 54), (30, 65)),), '10467911/217567350', 32, '11/2340', 31, 10, 2, ()),);paid_digest=8dacd68af7f4c4699dd86ca853b9bc098955c3c6f873662ffbe55aed7ab6e4fb
ROW;E=(1, 2, 5, 9, 11, 12, 14);K=21;rank=1;a=23;P=(23,);h=22067/106260;H=31;edges=243;initialK4=1802;star_steps=19;starK4=1128;paid_steps=12;paidK4=674;tree_closed=670;tree_hard=4;tree_equalities=0;positive_tree_extremum=(Fraction(734197, 3287684400), (16, 34, 50, 78), 78);hostile_tree_extremum=(Fraction(-4832209, 4931526600), (16, 25, 34, 39), 39);literal_closed=4;scan=52;controls=8;empty=();witnesses=();closed=1;order=(175, 71, 125, 234, 182, 81, 58, 67, 143, 41, 51, 64, 47, 156, 91, 74, 39, 17, 78, 25, 37, 16, 117, 19, 26, 50, 32, 34, 29, 40, 82);steps=((175, 'STAR', 6, '618503/126449400', 16, 0), (71, 'STAR', 7, '91807/13202805', 25, 0), (125, 'STAR', 7, '13740983/3793482000', 21, 0), (234, 'STAR', 9, '95471/22416030', 63, 0), (182, 'STAR', 9, '9696251/3365041680', 70, 0), (81, 'STAR', 9, '2197801/1044323280', 64, 0), (58, 'STAR', 10, '7358041/2200219560', 56, 0), (67, 'STAR', 10, '4573069/1468499032', 82, 0), (143, 'STAR', 11, '13589861/3365041680', 81, 0), (41, 'STAR', 13, '524259/211443232', 195, 0), (51, 'STAR', 14, '34012963/26002594800', 200, 0), (64, 'STAR', 15, '3008801/580179600', 184, 0), (47, 'PAID', 7, '-', 25, 0), (156, 'PAID', 7, '-', 25, 0), (91, 'PAID', 8, '-', 50, 0), (74, 'PAID', 10, '-', 89, 0), (39, 'PAID', 10, '-', 82, 2), (17, 'PAID', 10, '-', 89, 0), (78, 'PAID', 10, '-', 83, 0), (25, 'PAID', 9, '-', 70, 1), (37, 'PAID', 8, '-', 50, 0), (16, 'PAID', 8, '-', 56, 1), (117, 'STAR', 8, '768997919/114411417120', 56, 0), (19, 'PAID', 7, '-', 35, 0), (26, 'PAID', 6, '-', 20, 0), (50, 'STAR', 5, '7413349/2488524192', 10, 0), (32, 'STAR', 4, '1807545143/360836007840', 4, 0), (34, 'STAR', 3, '1124869069/180418003920', 1, 0), (29, 'VACUOUS', 2, '-', 0, 0), (40, 'VACUOUS', 1, '-', 0, 0), (82, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=(((16, 25, 34, 39), '-4832209/4931526600', (((16, 25), (16, 39), (25, 34)),), '521975449/9863053200', 28, '55/10948', 29, 11, 2, ()), ((16, 34, 39, 50), '-10874057/3287684400', (((16, 39), (16, 50), (34, 50)),), '42977941/821921100', 28, '19/4508', 34, 17, 2, ()), ((16, 25, 26, 34), '-2629411/657536880', (((16, 26), (25, 34), (26, 34)),), '55256561/1095894800', 24, '4/693', 25, 8, 2, ()), ((16, 26, 34, 50), '-51831361/9863053200', (((16, 26), (26, 34), (34, 50)),), '4773401/98630532', 26, '19/4508', 34, 16, 2, ()));paid_digest=086b2b98d7be0f6d83c5df8d89f728a623dc1124c276e354c1c6998604393328
ROW;E=(1, 2, 5, 9, 11, 12, 14);K=21;rank=3;a=26;P=(23, 16, 26);h=4439/21021;H=22;edges=139;initialK4=697;star_steps=21;starK4=697;paid_steps=1;paidK4=0;tree_closed=0;tree_hard=0;tree_equalities=0;positive_tree_extremum=None;hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(120, 108, 132, 69, 140, 80, 20, 31, 46, 30, 50, 51, 74, 34, 32, 25, 17, 19, 29, 37, 38, 40);steps=((120, 'STAR', 5, '43517653/4073869800', 7, 0), (108, 'STAR', 6, '22573/2923830', 12, 0), (132, 'STAR', 8, '458063/79879800', 33, 0), (69, 'STAR', 8, '1301429/328768440', 10, 0), (140, 'STAR', 8, '215627/29008980', 44, 0), (80, 'STAR', 10, '741179/95855760', 81, 0), (20, 'STAR', 10, '30301/59909850', 75, 0), (31, 'STAR', 10, '24588089/38551673160', 96, 0), (46, 'STAR', 12, '30427703/7298659368', 120, 0), (30, 'STAR', 11, '888021/226326100', 101, 0), (50, 'STAR', 10, '15679/24249225', 44, 0), (51, 'STAR', 3, '5468321/881480600', 1, 0), (74, 'STAR', 5, '2020723/1773331560', 7, 0), (34, 'STAR', 7, '64373/13579566', 25, 0), (32, 'STAR', 7, '9546829/3091962720', 25, 0), (25, 'STAR', 6, '2884639/1322220900', 12, 0), (17, 'STAR', 5, '1589333/1575229656', 4, 0), (19, 'PAID', 3, '-', 0, 0), (29, 'VACUOUS', 2, '-', 0, 0), (37, 'VACUOUS', 2, '-', 0, 0), (38, 'VACUOUS', 1, '-', 0, 0), (40, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=0fc8451cdf72253b02939963278147fa2316e12ce4ee9101d60bfda21bc7ec48
ROW;E=(1, 2, 5, 9, 11, 12, 14);K=21;rank=4;a=39;P=(23, 16, 26, 39);h=27019/126126;H=16;edges=88;initialK4=310;star_steps=10;starK4=223;paid_steps=6;paidK4=87;tree_closed=86;tree_hard=1;tree_equalities=0;positive_tree_extremum=(Fraction(27571, 10715848), (19, 29, 34, 40), 19);hostile_tree_extremum=(Fraction(-13155, 5770072), (17, 19, 29, 40), 19);literal_closed=1;scan=7;controls=2;empty=();witnesses=();closed=1;order=(51, 81, 80, 46, 58, 19, 37, 17, 20, 32, 25, 29, 34, 38, 40, 50);steps=((51, 'STAR', 6, '3793277/4931526600', 12, 0), (81, 'STAR', 9, '781601/215675460', 52, 0), (80, 'STAR', 9, '9835702/868692825', 30, 0), (46, 'STAR', 11, '12816169/8109621520', 87, 0), (58, 'PAID', 5, '-', 4, 0), (19, 'PAID', 8, '-', 34, 1), (37, 'STAR', 7, '48791777/35466631200', 25, 0), (17, 'PAID', 7, '-', 25, 0), (20, 'PAID', 6, '-', 16, 0), (32, 'STAR', 6, '256679/428828400', 16, 0), (25, 'PAID', 4, '-', 4, 0), (29, 'PAID', 4, '-', 4, 0), (34, 'STAR', 3, '24001189/4073869800', 1, 0), (38, 'VACUOUS', 2, '-', 0, 0), (40, 'VACUOUS', 1, '-', 0, 0), (50, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=(((17, 19, 29, 40), '-13155/5770072', (((17, 29), (17, 40), (19, 29)),), '1116518191/23628444840', 34, '43/7917', 27, 7, 2, ()),);paid_digest=4536b16b5a268666c3c424aff176d943554ce968b83bde5ce1820e7de1089069
ROW;E=(1, 2, 5, 9, 11, 12, 14);K=21;rank=6;a=40;P=(23, 16, 26, 39, 29, 40);h=10477/48510;H=26;edges=154;initialK4=666;star_steps=24;starK4=646;paid_steps=2;paidK4=20;tree_closed=20;tree_hard=0;tree_equalities=0;positive_tree_extremum=(Fraction(75731191, 9369900540), (17, 19, 46, 78), 17);hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(75, 65, 91, 143, 132, 50, 125, 164, 182, 54, 81, 117, 108, 69, 156, 175, 25, 34, 82, 52, 17, 19, 46, 38, 58, 78);steps=((75, 'STAR', 3, '538921/239639400', 1, 0), (65, 'STAR', 4, '4256683/694954260', 4, 0), (91, 'STAR', 5, '762049/73489416', 10, 0), (143, 'STAR', 6, '4549421/463302840', 16, 0), (132, 'STAR', 6, '38788/5990985', 10, 0), (50, 'STAR', 6, '911293/239639400', 10, 0), (125, 'STAR', 6, '268859/92169000', 16, 0), (164, 'STAR', 7, '39007041/6331805480', 22, 0), (182, 'STAR', 8, '196083/17497480', 45, 0), (54, 'STAR', 8, '1470389/143783640', 40, 0), (81, 'STAR', 8, '109171/86270184', 39, 0), (117, 'STAR', 9, '716571/77217140', 58, 0), (108, 'STAR', 9, '157999/28756728', 65, 0), (69, 'STAR', 9, '2386921/1266793080', 52, 0), (156, 'STAR', 9, '1645013/231651420', 66, 0), (175, 'STAR', 9, '2536679/239639400', 77, 0), (25, 'STAR', 8, '28829/5990985', 50, 0), (34, 'STAR', 7, '102341/1249320072', 30, 0), (82, 'STAR', 7, '5559627/6331805480', 30, 0), (52, 'PAID', 5, '-', 10, 0), (17, 'PAID', 5, '-', 10, 0), (19, 'STAR', 4, '30019597/6393579192', 4, 0), (46, 'STAR', 3, '86387377/15983947980', 1, 0), (38, 'VACUOUS', 2, '-', 0, 0), (58, 'VACUOUS', 1, '-', 0, 0), (78, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=de298768f0714ce6b2d8137ae92280eb5ba3caac04372eddeb4f9ed5e6877a3a
ROW;E=(1, 2, 5, 9, 11, 12, 14);K=21;rank=10;a=32;P=(23, 16, 26, 39, 29, 40, 46, 19, 78, 32);h=8077/36960;H=22;edges=156;initialK4=1103;star_steps=22;starK4=1103;paid_steps=0;paidK4=0;tree_closed=0;tree_hard=0;tree_equalities=0;positive_tree_extremum=None;hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(234, 143, 108, 182, 91, 81, 92, 37, 132, 117, 60, 54, 17, 156, 30, 31, 20, 69, 50, 34, 52, 66);steps=((234, 'STAR', 7, '6780803/986305320', 35, 0), (143, 'STAR', 9, '16844873/1972610640', 71, 0), (108, 'STAR', 9, '108083/13194720', 57, 0), (182, 'STAR', 9, '8219/1121120', 64, 0), (91, 'STAR', 10, '25873/2858856', 97, 0), (81, 'STAR', 10, '116047/13006224', 90, 0), (92, 'STAR', 11, '272213/33719840', 116, 0), (37, 'STAR', 11, '7603711/802050480', 116, 0), (132, 'STAR', 10, '11035/1319472', 83, 0), (117, 'STAR', 9, '252661/70450380', 71, 0), (60, 'STAR', 9, '81239/8429960', 65, 0), (54, 'STAR', 9, '26141/7916832', 77, 0), (17, 'STAR', 9, '76387/10115952', 71, 0), (156, 'STAR', 6, '577/840840', 20, 0), (30, 'STAR', 7, '4514593/409036320', 35, 0), (31, 'STAR', 6, '3895723/447992160', 20, 0), (20, 'STAR', 5, '6306749/758696400', 10, 0), (69, 'STAR', 4, '1282399/108385200', 4, 0), (50, 'STAR', 3, '8812871/857656800', 1, 0), (34, 'VACUOUS', 2, '-', 0, 0), (52, 'VACUOUS', 1, '-', 0, 0), (66, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=79937d3f3684439711dfdf6739a107296d27faad4f696fbf19e735c9b5b21a69
ROW;E=(1, 2, 7, 8, 10, 11, 12);K=20;rank=4;a=52;P=(26, 18, 19, 52);h=29613/140140;H=34;edges=273;initialK4=2084;star_steps=34;starK4=2084;paid_steps=0;paidK4=0;tree_closed=0;tree_hard=0;tree_equalities=0;positive_tree_extremum=None;hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(212, 166, 69, 158, 164, 80, 154, 82, 88, 110, 45, 100, 108, 46, 125, 63, 83, 23, 41, 17, 54, 106, 84, 132, 42, 64, 56, 44, 34, 27, 31, 28, 32, 38);steps=((212, 'STAR', 5, '412157/217729512', 10, 0), (166, 'STAR', 7, '2045777/298351053', 22, 0), (69, 'STAR', 7, '396449/141968190', 25, 0), (158, 'STAR', 8, '6050879/2271781512', 36, 0), (164, 'STAR', 9, '2998243/280720440', 77, 0), (80, 'STAR', 9, '265/30576', 45, 0), (154, 'STAR', 9, '3931/737352', 70, 0), (82, 'STAR', 10, '310369/25445420', 85, 0), (88, 'STAR', 11, '61/8330', 92, 0), (110, 'STAR', 12, '127627/13071240', 135, 0), (45, 'STAR', 12, '4986691/1489977720', 148, 0), (100, 'STAR', 12, '2894539/718918200', 144, 0), (108, 'STAR', 12, '4895549/305540235', 74, 0), (46, 'STAR', 12, '169459/150319260', 142, 0), (125, 'STAR', 12, '2168279/276507000', 147, 0), (63, 'STAR', 12, '879649/113945832', 146, 0), (83, 'STAR', 12, '1488285973/369955305720', 144, 0), (23, 'STAR', 12, '181919/150319260', 149, 0), (41, 'STAR', 12, '15917777/4671779112', 105, 0), (17, 'STAR', 11, '419569/488864376', 79, 0), (54, 'STAR', 13, '640609/1222160940', 105, 0), (106, 'STAR', 4, '55090547/7620532920', 4, 0), (84, 'STAR', 5, '835001/143783640', 10, 0), (132, 'STAR', 6, '1316201/143783640', 16, 0), (42, 'STAR', 7, '1088677/128648520', 21, 0), (64, 'STAR', 6, '254633/78198120', 12, 0), (56, 'STAR', 6, '681661/115026912', 16, 0), (44, 'STAR', 5, '49757/11695320', 10, 0), (34, 'STAR', 5, '21877/21162960', 10, 0), (27, 'STAR', 4, '1105109/234594360', 4, 0), (31, 'STAR', 3, '193026979/17829171360', 1, 0), (28, 'VACUOUS', 2, '-', 0, 0), (32, 'VACUOUS', 1, '-', 0, 0), (38, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=d93698388cff06d6ebd9679b7ee1a488c497ede1a6462778f1c8606ea792ff85
ROW;E=(1, 2, 8, 9, 10, 11, 14);K=20;rank=3;a=38;P=(26, 19, 38);h=1906/9405;H=38;edges=360;initialK4=3254;star_steps=38;starK4=3254;paid_steps=0;paidK4=0;tree_closed=0;tree_hard=0;tree_equalities=0;positive_tree_extremum=None;hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(169, 260, 494, 418, 143, 87, 179, 96, 100, 168, 117, 69, 104, 110, 125, 52, 34, 77, 17, 154, 156, 58, 23, 182, 65, 130, 46, 43, 36, 18, 24, 78, 37, 74, 39, 29, 31, 60);steps=((169, 'STAR', 7, '12055299233/2576612414376', 30, 0), (260, 'STAR', 7, '16250755/6393579192', 25, 0), (494, 'STAR', 8, '26335471/6393579192', 44, 0), (418, 'STAR', 9, '1603589/245906892', 47, 0), (143, 'STAR', 10, '1347637931/543454231320', 72, 0), (87, 'STAR', 11, '1797422183/181151410440', 86, 0), (179, 'STAR', 11, '379878536/47685444807', 110, 0), (96, 'STAR', 12, '128883257/33443337312', 107, 0), (100, 'STAR', 13, '1067681/1737385650', 129, 0), (168, 'STAR', 16, '7789/10037016', 234, 0), (117, 'STAR', 16, '26840215/6393579192', 236, 0), (69, 'STAR', 17, '9674393/2459068920', 206, 0), (104, 'STAR', 17, '16754015/1575229656', 211, 0), (110, 'STAR', 17, '105510107/20902085820', 285, 0), (125, 'STAR', 16, '68391553/30738361500', 302, 0), (52, 'STAR', 16, '19920913/15983947980', 176, 0), (34, 'STAR', 8, '5371039/1900189620', 28, 0), (77, 'STAR', 9, '25171667/7991973990', 43, 0), (17, 'STAR', 17, '668383433/81386865560', 310, 0), (154, 'STAR', 16, '2017243/507426920', 222, 0), (156, 'STAR', 8, '19374409/6393579192', 20, 0), (58, 'STAR', 15, '435196887/55055820820', 124, 0), (23, 'STAR', 14, '18177641/3196789596', 81, 0), (182, 'STAR', 6, '67249541/15246227304', 13, 0), (65, 'STAR', 8, '872771453/1182812150520', 17, 0), (130, 'STAR', 9, '49171453/11264877624', 22, 0), (46, 'STAR', 11, '4771033541/1410276025620', 48, 0), (43, 'STAR', 3, '23032657/14941516590', 0, 0), (36, 'STAR', 5, '3959513/1285665381', 4, 0), (18, 'STAR', 5, '3363121/2142775635', 4, 0), (24, 'STAR', 6, '111653/30886856', 9, 0), (78, 'STAR', 5, '206447/428555127', 4, 0), (37, 'VACUOUS', 2, '-', 0, 0), (74, 'STAR', 4, '37759577/7346659320', 4, 0), (39, 'STAR', 3, '31285675/8617432824', 1, 0), (29, 'VACUOUS', 2, '-', 0, 0), (31, 'VACUOUS', 1, '-', 0, 0), (60, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=7c3b45ec9a5bdcab217d1648d382e570ff71ba19c737b6fefd7c635c897d6fb3
ROW;E=(1, 2, 8, 9, 10, 12, 14);K=22;rank=3;a=44;P=(22, 26, 44);h=40979/194040;H=28;edges=173;initialK4=452;star_steps=28;starK4=452;paid_steps=0;paidK4=0;tree_closed=0;tree_hard=0;tree_equalities=0;positive_tree_extremum=None;hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(69, 168, 182, 216, 67, 115, 156, 108, 104, 37, 72, 39, 74, 19, 65, 29, 78, 17, 54, 23, 64, 130, 134, 46, 16, 32, 34, 52);steps=((69, 'STAR', 4, '14029/1657656', 2, 0), (168, 'STAR', 6, '17813/2231460', 12, 0), (182, 'STAR', 6, '3879017/493152660', 9, 0), (216, 'STAR', 7, '597713/87026940', 14, 0), (67, 'STAR', 7, '634807/847210980', 17, 0), (115, 'STAR', 8, '4421/340340', 24, 0), (156, 'STAR', 8, '2821411/328768440', 24, 0), (108, 'STAR', 8, '135119/17405388', 28, 0), (104, 'STAR', 8, '26977/4696692', 21, 0), (37, 'STAR', 8, '2168107/1197178290', 38, 0), (72, 'STAR', 10, '849257/116035920', 44, 0), (39, 'STAR', 9, '4603453/986305320', 31, 0), (74, 'STAR', 9, '672377/76666590', 43, 0), (19, 'STAR', 8, '10577867/9369900540', 22, 0), (65, 'STAR', 8, '1809173/986305320', 14, 0), (29, 'STAR', 8, '815581/91675815', 28, 0), (78, 'STAR', 8, '214717/75869640', 21, 0), (17, 'STAR', 8, '5411387/1972610640', 24, 0), (54, 'STAR', 7, '223/395577', 16, 0), (23, 'STAR', 7, '416219/35225190', 9, 0), (64, 'STAR', 3, '349/232071840', 0, 0), (130, 'STAR', 5, '3316/315315', 5, 0), (134, 'STAR', 4, '6008809/1048927880', 4, 0), (46, 'STAR', 4, '192329/46414368', 2, 0), (16, 'VACUOUS', 2, '-', 0, 0), (32, 'VACUOUS', 2, '-', 0, 0), (34, 'VACUOUS', 1, '-', 0, 0), (52, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=9ca1b03a8bce3821610e6ef0ee3d613b89187e5ab9100bb06a5488e533aec8e2
ROW;E=(1, 2, 8, 10, 11, 12, 14);K=21;rank=3;a=52;P=(26, 18, 52);h=2909/14014;H=31;edges=264;initialK4=2596;star_steps=31;starK4=2596;paid_steps=0;paidK4=0;tree_closed=0;tree_hard=0;tree_equalities=0;positive_tree_extremum=None;hostile_tree_extremum=None;literal_closed=0;scan=0;controls=0;empty=();witnesses=();closed=1;order=(250, 57, 50, 189, 212, 158, 103, 125, 63, 41, 72, 168, 80, 154, 19, 132, 31, 23, 25, 100, 27, 16, 106, 64, 38, 53, 54, 32, 34, 44, 46);steps=((250, 'STAR', 7, '27519043/3594591000', 25, 0), (57, 'STAR', 7, '707537/367447080', 22, 0), (50, 'STAR', 8, '24218/3328325', 33, 0), (189, 'STAR', 9, '5724077/718918200', 70, 0), (212, 'STAR', 9, '26345063/7620532920', 63, 0), (158, 'STAR', 12, '246867/44284240', 173, 0), (103, 'STAR', 13, '266705/54850796', 209, 0), (125, 'STAR', 13, '16446289/3594591000', 166, 0), (63, 'STAR', 13, '980351/106954848', 170, 0), (41, 'STAR', 13, '2531/1149148', 216, 0), (72, 'STAR', 14, '30733/25785760', 207, 0), (168, 'STAR', 14, '863/211680', 258, 0), (80, 'STAR', 15, '9643/3594591', 264, 0), (154, 'STAR', 15, '617/380380', 233, 0), (19, 'STAR', 15, '209617/718918200', 157, 0), (132, 'STAR', 8, '45533/20540520', 44, 0), (31, 'STAR', 8, '182071/457158240', 30, 0), (23, 'STAR', 10, '77069/367447080', 64, 0), (25, 'STAR', 6, '261253/143783640', 16, 0), (100, 'STAR', 10, '4861957/905304400', 77, 0), (27, 'STAR', 9, '915881/1086365280', 37, 0), (16, 'STAR', 5, '374833/95855760', 10, 0), (106, 'STAR', 5, '11693777/4354590240', 7, 0), (64, 'STAR', 5, '52621/54774720', 10, 0), (38, 'STAR', 6, '8765629/1348248132', 20, 0), (53, 'STAR', 5, '133374581/36899422560', 10, 0), (54, 'STAR', 4, '87781/19792080', 4, 0), (32, 'STAR', 3, '482497/219178960', 1, 0), (34, 'VACUOUS', 2, '-', 0, 0), (44, 'VACUOUS', 1, '-', 0, 0), (46, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=();paid_digest=0f38fa699fcca1301cb6f96b64e1c7634422d1ec4c1ae3652297528ba725c9a3
ROW;E=(1, 2, 8, 10, 11, 12, 14);K=21;rank=4;a=46;P=(26, 18, 52, 46);h=28453/135240;H=24;edges=123;initialK4=310;star_steps=18;starK4=282;paid_steps=6;paidK4=28;tree_closed=27;tree_hard=1;tree_equalities=0;positive_tree_extremum=(Fraction(3797, 33719840), (27, 32, 34, 44), 27);hostile_tree_extremum=(Fraction(-674519, 151739280), (32, 34, 44, 54), 32);literal_closed=1;scan=16;controls=2;empty=();witnesses=();closed=1;order=(132, 41, 125, 117, 106, 91, 103, 57, 208, 162, 168, 19, 38, 31, 45, 130, 16, 22, 27, 182, 32, 34, 44, 54);steps=((132, 'STAR', 3, '3573583/303478560', 1, 0), (41, 'STAR', 4, '16112611/2332991430', 2, 0), (125, 'STAR', 5, '3208021/471086000', 7, 0), (117, 'STAR', 5, '625189/328768440', 10, 0), (106, 'STAR', 6, '10655669/2049967920', 16, 0), (91, 'STAR', 6, '341059/109003440', 9, 0), (103, 'STAR', 6, '11936549/33863149320', 8, 0), (57, 'STAR', 6, '5927/892584', 8, 0), (208, 'STAR', 7, '96751/38678640', 15, 0), (162, 'STAR', 6, '636569/3052637280', 16, 0), (168, 'STAR', 8, '262781/56530320', 44, 0), (19, 'STAR', 9, '25721/10599435', 44, 0), (38, 'STAR', 11, '15478/3533145', 70, 0), (31, 'STAR', 8, '1758521/830103120', 28, 0), (45, 'PAID', 4, '-', 2, 0), (130, 'PAID', 4, '-', 2, 0), (16, 'PAID', 6, '-', 12, 0), (22, 'PAID', 5, '-', 7, 0), (27, 'PAID', 4, '-', 4, 0), (182, 'STAR', 4, '341/21097440', 4, 0), (32, 'PAID', 3, '-', 1, 1), (34, 'VACUOUS', 2, '-', 0, 0), (44, 'VACUOUS', 1, '-', 0, 0), (54, 'VACUOUS', 0, '-', 0, 0));LITERAL_ROWS=(((32, 34, 44, 54), '-674519/151739280', (((32, 44), (32, 54), (34, 54)),), '11979599/227608920', 42, '45/10472', 34, 16, 2, ()),);paid_digest=7dccd6d06c04e02b9deb8bc7be7d941393fa05ae9e2fd93662f1442f0f67fade
