q,r,grid,cells,pair_ticks,active_base,active_base_fnv,repair_active,repair_margin,equalities,body_checks,base_failures,base_failure_fnv,nested_failures,nested_failure_fnv,min_active_margin,max_inactive_margin
520,641,11692583185963680,9373,8590463552274912,7292,32dc83e99e5057f8,1,3835192084096590,0,471882418,0,cbf29ce484222325,0,cbf29ce484222325,56202471864,-1578868014906
220,640,145929275331840,8813,107137199300040,7341,917725fd0a520e31,1,28089567526608,0,449082600,0,cbf29ce484222325,0,cbf29ce484222325,8992295676,-406881342
248,640,4523807535287040,8893,3323278657690992,8506,1ebf0f605df179a4,1,570067329550446,0,431639115,0,cbf29ce484222325,0,cbf29ce484222325,193952334492,-313119710946
282,640,6858675940596480,8965,5039011710472740,8168,9f98a1e6143192a8,1,1279372104128664,0,437227039,0,cbf29ce484222325,0,cbf29ce484222325,2416601724516,-156059686692
294,640,1021504927322880,9001,750493415992320,6712,674090f083fd0d43,1,47208535029306,0,463240657,0,cbf29ce484222325,0,cbf29ce484222325,125201372184,-31641554700
335,640,9777261447233280,9073,7183107990218160,7360,8882c46257fadbf9,1,2777074239361968,0,455488883,0,cbf29ce484222325,0,cbf29ce484222325,1020084503130,-488011252302
338,640,1897080579313920,9085,1393769907337500,8467,113d09164adb6d8,1,775133733792222,0,431154838,0,cbf29ce484222325,0,cbf29ce484222325,93745247778,-1021770621900
350,640,729646376659200,9085,536066725708800,7939,abbf2c85bce6d2cc,1,201052381464522,0,448618804,0,cbf29ce484222325,0,cbf29ce484222325,49676256882,-47867133384
366,640,8901685795242240,9133,6539998542457380,6181,7cb013cb49d32149,1,1177032086339760,0,467933183,0,cbf29ce484222325,0,cbf29ce484222325,109169970588,-613608822918
372,640,4523807535287040,9133,3323582677014600,7056,e3c7b1095e315480,1,822626276700816,0,460080058,0,cbf29ce484222325,0,cbf29ce484222325,131313572208,-114810143994
383,640,55890912452094720,9177,41062673962438128,7024,37e9c83f294848ba,1,21407421642095538,0,457252417,0,cbf29ce484222325,0,cbf29ce484222325,11123165840976,-303207778944
416,640,145929275331840,9245,107201890724544,7192,86492b0e7a425dbb,1,35154686158578,0,460896889,0,cbf29ce484222325,0,cbf29ce484222325,19622211084,-10290223566
420,640,145929275331840,9253,107213345141760,8446,6f71f23834de51cb,1,44769243772134,0,433818683,0,cbf29ce484222325,0,cbf29ce484222325,64854914418,-67504214610
440,640,145929275331840,9213,107077974756480,6724,baaf48c797720668,1,41458689326628,0,458759710,0,cbf29ce484222325,0,cbf29ce484222325,10603134360,-14037937578
520,640,145929275331840,9373,107141755034160,5244,b613d3793717fb99,1,17163927996516,0,521624145,0,cbf29ce484222325,0,cbf29ce484222325,3247402410,-37390526586
256,639,20721957097121280,8921,15224274328543280,5608,9bdb52159a67727c,1,2643970722225210,0,499877226,0,cbf29ce484222325,0,cbf29ce484222325,3439615570398,-1711138428846
294,639,9065856229990560,8997,6660629066931840,8075,1b1e86da2daa1496,1,2573631161348310,0,441194350,0,cbf29ce484222325,0,cbf29ce484222325,2110785685344,-700359542946
384,639,10360978548560640,9177,7612209549824880,7281,ac426ede32b7a917,1,576147282692058,0,470365107,0,cbf29ce484222325,0,cbf29ce484222325,246194702334,-1141340558400
416,639,2590244637140160,9241,1903038467157520,7726,dce3e1a658803fb8,1,1043330006802132,0,462178390,0,cbf29ce484222325,0,cbf29ce484222325,237523884318,-344291627484
100,638,91205797082400,8565,67008690809424,5963,2b2f5e0c89e595f0,1,32751604768176,0,497877901,0,cbf29ce484222325,0,cbf29ce484222325,26438262102,-1487344950
256,638,291858550663680,8877,214425523297440,3303,745635a50ff09ca6,1,28603143332442,0,627721473,40,917d107c4536efc9,40,917d107c4536efc9,4433423400,-51942837870
282,638,857334492574560,8917,629876846726400,8165,f60ce8b51e950ed5,1,313302891776868,0,453275054,0,cbf29ce484222325,0,cbf29ce484222325,116222626422,-218089876032
294,638,127688115915360,8953,93811676999040,8378,1f6be06d3e451982,1,57408259108662,0,432508205,0,cbf29ce484222325,0,cbf29ce484222325,9138467772,-23687497008
366,638,1112710724405280,9085,817500200724480,7118,306d2fb51a4fc586,1,436997996007426,0,455166079,0,cbf29ce484222325,0,cbf29ce484222325,136037737206,-32564081844
416,638,36482318832960,9197,26803426053600,7759,682934b5eb3575cc,1,19644791750136,0,458887661,0,cbf29ce484222325,0,cbf29ce484222325,4639026168,-11148270966
420,638,18241159416480,9205,13401668142720,8179,4aa953308028fc78,1,7308235867212,0,451129607,0,cbf29ce484222325,0,cbf29ce484222325,3131215542,-486360
512,638,583717101327360,9389,428852067707700,5880,df1277bfdeecc871,1,201610578368556,0,494836624,0,cbf29ce484222325,0,cbf29ce484222325,11409923952,-34953971472
520,638,18241159416480,9325,13401681607944,8096,c26a5bbcbe6a2deb,1,9739570201830,0,456341152,0,cbf29ce484222325,0,cbf29ce484222325,669060126,-960057000
