q,r,tests,first_inactive_mask,margin_num,den
2,148,4,09034019,-1167123890189376,37795682310946560
2,150,422,38120016,-1490713735313880,38306434774608000
2,153,25,0812412c,-5349855408497208,78145126940200320
2,158,91,19c00c40,-967615176529008,40349444629253760
2,160,376,0e008550,-4336974439560000,40860197092915200
2,162,422,38120016,-2245119545391912,41370949556576640
2,164,17,0c82044a,-458337534695712,41881702020238080
2,166,3,2a904060,-5713845711342552,42392454483899520
2,172,25,0812412c,-781500787872336,43924711874883840
2,173,17,0c82044a,-5972786845644024,88360176213429120
2,183,5,3c601010,-8693735809002048,93467700850043520
2,186,3,2a904060,-651504773441088,47499979120513920
2,192,1,0a10d120,-15780897334133568,49032236511498240
2,195,420,108c1112,-14497377095335680,99596730413980800
2,206,33,1e808042,-1142710001886600,52607503757128320
2,210,4,09034019,-5230933185776760,53629008684451200
2,223,46,0ac44140,-5238837923528160,113897799396501120
2,231,422,38120016,-2128031614818648,117983819105792640
2,232,422,38120016,-1772179891223616,59247285784727040
2,233,193,18c0c140,-1694978548176816,119005324033115520
2,244,46,0ac44140,-898053862031424,62311800566695680
2,248,91,19c00c40,-2923459714342944,63333305494018560
2,250,421,1c81a100,-2887908759293040,63844057957680000
2,254,25,0812412c,-789860739491208,64865562885002880
2,256,3,2a904060,-12830901213316032,65376315348664320
2,258,46,0ac44140,-3427446299909184,65887067812325760
2,260,3,2a904060,-3094285881763440,66397820275987200
2,265,186,28062405,-4759186844011320,135349402870281600
2,270,91,19c00c40,-21900230236054800,68951582594294400
2,271,294,08b204c0,-6382556302869432,138413917652250240
2,282,17,0c82044a,-5362163804845008,72016097376263040
2,288,369,0a022096,-913242587366592,73548354767247360
2,292,65,08068a81,-3730097001768480,74569859694570240
2,294,17,0c82044a,-4774834258925472,75080612158231680
2,306,25,0812412c,-3505458175152192,78145126940200320
2,313,17,0c82044a,-5004871213645296,159865521126030720
2,320,37,10864540,-1176361720148160,81720394185830400
2,332,46,0ac44140,-6961926540928464,84784908967799040
2,338,20,1804aa01,-2848487348102760,86317166358783360
2,346,17,0c82044a,-10873039505893992,88360176213429120
2,360,422,38120016,-7063136445456000,91935443459059200
2,366,25,0812412c,-7386997818658752,93467700850043520
2,372,91,19c00c40,-12481521799129488,94999958241027840
2,378,46,0ac44140,-1549357255524960,96532215632012160
2,381,91,19c00c40,-7983066167735904,194596688655008640
2,383,357,2902c440,-425183350584384,195618193582331520
2,384,10,22205c02,-6461822360270592,98064473022996480
