a_hex	b_hex	cover	count	least_mask
0000000000000001	0000000000000000	1	421	00908325
0000000000000002	0000000000000000	1	671	20104417
0000000000000003	0000000000000000	2	17	20508125
0000000000000004	0000000000000000	1	1140	10044097
0000000000000006	0000000000000000	2	106	2040c641
0000000000000008	0000000000000000	1	1303	0008a6c1
0000000000000009	0000000000000000	2	25	00a22283
0000000000000010	0000000000000000	1	580	000ac641
0000000000000018	0000000000000000	2	11	002a8641
0000000000000020	0000000000000000	1	615	0010e125
0000000000000021	0000000000000000	2	42	0050a125
0000000000000028	0000000000000000	2	11	08422681
0000000000000029	0000000000000000	3	19	08422283
0000000000000032	0000000000000000	3	84	0010c325
0000000000000033	0000000000000000	4	1	00508325
