a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
0000000008000000	0000000000000000	1	2771	040494c1	8	233	2538	215731081329132	92600155540116
0000000008040000	0000000000000000	2	294	00cc9401	8	1	293	214269605310022	527166336186
0000000008060000	0000000000000000	3	111	00449cc1	9	0	111	217368635189922	195766048769886
0000000008100000	0000000000000000	2	1998	04089443	8	127	1871	214888499935524	39517527742812
0000000008100004	0000000000000000	3	697	04019641	8	43	654	217984882120446	234589605392898
0000000008140000	0000000000000000	3	210	00889641	8	2	208	214987449801096	45751369273848
0000000008160200	0000000000000000	5	22	00c094c3	9	0	22	215984724725554	108579689514702
0000000008160204	0000000000000000	6	20	008096c3	9	0	20	217547278935726	207020604755538
000000000a000000	0000000000000000	2	607	040c84c1	8	24	583	216609247842090	147924645856470
000000000a050000	0000000000000000	4	84	008c0497	9	0	84	215270431313688	63579204567144
000000000a078000	0000000000000000	6	28	008486c3	9	0	28	215390654053560	71153237179080
000000000a100000	0000000000000000	3	308	040b0681	8	6	302	214600859452938	21396177339894
000000000a100001	0000000000000000	4	26	04c084c3	9	0	26	218599413502022	273305082432186
000000000a100006	0000000000000000	5	44	048086c3	9	0	44	219878386662442	353880391538646
000000000a100007	0000000000000000	6	23	048184c3	9	0	23	215332431001312	67485184887456
000000000a100008	0000000000000000	4	15	0c430281	8	1	14	214319578022508	3675447222804
000000000a100009	0000000000000000	5	4	0c4284c1	9	0	4	215115985796720	53849136998160
000000000a10000e	0000000000000000	6	22	0c030681	8	2	20	216548539832478	144100041250914
000000000a10000f	0000000000000000	7	1	0c0384c1	9	0	1	218988413417980	297812077137540
000000000a100018	0000000000000000	5	5	044186c1	9	0	5	219305114315592	317764233687096
000000000a10001e	0000000000000000	7	2	04018ec1	9	0	2	214294901220972	2120808726036
000000000a150000	0000000000000000	5	47	008886c3	9	0	47	223137669104562	559215185392206
000000000a150080	0000000000000000	6	4	088a8283	9	0	4	215198650048958	59056984889154
000000000a178240	0000000000000000	9	6	00c08ec1	9	0	6	216691483528732	153105494114916
000000000a178241	0000000000000000	10	2	08c08cc1	9	0	2	215549160688102	81139155155226
000000000a178246	0000000000000000	11	4	08828683	9	0	4	214546153104978	17949677418414
000000000a450000	0000000000000000	5	32	000e84c3	9	0	32	214507158675288	15493028347944
000000000a4fc000	0000000000000000	9	3	080686c1	9	0	3	214900900799486	40298782172418
000000000a550000	0000000000000000	6	3	004a86c1	9	0	3	215260832570258	62974483731054
000000000a550080	0000000000000000	7	2	084a8a81	9	0	2	217880821192288	228033766918944
000000000ad50000	0000000000000000	7	4	080a86c1	9	0	4	221100238706378	430857070306614
000000000b000000	0000000000000000	3	1042	040c8641	8	54	988	215176974716050	57691438915950
000000000b050000	0000000000000000	5	57	00cc8441	8	1	56	214910932183060	40930759337580
000000000b078000	0000000000000000	7	14	00c48525	9	0	14	214867758479340	38210816003220
000000000b100000	0000000000000000	4	539	04098641	8	30	509	219234197819172	313296494412636
000000000b100001	0000000000000000	5	51	0cc08441	8	1	50	215136620491892	55149122793996
000000000b100006	0000000000000000	6	83	04818603	8	6	77	214386285781062	7878036011706
000000000b100007	0000000000000000	7	32	0c828441	8	2	30	215357794565500	69083089431300
000000000b100008	0000000000000000	5	18	0c430601	8	1	17	214845272042448	36794170479024
000000000b100009	0000000000000000	6	2	0c438441	9	0	2	218589973006610	272710331221230
000000000b10000e	0000000000000000	7	10	0c038601	8	1	9	215587898681508	83579648739804
000000000b100018	0000000000000000	6	9	04418325	9	0	9	222331253726982	508411016604666
000000000b100019	0000000000000000	7	1	0c418c41	9	0	1	215533105580692	80127683388396
000000000b10001e	0000000000000000	8	6	04018327	9	0	6	214982050341642	45411203328246
000000000b150000	0000000000000000	6	40	00888647	9	0	40	214980638506470	45322257712410
000000000b178240	0000000000000000	10	3	08c08e41	9	0	3	215213123370102	59968804121226
000000000b178241	0000000000000000	11	1	08c28c41	9	0	1	214493927582610	14659469509230
000000000b178246	0000000000000000	12	2	08828643	9	0	2	216341534251088	131058689623344
000000000b450000	0000000000000000	6	7	004c8e41	9	0	7	216398159575220	134626085043660
000000000bf50000	0000000000000000	9	1	080b8641	9	0	1	214981005208468	45345359938284
000000000c000000	0000000000000000	2	3595	04059640	8	283	3312	217042977578544	175249619253072
000000000c040000	0000000000000000	3	239	008c94c0	8	3	236	215920739984442	104548650824646
000000000c060000	0000000000000000	4	57	00849496	9	0	57	214921848788342	41618505470346
000000000c100000	0000000000000000	3	2362	040994c0	8	191	2171	215366342702704	69621622075152
000000000c100004	0000000000000000	4	506	048094c2	8	34	472	214384543681984	7768283769792
000000000c140000	0000000000000000	4	144	00c894c0	8	2	142	214270185920444	563744792772
000000000c160200	0000000000000000	6	16	00c096c2	9	0	16	214518709699786	16220742891318
000000000c160204	0000000000000000	7	3	08829642	9	0	3	214652191877732	24630120101916
000000000e000000	0000000000000000	3	788	040d84c0	8	35	753	214449558951250	11864245733550
000000000e050000	0000000000000000	5	89	00cc84c0	8	1	88	216930284105750	168149930467050
000000000e078000	0000000000000000	7	20	00c486c2	9	0	20	216469863718120	139143446046360
000000000e100000	0000000000000000	4	413	048884c2	8	18	395	217442777707732	200437027391916
000000000e100001	0000000000000000	5	28	04c084d2	9	0	28	215584729491222	83379989751786
000000000e100006	0000000000000000	6	45	048186c0	8	2	43	214992517430652	46070629935876
000000000e100007	0000000000000000	7	11	0c808cc2	9	0	11	216922065655422	167632168096386
000000000e100008	0000000000000000	5	5	044386c0	9	0	5	216171996261678	120377796290514
000000000e100009	0000000000000000	6	1	0c428cc0	9	0	1	214802609440550	34106426559450
000000000e10000e	0000000000000000	7	2	0c0386c0	9	0	2	223670819651778	592803669866814
000000000e100018	0000000000000000	6	3	04418ec0	9	0	3	217214487795912	186054762947256
000000000e100019	0000000000000000	7	1	0c418cc0	9	0	1	215416966981492	72810951638796
000000000e150000	0000000000000000	6	56	008886d2	9	0	56	214767190801862	31875052322106
000000000e178240	0000000000000000	10	3	00c28ec0	9	0	3	214827363681138	35665943716494
000000000e178241	0000000000000000	11	1	08c28cc0	9	0	1	217353041647040	194783655568320
000000000e178a46	0000000000000000	13	3	088286c2	9	0	3	217907922596558	229741155387954
000000000e450000	0000000000000000	6	10	004c8cd0	9	0	10	214595032647210	21029088579030
000000000e550000	0000000000000000	7	1	084a8cc0	9	0	1	216106819354960	116271651167280
000000000ed50000	0000000000000000	8	1	080a8ec0	9	0	1	214266376692668	323763442884
000000000f000000	0000000000000000	4	908	040d8640	8	53	855	217497483238380	203883475822740
000000000f050000	0000000000000000	6	37	08cc8440	8	1	36	214614766512150	22272322070250
000000000f078000	0000000000000000	8	8	08c48642	9	0	8	214271174874350	626048888850
000000000f100000	0000000000000000	5	487	04498640	8	37	450	217648998325332	213428926300716
000000000f100001	0000000000000000	6	32	0cc08c40	8	2	30	215463649675782	75751961379066
000000000f100006	0000000000000000	7	59	04818642	8	4	55	214648088592312	24371613120456
000000000f100007	0000000000000000	8	5	0c818542	9	0	5	215480756400622	76829685043986
000000000f100008	0000000000000000	6	3	04438e40	9	0	3	216312825065238	129250010914794
000000000f10000e	0000000000000000	8	1	0c038e40	9	0	1	215581657342338	83186444372094
000000000f100018	0000000000000000	7	2	04418760	9	0	2	214752739682382	30964631794866
000000000f150000	0000000000000000	7	24	00c88760	9	0	24	214374864581722	7158500453286
000000000f178240	0000000000000000	11	2	08c28e40	9	0	2	215167289205628	57081251759364
