a_hex	b_hex	cover	count	least_mask	least_rank
0000007001600400	0000000000000000	7	6	29881007	9
0000007050000000	0000000000000000	5	1	28ac1041	9
0000007050000424	0000000000000000	8	1	28a81241	9
0000007c00000000	0000000000000000	5	18	29a41042	9
0000007c00000600	0000000000000000	7	29	29a09140	9
0000007c01b00000	0000000000000000	9	5	298c1202	9
0000007c01b00601	0000000000000000	12	2	29c89200	9
0000007c01f00000	0000000000000000	10	8	298c9002	9
0000007c60000000	0000000000000000	7	1	28ac9040	9
0000007c60000630	0000000000000000	11	1	28a89240	9
0000007c70000000	0000000000000000	8	4	28ac1044	9
0000007c70000634	0000000000000000	13	4	28a81242	9
0000007e00080000	0000000000000000	7	12	29ac0042	9
0000007e00080600	0000000000000000	9	3	29e80042	9
0000007e01b80000	0000000000000000	11	9	298c0206	9
0000007e01b80601	0000000000000000	14	2	29c90202	9
0000007e01f80000	0000000000000000	12	7	298c8006	9
0000008000000000	0000000000000000	1	260	2908408e	9
0000008008000000	0000000000000000	2	170	2900528c	9
0000008100000000	0000000000000000	2	38	280c408e	9
0000008100000100	0000000000000000	3	20	28084a8c	9
0000008108000000	0000000000000000	3	8	2824508c	9
0000008108000100	0000000000000000	4	2	2820d0c8	9
0000008180000000	0000000000000000	3	15	280c4a84	9
0000008180000180	0000000000000000	5	9	282850a4	9
0000008188000000	0000000000000000	4	2	2824d0c0	9
0000008804000200	0000000000000000	4	1	29281888	9
0000008804800000	0000000000000000	4	1	290c1888	9
0000008804800201	0000000000000000	6	6	2908188a	9
000000880c000000	0000000000000000	4	1	29241888	9
000000880c000200	0000000000000000	5	4	292018c8	9
000000880c800000	0000000000000000	5	3	29041a88	9
000000880c800201	0000000000000000	7	1	29409888	9
0000008924000000	0000000000000000	5	1	282c1888	9
0000008924000312	0000000000000000	9	2	28281a88	9
0000008924800000	0000000000000000	6	1	280c1a88	9
0000008a04080000	0000000000000000	5	1	292c0888	9
0000008a04080200	0000000000000000	6	8	2928088a	9
0000008a04880000	0000000000000000	6	10	290c088a	9
0000008a04880201	0000000000000000	8	14	2908088e	9
0000008a0c080000	0000000000000000	6	1	29248888	9
0000008a0c880000	0000000000000000	7	1	29448888	9
0000008b24080000	0000000000000000	7	2	282c0a88	9
0000008b24880000	0000000000000000	8	3	280c8a88	9
0000008b24880353	0000000000000000	14	1	28490a88	9
0000009c06000000	0000000000000000	6	1	292c1880	9
0000009c06000600	0000000000000000	8	8	29281882	9
0000009c07900000	0000000000000000	9	1	290c1a80	9
0000009c07900601	0000000000000000	12	5	29081a82	9
0000009c07d00000	0000000000000000	10	6	290c1882	9
0000009c07d00601	0000000000000000	13	3	29081886	9
0000009c0e000000	0000000000000000	7	4	292418c0	9
0000009c0e000600	0000000000000000	9	2	296018c0	9
0000009c0fd00000	0000000000000000	11	1	29449880	9
0000009e06080000	0000000000000000	8	8	292c0882	9
0000009e06080600	0000000000000000	10	2	29288a80	9
0000009e07980000	0000000000000000	11	6	290c0a82	9
0000009e07980601	0000000000000000	14	3	29480a82	9
0000009e07d80000	0000000000000000	12	11	290c0886	9
0000009e07d80601	0000000000000000	15	2	29488882	9
0000009e0e080000	0000000000000000	9	1	29648880	9
0000009e0fd80000	0000000000000000	13	1	29458880	9
000000c804000000	0000000000000000	4	1	292c1088	9
000000c804000200	0000000000000000	5	10	2928108a	9
000000c804800000	0000000000000000	5	10	290c108a	9
000000c804800201	0000000000000000	7	12	2908108e	9
000000c80c000000	0000000000000000	5	10	2924108a	9
000000c80c000200	0000000000000000	6	4	292090c8	9
000000c80c800000	0000000000000000	6	2	29049288	9
000000c924000000	0000000000000000	6	8	282c108a	9
000000c924000310	0000000000000000	9	2	282812c8	9
000000c924000312	0000000000000000	10	3	2828128c	9
000000c924800000	0000000000000000	7	2	280c128c	9
000000ca04080000	0000000000000000	6	9	292c008a	9
000000ca04080200	0000000000000000	7	5	2928808a	9
000000ca04880000	0000000000000000	7	22	290c008e	9
000000ca04880201	0000000000000000	9	3	2908028e	9
000000dc06000000	0000000000000000	7	10	292c1082	9
000000dc06000600	0000000000000000	9	26	29281086	9
000000dc07900000	0000000000000000	10	6	290c1282	9
000000dc07900601	0000000000000000	13	4	29081286	9
000000dc07d00000	0000000000000000	11	6	290c1086	9
000000dc07d00601	0000000000000000	14	1	29481086	9
000000dc0e000000	0000000000000000	8	10	292410c4	9
000000dc0e000600	0000000000000000	10	3	296012c0	9
000000dde6000000	0000000000000000	11	2	282c90c0	9
000000ddf6000000	0000000000000000	12	2	282c12c0	9
000000de06080000	0000000000000000	9	11	292c0086	9
000000de07980000	0000000000000000	12	7	290c0286	9
000000de07d80000	0000000000000000	13	7	290c0096	9
000000de07d80601	0000000000000000	16	1	29480096	9
0000010000000000	0000000000000000	1	3543	0100503f	9
0000012000000000	0000000000000000	2	142	28081a0b	9
0000013000000000	0000000000000000	3	11	29241841	9
0000013000000400	0000000000000000	4	10	29281803	9
0000013001200000	0000000000000000	5	7	290c0a03	9
0000013001200400	0000000000000000	6	6	29081a03	9
0000013001600000	0000000000000000	6	22	290c0807	9
0000013001600400	0000000000000000	7	11	29081807	9
0000016000000000	0000000000000000	3	377	2808003f	9
0000017000000000	0000000000000000	4	36	29241043	9
0000017000000400	0000000000000000	5	30	29281007	9
0000017001200000	0000000000000000	6	14	290c0207	9
0000017001200400	0000000000000000	7	7	29081207	9
0000017001600000	0000000000000000	7	17	290c0017	9
0000017001600400	0000000000000000	8	5	29081017	9
0000017040000000	0000000000000000	5	2	282c9041	9
0000017050000000	0000000000000000	6	2	282c1241	9
0000018000000000	0000000000000000	2	519	2908401e	9
0000018008000000	0000000000000000	3	181	29005a0c	9
0000018100000000	0000000000000000	3	70	280c401e	9
0000018100000100	0000000000000000	4	42	2808520e	9
0000018108000000	0000000000000000	4	21	2824504a	9
0000018108000100	0000000000000000	5	3	2860d048	9
0000018180000000	0000000000000000	4	24	282c5006	9
0000018180000180	0000000000000000	6	15	28285046	9
0000018188000000	0000000000000000	5	3	28645044	9
000001a804000000	0000000000000000	5	1	292c1808	9
000001a804000200	0000000000000000	6	10	2928180a	9
000001a804800000	0000000000000000	6	8	290c180a	9
000001a804800201	0000000000000000	8	12	2908180e	9
000001a80c000000	0000000000000000	6	9	2924180a	9
000001a80c000200	0000000000000000	7	2	29601848	9
000001a80c800000	0000000000000000	7	1	29449808	9
000001a924000000	0000000000000000	7	9	282c180a	9
000001a924000310	0000000000000000	10	2	28281a48	9
000001aa04080000	0000000000000000	7	9	292c080a	9
000001aa04080200	0000000000000000	8	6	2928080e	9
000001aa04880000	0000000000000000	8	23	290c080e	9
000001aa04880201	0000000000000000	10	5	2948880a	9
000001aa0c080000	0000000000000000	8	1	29648808	9
000001ab24080000	0000000000000000	9	1	286c8808	9
000001bc06000000	0000000000000000	8	9	292c1802	9
000001bc06000600	0000000000000000	10	23	29281806	9
000001bc07b00000	0000000000000000	12	4	290c1a02	9
000001bc07f00000	0000000000000000	13	6	290c1806	9
000001bc0e000000	0000000000000000	9	4	29241a40	9
000001bc0e000600	0000000000000000	11	1	29609840	9
000001bdf6000000	0000000000000000	13	2	282c1a40	9
000001be06080000	0000000000000000	10	5	292c8802	9
000001be07b80000	0000000000000000	14	2	294c8a00	9
000001be07f80000	0000000000000000	15	8	290c0816	9
000001e804000000	0000000000000000	6	10	292c100a	9
000001e804000200	0000000000000000	7	40	2928100e	9
000001e804800000	0000000000000000	7	26	290c100e	9
000001e804800201	0000000000000000	9	10	2908101e	9
000001e80c000000	0000000000000000	7	26	2924102c	9
000001e80c000200	0000000000000000	8	7	2960104c	9
000001e924000000	0000000000000000	8	25	282c100e	9
000001e924000310	0000000000000000	11	7	2828124c	9
000001e924000312	0000000000000000	12	3	2828122c	9
000001e924800000	0000000000000000	9	1	284d1208	9
000001ea04080000	0000000000000000	8	22	292c000e	9
000001ea04080200	0000000000000000	9	2	29688048	9
000001ea04880000	0000000000000000	9	22	290c001e	9
000001ea04880201	0000000000000000	11	1	2949020c	9
000001eb24080000	0000000000000000	10	1	286d0208	9
000001fc06000000	0000000000000000	9	37	292c1006	9
000001fc06000600	0000000000000000	11	48	29281016	9
000001fc07b00000	0000000000000000	13	5	290c1206	9
000001fc07b00601	0000000000000000	16	1	29491204	9
000001fc07f00000	0000000000000000	14	3	290c1016	9
000001fc0e000000	0000000000000000	10	13	29249140	9
000001fc0e000600	0000000000000000	12	1	29611240	9
000001fde6000000	0000000000000000	13	2	282c9240	9
000001fdf6000000	0000000000000000	14	5	282c1244	9
000001fdf60007b4	0000000000000000	21	1	28691240	9
000001fe06080000	0000000000000000	11	3	296c0042	9
000001fe07b80000	0000000000000000	15	2	294d0202	9
0000020000000000	0000000000000000	1	3233	2000229f	9
0000021041000000	0000000000000000	4	1	28448a81	9
0000021041400000	0000000000000000	5	1	28c48881	9
0000021050000000	0000000000000000	4	1	28241a81	9
0000021051000000	0000000000000000	5	1	28450a81	9
0000022000000000	0000000000000000	2	1	28c48809	9
0000024000000000	0000000000000000	2	26	28049289	9
0000024820000000	0000000000000000	4	1	28a410c8	9
0000025040000000	0000000000000000	4	2	282490c1	9
0000025050000000	0000000000000000	5	2	282412c1	9
0000026000000000	0000000000000000	3	7	28849209	9
0000026820000000	0000000000000000	5	4	28a41148	9
0000027c60000000	0000000000000000	8	1	28e49040	9
000002c92c000000	0000000000000000	8	2	282490c8	9
0000032000000000	0000000000000000	3	2	28241849	9
0000036000000000	0000000000000000	4	18	28209249	9
000003e92c000000	0000000000000000	10	2	28649048	9
0000040000000000	0000000000000000	1	92	23a2008a	9
0000040000000000	0000000000000001	2	151	03a2808a	9
0000040000080000	0000000000000000	2	338	23a00988	9
0000080000000000	0000000000000000	1	6	23861088	9
0000080000000000	0000000000000001	2	21	03861288	9
0000080000000800	0000000000000000	2	18	23821288	9
0000080000000800	0000000000000001	3	37	0382908a	9
0000080000800000	0000000000000000	2	26	2384108a	9
0000080000800801	0000000000000000	4	50	2380900e	9
00000c0000000000	0000000000000000	2	20	2386008a	9
00000c0000000000	0000000000000001	3	33	0386808a	9
00000c0000000800	0000000000000000	3	36	2382808a	9
00000c0000000800	0000000000000001	4	26	0382812c	9
00000c0000880000	0000000000000000	4	70	2384808a	9
00000c0000880801	0000000000000000	6	81	2380812c	9
0000100000000000	0000000000000000	1	179	03020a87	9
0000100000200000	0000000000000000	2	273	03021217	9
0000100000400000	0000000000000000	2	310	03021097	9
0000100000600000	0000000000000000	3	432	03028127	9
0000100001000000	0000000000000000	2	419	03001297	9
0000100001200000	0000000000000000	3	532	03008327	9
0000100001400000	0000000000000000	3	742	03001897	9
0000100001600000	0000000000000000	4	878	03008137	9
0000180000100000	0000000000000000	3	1	23861280	9
0000180000100000	0000000000000001	4	3	03869280	9
0000180000100800	0000000000000000	4	2	23829280	9
0000180000100800	0000000000000001	5	3	038292c0	9
0000180000300000	0000000000000000	4	2	23869200	9
0000180000300000	0000000000000001	5	10	03869202	9
0000180000300800	0000000000000000	5	6	238a1202	9
0000180000300800	0000000000000001	6	11	03829206	9
0000180000500000	0000000000000000	4	3	23869080	9
0000180000500000	0000000000000001	5	10	03869082	9
0000180000500800	0000000000000000	5	8	23829082	9
0000180000500800	0000000000000001	6	8	038a9084	9
0000180000700000	0000000000000000	5	9	23869002	9
0000180000700000	0000000000000001	6	13	038e9002	9
0000180000700800	0000000000000000	6	10	238a1006	9
0000180000700800	0000000000000001	7	6	03829124	9
0000180001900000	0000000000000000	5	3	23849280	9
0000180001900801	0000000000000000	7	14	23801286	9
0000180001b00000	0000000000000000	6	16	23849202	9
0000180001b00801	0000000000000000	8	29	23809206	9
0000180001d00000	0000000000000000	6	24	23841086	9
0000180001d00801	0000000000000000	8	27	23809086	9
0000180001f00000	0000000000000000	7	41	23849006	9
0000180001f00801	0000000000000000	9	35	23809124	9
00001c0000100000	0000000000000000	4	2	23868280	9
00001c0000100000	0000000000000001	5	2	038e8280	9
00001c0000100800	0000000000000000	5	7	238a0282	9
00001c0000300000	0000000000000000	5	8	238e0202	9
00001c0000300000	0000000000000001	6	6	03c68202	9
00001c0000300800	0000000000000000	6	12	238a0206	9
00001c0000300800	0000000000000001	7	2	03828324	9
00001c0000500000	0000000000000000	5	11	23868082	9
00001c0000500000	0000000000000001	6	12	038e8082	9
00001c0000500800	0000000000000000	6	8	238a0086	9
00001c0000700000	0000000000000000	6	18	238e0006	9
00001c0000700000	0000000000000001	7	16	03868124	9
00001c0000700800	0000000000000000	7	9	238a0016	9
00001c0000700800	0000000000000001	8	2	038a8124	9
00001c0001980000	0000000000000000	7	13	23848282	9
00001c0001980801	0000000000000000	9	22	23880286	9
00001c0001b80000	0000000000000000	8	28	238c0206	9
00001c0001b80801	0000000000000000	10	32	23808324	9
00001c0001d80000	0000000000000000	8	46	23848086	9
00001c0001d80801	0000000000000000	10	31	238081a4	9
00001c0001f80000	0000000000000000	9	71	23848124	9
00001c0001f80801	0000000000000000	11	25	23808126	9
0000200000000000	0000000000000000	1	13	232a100a	9
0000200000000000	0000000000000003	3	75	032a100e	9
0000200002000000	0000000000000000	2	71	232a1006	9
0000200002000000	0000000000000003	4	207	032a1016	9
0000200004000000	0000000000000000	2	77	2328100e	9
0000200006000000	0000000000000000	3	253	23281016	9
0000240000000000	0000000000000000	2	56	232a000e	9
0000240000000000	0000000000000003	4	53	032a808a	9
0000240002000000	0000000000000000	3	79	232a0016	9
0000240002000000	0000000000000003	5	23	032a8124	9
0000240004080000	0000000000000000	4	142	2328001e	9
0000240006080000	0000000000000000	5	212	23280096	9
0000280000000000	0000000000000000	2	8	230e100a	9
0000280000000000	0000000000000003	4	13	030e108c	9
0000280000000800	0000000000000000	3	25	230a100e	9
0000280000000800	0000000000000003	5	14	030a120e	9
0000280004800000	0000000000000000	4	32	230c100e	9
0000280004800801	0000000000000000	6	50	2308101e	9
00002c0000000000	0000000000000000	3	29	230e000e	9
00002c0000000000	0000000000000003	5	12	030e808a	9
00002c0000000800	0000000000000000	4	40	230a001e	9
00002c0000000800	0000000000000003	6	2	030a812c	9
00002c0004880000	0000000000000000	6	57	230c001e	9
00002c0004880801	0000000000000000	8	40	2308009e	9
0000380002100000	0000000000000000	5	1	230e1280	9
0000380002100000	0000000000000003	7	3	030e1284	9
0000380002100800	0000000000000000	6	4	230a1282	9
0000380002300000	0000000000000000	6	4	230e1202	9
0000380002300000	0000000000000003	8	3	030e9204	9
0000380002300800	0000000000000000	7	8	230a1206	9
0000380002300800	0000000000000003	9	3	030a1216	9
0000380002500000	0000000000000000	6	4	230e1082	9
0000380002500000	0000000000000003	8	3	030e9084	9
0000380002500800	0000000000000000	7	7	230a1086	9
0000380002500800	0000000000000003	9	1	034a9084	9
0000380002700000	0000000000000000	7	7	230e1006	9
0000380002700000	0000000000000003	9	2	034e9004	9
0000380002700800	0000000000000000	8	5	230a1016	9
0000380007900000	0000000000000000	8	7	230c1282	9
0000380007900801	0000000000000000	10	14	23081286	9
0000380007b00000	0000000000000000	9	14	230c1206	9
0000380007b00801	0000000000000000	11	13	23081216	9
0000380007d00000	0000000000000000	9	22	230c1086	9
0000380007d00801	0000000000000000	11	18	23081096	9
0000380007f00000	0000000000000000	10	20	230c1016	9
0000380007f00801	0000000000000000	12	12	23081816	9
00003c0002100000	0000000000000000	6	5	230e0282	9
00003c0002100000	0000000000000003	8	1	034e8280	9
00003c0002100800	0000000000000000	7	6	230a0286	9
00003c0002300000	0000000000000000	7	6	230e0206	9
00003c0002300000	0000000000000003	9	1	034e8a00	9
00003c0002300800	0000000000000000	8	5	230a0216	9
00003c0002500000	0000000000000000	7	10	230e0086	9
00003c0002500000	0000000000000003	9	2	034e8084	9
00003c0002500800	0000000000000000	8	5	230a0096	9
00003c0002700000	0000000000000000	8	10	230e0016	9
00003c0002700800	0000000000000000	9	3	230a8016	9
00003c0002700800	0000000000000003	11	1	034a8124	9
00003c0007980000	0000000000000000	10	14	230c0286	9
00003c0007980801	0000000000000000	12	10	23080296	9
00003c0007b80000	0000000000000000	11	12	230c0216	9
00003c0007b80801	0000000000000000	13	9	23088216	9
00003c0007d80000	0000000000000000	11	24	230c0096	9
00003c0007d80801	0000000000000000	13	9	23088096	9
00003c0007f80000	0000000000000000	12	19	230c0816	9
00003c0007f80801	0000000000000000	14	4	23088126	9
0000400000000000	0000000000000000	1	224	2302500e	9
0000400000000000	0000000000000002	2	486	0302508e	9
0000400008000000	0000000000000000	2	655	2300501e	9
0000600000000000	0000000000000000	2	67	2322100e	9
0000600000000000	0000000000000003	4	226	0322101e	9
0000600002000000	0000000000000000	3	124	23221016	9
0000600002000000	0000000000000003	5	329	03221056	9
000060000c000000	0000000000000000	4	179	2320101e	9
000060000e000000	0000000000000000	5	323	23201056	9
0000640000000000	0000000000000000	3	16	2322808a	9
0000640000000000	0000000000000003	5	32	0322812c	9
0000640002000000	0000000000000000	4	3	23668080	9
0000640002000000	0000000000000003	6	17	032281a4	9
000064000c080000	0000000000000000	6	24	2320812c	9
000064000e080000	0000000000000000	7	25	232081a4	9
0000680000000000	0000000000000000	3	7	23061288	9
0000680000000000	0000000000000003	5	21	03061a88	9
0000680000000800	0000000000000000	4	10	2302908a	9
0000680000000800	0000000000000003	6	13	0302912c	9
000068000c800000	0000000000000000	6	14	2304908a	9
000068000c800801	0000000000000000	8	7	2300912c	9
00006c0000000000	0000000000000000	4	10	2306808a	9
00006c0000000000	0000000000000003	6	18	0306812c	9
00006c0000000800	0000000000000000	5	4	2342808a	9
00006c0000000800	0000000000000003	7	6	030281ac	9
00006c000c880000	0000000000000000	8	11	2304812c	9
00006c000c880801	0000000000000000	10	2	230081ac	9
0000780002100000	0000000000000000	6	1	23069280	9
0000780002100000	0000000000000003	8	1	03469280	9
0000780002100800	0000000000000000	7	1	23429280	9
0000780002300000	0000000000000000	7	1	23469200	9
0000780002300000	0000000000000003	9	3	03469204	9
0000780002300800	0000000000000003	10	2	03029324	9
0000780002500000	0000000000000000	7	1	23469080	9
0000780002500000	0000000000000003	9	3	03469084	9
0000780002700000	0000000000000000	8	1	23469800	9
0000780002700000	0000000000000003	10	1	03469804	9
0000780002700800	0000000000000003	11	1	03429124	9
000078000f900000	0000000000000000	10	1	23449280	9
000078000f900801	0000000000000000	12	1	23419280	9
000078000fb00000	0000000000000000	11	3	23449204	9
000078000fb00801	0000000000000000	13	1	23409320	9
000078000fd00000	0000000000000000	11	7	23441086	9
000078000fd00801	0000000000000000	13	3	230091a4	9
000078000ff00000	0000000000000000	12	2	23049124	9
000078000ff00801	0000000000000000	14	1	23409124	9
00007c0002100000	0000000000000000	7	1	23468280	9
00007c0002100000	0000000000000003	9	1	03468a80	9
00007c0002300000	0000000000000003	10	1	03468320	9
00007c0002300800	0000000000000003	11	1	03428324	9
00007c0002500000	0000000000000000	8	1	23468880	9
00007c0002500800	0000000000000003	11	1	034281a4	9
00007c0002700000	0000000000000003	11	1	03468124	9
00007c0002700800	0000000000000000	10	1	23428124	9
00007c0002700800	0000000000000003	12	2	03428924	9
00007c000f980000	0000000000000000	12	2	23448a80	9
00007c000fb80000	0000000000000000	13	1	23448320	9
00007c000fb80801	0000000000000000	15	2	23408324	9
00007c000fd80000	0000000000000000	13	5	230481a4	9
00007c000fd80801	0000000000000000	15	1	234081a4	9
00007c000ff80000	0000000000000000	14	1	23448124	9
00007c000ff80801	0000000000000000	16	3	23408126	9
0000800000000000	0000000000000000	1	1546	00161a85	9
0000800000002000	0000000000000000	2	1373	001a1a85	9
0000800000003000	0000000000000000	3	863	00331324	9
0000800010000000	0000000000000000	2	2895	00341097	9
0000800010002004	0000000000000000	4	2009	00301297	9
0000800010003004	0000000000000000	5	236	00381364	9
0000800010003006	0000000000000000	6	546	003813a4	9
000080001000300c	0000000000000000	6	158	02301076	9
000080001000300e	0000000000000000	7	267	00711324	9
0001000000000000	0000000000000000	1	9	22a6100c	9
0001000000000000	0000000000000001	2	35	02a6104c	9
0001000000004000	0000000000000000	2	20	22a2120c	9
0001000000004000	0000000000000001	3	66	02a2112c	9
0001000020000000	0000000000000000	2	28	22a4104c	9
0001000020004010	0000000000000000	4	7	22a8104a	9
0001000020004012	0000000000000000	5	31	22a8100e	9
0001000020004018	0000000000000000	5	4	22a090c8	9
000100002000401a	0000000000000000	6	16	22a0120e	9
0001040000000000	0000000000000000	2	12	22a68088	9
0001040000000000	0000000000000001	3	8	02a68188	9
0001040000004000	0000000000000000	3	6	22aa020a	9
0001040000004000	0000000000000001	4	1	02a2812c	9
0001040020080000	0000000000000000	4	26	22a48188	9
0001040020084012	0000000000000000	7	6	22a8020e	9
0002000000000000	0000000000000000	1	111	02268125	9
0002000000008000	0000000000000000	2	193	02228127	9
0002000040000000	0000000000000000	2	349	02248127	9
0002000040008020	0000000000000000	4	448	022081a7	9
0002100000000000	0000000000000000	2	29	020683a1	9
0002100000008000	0000000000000000	3	38	020283a5	9
0002100000200000	0000000000000000	3	29	02068325	9
0002100000208000	0000000000000000	4	29	02028327	9
0002100000400000	0000000000000000	3	30	020681a5	9
0002100000408000	0000000000000000	4	7	020291a5	9
0002100000600000	0000000000000000	4	23	02068925	9
0002100000608000	0000000000000000	5	17	02029127	9
0002100041000000	0000000000000000	4	66	020483a5	9
0002100041008020	0000000000000000	6	71	020083a7	9
0002100041200000	0000000000000000	5	63	02048327	9
0002100041208020	0000000000000000	7	68	02008337	9
0002100041400000	0000000000000000	5	63	020481a7	9
0002100041408020	0000000000000000	7	22	020091a7	9
0002100041600000	0000000000000000	6	62	02049127	9
0002100041608020	0000000000000000	8	44	02089127	9
0002800000000000	0000000000000000	2	96	02261087	9
000280000000a000	0000000000000000	4	176	02221097	9
0002800050000000	0000000000000000	4	215	02241097	9
000280005000a024	0000000000000000	8	248	02201297	9
0002900000000000	0000000000000000	3	12	020e1a81	9
000290000000a000	0000000000000000	5	9	02021a87	9
0002900000200000	0000000000000000	4	1	228e0203	9
000290000020a000	0000000000000000	6	2	220a1207	9
0002900000400000	0000000000000000	4	1	228e0083	9
0002900000600000	0000000000000000	5	1	220e1007	9
0002900051000000	0000000000000000	6	18	02441a85	9
000290005100a024	0000000000000000	10	11	22081287	9
0002900051200000	0000000000000000	7	4	220c1207	9
000290005120a024	0000000000000000	11	1	22881207	9
0002900051400000	0000000000000000	7	4	220c1087	9
0002900051600000	0000000000000000	8	2	220c1017	9
0003000000000000	0000000000000000	2	4	22a69040	9
0003000000000000	0000000000000001	3	17	02a69044	9
000300000000d000	0000000000000000	5	5	22a29240	9
000300000000d000	0000000000000001	6	16	02a29124	9
0003000060000000	0000000000000000	4	30	22a49044	9
000300006000d030	0000000000000000	9	6	22a89042	9
000300006000d032	0000000000000000	10	17	22a89006	9
000300006000d038	0000000000000000	10	1	22e090c0	9
000300006000d03a	0000000000000000	11	5	22a09124	9
0003040000000000	0000000000000000	3	3	22ae8080	9
0003040000000000	0000000000000001	4	1	02ee8040	9
0003040060080000	0000000000000000	6	18	22ac8006	9
000304006008d032	0000000000000000	12	4	22a88124	9
0003800000000000	0000000000000000	3	8	22a61240	9
0003800000000000	0000000000000001	4	16	02a61206	9
000380000000f000	0000000000000000	7	13	22a21206	9
000380000000f000	0000000000000001	8	23	02a21216	9
0003800070000000	0000000000000000	6	40	22a41206	9
000380007000f034	0000000000000000	13	11	22a81046	9
000380007000f036	0000000000000000	14	31	22a81016	9
000380007000f03c	0000000000000000	14	1	22a01246	9
000380007000f03e	0000000000000000	15	2	22a01216	9
0003840000000000	0000000000000000	4	1	22ae0280	9
000384000000f000	0000000000000000	8	1	22aa0206	9
0003840070080000	0000000000000000	8	11	22ac0206	9
000384007008f036	0000000000000000	16	3	22a80286	9
0004000000000000	0000000000000000	1	787	029401ac	9
0004000000010000	0000000000000000	2	217	0292112c	9
0004000000010040	0000000000000000	3	15	02989148	9
0004000000010042	0000000000000000	4	192	029801ac	9
0004000000010048	0000000000000000	4	6	0290816c	9
000400000001004a	0000000000000000	5	112	0290132c	9
0004000000011000	0000000000000000	3	47	029281a4	9
0004000000011040	0000000000000000	4	6	22988242	9
0004000000011042	0000000000000000	5	98	02988126	9
0004000000011048	0000000000000000	5	2	02909164	9
000400000001104a	0000000000000000	6	35	02908326	9
0004800000000000	0000000000000000	2	39	229e0006	9
0004800000013000	0000000000000000	5	32	229a0016	9
0004800010000000	0000000000000000	3	121	229c0016	9
0004800010013044	0000000000000000	8	2	22980246	9
0004800010013046	0000000000000000	9	58	22980096	9
0005080000000000	0000000000000000	3	3	22869088	9
0005080000000000	0000000000000001	4	3	02869188	9
0005080000014800	0000000000000000	6	2	228a120c	9
0005080000014800	0000000000000001	7	1	0282912c	9
0005080020800000	0000000000000000	5	10	22849188	9
0005080020814853	0000000000000000	12	1	2288120e	9
000508002081485b	0000000000000000	13	1	2280912c	9
00050c0000000000	0000000000000000	4	11	22868188	9
00050c0000000000	0000000000000001	5	4	0286812c	9
00050c0000014800	0000000000000000	7	1	228a020e	9
00050c0000014800	0000000000000001	8	1	02c2812c	9
00050c0020880000	0000000000000000	7	20	2284812c	9
00050c0020894853	0000000000000000	14	1	2288812c	9
00050c002089485b	0000000000000000	15	1	22c0812c	9
0007180061900000	0000000000000000	10	1	228c9280	9
0007180061b00000	0000000000000000	11	1	22cc9200	9
0007180061f00000	0000000000000000	12	1	22cc9100	9
00071c0000100000	0000000000000000	7	1	228e8280	9
00071c0000700000	0000000000000001	10	1	02c68124	9
00071c0061980000	0000000000000000	12	3	228c8282	9
00071c0061b80000	0000000000000000	13	5	228c8206	9
00071c0061b9d873	0000000000000000	23	2	22888324	9
00071c0061b9d87b	0000000000000000	24	1	22c08324	9
00071c0061d80000	0000000000000000	13	3	22cc8082	9
00071c0061f80000	0000000000000000	14	4	228c8124	9
00071c0061f9d873	0000000000000000	24	1	22c88124	9
000798007191f877	0000000000000000	24	1	22881286	9
0007980071b00000	0000000000000000	13	1	228c1206	9
00079c0071980000	0000000000000000	14	3	228c0286	9
00079c0071b80000	0000000000000000	15	1	228c0216	9
0008000000000000	0000000000000000	1	9	222e400a	9
0008000000000000	0000000000000002	2	16	022e408c	9
0008000000020000	0000000000000000	2	24	222a400e	9
0008000000020000	0000000000000002	3	34	022a500e	9
0008000080000000	0000000000000000	2	11	222e4006	9
0008000080000000	0000000000000002	3	22	022e5006	9
0008000080020080	0000000000000000	4	22	222a5006	9
0008000080020080	0000000000000002	5	45	022a5016	9
0008000100000000	0000000000000000	2	34	222c400e	9
0008000100020100	0000000000000000	4	55	2228408e	9
0008000180000000	0000000000000000	3	71	222c4016	9
0008000180020180	0000000000000000	6	87	22284286	9
0008400000000000	0000000000000000	2	12	2226500a	9
0008400000000000	0000000000000002	3	41	0226500e	9
0008400000020000	0000000000000000	3	31	2222500e	9
0008400000020000	0000000000000002	4	54	0222501e	9
0008400080000000	0000000000000000	3	10	22265044	9
0008400080000000	0000000000000002	4	29	02265064	9
0008400080020080	0000000000000000	5	17	222250a4	9
0008400080020080	0000000000000002	6	32	02225216	9
0008400108000000	0000000000000000	4	31	2224500e	9
0008400108020100	0000000000000000	6	34	2220508e	9
0008400188000000	0000000000000000	5	34	22245046	9
0008400188020180	0000000000000000	8	36	22205216	9
0009200000000000	0000000000000000	3	12	222e100a	9
0009200000000000	0000000000000003	5	38	022e100e	9
0009200000024000	0000000000000000	5	37	222a100e	9
0009200000024000	0000000000000003	7	53	022a101e	9
0009200124000000	0000000000000000	6	49	222c100e	9
0009200124024110	0000000000000000	10	15	2228104e	9
0009200124024112	0000000000000000	11	52	2228101e	9
0009240000000000	0000000000000000	4	13	222e000e	9
0009240000000000	0000000000000003	6	4	022e8888	9
0009240000024000	0000000000000000	6	1	222a020e	9
0009240000024000	0000000000000003	8	1	022a812c	9
0009240124080000	0000000000000000	8	11	222c808a	9
