a_hex	b_hex	cover	count	least_mask	least_rank
0000000000010000	0000000000000000	1	1365	1012832c	9
0000000000010040	0000000000000000	2	83	10989248	9
0000000000010042	0000000000000000	3	786	1018832c	9
0000000000010048	0000000000000000	3	75	1090816c	9
000000000001004a	0000000000000000	4	678	1010932c	9
0000000000011000	0000000000000000	2	502	105b9200	9
0000000000011040	0000000000000000	3	55	12589840	9
0000000000011042	0000000000000000	4	439	109881a4	9
0000000000011048	0000000000000000	4	64	12508164	9
000000000001104a	0000000000000000	5	401	10909126	9
0000000000013000	0000000000000000	3	361	10da1280	9
0000000000013044	0000000000000000	5	41	12981242	9
0000000000013046	0000000000000000	6	337	12181216	9
000000000001304c	0000000000000000	6	7	32901046	9
000000000001304e	0000000000000000	7	95	12901126	9
0000000000014800	0000000000000000	3	85	1282812c	9
0000000000014851	0000000000000000	6	1	3288024a	9
0000000000014853	0000000000000000	7	61	1288812c	9
000000000001485b	0000000000000000	8	66	1280812e	9
000000000001d800	0000000000000000	5	23	12c28124	9
000000000001d871	0000000000000000	9	2	32888242	9
000000000001d873	0000000000000000	10	39	12c88124	9
000000000001d87b	0000000000000000	11	52	12808326	9
000000000001f800	0000000000000000	6	11	328a0016	9
000000000001f875	0000000000000000	11	1	32880246	9
000000000001f877	0000000000000000	12	34	32880096	9
000000000001f87f	0000000000000000	13	1	32c01206	9
0000000000020000	0000000000000000	1	381	102250cc	9
0000000000020080	0000000000000000	2	262	102a50c4	9
0000000000020100	0000000000000000	2	568	102850cc	9
0000000000020180	0000000000000000	3	736	1060d124	9
0000000000024000	0000000000000000	2	216	1222101e	9
0000000000024110	0000000000000000	4	38	1228104e	9
0000000000024112	0000000000000000	5	118	1228101e	9
0000000000024118	0000000000000000	5	31	1220124e	9
000000000002411a	0000000000000000	6	85	1220121e	9
000000000002d080	0000000000000000	5	44	12229124	9
000000000002d1b0	0000000000000000	8	20	12289046	9
000000000002d1b2	0000000000000000	9	59	12289016	9
000000000002d1b8	0000000000000000	9	19	12209164	9
000000000002d1ba	0000000000000000	10	42	12209126	9
000000000002f080	0000000000000000	6	59	12221216	9
