LRC14 j6 two-survivor H4 child q3+B2 probe
totals=(2, 651, 412, 602, 602, 49, 4883, 165, 124, 2325, 0)
parent_rows=(((1, 3, 7, 8, 10, 11, 13), 18, Fraction(21237, 140140), Fraction(66259, 1331330), Fraction(282883, 18638620), Fraction(379, 14896), 1171, (17, 19, 21, 23, 25, 29, 34, 37, 38, 42, 46, 47, 53, 68, 75, 80, 84, 100, 104, 125, 130, 143, 156, 173, 216), 300, 225, 287, 287), ((1, 4, 9, 10, 12, 13, 14), 22, Fraction(4643, 25740), Fraction(29257, 504504), Fraction(48721, 2522520), Fraction(308729, 10090080), 1422, (16, 17, 19, 23, 24, 29, 32, 34, 38, 40, 43, 46, 48, 62, 69, 74, 75, 79, 86, 108, 115, 125, 130, 140, 156, 175, 182), 351, 187, 315, 315))
minimum=((1, 4, 9, 10, 12, 13, 14), 22, (19, 34), '-555503/37934820', '-59209/2408560', (16, 23))
failure_count=49
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(17, 25);top3=-49706357/7207615800;q3B2=-5013469/1932476700;Bmax=(19, 37);H2=(19, 23, 42, 84);heavy=((19, 23), (19, 42), (19, 84));ell=('23/2800', '23/2800', '43/9800');W=(17, 17, 32);checks=18;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(17, 29);top3=-899862829/108690846264;q3B2=-75012397/33625094580;Bmax=(19, 37);H2=(19, 23, 37, 42, 84);heavy=((19, 23), (19, 37), (19, 84), (23, 37));ell=('19/3248', '11/3857', '11/3528', '1/203');W=(24, 50, 45, 29);checks=75;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(19, 37);top3=-3799116707/257792391780;q3B2=-18087787/19048698900;Bmax=(17, 25);H2=(17, 25, 29, 46);heavy=((17, 25), (17, 29), (17, 46), (25, 29));ell=('11/4144', '11/3857', '113/23828', '30/7511');W=(53, 50, 30, 35);checks=95;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(19, 47);top3=-120997402907/12771174436020;q3B2=-74076095/167120585016;Bmax=(17, 37);H2=(17, 25, 29, 46);heavy=((17, 25),);ell=('41/8225',);W=(28,);checks=10;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(21, 37);top3=-580309/70271880;q3B2=-177749/70271880;Bmax=(17, 19);H2=(17, 19, 29, 34);heavy=((17, 19), (19, 29));ell=('9/1813', '30/7511');W=(28, 35);checks=27;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(23, 37);top3=-8321624347/693372639960;q3B2=-1574964427/693372639960;Bmax=(17, 19);H2=(17, 19, 29, 34);heavy=((17, 19), (17, 29), (19, 29), (19, 34));ell=('19/5957', '1/203', '30/7511', '1/272');W=(44, 29, 35, 38);checks=72;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(25, 37);top3=-1647517/93217800;q3B2=-304907/38383800;Bmax=(17, 19);H2=(17, 19, 34);heavy=((17, 19), (19, 34));ell=('11/4144', '4/1071');W=(53, 38);checks=53;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(25, 47);top3=-11132601/1075422040;q3B2=-95503/153631720;Bmax=(17, 19);H2=(17, 19, 23, 34);heavy=((17, 19), (17, 23));ell=('41/8225', '41/8225');W=(28, 28);checks=20;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(29, 37);top3=-5361139681/437126229540;q3B2=-1107810601/437126229540;Bmax=(17, 19);H2=(17, 19, 34, 38, 42);heavy=((17, 19), (17, 38), (17, 42), (19, 34), (19, 38), (19, 42), (34, 42));ell=('11/3857', '73/15428', '55/17052', '11/3857', '30/7511', '30/7511', '55/17052');W=(50, 30, 44, 50, 35, 35, 44);checks=161;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(37, 47);top3=-2225936623/143670858660;q3B2=-827989303/143670858660;Bmax=(17, 19);H2=(17, 19, 23, 29, 34, 46);heavy=((17, 19), (17, 23), (17, 29), (19, 29), (19, 46));ell=('5/703', '27/6580', '9/1232', '30/7511', '113/23828');W=(20, 34, 19, 35, 30);checks=55;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(37, 84);top3=-60826123/4803584940;q3B2=-14086243/4803584940;Bmax=(17, 19);H2=(17, 19, 29, 34);heavy=((17, 19), (17, 29), (19, 29));ell=('5/703', '139/34104', '30/7511');W=(20, 35, 35);checks=39;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(37, 100);top3=-1810376789/168125472900;q3B2=-219971131/84062736450;Bmax=(17, 19);H2=(17, 19, 29);heavy=((17, 19), (19, 29));ell=('199/51800', '1/377');W=(37, 53);checks=54;covers=()
FAIL E=(1, 3, 7, 8, 10, 11, 13);a=18;L=(37, 125);top3=-5110807679/666704461500;q3B2=-147530591/666704461500;Bmax=(17, 19);H2=(17, 19);heavy=((17, 19),);ell=('129/32375',);W=(35,);checks=18;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(16, 34);top3=-140789353/12493200720;q3B2=-3202427/5354228880;Bmax=(23, 38);H2=(23, 38, 46);heavy=((23, 38), (38, 46));ell=('5/1078', '5/1078');W=(30, 30);checks=27;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(16, 38);top3=-1395871/120126930;q3B2=-3241675/1070845776;Bmax=(23, 34);H2=(17, 23, 34);heavy=((17, 23), (23, 34));ell=('5/1078', '5/1078');W=(30, 30);checks=25;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 19);top3=-82211/4144140;q3B2=-89177353/12493200720;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (16, 32), (23, 32));ell=('5/1078', '5/1064', '1/252');W=(30, 30, 36);checks=40;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 29);top3=-1533878293/114411417120;q3B2=-192189889/57205708560;Bmax=(16, 46);H2=(16, 23, 32, 46);heavy=((16, 23), (16, 46), (23, 32), (32, 46));ell=('1/252', '1/322', '29/4928', '1/320');W=(36, 46, 24, 45);checks=78;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 34);top3=-22047439/1315073760;q3B2=-684416/123288165;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1078', '29/4928');W=(30, 24);checks=19;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 38);top3=-10070881/734894160;q3B2=-28682999/9369900540;Bmax=(16, 23);H2=(16, 23, 32, 48);heavy=((16, 23), (16, 32), (16, 48), (23, 32));ell=('5/1078', '1/152', '43/9044', '1/252');W=(30, 21, 30, 36);checks=48;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 108);top3=-11027827/986305320;q3B2=-19757887/5917831920;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('47/16632', '1/320');W=(50, 45);checks=59;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 125);top3=-980850659/98630532000;q3B2=-44563/43835792;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('1/252', '47/11200');W=(36, 34);checks=34;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 130);top3=-287813/17932824;q3B2=-153889/657536880;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (16, 32), (23, 32));ell=('5/1449', '17/3640', '87/29120');W=(41, 30, 47);checks=65;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(17, 182);top3=-34631/3659760;q3B2=-4387/16859920;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('27/7007', '173/40768');W=(37, 33);checks=34;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 29);top3=-35057653/3365041680;q3B2=-89561/186946760;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('1/252', '1/252');W=(36, 36);checks=34;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 34);top3=-59209/2408560;q3B2=-555503/37934820;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (16, 32), (23, 32));ell=('5/1078', '37/7616', '1/320');W=(30, 29, 45);checks=50;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 62);top3=-53293103/7194227040;q3B2=-35892863/7194227040;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1078', '5/1344');W=(30, 38);checks=32;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 74);top3=-1099753/94358880;q3B2=-69737/10484320;Bmax=(23, 32);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1078', '15/4928');W=(30, 46);checks=40;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 79);top3=-35574131/3055612560;q3B2=-2311871/1145854710;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('1/252', '1/252');W=(36, 36);checks=36;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 108);top3=-28943/1912680;q3B2=-118231/13388760;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1729', '1/320');W=(49, 45);checks=58;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 130);top3=-3284269/232071840;q3B2=-2197529/489929440;Bmax=(23, 32);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1449', '19/5460');W=(41, 41);checks=46;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 140);top3=-1286359/232071840;q3B2=-31623/12892880;Bmax=(23, 32);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('61/17640', '61/17640');W=(41, 41);checks=46;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(19, 182);top3=-2108149/232071840;q3B2=-789629/489929440;Bmax=(23, 32);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('27/7007', '15/4928');W=(37, 46);checks=47;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(23, 38);top3=-63228229/4409364960;q3B2=-529611/832880048;Bmax=(16, 34);H2=(16, 24, 32);heavy=((16, 32),);ell=('1/252',);W=(36,);checks=18;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(29, 34);top3=-532007561/38137139040;q3B2=-458873813/114411417120;Bmax=(16, 23);H2=(16, 23, 32, 46);heavy=((16, 23), (16, 46), (23, 32), (32, 46));ell=('9/2464', '11/2737', '29/4928', '11/2737');W=(39, 35, 24, 35);checks=62;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(29, 46);top3=-127940923/10401037920;q3B2=-1277291/305912880;Bmax=(16, 17);H2=(16, 17, 32);heavy=((16, 17), (17, 32));ell=('1/322', '1/320');W=(46, 45);checks=54;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 38);top3=-834767/39369330;q3B2=-24834347/2204682480;Bmax=(16, 23);H2=(16, 23, 32, 69);heavy=((16, 23), (16, 32), (16, 69), (23, 32), (32, 69));ell=('5/1078', '1/152', '19/4508', '1/320', '1/320');W=(30, 21, 33, 45, 45);checks=89;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 62);top3=-516878/109198089;q3B2=-3459193/1528773246;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1078', '15/4928');W=(30, 46);checks=41;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 74);top3=-14803/1758120;q3B2=-16943183/18246648420;Bmax=(23, 32);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1078', '29/4928');W=(30, 24);checks=21;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 79);top3=-3969962653/311672481120;q3B2=-970230203/311672481120;Bmax=(16, 23);H2=(16, 23, 32, 46);heavy=((16, 23), (16, 46), (23, 32), (32, 46));ell=('45/17696', '11/2737', '169/35392', '11/2737');W=(56, 35, 29, 35);checks=87;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 108);top3=-35326579/2958915960;q3B2=-16680809/2958915960;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('47/16632', '1/320');W=(50, 45);checks=59;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 125);top3=-415396321/32876844000;q3B2=-491329429/98630532000;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('19/5500', '47/11200');W=(41, 34);checks=39;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 130);top3=-297127/19925360;q3B2=-767495/197261064;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('5/1449', '87/29120');W=(41, 47);checks=52;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 156);top3=-615479/82192110;q3B2=-2391161/1972610640;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('23/5096', '107/24024');W=(31, 32);checks=29;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 175);top3=-559183/54794740;q3B2=-18725809/9863053200;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('9/2464', '223/53900');W=(39, 34);checks=37;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(34, 182);top3=-40301/3516240;q3B2=-16309/5274360;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('27/7007', '173/40768');W=(37, 33);checks=35;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(38, 108);top3=-355747/33745140;q3B2=-1568233/734894160;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('89/19656', '1/320');W=(31, 45);checks=41;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(38, 130);top3=-15149/1413258;q3B2=-26459/33918192;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('2/637', '19/5460');W=(45, 41);checks=50;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(62, 108);top3=-11588519/3083240160;q3B2=-28918913/21582681120;Bmax=(16, 23);H2=(16, 23, 32);heavy=((16, 23), (23, 32));ell=('47/16632', '47/16632');W=(50, 50);checks=66;covers=()
FAIL E=(1, 4, 9, 10, 12, 13, 14);a=22;L=(74, 130);top3=-1235711/195151320;q3B2=-1203373/2862219360;Bmax=(23, 32);H2=(16, 23, 32);heavy=((23, 32),);ell=('87/29120',);W=(47,);checks=30;covers=()
recursive_failure_count=0
canonical_ledger_sha256=e84b6f0472307458b85150c3f545a57e8b96cc2f15108d6138bb436484c5c988
scope=two marked first-apex branches;651 H4 children
all_exact_controls=PASS
