q96_lo,q96_hi,q100,q210,count8,count9,least8,least9,least8_tick96,least8_tick100,least8_tick210,least9_tick96,least9_tick100,least9_tick210
0000000000000000,0000000000000000,0000000000000000,0000000000000280,1,88,126c8040,02258341,-3248457414930,21158169546150,3190042674,-10316841216570,-3898284114060,55883897370
0000000000000000,0000000000000000,0000000000000000,00000000000002a0,0,8,-,12648842,-,-,-,-4924040394546,22244990801670,135419135670
0000000000000000,0000000000000000,0000000000000000,00000000000002c0,36,489,02288321,02218323,-8180177824602,6372217515888,1044692722080,-8679807407124,3807024677568,714068370666
0000000000000000,0000000000000000,0000000000000000,00000000000002e0,2,36,12658200,02618b20,-3579546623562,45088667442,987362663742,-12670938163044,-9796525075512,205829630118
0000000000000000,0000000000000000,0000000000000000,0000000000000300,18,346,02692201,02292213,-6353030256426,-17552676843072,149103054072,-7544266010946,-8517802858992,413654462172
0000000000000000,0000000000000000,0000000000000000,0000000000000320,6,98,0a632200,02632212,1511068939506,-16097029812990,1222658672130,-6167932013376,-12037631539878,1090177521174
0000000000000000,0000000000000000,0000000000000000,00000000000003c0,0,17,-,026d0203,-,-,-,-5326069725396,-2715611974740,172077414138
0000000000000000,0000000000000000,0000000000000000,0000000000000400,1565,15972,01152601,00372601,10238271513876,5279767454808,143911784016,7228090940490,-6235262969418,284404648374
0000000000000000,0000000000000000,0000000000000000,0000000000000401,0,21,-,08730203,-,-,-,9623015451378,-7193367402480,1603262739708
0000000000000000,0000000000000000,0000000000000000,0000000000000402,0,36,-,00712125,-,-,-,-853268468976,-12358460321424,98501019120
0000000000000000,0000000000000000,0000000000000000,0000000000000420,9,174,08732200,00722324,8493799953366,-27409783839102,879931742886,-1598917920768,-17351996030460,19822869360
0000000000000000,0000000000000000,0000000000000000,0000000000000421,0,6,-,08f30240,-,-,-,-113783272092,-19910642769360,142512259680
0000000000000000,0000000000000000,0000000000000000,0000000000000422,1,33,10752200,00712324,11872141246602,-7116635020950,1635818202018,-2480045263164,-24034416232554,222716028402
0000000000000000,0000000000000000,0000000000000000,0000000000000500,0,52,-,00e32640,-,-,-,-561958499970,-9987247672920,138157343226
0000000000000000,0000000000000000,0000000000000000,0000000000000502,0,2,-,10652205,-,-,-,12045432680190,-13651780647960,1033603595388
0000000000000000,0000000000000000,0000000000000000,0000000000000520,0,40,-,00e32242,-,-,-,-943394661090,-10940838075720,297885255444
0000000000000000,0000000000000000,0000000000000000,0000000000000522,0,5,-,00e12216,-,-,-,-1840626287766,-14221079687934,237771034704
0000000000000000,0000000000000000,0000000000000000,0000000000000700,0,14,-,08632203,-,-,-,12621100302594,-8496269599482,345921271920
0000000000000000,0000000000000000,0000000000000000,0000000000000702,0,4,-,10652203,-,-,-,14008165131870,-1578411451890,1148778166536
0000000000000000,0000000000000000,0000000000000000,0000000000000800,0,121,-,08b800c3,-,-,-,-671253540552,-4646587480794,882553605318
0000000000000000,0000000000000000,0000000000000000,0000000000000840,0,1,-,18ac0680,-,-,-,9351857060910,11419247959938,443512658862
0000000000000000,0000000000000000,0000000000000000,0000000000000c00,0,2,-,18f40401,-,-,-,15126098878800,17895343752468,2241571878
0000000000000000,0000000000000000,0000000000000000,0000000000001000,13,871,08384089,08104e89,5131033830468,-2659158262404,1058784115914,4688356199814,-1847356501284,149789296818
0000000000000000,0000000000000000,0000000000000000,0000000000001200,0,18,-,180d4209,-,-,-,22046199562296,22771095525360,612957875166
0000000000000000,0000000000000000,0000000000000000,0000000000001800,7,262,18340089,08380293,14013452520522,4935866277888,389857180986,-485088698934,-15020105376654,56373859962
0000000000000000,0000000000000000,0000000000000000,0000000000001803,0,2,-,18740281,-,-,-,14671700504370,-266741959302,1197078208326
0000000000000000,0000000000000000,0000000000000000,0000000000001840,0,2,-,182c0681,-,-,-,14191933146300,3855572223048,899882078004
0000000000000000,0000000000000000,0000000000000000,0000000000001a00,0,13,-,182c020b,-,-,-,18576412257312,24991827393078,344005963938
0000000000000000,0000000000000000,0000000000000000,0000000000001c00,0,1,-,18750401,-,-,-,16032010803354,7725669358680,80602296138
0000000000000000,0000000000000000,0000000000000000,0000000000002000,26,1989,002ac448,000ce44c,-3991634216766,18176944848678,311540269446,6760592633088,17507879394642,380758918680
0000000000000000,0000000000000000,0000000000000000,0000000000002020,1,49,1846200c,0842aa0c,21523276530756,12314350478430,171054729846,7519857923592,-11957480180100,1504444111758
0000000000000000,0000000000000000,0000000000000000,0000000000002022,0,1,-,1065a204,-,-,-,8052485931126,-8487470505150,1538261577216
0000000000000000,0000000000000000,0000000000000000,0000000000002100,1,98,184e2004,00692324,19383721120764,7933952372346,1001194584390,-3654925081290,-25520639617620,23055657282
0000000000000000,0000000000000000,0000000000000000,0000000000002140,0,1,-,182f0600,-,-,-,14292356146614,5047019028324,167500792368
0000000000000000,0000000000000000,0000000000000000,0000000000002200,27,807,082a6208,004ee208,9303444588690,-6195159416880,100573939746,7299932076108,13021869901572,35817783876
0000000000000000,0000000000000000,0000000000000000,0000000000002220,7,129,18432208,0843aa08,12806868035682,-19659289670622,182203639254,11959451339850,-9916935626052,3051528690798
0000000000000000,0000000000000000,0000000000000000,0000000000002222,0,7,-,1065a202,-,-,-,9451063379394,2175511182390,1592782046856
0000000000000000,0000000000000000,0000000000000000,0000000000002300,4,55,086b2200,006b2212,6894871654356,-20951050415022,441289752876,-523036562454,-13474778367330,329085263934
0000000000000000,0000000000000000,0000000000000000,0000000000002500,0,20,-,08632602,-,-,-,13216782934530,-4341958559442,1487520580266
0000000000000000,0000000000000000,0000000000000000,0000000000002520,0,16,-,08632206,-,-,-,7814395749636,-16560454574412,192409736904
0000000000000000,0000000000000000,0000000000000000,0000000000002522,0,2,-,10652206,-,-,-,10295860048110,-3291376692240,417343040478
0000000000000000,0000000000000000,0000000000000000,0000000000002720,1,22,18472200,08672202,22306510972746,-978554264688,1835472632994,14281843616712,-6640371153360,151357345902
0000000000000000,0000000000000000,0000000000000000,0000000000002722,0,3,-,18652202,-,-,-,17545232520270,681273782280,32314603230
0000000000000000,0000000000000000,0000000000000000,0000000000003000,0,4,-,08694448,-,-,-,7243802966232,27892504778796,293258183526
0000000000000000,0000000000000000,0000000000000000,0000000000003800,0,2,-,182d0608,-,-,-,17029113409854,29580874989120,783322325604
0000000000000000,0000000000000000,0000000000000000,0000000000004000,23,541,009a0289,008a009f,-180445897422,-7104859352640,1310567636448,-2868726085974,-452198505906,7136003826
0000000000000000,0000000000000000,0000000000000000,0000000000004004,8,226,00a20689,00a2038b,-1635702087978,3912673504950,1253268527364,-1792884093462,-3297423603600,679130915148
0000000000000000,0000000000000000,0000000000000000,0000000000004005,0,21,-,00b20293,-,-,-,-5397230997522,-19053658193220,676632769092
0000000000000000,0000000000000000,0000000000000000,000000000000400c,2,53,00920689,00820e8b,-809701568676,-731593262610,354358052244,-384978690432,-6651963363780,280175964642
0000000000000000,0000000000000000,0000000000000000,000000000000400d,0,2,-,10d20a81,-,-,-,-1418790374694,-23598701245980,838923166746
0000000000000000,0000000000000000,0000000000000000,0000000000004024,0,13,-,00b2012e,-,-,-,-3689598854970,-5639495950872,123719352624
0000000000000000,0000000000000000,0000000000000000,0000000000004040,0,17,-,00aa0496,-,-,-,-9535632257844,-2726917342506,40859036064
0000000000000000,0000000000000000,0000000000000000,0000000000004044,0,3,-,00a30683,-,-,-,-4729936161510,-13751084208960,273123594954
0000000000000000,0000000000000000,0000000000000000,0000000000004080,0,1,-,00aa02c3,-,-,-,-6119358181272,-7359405122790,1269549305262
0000000000000000,0000000000000000,0000000000000000,00000000000040c0,0,12,-,00aa0287,-,-,-,-6140441157732,-11583601929774,1373034700170
0000000000000000,0000000000000000,0000000000000000,0000000000004404,0,3,-,00f20550,-,-,-,-1625177046654,-1695615766236,523015811388
0000000000000000,0000000000000000,0000000000000000,0000000000004405,0,1,-,10f30201,-,-,-,-2194718414490,-20157680304720,144708780006
0000000000000000,0000000000000000,0000000000000000,0000000000004800,90,1151,00a8028b,00880e8b,-7572356444016,-15920979393564,51644526192,-891555658434,-663973104564,762564822264
0000000000000000,0000000000000000,0000000000000000,0000000000004804,31,461,00b0048b,00a0068f,-6189102197334,-5331481829604,159476107770,-4849258991598,-1265293954764,285443056710
0000000000000000,0000000000000000,0000000000000000,0000000000004807,1,40,00f00283,00b003a5,-4431452182794,-16536950407404,47453661990,-4209986521062,-20928771281754,1080589909770
0000000000000000,0000000000000000,0000000000000000,000000000000480c,6,161,10840689,009003ad,4812910720254,7836086710998,865164160224,-2473658851482,-12616469019504,877366134540
0000000000000000,0000000000000000,0000000000000000,000000000000480f,0,6,-,00d10a83,-,-,-,-927765068706,-27415527938064,476218236060
0000000000000000,0000000000000000,0000000000000000,0000000000004824,0,10,-,00b0032e,-,-,-,-3653278873398,-3340625463504,328436655624
0000000000000000,0000000000000000,0000000000000000,0000000000004840,0,33,-,00a80687,-,-,-,-303832692324,28042881930,1813075524162
0000000000000000,0000000000000000,0000000000000000,0000000000004844,0,10,-,00a50683,-,-,-,-2591350893936,-11001250583442,222953834502
0000000000000000,0000000000000000,0000000000000000,000000000000484c,0,1,-,10c50681,-,-,-,7872955383384,-2603396954340,784766822112
0000000000000000,0000000000000000,0000000000000000,0000000000004880,0,5,-,00a902c3,-,-,-,-10017861098868,-23762674151244,405513956988
0000000000000000,0000000000000000,0000000000000000,00000000000048c0,0,32,-,00a80297,-,-,-,-7579470626280,-16687405957320,348929449848
0000000000000000,0000000000000000,0000000000000000,00000000000048c7,0,3,-,00e10a83,-,-,-,-6133761714906,-34975183806234,25442505774
0000000000000000,0000000000000000,0000000000000000,0000000000004900,0,2,-,10ad0640,-,-,-,4120547481414,7452974954880,108154730502
0000000000000000,0000000000000000,0000000000000000,0000000000004940,0,1,-,10ad0601,-,-,-,8178797398590,4845291051510,960916079214
0000000000000000,0000000000000000,0000000000000000,00000000000049c0,0,1,-,10ed0201,-,-,-,7184167923114,-3369515328270,1149518861946
0000000000000000,0000000000000000,0000000000000000,0000000000004c04,0,20,-,00f00750,-,-,-,-1877977203606,-1585353078288,369187071624
0000000000000000,0000000000000000,0000000000000000,0000000000004c07,0,12,-,00f00325,-,-,-,-1619947475370,-4469040441054,271371599226
0000000000000000,0000000000000000,0000000000000000,0000000000004d04,0,1,-,10e50640,-,-,-,5047719736878,11328023610540,1112294951586
0000000000000000,0000000000000000,0000000000000000,0000000000008000,68,1155,000a4689,000a429d,2535029649054,9172139422950,257407362576,-155442224322,-9543181992624,630675034038
0000000000000000,0000000000000000,0000000000000000,0000000000008010,49,911,00124689,00024e8d,982228311288,2982339188640,313290289494,93477997368,-9784466620110,46588763214
0000000000000000,0000000000000000,0000000000000000,0000000000008200,1,18,102e4009,002b4a09,14224954235310,27932806514340,1027555884810,-36751826160,-8263494671040,12129751620
0000000000000000,0000000000000000,0000000000000000,0000000000008210,0,10,-,10264249,-,-,-,13523316416064,30101099635152,1179387457794
0000000000000000,0000000000000000,0000000000000000,0000000000009000,201,2399,0018428d,00084ec9,-3139733822526,-21075957599130,480832371936,-1282034521026,-8199684357354,136289882484
0000000000000000,0000000000000000,0000000000000000,0000000000009010,96,1509,003044c9,001043ad,-4521208435506,-2692178260884,411204676554,-1936826463726,-12040280298774,581864250114
0000000000000000,0000000000000000,0000000000000000,0000000000009200,4,35,102c4049,00694a09,10255090781754,20706009197328,12267517626,-337268793204,-12066970241214,533855033460
0000000000000000,0000000000000000,0000000000000000,0000000000009210,0,16,-,1025420b,-,-,-,13372240419720,22868955787860,785044625274
0000000000000000,0000000000000000,0000000000000000,000000000000a000,0,7,-,006a444c,-,-,-,-462381231816,20219453511264,437125091382
0000000000000000,0000000000000000,0000000000000000,000000000000a010,0,3,-,00634648,-,-,-,-5728274425314,3517541924400,358681554126
0000000000000000,0000000000000000,0000000000000000,000000000000b000,0,10,-,00684558,-,-,-,-571128570432,17306818304832,117275755590
0000000000000000,0000000000000000,0000000000000000,000000000000b010,0,5,-,10254648,-,-,-,3670355094588,14808968696340,431164951308
0000000000000000,0000000000000000,0000000000000000,000000000000c000,33,509,002a028b,000b0a8b,-2965538158002,-5346626878530,545212895220,-774426513168,-19431356863590,630970151112
0000000000000000,0000000000000000,0000000000000000,000000000000c014,10,181,00220e89,0022029f,-1977182912628,-13209144617970,458962007364,-2837284195032,-2785690706400,32644371564
0000000000000000,0000000000000000,0000000000000000,000000000000c015,0,22,-,003203a5,-,-,-,-4556200143852,-27496601760600,109941960744
0000000000000000,0000000000000000,0000000000000000,000000000000c01c,5,64,10060689,1006068b,9009658086156,15328347970572,291473367822,10365863432652,21864497380362,585229506498
0000000000000000,0000000000000000,0000000000000000,000000000000c01d,0,3,-,10560a81,-,-,-,10941016706802,-1074887026668,2302965800226
0000000000000000,0000000000000000,0000000000000000,000000000000c034,0,3,-,1032032c,-,-,-,-2615492997432,-16588315416960,160326387018
0000000000000000,0000000000000000,0000000000000000,000000000000c040,0,3,-,002b0683,-,-,-,-4072010881806,-11223839123280,327565030590
0000000000000000,0000000000000000,0000000000000000,000000000000c054,0,1,-,10270681,-,-,-,7677724887378,-6249547971576,1489129148052
0000000000000000,0000000000000000,0000000000000000,000000000000c0c0,0,6,-,002a0297,-,-,-,-8493581109258,-14834677556034,478174537008
0000000000000000,0000000000000000,0000000000000000,000000000000c414,0,4,-,10370601,-,-,-,10123516800306,-445657116996,1254607721640
0000000000000000,0000000000000000,0000000000000000,000000000000c415,0,4,-,10770005,-,-,-,8151738811398,-9081626349978,216258986034
0000000000000000,0000000000000000,0000000000000000,000000000000d800,81,899,0028068b,001800bf,-4677931809432,-802346229594,34764917040,-458643521448,-2235857783040,1223464866246
0000000000000000,0000000000000000,0000000000000000,000000000000d814,44,391,00300e89,00210e8b,-4276652540580,-21011023142424,476874368964,-6460162277940,-19876867052994,131720561784
0000000000000000,0000000000000000,0000000000000000,000000000000d817,3,36,00710a81,00300ba5,-1190815057908,-37956651671484,1126666154124,-6416069690268,-30922500331044,5224409946
0000000000000000,0000000000000000,0000000000000000,000000000000d81c,10,111,10140689,005005d9,9387530917128,12015453244158,2126409041484,-195571166490,-2374007781978,775952190594
0000000000000000,0000000000000000,0000000000000000,000000000000d81f,0,3,-,10540a85,-,-,-,6919934487102,-18811783741842,350911860390
0000000000000000,0000000000000000,0000000000000000,000000000000d840,0,11,-,002d0683,-,-,-,-1348137759528,-7010785861002,704637576594
0000000000000000,0000000000000000,0000000000000000,000000000000d854,0,3,-,10250683,-,-,-,3662406393282,-7648913096370,1175755164948
0000000000000000,0000000000000000,0000000000000000,000000000000d85c,0,1,-,10450e81,-,-,-,8062585095474,-17485386249240,31190091660
0000000000000000,0000000000000000,0000000000000000,000000000000d8c0,0,7,-,00690a83,-,-,-,-4624459674786,-29974600948194,1565235153846
0000000000000000,0000000000000000,0000000000000000,000000000000d8d7,0,1,-,10650a81,-,-,-,6919193128302,-25860413083050,1536599760696
0000000000000000,0000000000000000,0000000000000000,000000000000d940,0,1,-,106d0601,-,-,-,11827540372284,5826792035610,463772553426
0000000000000000,0000000000000000,0000000000000000,000000000000da00,0,1,-,10690a09,-,-,-,-413078358798,-16946186470794,76849390044
0000000000000000,0000000000000000,0000000000000000,000000000000da14,1,2,10650209,10650229,7919197763022,-3863941115580,12773413926,7919197763022,-3863941115580,12773413926
0000000000000000,0000000000000000,0000000000000000,000000000000dc14,0,10,-,10740603,-,-,-,12826803204306,16434288710658,595711576278
0000000000000000,0000000000000000,0000000000000000,000000000000dc17,1,11,10750201,00710325,8965600398846,-6795009789750,924712382412,-2762431168644,-16543208199294,201829972554
0000000000000000,0000000000000000,0000000000000000,000000000000e000,0,1,-,106b0608,-,-,-,-504819170352,5790164579640,588617487234
0000000000000000,0000000000000000,0000000000000000,000000000000f800,0,2,-,102d0648,-,-,-,5534931944178,17444351630160,102846403296
0000000000000000,0000000000000000,0000000000000000,000000000000f814,0,1,-,10650648,-,-,-,4062062924010,13794484665780,792577135350
0000000000000000,0000000000000000,0000000000000001,0000000000000000,192,3532,04510a88,044f0288,18395523849528,6961230748584,6497020547640,8542560568122,2073772211742,6493381242642
0000000000000000,0000000000000000,0000000000000001,0000000000000020,1,25,18760008,1856080a,16379241068736,4156049160900,290247290424,16918256854044,1619789715180,117743895360
0000000000000000,0000000000000000,0000000000000001,0000000000002200,0,1,-,186e0808,-,-,-,19083265655454,15271021018890,1563287527620
0000000000000000,0000000000000000,0000000000000002,0000000000000000,1395,13654,00dc9010,001c9096,-8618103709236,757058550696,-1259134363620,-9433010261934,3680768868210,1336722684444
0000000000000000,0000000000000000,0000000000000002,0000000000000001,0,14,-,08d68880,-,-,-,-1087316929314,822282146910,318858780870
0000000000000000,0000000000000000,0000000000000002,0000000000000003,0,8,-,109481a4,-,-,-,-911792509992,9669811077108,2371950997416
0000000000000000,0000000000000000,0000000000000002,0000000000000021,0,10,-,10d68240,-,-,-,-3572222732442,8485679940192,11944166598
0000000000000000,0000000000000000,0000000000000002,0000000000000023,0,3,-,10958124,-,-,-,-1187266134600,3500040300120,876433387284
0000000000000000,0000000000000000,0000000000000003,0000000000000000,56,876,04550a80,04510a86,10722575280942,4148995287528,2887725173382,8253623282688,1526489554716,3346121932524
0000000000000000,0000000000000000,0000000000000004,0000000000000000,523,7318,04112a88,0407228a,15529724714196,11519909529534,5974729990740,3946794261606,877281202602,4592902601448
0000000000000000,0000000000000000,0000000000000004,0000000000000020,1,25,18362008,08a2224a,21383502174216,8773021415340,2162974531536,7419077440488,648136666800,1075654020294
0000000000000000,0000000000000000,0000000000000004,0000000000000100,0,2,-,08aa2242,-,-,-,8772137473554,9074727639180,2628083687292
0000000000000000,0000000000000000,0000000000000004,0000000000000420,0,3,-,18b62002,-,-,-,14154860121948,3140358170040,775433116458
0000000000000000,0000000000000000,0000000000000004,0000000000002000,0,4,-,082a201e,-,-,-,8105286324744,3963816267894,2213969024610
0000000000000000,0000000000000000,0000000000000004,0000000000002020,0,1,-,1826202c,-,-,-,15735884711274,3491798924250,502570691532
0000000000000000,0000000000000000,0000000000000004,0000000000002100,0,2,-,082e2016,-,-,-,6279089070618,1843956118116,595975604364
0000000000000000,0000000000000000,0000000000000004,0000000000002200,0,11,-,082e220a,-,-,-,11791280085606,3148159223412,255226637232
0000000000000000,0000000000000000,0000000000000004,0000000000002220,0,3,-,1826220a,-,-,-,17622178944552,5423768473032,129323177802
0000000000000000,0000000000000000,0000000000000005,0000000000000000,317,4731,04130a88,04110a8e,14773839767568,6693667023708,5825420635230,10071862835832,5177045679624,2246679914220
0000000000000000,0000000000000000,0000000000000005,0000000000000020,1,31,18360048,1836000e,13380928856568,366249027690,19015705800,18198009600498,5963077419390,1497569673600
0000000000000000,0000000000000000,0000000000000005,0000000000002200,0,2,-,182e0848,-,-,-,17233813483614,14353370986500,734276068344
