q	r	grid	cells	atoms	active_base	active_base_fnv	active_joint	active_nonjoint	inactive_joint	inactive_joint_fnv	active_additions	addition_activity_fnv	exposed	exposed_fnv	stage0_cut0_fail	stage0_failure_fnv	stage1_cut1_fail	stage1_failure_fnv	stage2_cut2_fail	stage2_failure_fnv	stage3_cut11_fail	stage3_failure_fnv	stage4_cut42_fail	stage4_failure_fnv	stage5_cut45_fail	stage5_failure_fnv
282	650	4286672462872800	8917	2270	7135	d6e2aacb7f46880d	414	6721	7	151a1724039eb4fa	42	87ce46b89bb0252	117	cf51ae87eb749a2e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
288	648	328340869496640	8989	2266	8740	86443b8d5515481	420	8320	1	6462953b81f04766	45	4033be2dba6d9699	7	45a2aa4e74bae208	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
288	650	182411594164800	8941	2283	8102	8690a06128ac91d4	420	7682	1	6462953b81f04766	44	92f10edc8f12e66e	7	45a2aa4e74bae208	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	645	5490588984360480	8981	2314	8283	1703744b921eed28	420	7863	1	db191b34e88d27c8	45	d5d9a1b7020949a0	11	18d3133a8d4aeb9d	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	646	127688115915360	8945	2347	7667	32815d85be9ccbe4	417	7250	4	ce32890138a5c9dd	45	797bc5f2f6bc69e0	26	3e9939603f954497	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	647	82614210997237920	9013	2365	7451	1750d246f019a23c	415	7036	6	7e098472f05819a3	45	18ce15ae9045d188	75	4edc53c52a70fc4a	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	648	1149193043238240	9001	2354	5607	20539e60156f063c	387	5220	34	fe1c1831bc91a8e4	43	1fb1efa7e4849287	767	13e9674d577682a9	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	649	7533598839006240	9017	2362	8324	3bcb8e01d34fa5ca	420	7904	1	5fdc08c5794f3a2c	45	e37a9d9eeb41e9e8	4	8250782ec2aeee0e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	650	638440579576800	8953	2359	6043	520b036f2d14eff9	390	5653	31	66426447b152a5b4	45	39d408665c5f997	947	4afbefb7c6802044	2	39ed3bd5b7f41151	2	39ed3bd5b7f41151	2	39ed3bd5b7f41151	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	651	3958331593376160	8981	2337	8208	65f6a2470ec57bc4	420	7788	1	5fdc08c5794f3a2c	45	57c89117d9844c07	4	8250782ec2aeee0e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
