# THM-3245 z219 residual-mask evidence
# Fields: RECORD, atlas index, six-body tuple, canonical residual denominator bank.
# Each bank is checked against the per-body count/SHA256 frozen by promoted THM-3230.
RECORD	2	(1, 5, 7, 9, 12, 13)	((117, 1960, 25480, 76440), (234, 1960, 25480, 76440), (468, 1960, 25480, 76440), (585, 1960, 25480, 76440), (819, 1960, 25480, 76440), (936, 1960, 25480, 76440), (1170, 1960, 25480, 76440), (1638, 1960, 25480, 76440), (1960, 2340, 25480, 76440), (1960, 3276, 25480, 76440), (1960, 4095, 25480, 76440), (1960, 4680, 25480, 76440), (1960, 5733, 25480, 76440), (1960, 6552, 25480, 76440), (1960, 8190, 25480, 76440), (1960, 11466, 25480, 76440), (1960, 16380, 25480, 76440), (1960, 22932, 25480, 76440), (1960, 25480, 28665, 76440), (1960, 25480, 32760, 76440), (1960, 25480, 45864, 76440), (1960, 25480, 57330, 76440), (1960, 25480, 76440, 114660), (1960, 25480, 76440, 229320))
RECORD	3	(1, 5, 7, 11, 12, 13)	((195, 2695, 15288, 280280), (390, 2695, 15288, 280280), (429, 2695, 15288, 280280), (520, 2695, 15288, 280280), (780, 2695, 15288, 280280), (858, 2695, 15288, 280280), (1144, 2695, 15288, 280280), (1365, 2695, 15288, 280280), (1560, 2695, 15288, 280280), (1716, 2695, 15288, 280280), (2145, 2695, 15288, 280280), (2695, 2730, 15288, 280280), (2695, 3003, 15288, 280280), (2695, 3432, 15288, 280280), (2695, 3640, 15288, 280280), (2695, 4290, 15288, 280280), (2695, 5460, 15288, 280280), (2695, 5720, 15288, 280280), (2695, 6006, 15288, 280280), (2695, 8008, 15288, 280280), (2695, 8580, 15288, 280280), (2695, 9555, 15288, 280280), (2695, 10920, 15288, 280280), (2695, 12012, 15288, 280280), (2695, 15015, 15288, 280280), (2695, 15288, 17160, 280280), (2695, 15288, 19110, 280280), (2695, 15288, 21021, 280280), (2695, 15288, 24024, 280280), (2695, 15288, 25480, 280280), (2695, 15288, 30030, 280280), (2695, 15288, 38220, 280280), (2695, 15288, 40040, 280280), (2695, 15288, 42042, 280280), (2695, 15288, 56056, 280280), (2695, 15288, 60060, 280280), (2695, 15288, 76440, 280280), (2695, 15288, 84084, 280280), (2695, 15288, 105105, 280280), (2695, 15288, 120120, 280280), (2695, 15288, 168168, 280280), (2695, 15288, 210210, 280280), (2695, 15288, 280280, 280280), (2695, 15288, 280280, 420420), (2695, 15288, 280280, 840840))
RECORD	4	(1, 5, 9, 11, 12, 14)	((9, 4312, 10780, 64680), (9, 10780, 21560, 64680), (18, 4312, 10780, 64680), (18, 10780, 21560, 64680), (36, 4312, 10780, 64680), (36, 10780, 21560, 64680), (45, 4312, 10780, 64680), (45, 10780, 21560, 64680), (63, 4312, 10780, 64680), (63, 10780, 21560, 64680), (90, 4312, 10780, 64680), (90, 10780, 21560, 64680), (99, 4312, 10780, 64680), (99, 10780, 21560, 64680), (126, 4312, 10780, 64680), (126, 10780, 21560, 64680), (180, 4312, 10780, 64680), (180, 10780, 21560, 64680), (198, 4312, 10780, 64680), (198, 10780, 21560, 64680), (252, 4312, 10780, 64680), (252, 10780, 21560, 64680), (315, 4312, 10780, 64680), (315, 10780, 21560, 64680), (396, 4312, 10780, 64680), (396, 10780, 21560, 64680), (495, 4312, 10780, 64680), (495, 10780, 21560, 64680), (630, 4312, 10780, 64680), (630, 10780, 21560, 64680), (693, 4312, 10780, 64680), (693, 10780, 21560, 64680), (990, 4312, 10780, 64680), (990, 10780, 21560, 64680), (1260, 4312, 10780, 64680), (1260, 10780, 21560, 64680), (1386, 4312, 10780, 64680), (1386, 10780, 21560, 64680), (1980, 4312, 10780, 64680), (1980, 10780, 21560, 64680), (2772, 4312, 10780, 64680), (2772, 10780, 21560, 64680), (3465, 4312, 10780, 64680), (3465, 10780, 21560, 64680), (4312, 6930, 10780, 64680), (4312, 10780, 13860, 64680), (6930, 10780, 21560, 64680), (10780, 13860, 21560, 64680))
RECORD	6	(1, 7, 9, 11, 12, 13)	((117, 4312, 56056, 168168), (234, 4312, 56056, 168168), (468, 4312, 56056, 168168), (819, 4312, 56056, 168168), (936, 4312, 56056, 168168), (1287, 4312, 56056, 168168), (1638, 4312, 56056, 168168), (2574, 4312, 56056, 168168), (3276, 4312, 56056, 168168), (4312, 5148, 56056, 168168), (4312, 5733, 56056, 168168), (4312, 6552, 56056, 168168), (4312, 9009, 56056, 168168), (4312, 10296, 56056, 168168), (4312, 11466, 56056, 168168), (4312, 18018, 56056, 168168), (4312, 22932, 56056, 168168), (4312, 36036, 56056, 168168), (4312, 45864, 56056, 168168), (4312, 56056, 63063, 168168), (4312, 56056, 72072, 168168), (4312, 56056, 126126, 168168), (4312, 56056, 168168, 252252), (4312, 56056, 168168, 504504))
RECORD	7	(1, 8, 10, 12, 13, 14)	((208, 490, 7644, 50960), (490, 520, 7644, 50960), (490, 624, 7644, 50960), (490, 1040, 7644, 50960), (490, 1365, 15288, 50960), (490, 1456, 7644, 50960), (490, 1560, 7644, 50960), (490, 2730, 15288, 50960), (490, 3120, 7644, 50960), (490, 3640, 7644, 50960), (490, 3640, 15288, 50960), (490, 4368, 7644, 50960), (490, 5460, 15288, 50960), (490, 7280, 7644, 50960), (490, 7644, 10920, 50960), (490, 7644, 21840, 50960), (490, 10920, 15288, 50960), (490, 15288, 21840, 50960))
RECORD	8	(1, 9, 10, 11, 12, 14)	((2, 9702, 10780, 64680), (3, 9702, 10780, 64680), (4, 9702, 10780, 64680), (8, 9702, 10780, 64680), (12, 9702, 10780, 64680), (15, 9702, 10780, 64680), (24, 9702, 10780, 64680), (30, 9702, 10780, 64680), (36, 9702, 10780, 64680), (40, 9702, 10780, 64680), (45, 9702, 10780, 64680), (56, 9702, 10780, 64680), (60, 9702, 10780, 64680), (72, 9702, 10780, 64680), (84, 9702, 10780, 64680), (88, 9702, 10780, 64680), (90, 9702, 10780, 64680), (105, 9702, 10780, 64680), (120, 9702, 10780, 64680), (132, 9702, 10780, 64680), (165, 9702, 10780, 64680), (168, 9702, 10780, 64680), (180, 9702, 10780, 64680), (210, 9702, 10780, 64680), (252, 9702, 10780, 64680), (264, 9702, 10780, 64680), (280, 9702, 10780, 64680), (315, 9702, 10780, 64680), (330, 9702, 10780, 64680), (360, 9702, 10780, 64680), (396, 9702, 10780, 64680), (420, 9702, 10780, 64680), (440, 9702, 10780, 64680), (495, 9702, 10780, 64680), (504, 9702, 10780, 64680), (616, 9702, 10780, 64680), (630, 9702, 10780, 64680), (660, 9702, 10780, 64680), (792, 9702, 10780, 64680), (840, 9702, 10780, 64680), (924, 9702, 10780, 64680), (990, 9702, 10780, 64680), (1155, 9702, 10780, 64680), (1260, 9702, 10780, 64680), (1320, 9702, 10780, 64680), (1848, 9702, 10780, 64680), (1980, 9702, 10780, 64680), (2310, 9702, 10780, 64680), (2520, 9702, 10780, 64680), (2772, 9702, 10780, 64680), (3080, 9702, 10780, 64680), (3465, 9702, 10780, 64680), (3960, 9702, 10780, 64680), (4620, 9702, 10780, 64680), (5544, 9702, 10780, 64680), (6930, 9702, 10780, 64680), (9240, 9702, 10780, 64680), (9702, 10780, 13860, 64680), (9702, 10780, 27720, 64680))
RECORD	9	(2, 5, 7, 9, 11, 13)	((2, 10780, 22932, 420420), (65, 10780, 22932, 420420), (130, 10780, 22932, 420420), (143, 10780, 22932, 420420), (195, 10780, 22932, 420420), (260, 10780, 22932, 420420), (286, 10780, 22932, 420420), (390, 10780, 22932, 420420), (429, 10780, 22932, 420420), (455, 10780, 22932, 420420), (468, 10780, 22932, 420420), (572, 10780, 22932, 420420), (585, 10780, 22932, 420420), (715, 10780, 22932, 420420), (780, 10780, 22932, 420420), (858, 10780, 22932, 420420), (910, 10780, 22932, 420420), (1001, 10780, 22932, 420420), (1170, 10780, 22932, 420420), (1287, 10780, 22932, 420420), (1365, 10780, 22932, 420420), (1430, 10780, 22932, 420420), (1716, 10780, 22932, 420420), (1820, 10780, 22932, 420420), (2002, 10780, 22932, 420420), (2145, 10780, 22932, 420420), (2340, 10780, 22932, 420420), (2574, 10780, 22932, 420420), (2730, 10780, 22932, 420420), (2860, 10780, 22932, 420420), (3003, 10780, 22932, 420420), (3185, 10780, 22932, 420420), (3276, 10780, 22932, 420420), (4004, 10780, 22932, 420420), (4095, 10780, 22932, 420420), (4290, 10780, 22932, 420420), (5005, 10780, 22932, 420420), (5148, 10780, 22932, 420420), (5460, 10780, 22932, 420420), (6006, 10780, 22932, 420420), (6370, 10780, 22932, 420420), (6435, 10780, 22932, 420420), (7007, 10780, 22932, 420420), (8190, 10780, 22932, 420420), (8580, 10780, 22932, 420420), (9009, 10780, 22932, 420420), (9555, 10780, 22932, 420420), (10010, 10780, 22932, 420420), (10780, 12012, 22932, 420420), (10780, 12740, 22932, 420420), (10780, 12870, 22932, 420420), (10780, 14014, 22932, 420420), (10780, 15015, 22932, 420420), (10780, 16380, 22932, 420420), (10780, 18018, 22932, 420420), (10780, 19110, 22932, 420420), (10780, 20020, 22932, 420420), (10780, 21021, 22932, 420420), (10780, 22932, 22932, 420420), (10780, 22932, 25740, 420420), (10780, 22932, 28028, 420420), (10780, 22932, 28665, 420420), (10780, 22932, 30030, 420420), (10780, 22932, 35035, 420420), (10780, 22932, 36036, 420420), (10780, 22932, 38220, 420420), (10780, 22932, 42042, 420420), (10780, 22932, 45045, 420420), (10780, 22932, 57330, 420420), (10780, 22932, 60060, 420420), (10780, 22932, 63063, 420420), (10780, 22932, 70070, 420420), (10780, 22932, 84084, 420420), (10780, 22932, 90090, 420420), (10780, 22932, 105105, 420420), (10780, 22932, 114660, 420420), (10780, 22932, 126126, 420420), (10780, 22932, 140140, 420420), (10780, 22932, 180180, 420420), (10780, 22932, 210210, 420420), (10780, 22932, 252252, 420420), (10780, 22932, 315315, 420420), (10780, 22932, 420420, 420420), (10780, 22932, 420420, 630630), (10780, 22932, 420420, 1261260))
RECORD	11	(2, 5, 9, 11, 12, 14)	((9, 10780, 21560, 64680), (18, 10780, 21560, 64680), (36, 10780, 21560, 64680), (45, 10780, 21560, 64680), (63, 10780, 21560, 64680), (90, 10780, 21560, 64680), (99, 10780, 21560, 64680), (126, 10780, 21560, 64680), (180, 10780, 21560, 64680), (198, 10780, 21560, 64680), (252, 10780, 21560, 64680), (315, 10780, 21560, 64680), (396, 10780, 21560, 64680), (495, 10780, 21560, 64680), (630, 10780, 21560, 64680), (693, 10780, 21560, 64680), (990, 10780, 21560, 64680), (1260, 10780, 21560, 64680), (1386, 10780, 21560, 64680), (1980, 10780, 21560, 64680), (2772, 10780, 21560, 64680), (3465, 10780, 21560, 64680), (6930, 10780, 21560, 64680), (10780, 13860, 21560, 64680))
RECORD	12	(2, 5, 9, 11, 13, 14)	((2, 22932, 140140, 420420), (5, 22932, 140140, 420420), (10, 22932, 140140, 420420), (11, 22932, 140140, 420420), (15, 22932, 140140, 420420), (22, 22932, 140140, 420420), (30, 22932, 140140, 420420), (33, 22932, 140140, 420420), (44, 22932, 140140, 420420), (55, 22932, 140140, 420420), (66, 22932, 140140, 420420), (77, 22932, 140140, 420420), (99, 22932, 140140, 420420), (110, 22932, 140140, 420420), (132, 22932, 140140, 420420), (143, 22932, 140140, 420420), (154, 22932, 140140, 420420), (165, 22932, 140140, 420420), (198, 22932, 140140, 420420), (220, 22932, 140140, 420420), (231, 22932, 140140, 420420), (286, 22932, 140140, 420420), (308, 22932, 140140, 420420), (330, 22932, 140140, 420420), (385, 22932, 140140, 420420), (396, 22932, 140140, 420420), (429, 22932, 140140, 420420), (462, 22932, 140140, 420420), (495, 22932, 140140, 420420), (572, 22932, 140140, 420420), (660, 22932, 140140, 420420), (693, 22932, 140140, 420420), (715, 22932, 140140, 420420), (770, 22932, 140140, 420420), (858, 22932, 140140, 420420), (924, 22932, 140140, 420420), (990, 22932, 140140, 420420), (1001, 22932, 140140, 420420), (1155, 22932, 140140, 420420), (1287, 22932, 140140, 420420), (1386, 22932, 140140, 420420), (1430, 22932, 140140, 420420), (1540, 22932, 140140, 420420), (1716, 22932, 140140, 420420), (1980, 22932, 140140, 420420), (2002, 22932, 140140, 420420), (2145, 22932, 140140, 420420), (2310, 22932, 140140, 420420), (2574, 22932, 140140, 420420), (2772, 22932, 140140, 420420), (2860, 22932, 140140, 420420), (3003, 22932, 140140, 420420), (3465, 22932, 140140, 420420), (4004, 22932, 140140, 420420), (4290, 22932, 140140, 420420), (4620, 22932, 140140, 420420), (5005, 22932, 140140, 420420), (5148, 22932, 140140, 420420), (6006, 22932, 140140, 420420), (6435, 22932, 140140, 420420), (6930, 22932, 140140, 420420), (8580, 22932, 140140, 420420), (9009, 22932, 140140, 420420), (10010, 22932, 140140, 420420), (12012, 22932, 140140, 420420), (12870, 22932, 140140, 420420), (13860, 22932, 140140, 420420), (15015, 22932, 140140, 420420), (18018, 22932, 140140, 420420), (20020, 22932, 140140, 420420), (22932, 25740, 140140, 420420), (22932, 30030, 140140, 420420), (22932, 36036, 140140, 420420), (22932, 45045, 140140, 420420), (22932, 60060, 140140, 420420), (22932, 90090, 140140, 420420), (22932, 140140, 180180, 420420))
RECORD	13	(2, 5, 9, 12, 13, 14)	((441, 1820, 25480, 76440), (819, 1960, 25480, 76440), (882, 1820, 25480, 76440), (1638, 1960, 25480, 76440), (1764, 1820, 25480, 76440), (1820, 2205, 25480, 76440), (1820, 4410, 25480, 76440), (1820, 5733, 25480, 76440), (1820, 8820, 25480, 76440), (1820, 11466, 25480, 76440), (1820, 22932, 25480, 76440), (1820, 25480, 28665, 76440), (1820, 25480, 57330, 76440), (1820, 25480, 76440, 114660), (1960, 3276, 25480, 76440), (1960, 4095, 25480, 76440), (1960, 6552, 25480, 76440), (1960, 8190, 25480, 76440), (1960, 16380, 25480, 76440), (1960, 25480, 32760, 76440))
