H-SPECTRUM: n=11, m=55, SAMPLED (1000000 iterations)
Done in 456s. count=1000000

n=11: 39951 distinct H values, range [5, 93025]
Mean H = 38945.5886 (expected 38981.2500)
Std H = 16381.8975
OCR R^2 = 0.92680390

H | count (sampled) | frac
    5 |          1 | 0.00000100
   49 |          1 | 0.00000100
   77 |          1 | 0.00000100
  103 |          1 | 0.00000100
  131 |          1 | 0.00000100
  189 |          1 | 0.00000100
  197 |          1 | 0.00000100
  203 |          1 | 0.00000100
  221 |          1 | 0.00000100
  235 |          1 | 0.00000100
  245 |          1 | 0.00000100
  255 |          1 | 0.00000100
  257 |          1 | 0.00000100
  259 |          1 | 0.00000100
  265 |          1 | 0.00000100
  271 |          1 | 0.00000100
  281 |          1 | 0.00000100
  291 |          1 | 0.00000100
  295 |          1 | 0.00000100
  297 |          1 | 0.00000100
  299 |          1 | 0.00000100
  303 |          1 | 0.00000100
  315 |          1 | 0.00000100
  333 |          1 | 0.00000100
  343 |          1 | 0.00000100
  353 |          1 | 0.00000100
  355 |          1 | 0.00000100
  373 |          1 | 0.00000100
  381 |          1 | 0.00000100
  391 |          1 | 0.00000100
  ... (39911 more values) ...
  401 |          1 | 0.00000100
  403 |          1 | 0.00000100
  405 |          1 | 0.00000100
  419 |          1 | 0.00000100
  423 |          1 | 0.00000100
  433 |          1 | 0.00000100
  451 |          1 | 0.00000100
  475 |          1 | 0.00000100
  483 |          1 | 0.00000100
  493 |          1 | 0.00000100
  517 |          1 | 0.00000100
  523 |          1 | 0.00000100
  525 |          1 | 0.00000100
  531 |          1 | 0.00000100
  533 |          1 | 0.00000100
  551 |          1 | 0.00000100
  557 |          1 | 0.00000100
  565 |          1 | 0.00000100
  583 |          1 | 0.00000100
  603 |          1 | 0.00000100
  609 |          1 | 0.00000100
  613 |          1 | 0.00000100
  615 |          1 | 0.00000100
  619 |          1 | 0.00000100
  621 |          1 | 0.00000100
  631 |          1 | 0.00000100
  633 |          1 | 0.00000100
  637 |          1 | 0.00000100
  639 |          1 | 0.00000100
  645 |          1 | 0.00000100
  673 |          1 | 0.00000100
  679 |          1 | 0.00000100
  687 |          1 | 0.00000100
  695 |          1 | 0.00000100
  699 |          1 | 0.00000100
  703 |          1 | 0.00000100
  705 |          1 | 0.00000100
  713 |          1 | 0.00000100
  719 |          1 | 0.00000100
  743 |          1 | 0.00000100
  745 |          1 | 0.00000100
  761 |          1 | 0.00000100
  763 |          1 | 0.00000100
  767 |          1 | 0.00000100
  771 |          1 | 0.00000100
  775 |          1 | 0.00000100
  779 |          1 | 0.00000100
  789 |          1 | 0.00000100
  791 |          1 | 0.00000100
