======================================================================
n=5 SC TOURNAMENTS: b1 vs c3 DETAILED
======================================================================

n=5 SC: (score, c3, b1) => count
  score=(1, 1, 2, 3, 3), c3=3, b1=0: 120
  score=(1, 1, 2, 3, 3), c3=3, b1=1: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=0: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=1: 160
  score=(2, 2, 2, 2, 2), c3=5, b1=1: 24

======================================================================
SCORE (1,2,2,2,3) at n=5: b1 vs c3
======================================================================

  bits=678, b1=1, SC=True
  bits=680, b1=1, SC=True
  bits=681, b1=0, SC=True
  bits=683, b1=1, SC=True
  bits=684, b1=1, SC=True
  bits=686, b1=0, SC=True
  bits=689, b1=0, SC=True
  bits=691, b1=1, SC=True
  bits=693, b1=1, SC=True
  bits=696, b1=1, SC=True
  bits=698, b1=0, SC=True
  bits=699, b1=1, SC=True
  bits=700, b1=1, SC=True
  bits=701, b1=0, SC=True
  bits=706, b1=1, SC=True
  bits=707, b1=0, SC=True
  bits=708, b1=0, SC=True
  bits=709, b1=1, SC=True
  bits=711, b1=1, SC=True
  bits=714, b1=1, SC=True
  bits=716, b1=1, SC=True
  bits=718, b1=0, SC=True
  bits=721, b1=0, SC=True
  bits=723, b1=1, SC=True
  bits=724, b1=1, SC=True
  bits=726, b1=1, SC=True
  bits=727, b1=0, SC=True
  bits=729, b1=1, SC=True
  bits=732, b1=0, SC=True
  bits=733, b1=1, SC=True
  bits=737, b1=0, SC=True
  bits=738, b1=1, SC=True
  bits=741, b1=1, SC=True
  bits=742, b1=0, SC=True
  bits=743, b1=1, SC=True
  bits=745, b1=1, SC=True
  bits=746, b1=1, SC=True
  bits=747, b1=0, SC=True
  bits=753, b1=1, SC=True
  bits=755, b1=0, SC=True
  bits=757, b1=0, SC=True
  bits=761, b1=0, SC=True
  bits=774, b1=1, SC=True
  bits=788, b1=1, SC=True
  bits=789, b1=0, SC=True
  bits=790, b1=0, SC=True
  bits=796, b1=0, SC=True
  bits=802, b1=0, SC=True
  bits=803, b1=1, SC=True
  bits=804, b1=1, SC=True
  bits=805, b1=1, SC=True
  bits=807, b1=0, SC=True
  bits=810, b1=1, SC=True
  bits=812, b1=0, SC=True
  bits=814, b1=1, SC=True
  bits=817, b1=1, SC=True
  bits=819, b1=0, SC=True
  bits=820, b1=0, SC=True
  bits=822, b1=1, SC=True
  bits=823, b1=1, SC=True
