body	d1	d2	low	excess
1,5,9,11,12,14	42	24255	243	34729/119189070
1,5,9,11,12,14	42	48510	243	34729/119189070
1,5,9,11,12,14	42	97020	243	34729/119189070
1,5,9,11,12,14	45	1617	243	34729/119189070
1,5,9,11,12,14	45	3234	243	34729/119189070
1,5,9,11,12,14	45	4851	243	34729/119189070
1,5,9,11,12,14	45	6468	243	34729/119189070
1,5,9,11,12,14	45	8085	243	34729/119189070
1,5,9,11,12,14	45	9702	243	34729/119189070
1,5,9,11,12,14	45	12936	243	34729/119189070
1,5,9,11,12,14	45	16170	243	34729/119189070
1,5,9,11,12,14	45	19404	243	34729/119189070
1,5,9,11,12,14	45	24255	243	34729/119189070
1,5,9,11,12,14	45	32340	243	34729/119189070
1,5,9,11,12,14	45	38808	243	34729/119189070
1,5,9,11,12,14	45	48510	243	34729/119189070
1,5,9,11,12,14	45	64680	243	34729/119189070
1,5,9,11,12,14	45	97020	243	34729/119189070
1,5,9,11,12,14	45	194040	243	34729/119189070
1,5,9,11,12,14	60	4851	243	34729/119189070
1,5,9,11,12,14	60	9702	243	34729/119189070
1,5,9,11,12,14	60	19404	243	34729/119189070
1,5,9,11,12,14	60	24255	243	34729/119189070
1,5,9,11,12,14	60	48510	243	34729/119189070
1,5,9,11,12,14	60	97020	243	34729/119189070
1,5,9,11,12,14	63	6468	243	34729/119189070
1,5,9,11,12,14	63	8085	243	34729/119189070
1,5,9,11,12,14	63	12936	243	34729/119189070
1,5,9,11,12,14	63	16170	243	34729/119189070
1,5,9,11,12,14	63	19404	243	34729/119189070
1,5,9,11,12,14	63	24255	243	34729/119189070
1,5,9,11,12,14	63	32340	243	34729/119189070
1,5,9,11,12,14	63	38808	243	34729/119189070
1,5,9,11,12,14	63	48510	243	34729/119189070
1,5,9,11,12,14	63	64680	243	34729/119189070
1,5,9,11,12,14	63	97020	243	34729/119189070
1,5,9,11,12,14	63	194040	243	34729/119189070
1,5,9,11,12,14	66	1764	243	34729/119189070
1,5,9,11,12,14	66	2205	243	34729/119189070
1,5,9,11,12,14	66	4410	243	34729/119189070
1,5,9,11,12,14	66	8820	243	34729/119189070
1,5,9,11,12,14	66	19404	243	34729/119189070
1,5,9,11,12,14	66	24255	243	34729/119189070
1,5,9,11,12,14	66	48510	243	34729/119189070
1,5,9,11,12,14	66	97020	243	34729/119189070
1,5,9,11,12,14	72	4851	243	34729/119189070
1,5,9,11,12,14	72	9702	243	34729/119189070
1,5,9,11,12,14	72	19404	243	34729/119189070
1,5,9,11,12,14	72	24255	243	34729/119189070
1,5,9,11,12,14	72	48510	243	34729/119189070
1,5,9,11,12,14	72	97020	243	34729/119189070
1,5,9,11,12,14	84	4851	243	34729/119189070
1,5,9,11,12,14	84	9702	243	34729/119189070
1,5,9,11,12,14	84	19404	243	34729/119189070
1,5,9,11,12,14	84	24255	243	34729/119189070
1,5,9,11,12,14	84	48510	243	34729/119189070
1,5,9,11,12,14	84	97020	243	34729/119189070
1,5,9,11,12,14	90	1617	243	34729/119189070
1,5,9,11,12,14	90	3234	243	34729/119189070
1,5,9,11,12,14	90	4851	243	34729/119189070
1,5,9,11,12,14	90	6468	243	34729/119189070
1,5,9,11,12,14	90	8085	243	34729/119189070
1,5,9,11,12,14	90	9702	243	34729/119189070
1,5,9,11,12,14	90	12936	243	34729/119189070
1,5,9,11,12,14	90	16170	243	34729/119189070
1,5,9,11,12,14	90	19404	243	34729/119189070
1,5,9,11,12,14	90	24255	243	34729/119189070
1,5,9,11,12,14	90	32340	243	34729/119189070
1,5,9,11,12,14	90	38808	243	34729/119189070
1,5,9,11,12,14	90	48510	243	34729/119189070
1,5,9,11,12,14	90	64680	243	34729/119189070
1,5,9,11,12,14	90	97020	243	34729/119189070
1,5,9,11,12,14	90	194040	243	34729/119189070
1,5,9,11,12,14	99	588	243	34729/119189070
1,5,9,11,12,14	99	735	243	34729/119189070
1,5,9,11,12,14	99	1176	243	34729/119189070
1,5,9,11,12,14	99	1470	243	34729/119189070
1,5,9,11,12,14	99	1764	243	34729/119189070
1,5,9,11,12,14	99	2205	243	34729/119189070
1,5,9,11,12,14	99	2940	243	34729/119189070
1,5,9,11,12,14	99	3528	243	34729/119189070
1,5,9,11,12,14	99	4410	243	34729/119189070
1,5,9,11,12,14	99	5880	243	34729/119189070
1,5,9,11,12,14	99	6468	243	34729/119189070
1,5,9,11,12,14	99	8085	243	34729/119189070
1,5,9,11,12,14	99	8820	243	34729/119189070
1,5,9,11,12,14	99	12936	243	34729/119189070
1,5,9,11,12,14	99	16170	243	34729/119189070
1,5,9,11,12,14	99	17640	243	34729/119189070
1,5,9,11,12,14	99	19404	243	34729/119189070
1,5,9,11,12,14	99	24255	243	34729/119189070
1,5,9,11,12,14	99	32340	243	34729/119189070
1,5,9,11,12,14	99	38808	243	34729/119189070
1,5,9,11,12,14	99	48510	243	34729/119189070
1,5,9,11,12,14	99	64680	243	34729/119189070
1,5,9,11,12,14	99	97020	243	34729/119189070
1,5,9,11,12,14	99	194040	243	34729/119189070
1,5,9,11,12,14	105	4851	243	34729/119189070
1,5,9,11,12,14	105	9702	243	34729/119189070
1,5,9,11,12,14	105	19404	243	34729/119189070
1,5,9,11,12,14	105	24255	243	34729/119189070
1,5,9,11,12,14	105	48510	243	34729/119189070
1,5,9,11,12,14	105	97020	243	34729/119189070
1,5,9,11,12,14	120	4851	243	34729/119189070
1,5,9,11,12,14	120	9702	243	34729/119189070
1,5,9,11,12,14	120	19404	243	34729/119189070
