LRC H UNIFORM TWO-STAR BOUNDARY -- THM-3156 EXACT COMPANION
status=FINITE-EXACT;body=(1, 2, 3, 4, 6, 12);ruler=168;cell=90;edges=((0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5))
universe=D:6..100;m=D;levels=[D,2D];six-label injections;rows=95
law=uniform weight 1/9 on all nine fixed two-star edges;scale=1000000000000000
rounding=integer conservative score is a lower bound for 9*SCALE*((sum_edge I_edge)/9-debt)
exact_through=12;global_exact_minimum=2942257539652583/320491868062929255@D=6,levels=(6, 9, 12, 11, 8, 7)
smallest_conservative_9S_floor=85295963189446@D=24;converted=42647981594723/4500000000000000;strictly_above_global_exact_minimum
consequence=uniform expected overlap exceeds full singleton debt, so some two-star edge does;pairwise Bonferroni puts the six-arc union strictly below 6/7 at cell 90
scope=fixed reflected H packet and finite boundary D=6..100 inside THM-2941;not arbitrary D;not physical LRC14
reproduction=python3 04-computation/lrc_H_upper_median_uniform_two_star_boundary_thm3156.py
D=28;m=28;pivot_checks=812;conservative_floor_for_9S_margin=106730987726316;representative_margin=1215850669915690702/102525576333070718835;levels=(28, 48, 42, 36, 32, 56);nine_edge_gain_sum=181941720407652568/1627390100524932045;debt=6415708104208586/11391730703674524315
D=29;m=29;pivot_checks=870;conservative_floor_for_9S_margin=116474912669988;representative_margin=29725532964315160096/2296887720678392313087;levels=(30, 58, 45, 29, 40, 31);nine_edge_gain_sum=4472703534528226402/36458535248863370049;debt=175932419709158302/255209746742043590343
D=30;m=30;pivot_checks=930;conservative_floor_for_9S_margin=90867050484491;representative_margin=29786410647492679241/2950218967139560642869;levels=(30, 45, 60, 36, 40, 31);nine_edge_gain_sum=4533709250104237967/46828872494278740363;debt=216617122581887392/327802107459951182541
D=31;m=31;pivot_checks=992;conservative_floor_for_9S_margin=108138076541469;representative_margin=19778116593166486073/1646071902066705405201;levels=(36, 60, 54, 48, 40, 45);nine_edge_gain_sum=14744398733174644243/130640627148151222635;debt=480023129598897704/914484390037058558445
D=32;m=32;pivot_checks=1056;conservative_floor_for_9S_margin=99152931989903;representative_margin=63017005448955823949/5719982633475898339125;levels=(32, 48, 64, 36, 60, 33);nine_edge_gain_sum=9485688855783175091/90793375134538068875;debt=375868504614044632/635553625941766482125
D=33;m=33;pivot_checks=1122;conservative_floor_for_9S_margin=107996617619702;representative_margin=54905294734969079/4575584527606777923;levels=(66, 60, 33, 44, 40, 45);nine_edge_gain_sum=8203587374552489/72628325835028221;debt=279979654099816/508398280845197547
D=34;m=34;pivot_checks=1190;conservative_floor_for_9S_margin=107830560185451;representative_margin=8311010573777813305/693672508381077758799;levels=(34, 60, 51, 45, 40, 68);nine_edge_gain_sum=6162826470102698351/55053373681037917365;debt=58693793401104516/128457871922421807185
D=35;m=35;pivot_checks=1260;conservative_floor_for_9S_margin=108138076541469;representative_margin=19778116593166486073/1646071902066705405201;levels=(36, 60, 54, 48, 40, 45);nine_edge_gain_sum=14744398733174644243/130640627148151222635;debt=480023129598897704/914484390037058558445
D=36;m=36;pivot_checks=1332;conservative_floor_for_9S_margin=96547673351677;representative_margin=28270072990700257760/2635285223181514058883;levels=(36, 60, 54, 48, 40, 72);nine_edge_gain_sum=21020496987429862774/209149620887421750705;debt=643679328723083402/1464047346211952254935
D=37;m=37;pivot_checks=1406;conservative_floor_for_9S_margin=112468392312526;representative_margin=10603553571377081090/848522684286141728787;levels=(48, 60, 72, 40, 64, 45);nine_edge_gain_sum=3287299487091686414/28161647530420288257;debt=1026703151598554312/2168446859842362195789
