====================================================================================================
(B0) INDEPENDENT RECHECK: McGee graph cycle counts via networkx.simple_cycles
====================================================================================================
  McGee (LCF [12,7,-7]^8, n=24): nx cycle histogram up to length 9: c7=32, c8=34, c9=16
  girth = 7; |Aut| = 32
  my checker on same graph: c7=32 c8=34 c9=16 girth=7
  VERDICT: McGee HAS 8-cycles (c8=34) despite girth 7 -- S710's 'McGee -> C16' was an
  enumeration-order artifact, NOT a C8-free statement.

====================================================================================================
(B2) dihedral D_m, three reflections {s, s r^j, s r^k} (0<j<k<m), 2m<=80
     (bipartite cubic; canonical class = gap multiset {j, k-j, m-k} up to symmetry)
====================================================================================================
  checked 1841; C8-free: 672
    D_3 refl(0,1,2): n=6 girth=4 c4=9 c16=0 c32=None conn=True
    D_6 refl(0,2,4): n=12 girth=4 c4=18 c16=None c32=None conn=False
    D_9 refl(0,3,6): n=18 girth=4 c4=27 c16=None c32=None conn=False
    D_10 refl(0,1,5): n=20 girth=4 c4=5 c16=320 c32=None conn=True
    D_10 refl(0,2,5): n=20 girth=4 c4=5 c16=320 c32=None conn=True
    D_12 refl(0,1,6): n=24 girth=4 c4=6 c16=960 c32=None conn=True
    D_12 refl(0,4,8): n=24 girth=4 c4=36 c16=None c32=None conn=False
    D_14 refl(0,1,7): n=28 girth=4 c4=7 c16=896 c32=None conn=True
    D_14 refl(0,2,7): n=28 girth=4 c4=7 c16=896 c32=None conn=True
    D_14 refl(0,3,7): n=28 girth=4 c4=7 c16=896 c32=None conn=True
    D_15 refl(0,5,10): n=30 girth=4 c4=45 c16=None c32=None conn=False
    D_16 refl(0,1,8): n=32 girth=4 c4=8 c16=256 c32=384 conn=True
    D_16 refl(0,3,8): n=32 girth=4 c4=8 c16=256 c32=384 conn=True
    D_18 refl(0,1,9): n=36 girth=4 c4=9 c16=0 c32=-1 conn=True
    D_18 refl(0,2,9): n=36 girth=4 c4=9 c16=0 c32=-1 conn=True
    D_18 refl(0,4,9): n=36 girth=4 c4=9 c16=0 c32=-1 conn=True
    D_18 refl(0,6,12): n=36 girth=4 c4=54 c16=None c32=None conn=False
    D_19 refl(0,1,8): n=38 girth=6 c4=0 c16=1995 c32=-1 conn=True
    D_19 refl(0,2,5): n=38 girth=6 c4=0 c16=1995 c32=-1 conn=True
    D_19 refl(0,4,10): n=38 girth=6 c4=0 c16=1995 c32=-1 conn=True
    D_20 refl(0,1,10): n=40 girth=4 c4=10 c16=0 c32=-1 conn=True
    D_20 refl(0,2,10): n=40 girth=4 c4=10 c16=None c32=None conn=False
    D_20 refl(0,3,10): n=40 girth=4 c4=10 c16=0 c32=-1 conn=True
    D_20 refl(0,4,10): n=40 girth=4 c4=10 c16=None c32=None conn=False
    D_21 refl(0,1,5): n=42 girth=6 c4=0 c16=2583 c32=-1 conn=True
    D_21 refl(0,1,9): n=42 girth=6 c4=0 c16=2352 c32=-1 conn=True
    D_21 refl(0,2,5): n=42 girth=6 c4=0 c16=2352 c32=-1 conn=True
    D_21 refl(0,2,10): n=42 girth=6 c4=0 c16=2583 c32=-1 conn=True
    D_21 refl(0,4,10): n=42 girth=6 c4=0 c16=2352 c32=-1 conn=True
