body	d1	d2	d3	d4
2,5,9,11,12,14	33	2205	10780	21560
2,5,9,11,12,14	33	3528	10780	24255
2,5,9,11,12,14	33	3528	10780	48510
2,5,9,11,12,14	33	4410	10780	21560
2,5,9,11,12,14	33	8820	10780	21560
2,5,9,11,12,14	33	10780	19404	21560
2,5,9,11,12,14	33	10780	21560	24255
2,5,9,11,12,14	33	10780	21560	48510
2,5,9,11,12,14	33	10780	21560	97020
2,5,9,11,12,14	36	1617	10780	21560
2,5,9,11,12,14	36	3234	10780	21560
2,5,9,11,12,14	36	6468	10780	21560
2,5,9,11,12,14	36	8085	10780	21560
2,5,9,11,12,14	36	10780	12936	21560
2,5,9,11,12,14	36	10780	16170	21560
2,5,9,11,12,14	36	10780	21560	32340
2,5,9,11,12,14	36	10780	21560	64680
2,5,9,11,12,14	40	9702	10780	24255
2,5,9,11,12,14	40	9702	10780	32340
2,5,9,11,12,14	40	10780	19404	32340
2,5,9,11,12,14	40	10780	24255	32340
2,5,9,11,12,14	42	10780	19404	21560
2,5,9,11,12,14	42	10780	21560	24255
2,5,9,11,12,14	42	10780	21560	48510
2,5,9,11,12,14	42	10780	21560	97020
2,5,9,11,12,14	45	1617	10780	21560
2,5,9,11,12,14	45	3234	10780	21560
2,5,9,11,12,14	45	6468	10780	21560
2,5,9,11,12,14	45	8085	10780	21560
2,5,9,11,12,14	45	10780	12936	21560
2,5,9,11,12,14	45	10780	16170	21560
2,5,9,11,12,14	45	10780	21560	32340
2,5,9,11,12,14	45	10780	21560	64680
2,5,9,11,12,14	45	10780	32340	38808
2,5,9,11,12,14	45	10780	32340	194040
2,5,9,11,12,14	56	9702	10780	32340
2,5,9,11,12,14	56	10780	19404	32340
2,5,9,11,12,14	56	10780	24255	32340
2,5,9,11,12,14	60	4851	10780	21560
2,5,9,11,12,14	60	9702	10780	21560
2,5,9,11,12,14	60	10780	19404	21560
2,5,9,11,12,14	60	10780	21560	24255
2,5,9,11,12,14	60	10780	21560	48510
2,5,9,11,12,14	60	10780	21560	97020
2,5,9,11,12,14	63	6468	10780	21560
2,5,9,11,12,14	63	8085	10780	21560
2,5,9,11,12,14	63	10780	12936	21560
2,5,9,11,12,14	63	10780	16170	21560
2,5,9,11,12,14	63	10780	21560	32340
2,5,9,11,12,14	63	10780	21560	64680
2,5,9,11,12,14	63	10780	32340	38808
2,5,9,11,12,14	63	10780	32340	194040
2,5,9,11,12,14	66	1764	10780	21560
2,5,9,11,12,14	66	2205	10780	21560
2,5,9,11,12,14	66	3528	10780	24255
2,5,9,11,12,14	66	3528	10780	48510
2,5,9,11,12,14	66	4410	10780	21560
2,5,9,11,12,14	66	8820	10780	21560
2,5,9,11,12,14	66	10780	19404	21560
2,5,9,11,12,14	66	10780	21560	24255
2,5,9,11,12,14	66	10780	21560	48510
2,5,9,11,12,14	66	10780	21560	97020
2,5,9,11,12,14	72	9702	10780	24255
2,5,9,11,12,14	72	9702	10780	32340
2,5,9,11,12,14	72	10780	24255	32340
2,5,9,11,12,14	84	4851	10780	21560
2,5,9,11,12,14	84	9702	10780	21560
2,5,9,11,12,14	84	10780	19404	21560
2,5,9,11,12,14	84	10780	21560	24255
2,5,9,11,12,14	84	10780	21560	48510
2,5,9,11,12,14	84	10780	21560	97020
2,5,9,11,12,14	88	441	10780	32340
2,5,9,11,12,14	88	8085	8820	10780
2,5,9,11,12,14	88	8820	10780	16170
2,5,9,11,12,14	88	8820	10780	32340
2,5,9,11,12,14	88	9702	10780	32340
2,5,9,11,12,14	88	10780	19404	32340
2,5,9,11,12,14	88	10780	24255	32340
2,5,9,11,12,14	90	1617	10780	21560
2,5,9,11,12,14	90	3234	10780	21560
2,5,9,11,12,14	90	6468	10780	21560
2,5,9,11,12,14	90	8085	10780	21560
2,5,9,11,12,14	90	10780	12936	21560
2,5,9,11,12,14	90	10780	16170	21560
2,5,9,11,12,14	90	10780	21560	32340
2,5,9,11,12,14	90	10780	21560	64680
2,5,9,11,12,14	90	10780	32340	38808
2,5,9,11,12,14	90	10780	32340	194040
2,5,9,11,12,14	99	588	10780	21560
2,5,9,11,12,14	99	735	10780	21560
2,5,9,11,12,14	99	1176	10780	21560
2,5,9,11,12,14	99	1470	10780	21560
2,5,9,11,12,14	99	2940	10780	21560
2,5,9,11,12,14	99	3528	8085	10780
2,5,9,11,12,14	99	3528	10780	16170
2,5,9,11,12,14	99	3528	10780	24255
2,5,9,11,12,14	99	3528	10780	32340
2,5,9,11,12,14	99	3528	10780	48510
2,5,9,11,12,14	99	3528	10780	64680
2,5,9,11,12,14	99	3528	10780	97020
2,5,9,11,12,14	99	3528	10780	194040
2,5,9,11,12,14	99	5880	10780	21560
2,5,9,11,12,14	99	5880	10780	32340
2,5,9,11,12,14	99	6468	10780	21560
2,5,9,11,12,14	99	8085	10780	21560
2,5,9,11,12,14	99	10780	12936	21560
2,5,9,11,12,14	99	10780	16170	21560
2,5,9,11,12,14	99	10780	17640	32340
2,5,9,11,12,14	99	10780	21560	32340
2,5,9,11,12,14	99	10780	21560	64680
2,5,9,11,12,14	99	10780	32340	38808
2,5,9,11,12,14	99	10780	32340	194040
2,5,9,11,12,14	105	4851	10780	21560
2,5,9,11,12,14	105	9702	10780	21560
2,5,9,11,12,14	105	10780	19404	21560
2,5,9,11,12,14	105	10780	21560	24255
2,5,9,11,12,14	105	10780	21560	48510
2,5,9,11,12,14	105	10780	21560	97020
2,5,9,11,12,14	120	4851	10780	21560
2,5,9,11,12,14	120	9702	10780	21560
2,5,9,11,12,14	120	9702	10780	24255
2,5,9,11,12,14	120	9702	10780	32340
2,5,9,11,12,14	120	10780	19404	21560
2,5,9,11,12,14	120	10780	19404	32340
2,5,9,11,12,14	120	10780	21560	24255
2,5,9,11,12,14	120	10780	21560	48510
2,5,9,11,12,14	120	10780	21560	97020
2,5,9,11,12,14	120	10780	24255	32340
2,5,9,11,12,14	126	6468	10780	21560
2,5,9,11,12,14	126	8085	10780	21560
2,5,9,11,12,14	126	10780	12936	21560
2,5,9,11,12,14	126	10780	16170	21560
2,5,9,11,12,14	126	10780	21560	32340
2,5,9,11,12,14	126	10780	21560	64680
2,5,9,11,12,14	126	10780	32340	38808
2,5,9,11,12,14	126	10780	32340	194040
2,5,9,11,12,14	132	441	10780	21560
2,5,9,11,12,14	132	882	10780	21560
2,5,9,11,12,14	132	1764	10780	21560
2,5,9,11,12,14	132	2205	10780	21560
2,5,9,11,12,14	132	3528	10780	24255
2,5,9,11,12,14	132	3528	10780	48510
2,5,9,11,12,14	132	4410	10780	21560
2,5,9,11,12,14	132	4851	10780	21560
2,5,9,11,12,14	132	8820	10780	21560
2,5,9,11,12,14	132	9702	10780	21560
2,5,9,11,12,14	132	10780	19404	21560
2,5,9,11,12,14	132	10780	21560	24255
2,5,9,11,12,14	132	10780	21560	48510
2,5,9,11,12,14	132	10780	21560	97020
2,5,9,11,12,14	147	396	10780	21560
2,5,9,11,12,14	147	495	10780	21560
2,5,9,11,12,14	147	990	10780	21560
2,5,9,11,12,14	147	1980	10780	21560
2,5,9,11,12,14	147	2772	10780	21560
2,5,9,11,12,14	147	3465	10780	21560
2,5,9,11,12,14	147	6930	10780	21560
2,5,9,11,12,14	147	10780	13860	21560
2,5,9,11,12,14	165	441	10780	21560
2,5,9,11,12,14	165	882	10780	21560
2,5,9,11,12,14	165	1764	10780	21560
2,5,9,11,12,14	165	2205	10780	21560
2,5,9,11,12,14	165	3528	9702	10780
2,5,9,11,12,14	165	3528	10780	24255
2,5,9,11,12,14	165	3528	10780	48510
