H-SPECTRUM: n=8, m=28, EXHAUSTIVE (268435456 tournaments)
Processing lower half [0,134217728) in 174763 chunks of B=768; counts doubled by reversal symmetry. Cores: 24
  76800/174763 chunks  prefix=58982400/134217728  84519/s  ETA 890s  distinct=320
  77824/174763 chunks  prefix=59768832/134217728  84500/s  ETA 881s  distinct=320
  78848/174763 chunks  prefix=60555264/134217728  84498/s  ETA 872s  distinct=320
  79872/174763 chunks  prefix=61341696/134217728  84477/s  ETA 863s  distinct=320
  80896/174763 chunks  prefix=62128128/134217728  84444/s  ETA 854s  distinct=320
  81920/174763 chunks  prefix=62914560/134217728  84441/s  ETA 844s  distinct=320
  82944/174763 chunks  prefix=63700992/134217728  84442/s  ETA 835s  distinct=320
  83968/174763 chunks  prefix=64487424/134217728  84444/s  ETA 826s  distinct=320
  84992/174763 chunks  prefix=65273856/134217728  84448/s  ETA 816s  distinct=320
  86016/174763 chunks  prefix=66060288/134217728  84437/s  ETA 807s  distinct=320
  87040/174763 chunks  prefix=66846720/134217728  84421/s  ETA 798s  distinct=320
  88064/174763 chunks  prefix=67633152/134217728  84434/s  ETA 789s  distinct=320
  89088/174763 chunks  prefix=68419584/134217728  84423/s  ETA 779s  distinct=320
  90112/174763 chunks  prefix=69206016/134217728  84425/s  ETA 770s  distinct=320
  91136/174763 chunks  prefix=69992448/134217728  84416/s  ETA 761s  distinct=320
  92160/174763 chunks  prefix=70778880/134217728  84409/s  ETA 752s  distinct=320
  93184/174763 chunks  prefix=71565312/134217728  84407/s  ETA 742s  distinct=320
  94208/174763 chunks  prefix=72351744/134217728  84398/s  ETA 733s  distinct=320
  95232/174763 chunks  prefix=73138176/134217728  84395/s  ETA 724s  distinct=320
  96256/174763 chunks  prefix=73924608/134217728  84383/s  ETA 715s  distinct=320
  97280/174763 chunks  prefix=74711040/134217728  84380/s  ETA 705s  distinct=320
  98304/174763 chunks  prefix=75497472/134217728  84377/s  ETA 696s  distinct=320
  99328/174763 chunks  prefix=76283904/134217728  84368/s  ETA 687s  distinct=320
  100352/174763 chunks  prefix=77070336/134217728  84362/s  ETA 677s  distinct=320
  101376/174763 chunks  prefix=77856768/134217728  84353/s  ETA 668s  distinct=320
  102400/174763 chunks  prefix=78643200/134217728  84342/s  ETA 659s  distinct=320
  103424/174763 chunks  prefix=79429632/134217728  84335/s  ETA 650s  distinct=320
  104448/174763 chunks  prefix=80216064/134217728  84341/s  ETA 640s  distinct=320
  105472/174763 chunks  prefix=81002496/134217728  84341/s  ETA 631s  distinct=320
  106496/174763 chunks  prefix=81788928/134217728  84325/s  ETA 622s  distinct=320
  107520/174763 chunks  prefix=82575360/134217728  84317/s  ETA 612s  distinct=320
  108544/174763 chunks  prefix=83361792/134217728  84311/s  ETA 603s  distinct=320
  109568/174763 chunks  prefix=84148224/134217728  84310/s  ETA 594s  distinct=320
  110592/174763 chunks  prefix=84934656/134217728  84297/s  ETA 585s  distinct=320
  111616/174763 chunks  prefix=85721088/134217728  84299/s  ETA 575s  distinct=320
  112640/174763 chunks  prefix=86507520/134217728  84280/s  ETA 566s  distinct=320
  113664/174763 chunks  prefix=87293952/134217728  84284/s  ETA 557s  distinct=320
  114688/174763 chunks  prefix=88080384/134217728  84276/s  ETA 547s  distinct=320
  115712/174763 chunks  prefix=88866816/134217728  84276/s  ETA 538s  distinct=320
  116736/174763 chunks  prefix=89653248/134217728  84269/s  ETA 529s  distinct=320
  117760/174763 chunks  prefix=90439680/134217728  84262/s  ETA 520s  distinct=320
  118784/174763 chunks  prefix=91226112/134217728  84258/s  ETA 510s  distinct=320
  119808/174763 chunks  prefix=92012544/134217728  84252/s  ETA 501s  distinct=320
  120832/174763 chunks  prefix=92798976/134217728  84245/s  ETA 492s  distinct=320
  121856/174763 chunks  prefix=93585408/134217728  84244/s  ETA 482s  distinct=320
  122880/174763 chunks  prefix=94371840/134217728  84236/s  ETA 473s  distinct=320
  123904/174763 chunks  prefix=95158272/134217728  84229/s  ETA 464s  distinct=320
  124928/174763 chunks  prefix=95944704/134217728  84220/s  ETA 454s  distinct=320
  125952/174763 chunks  prefix=96731136/134217728  84210/s  ETA 445s  distinct=320
  126976/174763 chunks  prefix=97517568/134217728  84212/s  ETA 436s  distinct=320
  128000/174763 chunks  prefix=98304000/134217728  84211/s  ETA 426s  distinct=320
  129024/174763 chunks  prefix=99090432/134217728  84210/s  ETA 417s  distinct=320
  130048/174763 chunks  prefix=99876864/134217728  84206/s  ETA 408s  distinct=320
  131072/174763 chunks  prefix=100663296/134217728  84203/s  ETA 398s  distinct=320
  132096/174763 chunks  prefix=101449728/134217728  84213/s  ETA 389s  distinct=320
  133120/174763 chunks  prefix=102236160/134217728  84208/s  ETA 380s  distinct=320
  134144/174763 chunks  prefix=103022592/134217728  84215/s  ETA 370s  distinct=320
  135168/174763 chunks  prefix=103809024/134217728  84210/s  ETA 361s  distinct=320
  136192/174763 chunks  prefix=104595456/134217728  84216/s  ETA 352s  distinct=320
  137216/174763 chunks  prefix=105381888/134217728  84223/s  ETA 342s  distinct=320
  138240/174763 chunks  prefix=106168320/134217728  84218/s  ETA 333s  distinct=320
  139264/174763 chunks  prefix=106954752/134217728  84214/s  ETA 324s  distinct=320
  140288/174763 chunks  prefix=107741184/134217728  84204/s  ETA 314s  distinct=320
  141312/174763 chunks  prefix=108527616/134217728  84197/s  ETA 305s  distinct=320
