LRC H UPPER-MEDIAN TWO-STAR MATCHING -- FINITE-EXACT SCOUT
body=(1, 2, 3, 4, 6, 12);ruler=168;cell=90;edges=((0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5))
D=7;m=18;threshold_checks=56;certified_floor=13035984855853/1000000000000000;representative_margin=585093169722158/29194463558123787;levels=(18, 19, 20, 21, 22, 23);edge=(0, 4);gain=13104/619715;debt=161148566609546/145972317790618935
D=7;m=19;threshold_checks=56;certified_floor=13098474040506/1000000000000000;representative_margin=35784970709513358/1752269427004990075;levels=(19, 20, 21, 22, 23, 24);edge=(1, 5);gain=2416/112493;debt=1848330346055042/1752269427004990075
D=7;m=20;threshold_checks=56;certified_floor=13205556695940/1000000000000000;representative_margin=257781870242876202/11531708867887507915;levels=(20, 21, 22, 23, 24, 25);edge=(0, 4);gain=52660/2253889;debt=11645678754858898/11531708867887507915
D=7;m=21;threshold_checks=56;certified_floor=15003098956478/1000000000000000;representative_margin=3072563561728912/151470137189432061;levels=(21, 22, 23, 24, 25, 26);edge=(0, 4);gain=17466/821791;debt=146718976228574/151470137189432061
D=8;m=8;threshold_checks=75;certified_floor=625580509807/1000000000000000;representative_margin=726993786437174/22181306103389615;levels=(8, 9, 10, 11, 12, 13);edge=(0, 4);gain=3136/89981;debt=46064703024266/22181306103389615
D=8;m=9;threshold_checks=73;certified_floor=7269076251225/1000000000000000;representative_margin=86520334788442/4318135724457555;levels=(9, 10, 11, 12, 13, 14);edge=(0, 4);gain=4012/182831;debt=8235809008418/4318135724457555
D=8;m=10;threshold_checks=74;certified_floor=12040265187241/1000000000000000;representative_margin=25393654083454/1281362417550215;levels=(10, 11, 12, 13, 14, 15);edge=(0, 4);gain=616/28543;debt=2260035059626/1281362417550215
D=8;m=11;threshold_checks=73;certified_floor=12235340508063/1000000000000000;representative_margin=16713379458545496/519141567544542439;levels=(11, 12, 13, 14, 15, 16);edge=(1, 5);gain=7598/224561;debt=851725925752906/519141567544542439
D=8;m=12;threshold_checks=73;certified_floor=7793543569653/1000000000000000;representative_margin=2382351739549148/89212068316478835;levels=(12, 13, 14, 15, 16, 17);edge=(0, 3);gain=7158/253487;debt=136830644594242/89212068316478835
D=8;m=13;threshold_checks=73;certified_floor=12562412699007/1000000000000000;representative_margin=40060606294670/1928241551024327;levels=(13, 14, 15, 16, 17, 18);edge=(1, 5);gain=6552/294925;debt=69421406362282/48206038775608175
