planted-relation battery: err vs kappa*(p+q)/(169 y)
prefix kap | q  p    y    A     B    | Y*(q,p)     err        ratio err*169y/(kap(p+q))
[2, 3, 5, 6, 8]  14 |  1  2   47  1200   2447 | (1,2)@47   0.000319    0.0604
[2, 3, 5, 6, 8]  14 |  1  3    5   611   1838 | (1,3)@5   0.002861    0.0432
[2, 3, 5, 6, 8]  14 |  1  3    5  1201   3608 | (1,3)@5   0.002901    0.0438
[2, 3, 5, 6, 8]  14 |  1  3   11   611   1844 | (1,3)@11   0.001143    0.0379
[2, 3, 5, 6, 8]  14 |  1  3   11  1200   3611 | (1,3)@11   0.001042    0.0346
[2, 3, 5, 6, 8]  14 |  1  3   23   611   1856 | (1,3)@23   0.000206    0.0143
[2, 3, 5, 6, 8]  14 |  1  3   23  1200   3623 | (1,3)@23   0.000284    0.0197
[2, 3, 5, 6, 8]  14 |  1  3   47  1200   3647 | (1,3)@47   0.000153    0.0218
[2, 3, 5, 6, 8]  14 |  2  3    5   611    919 | (2,3)@5   0.002717    0.0328
[2, 3, 5, 6, 8]  14 |  2  3    5  1201   1804 | (2,3)@5   0.002706    0.0327
[2, 3, 5, 6, 8]  14 |  2  3   11   611    922 | (2,3)@11   0.001099    0.0292
[2, 3, 5, 6, 8]  14 |  2  3   11  1201   1807 | (2,3)@11   0.000890    0.0236
[2, 3, 5, 6, 8]  14 |  2  3   23   611    928 | (2,3)@23   0.000305    0.0170
[2, 3, 5, 6, 8]  14 |  2  3   23  1201   1813 | (2,3)@23   0.000100    0.0056
[2, 3, 5, 6, 8]  14 |  2  3   47  1201   1825 | (2,3)@47   0.000051    0.0057
[2, 3, 5, 6, 8]  14 |  1 12    5   611   7337 | (1,12)@5   0.000622    0.0029
[2, 3, 5, 6, 8]  14 |  1 12    5  1201  14417 | (1,12)@5   0.000614    0.0029
[2, 3, 5, 6, 8]  14 |  1 12   11   611   7343 | (1,12)@11   0.000393    0.0040
[2, 3, 5, 6, 8]  14 |  1 12   11  1200  14411 | (1,12)@11   0.000405    0.0041
[2, 3, 5, 6, 8]  14 |  1 12   23   611   7355 | (1,12)@23   0.000030    0.0006
[2, 3, 5, 6, 8]  14 |  1 12   23  1200  14423 | (1,12)@23   0.000038    0.0008
[2, 3, 5, 6, 8]  14 |  1 12   47  1200  14447 | (1,12)@47   0.000041    0.0018
[2, 3, 5, 6, 8]  14 |  3  4    5   613    819 | (3,4)@5   0.001472    0.0127
[2, 3, 5, 6, 8]  14 |  3  4    5  1201   1603 | (3,4)@5   0.001666    0.0144
[2, 3, 5, 6, 8]  14 |  3  4   11   613    821 | (3,4)@11   0.000181    0.0034
[2, 3, 5, 6, 8]  14 |  3  4   11  1201   1605 | (3,4)@11   0.000505    0.0096
[2, 3, 5, 6, 8]  14 |  3  4   23   613    825 | (3,4)@23   0.000486    0.0193
[2, 3, 5, 6, 8]  14 |  3  4   23  1201   1609 | (3,4)@23   0.000072    0.0029
[2, 3, 5, 6, 8]  14 |  3  4   47  1201   1617 | (3,4)@47   0.000106    0.0086
[2, 3, 5, 6, 8]  14 |  2  5    5   611   1530 | (2,5)@5   0.000864    0.0075
[2, 3, 5, 6, 8]  14 |  2  5    5  1201   3005 | (2,5)@5   0.000954    0.0082
[2, 3, 5, 6, 8]  14 |  2  5   11   611   1533 | (2,5)@11   0.000060    0.0011
[2, 3, 5, 6, 8]  14 |  2  5   11  1201   3008 | (2,5)@11   0.000028    0.0005
[2, 3, 5, 6, 8]  14 |  2  5   23   611   1539 | (2,5)@23   0.000202    0.0080
[2, 3, 5, 6, 8]  14 |  2  5   23  1201   3014 | (2,5)@23   0.000094    0.0037
[2, 3, 5, 6, 8]  14 |  2  5   47  1201   3026 | (2,5)@47   0.000106    0.0086
[8, 9, 10, 11, 12] 28 |  1  1    5   611    616 | (1,1)@5   0.003575    0.0539
[8, 9, 10, 11, 12] 28 |  1  1    5  1201   1206 | (1,1)@5   0.003625    0.0547
[8, 9, 10, 11, 12] 28 |  1  1   11   611    622 | (1,1)@11   0.007273    0.2414
[8, 9, 10, 11, 12] 28 |  1  1   11  1200   1211 | (1,1)@11   0.007287    0.2419
[8, 9, 10, 11, 12] 28 |  1  1   23   611    634 | (1,1)@23   0.000841    0.0584
[8, 9, 10, 11, 12] 28 |  1  1   23  1200   1223 | (1,1)@23   0.000951    0.0660
[8, 9, 10, 11, 12] 28 |  1  1   47  1200   1247 | (1,1)@47   0.000263    0.0373
[8, 9, 10, 11, 12] 28 |  1  2    5   611   1227 | (1,2)@5   0.002100    0.0211
[8, 9, 10, 11, 12] 28 |  1  2    5  1201   2407 | (1,2)@5   0.002098    0.0211
[8, 9, 10, 11, 12] 28 |  1  2   11   611   1233 | (1,2)@11   0.004609    0.1020
[8, 9, 10, 11, 12] 28 |  1  2   11  1200   2411 | (1,2)@11   0.004579    0.1013
[8, 9, 10, 11, 12] 28 |  1  2   23   611   1245 | (1,2)@23   0.000462    0.0214
[8, 9, 10, 11, 12] 28 |  1  2   23  1200   2423 | (1,2)@23   0.000473    0.0219
[8, 9, 10, 11, 12] 28 |  1  2   47  1200   2447 | (1,2)@47   0.000209    0.0198
[8, 9, 10, 11, 12] 28 |  1  3    5   611   1838 | (1,3)@5   0.000988    0.0075
[8, 9, 10, 11, 12] 28 |  1  3    5  1201   3608 | (1,3)@5   0.000891    0.0067
[8, 9, 10, 11, 12] 28 |  1  3   11   611   1844 | (1,3)@11   0.002712    0.0450
[8, 9, 10, 11, 12] 28 |  1  3   11  1200   3611 | (1,3)@11   0.002632    0.0437
[8, 9, 10, 11, 12] 28 |  1  3   23   611   1856 | (1,3)@23   0.000095    0.0033
[8, 9, 10, 11, 12] 28 |  1  3   23  1200   3623 | (1,3)@23   0.000065    0.0023
[8, 9, 10, 11, 12] 28 |  1  3   47  1200   3647 | (1,3)@47   0.000207    0.0147
[8, 9, 10, 11, 12] 28 |  2  3    5   611    919 | (2,3)@5   0.000919    0.0055
[8, 9, 10, 11, 12] 28 |  2  3    5  1201   1804 | (2,3)@5   0.000746    0.0045
[8, 9, 10, 11, 12] 28 |  2  3   11   611    922 | (2,3)@11   0.002412    0.0320
[8, 9, 10, 11, 12] 28 |  2  3   11  1201   1807 | (2,3)@11   0.002147    0.0285
[8, 9, 10, 11, 12] 28 |  2  3   23   611    928 | (2,3)@23   0.000398    0.0111
[8, 9, 10, 11, 12] 28 |  2  3   23  1201   1813 | (2,3)@23   0.000056    0.0016
[8, 9, 10, 11, 12] 28 |  2  3   47  1201   1825 | (2,3)@47   0.000141    0.0080
[8, 9, 10, 11, 12] 28 |  1 12    5   611   7337 | (1,12)@5   0.000263    0.0006
[8, 9, 10, 11, 12] 28 |  1 12    5  1201  14417 | (1,12)@5   0.000378    0.0009
[8, 9, 10, 11, 12] 28 |  1 12   11   611   7343 | (1,12)@11   0.000528    0.0027
[8, 9, 10, 11, 12] 28 |  1 12   11  1200  14411 | (1,12)@11   0.000593    0.0030
[8, 9, 10, 11, 12] 28 |  1 12   23   611   7355 | (1,12)@23   0.000143    0.0015
[8, 9, 10, 11, 12] 28 |  1 12   23  1200  14423 | (1,12)@23   0.000101    0.0011
[8, 9, 10, 11, 12] 28 |  1 12   47  1200  14447 | (1,12)@47   0.000023    0.0005
[8, 9, 10, 11, 12] 28 |  3  4    5   613    819 | (3,4)@5   0.000479    0.0021
[8, 9, 10, 11, 12] 28 |  3  4    5  1201   1603 | (3,4)@5   0.000087    0.0004
[8, 9, 10, 11, 12] 28 |  3  4   11   613    821 | (3,4)@11   0.001428    0.0135
[8, 9, 10, 11, 12] 28 |  3  4   11  1201   1605 | (3,4)@11   0.000943    0.0089
[8, 9, 10, 11, 12] 28 |  3  4   23   613    825 | (3,4)@23   0.000633    0.0126
[8, 9, 10, 11, 12] 28 |  3  4   23  1201   1609 | (3,4)@23   0.000531    0.0105
[8, 9, 10, 11, 12] 28 |  3  4   47  1201   1617 | (3,4)@47   0.000044    0.0018
[8, 9, 10, 11, 12] 28 |  2  5    5   611   1530 | (2,5)@5   0.000022    0.0001
[8, 9, 10, 11, 12] 28 |  2  5    5  1201   3005 | (2,5)@5   0.000145    0.0006
[8, 9, 10, 11, 12] 28 |  2  5   11   611   1533 | (2,5)@11   0.000763    0.0072
[8, 9, 10, 11, 12] 28 |  2  5   11  1201   3008 | (2,5)@11   0.000446    0.0042
[8, 9, 10, 11, 12] 28 |  2  5   23   611   1539 | (2,5)@23   0.000013    0.0003
[8, 9, 10, 11, 12] 28 |  2  5   23  1201   3014 | (2,5)@23   0.000140    0.0028
[8, 9, 10, 11, 12] 28 |  2  5   47  1201   3026 | (2,5)@47   0.000010    0.0004

WORST ratio err*169y/(kappa(p+q)) = 0.5857
=> empirical C in err <= C kappa (p+q)/(169 y): C ~ 0.586
