checked 471 structured compressed covering primitive families
TOWER LEAVES (no split closes): 471
  (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 168)  spread 168.0
  (1, 26, 52, 78, 104, 130, 156, 182, 208, 234, 260, 286, 312)  spread 312.0
  (2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)  spread 7.0
  (2, 4, 6, 8, 10, 12, 13, 14, 16, 18, 20, 22, 24)  spread 12.0
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 39)  spread 19.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 65)  spread 32.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 91)  spread 45.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 117)  spread 58.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 143)  spread 71.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 169)  spread 84.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 195)  spread 97.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 221)  spread 110.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 247)  spread 123.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 273)  spread 136.5
  (2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 299)  spread 149.5
  (3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 182)  spread 60.7
  (3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 364)  spread 121.3
  (3, 26, 52, 78, 104, 130, 156, 182, 208, 234, 260, 286, 312)  spread 104.0
  (4, 8, 12, 13, 16, 20, 24, 28, 32, 36, 40, 44, 48)  spread 12.0
  (4, 8, 12, 16, 20, 24, 28, 32, 36, 39, 40, 44, 48)  spread 12.0
max leaf spread: 312.0 (predicted bound ~C(13,6) = 1716)
