============================================================
n=7: Checking if total odd cycles = 3 is possible
============================================================
  Total tournaments: 2097152
  FOUND: bits=34991, t₃=3, t₅=0, t₇=0
  FOUND: bits=35055, t₃=3, t₅=0, t₇=0
  FOUND: bits=35119, t₃=3, t₅=0, t₇=0
  FOUND: bits=35183, t₃=3, t₅=0, t₇=0
  FOUND: bits=35247, t₃=3, t₅=0, t₇=0
  FOUND: bits=35310, t₃=3, t₅=0, t₇=0
  FOUND: bits=35326, t₃=3, t₅=0, t₇=0
  FOUND: bits=35822, t₃=3, t₅=0, t₇=0
  FOUND: bits=35823, t₃=3, t₅=0, t₇=0
  FOUND: bits=36290, t₃=3, t₅=0, t₇=0
  FOUND: bits=36292, t₃=3, t₅=0, t₇=0
  FOUND: bits=36294, t₃=3, t₅=0, t₇=0
  FOUND: bits=36296, t₃=3, t₅=0, t₇=0
  FOUND: bits=36298, t₃=3, t₅=0, t₇=0
  FOUND: bits=36300, t₃=3, t₅=0, t₇=0
  FOUND: bits=36303, t₃=3, t₅=0, t₇=0
  FOUND: bits=36318, t₃=3, t₅=0, t₇=0
  FOUND: bits=36319, t₃=3, t₅=0, t₇=0
  FOUND: bits=36334, t₃=3, t₅=0, t₇=0
  FOUND: bits=36335, t₃=3, t₅=0, t₇=0
  FOUND: bits=36350, t₃=3, t₅=0, t₇=0
  FOUND: bits=36815, t₃=3, t₅=0, t₇=0
  FOUND: bits=36847, t₃=3, t₅=0, t₇=0
  FOUND: bits=36971, t₃=3, t₅=0, t₇=0
  FOUND: bits=36987, t₃=3, t₅=0, t₇=0
  FOUND: bits=37039, t₃=3, t₅=0, t₇=0
  FOUND: bits=37103, t₃=3, t₅=0, t₇=0
  FOUND: bits=38210, t₃=3, t₅=0, t₇=0
  FOUND: bits=38340, t₃=3, t₅=0, t₇=0
  FOUND: bits=38342, t₃=3, t₅=0, t₇=0
  FOUND: bits=38722, t₃=3, t₅=0, t₇=0
  FOUND: bits=39023, t₃=3, t₅=0, t₇=0
  FOUND: bits=39085, t₃=3, t₅=0, t₇=0
  FOUND: bits=39101, t₃=3, t₅=0, t₇=0
  FOUND: bits=39151, t₃=3, t₅=0, t₇=0
  FOUND: bits=40324, t₃=3, t₅=0, t₇=0
  FOUND: bits=40386, t₃=3, t₅=0, t₇=0
  FOUND: bits=40390, t₃=3, t₅=0, t₇=0
  FOUND: bits=40836, t₃=3, t₅=0, t₇=0
  FOUND: bits=41982, t₃=3, t₅=0, t₇=0
  FOUND: bits=42975, t₃=3, t₅=0, t₇=0
  FOUND: bits=44030, t₃=3, t₅=0, t₇=0
  FOUND: bits=45023, t₃=3, t₅=0, t₇=0
  FOUND: bits=47277, t₃=3, t₅=0, t₇=0
  FOUND: bits=47279, t₃=3, t₅=0, t₇=0
  FOUND: bits=47677, t₃=3, t₅=0, t₇=0
  FOUND: bits=47805, t₃=3, t₅=0, t₇=0
  FOUND: bits=48516, t₃=3, t₅=0, t₇=0
  FOUND: bits=48580, t₃=3, t₅=0, t₇=0
  FOUND: bits=49040, t₃=3, t₅=0, t₇=0
  FOUND: bits=49044, t₃=3, t₅=0, t₇=0
  FOUND: bits=53256, t₃=3, t₅=0, t₇=0
  FOUND: bits=53505, t₃=3, t₅=0, t₇=0
