a	b	c	denominator	E0_numerator	E1_numerator	E2_numerator	mass_numerator	raw_carriers
34	53	56	4238304	116280	115116	104832	101652	4
34	53	58	4389672	44472	59784	121596	30204	4
34	53	59	4465356	79968	135468	175320	65454	6
34	53	61	4616724	153408	164088	136152	73104	8
34	53	62	4692408	158916	143736	194700	78984	8
34	55	56	4398240	93024	134640	108864	93024	4
34	55	58	4555320	139536	183480	190164	81072	8
34	55	59	4633860	115056	140580	117588	61266	6
34	55	61	4790940	121584	106590	155160	78048	6
34	55	62	4869480	77724	146520	146184	59244	6
34	56	59	4718112	99756	119616	140760	53736	6
34	56	61	4878048	77724	147168	153456	53196	6
34	58	59	4886616	100368	91872	129048	86208	4
34	58	61	5052264	85680	141984	141984	85680	4
34	59	61	5139372	157488	125316	132126	93492	6
34	59	62	5223624	76500	97704	180516	36696	6
34	61	62	5400696	146880	206424	200028	109308	8
35	37	38	2066820	9240	63048	47424	9240	4
35	37	40	2175600	58800	53280	49920	31050	4
35	37	41	2229990	16800	38184	8364	8364	2
35	37	43	2338770	33180	66600	50052	22968	4
35	37	44	2393160	91770	58608	58608	57138	4
35	37	46	2501940	60480	55056	45816	28386	4
35	37	47	2556330	90720	64380	84036	41436	6
35	37	49	2665110	86100	80808	99540	46620	6
35	37	50	2719500	53760	66600	56820	32670	4
35	37	52	2828280	50400	93240	79068	50400	4
35	37	53	2882670	69300	93240	79692	69300	4
35	37	55	2991450	93240	73260	80940	73260	4
35	37	56	3045840	93240	55944	81564	55944	4
35	37	58	3154620	67830	114552	109260	50430	6
35	37	59	3209010	90300	66600	105276	38856	6
35	37	61	3317790	61740	99900	100560	39000	6
35	37	62	3372180	103740	69486	97956	55836	6
35	38	40	2234400	57120	54720	48000	28620	4
35	38	41	2290260	219240	139536	227706	139536	12
35	38	43	2401980	94080	61104	75594	37992	6
35	38	44	2457840	26880	79344	23232	10692	4
35	38	46	2569560	70560	78888	76032	30540	6
35	38	47	2625420	81480	75696	66834	27672	6
35	38	49	2737140	90930	47880	79338	47880	4
35	38	50	2793000	75600	68400	95760	68400	4
35	38	52	2904720	92820	71136	71136	68196	4
35	38	53	2960580	91980	97584	93174	49572	6
35	38	55	3072300	55440	75240	95760	55440	4
35	38	56	3128160	95340	97356	110376	57456	6
35	38	58	3239880	104160	63156	97992	52236	6
35	38	59	3295740	74550	93936	103902	60126	6
35	38	61	3407460	84420	80256	110832	44766	6
35	38	62	3463320	99960	80940	122280	41136	6
35	40	41	2410800	40320	98400	59040	40320	4
35	40	43	2528400	60480	99840	61920	59520	4
35	40	44	2587200	70560	93600	63360	63360	4
35	40	46	2704800	90720	76320	66240	66240	4
35	40	47	2763600	99330	67680	67680	66210	4
35	40	49	2881200	100590	50400	70560	50400	4
35	40	52	3057600	57120	79440	74880	39960	4
35	40	53	3116400	64050	106560	125610	46560	6
35	40	56	3292800	87360	102480	129360	60480	6
35	40	58	3410400	102900	93360	130380	63360	6
35	40	59	3469200	104580	84960	130890	58710	6
35	40	61	3586800	107100	67680	131910	48570	6
35	40	62	3645600	113820	109440	164040	48960	8
35	41	43	2591610	32340	64452	81588	32340	4
35	41	44	2651880	15960	85608	46464	15714	4
35	41	46	2772420	100590	47232	44712	44502	4
35	41	47	2832690	252420	175152	265752	175152	12
35	41	49	2953230	103320	89544	86940	51660	6
35	41	50	3013500	72030	119310	70800	42510	6
35	41	52	3134040	69090	77982	59280	43752	4
35	41	53	3194310	24360	92496	33708	13536	4
35	41	55	3314850	100380	81180	80700	78240	4
35	41	56	3375120	78120	61992	103320	61992	4
35	41	58	3495660	108360	178596	206640	108360	8
35	41	59	3555930	86520	107748	93456	45684	6
35	41	61	3676470	106680	85116	110952	72732	6
35	41	62	3736740	93240	101844	143172	64950	6
35	43	44	2781240	65520	53664	75300	42534	4
35	43	46	2907660	68040	56760	63480	38070	4
35	43	47	2970870	10500	81528	68808	10500	4
35	43	49	3097290	108360	93912	80640	54180	6
35	43	50	3160500	106890	77400	77400	75930	4
35	43	52	3286920	25620	62436	96612	24372	4
35	43	53	3350130	107520	81528	109512	59532	6
35	43	55	3476550	73500	136740	83820	50280	6
35	43	56	3539760	75390	110166	111720	65016	6
35	43	58	3666180	90930	122292	85500	52992	6
35	43	59	3729390	46200	79980	21948	17820	4
35	43	61	3855810	111300	71208	107616	42936	6
35	43	62	3919020	51450	6450	3720	3720	2
35	44	46	2975280	87780	160248	88044	81708	6
35	44	47	3039960	57330	87648	109698	32784	6
35	44	49	3169320	110880	70224	108360	55440	6
35	44	50	3234000	53760	79200	84540	47160	4
35	44	52	3363360	100800	180840	218424	100800	8
35	44	53	3428040	284550	211728	303378	211728	12
35	44	55	3557400	60060	87120	82830	57420	4
35	44	56	3622080	110880	133056	148512	66528	8
35	44	58	3751440	107940	91872	89196	88932	4
35	44	59	3816120	59220	110880	99690	59220	4
35	44	61	3945480	54390	5808	4758	4758	2
35	44	62	4010160	21840	106392	46128	17352	4
35	46	47	3178140	93450	168360	147636	93450	6
35	46	49	3313380	115920	115920	144690	57960	8
35	46	50	3381000	50400	82800	115920	50400	4
35	46	52	3516240	61740	127236	100776	40080	6
35	46	53	3583860	114450	87768	87768	86298	4
35	46	55	3719100	83160	91080	115920	83160	4
35	46	56	3786720	115920	90804	122472	69552	6
35	46	58	3921960	232680	327612	220320	212532	12
35	46	59	3989580	57960	4416	6726	4416	2
35	46	61	4124820	73080	106536	115920	73080	4
35	46	62	4192440	99960	90252	138612	51936	6
35	47	49	3385410	118440	118440	127260	59220	8
35	47	50	3454500	113400	84600	97200	84600	4
35	47	52	3592680	119280	74730	120996	65136	6
35	47	53	3661770	17220	106032	67416	17220	4
35	47	55	3799950	75180	149460	82980	49800	6
35	47	56	3869040	118440	142128	156744	71064	8
35	47	58	4007220	59220	3666	7656	3666	2
35	47	59	4076310	352380	247596	374232	247596	14
35	47	61	4214490	115500	100956	98016	98016	4
35	47	62	4283580	126000	116748	132876	85674	6
35	49	50	3601500	87150	142590	109200	63000	6
35	49	52	3745560	96810	139650	113568	65520	6
35	49	53	3817590	84420	105840	66780	66780	4
35	49	55	3961650	95760	97020	69300	69300	4
