Investigating H=21 at n=8
Generating 500000 random tournaments

Compiling C extension...
C extension compiled successfully.
  50000/500000 done  (12743/s, ETA 35s)
  100000/500000 done  (12542/s, ETA 32s)
  150000/500000 done  (12115/s, ETA 29s)
  200000/500000 done  (12045/s, ETA 25s)
  250000/500000 done  (12236/s, ETA 20s)
  300000/500000 done  (12142/s, ETA 16s)
  350000/500000 done  (12236/s, ETA 12s)
  400000/500000 done  (12212/s, ETA 8s)
  450000/500000 done  (12161/s, ETA 4s)
  500000/500000 done  (12154/s, ETA 0s)

Completed in 41.1s (12154 tournaments/s)

============================================================
FULL H DISTRIBUTION (sorted by H value)
============================================================
  H=   309:     2187 ( 0.437%)
  H=   311:     1995 ( 0.399%)
  H=   313:     1779 ( 0.356%)
  H=   315:     2179 ( 0.436%)
  H=   317:     3133 ( 0.627%)
  H=   319:     1909 ( 0.382%)
  H=   321:     2950 ( 0.590%)
  H=   323:     2358 ( 0.472%)
  H=   325:     2096 ( 0.419%)
  H=   327:     1802 ( 0.360%)
  H=   329:     2706 ( 0.541%)
  H=   331:     1249 ( 0.250%)
  H=   333:     2768 ( 0.554%)
  H=   335:     2879 ( 0.576%)
  H=   337:     2182 ( 0.436%)
  H=   339:     2604 ( 0.521%)
  H=   341:     1882 ( 0.376%)
  H=   343:      918 ( 0.184%)
  H=   345:     3574 ( 0.715%)
  H=   347:     2884 ( 0.577%)
  H=   349:     2857 ( 0.571%)
  H=   351:     3214 ( 0.643%)
  H=   353:     2426 ( 0.485%)
  H=   355:     1689 ( 0.338%)
  H=   357:     2226 ( 0.445%)
  H=   359:     2628 ( 0.526%)
  H=   361:     2380 ( 0.476%)
  H=   363:      771 ( 0.154%)
  H=   365:     2498 ( 0.500%)
  H=   367:     1653 ( 0.331%)
  H=   369:     2892 ( 0.578%)
  H=   371:     2261 ( 0.452%)
  H=   373:     2662 ( 0.532%)
  H=   375:     2896 ( 0.579%)
  H=   377:     1541 ( 0.308%)
  H=   379:     2068 ( 0.414%)
  H=   381:     1683 ( 0.337%)
  H=   383:     2713 ( 0.543%)
  H=   385:     1460 ( 0.292%)
  H=   387:     1414 ( 0.283%)
  H=   389:     2219 ( 0.444%)
  H=   391:     1508 ( 0.302%)
  H=   393:     2268 ( 0.454%)
  H=   395:      593 ( 0.119%)
  H=   397:     1891 ( 0.378%)
  H=   399:     2122 ( 0.424%)
  H=   401:     3305 ( 0.661%)
  H=   403:     2108 ( 0.422%)
  H=   405:     1552 ( 0.310%)
  H=   407:     3593 ( 0.719%)
  H=   409:     2783 ( 0.557%)
  H=   411:     1713 ( 0.343%)
  H=   413:     2217 ( 0.443%)
  H=   415:     1967 ( 0.393%)
  H=   417:     3007 ( 0.601%)
  H=   419:     1480 ( 0.296%)
  H=   421:     2567 ( 0.513%)
  H=   423:     2250 ( 0.450%)
  H=   425:     3074 ( 0.615%)
  H=   427:     2071 ( 0.414%)
  H=   429:     1641 ( 0.328%)
  H=   431:     1521 ( 0.304%)
  H=   433:     1507 ( 0.301%)
  H=   435:     1451 ( 0.290%)
  H=   437:     1522 ( 0.304%)
  H=   439:     1590 ( 0.318%)
  H=   441:     2319 ( 0.464%)
  H=   443:     1072 ( 0.214%)
  H=   445:     1952 ( 0.390%)
  H=   447:     1302 ( 0.260%)
  H=   449:     2642 ( 0.528%)
  H=   451:     2098 ( 0.420%)
  H=   453:     1054 ( 0.211%)
  H=   455:     1338 ( 0.268%)
  H=   457:     1263 ( 0.253%)
  H=   459:     2218 ( 0.444%)
  H=   461:     1489 ( 0.298%)
  H=   463:     2412 ( 0.482%)
  H=   465:     1389 ( 0.278%)
  H=   467:     2548 ( 0.510%)
  H=   469:     2453 ( 0.491%)
  H=   471:     1805 ( 0.361%)
  H=   473:     1916 ( 0.383%)
  H=   475:     1851 ( 0.370%)
  H=   477:     1804 ( 0.361%)
  H=   479:     1000 ( 0.200%)
  H=   481:     1566 ( 0.313%)
  H=   483:     1146 ( 0.229%)
  H=   485:      873 ( 0.175%)
  H=   487:      742 ( 0.148%)
  H=   489:     1249 ( 0.250%)
  H=   491:     1785 ( 0.357%)
  H=   493:     1327 ( 0.265%)
  H=   495:     1628 ( 0.326%)
  H=   497:     2521 ( 0.504%)
  H=   499:     1456 ( 0.291%)
  H=   501:     1129 ( 0.226%)
  H=   503:     2165 ( 0.433%)
  H=   505:     1376 ( 0.275%)
  H=   507:     1369 ( 0.274%)
  H=   509:     2568 ( 0.514%)
  H=   511:     2341 ( 0.468%)
  H=   513:     2493 ( 0.499%)
  H=   515:      921 ( 0.184%)
  H=   517:     1547 ( 0.309%)
  H=   519:     1797 ( 0.359%)
  H=   521:     1273 ( 0.255%)
  H=   523:     2844 ( 0.569%)
  H=   525:      757 ( 0.151%)
  H=   527:     1640 ( 0.328%)
  H=   529:     1394 ( 0.279%)
  H=   531:     1177 ( 0.235%)
  H=   533:     1823 ( 0.365%)
  H=   535:      784 ( 0.157%)
  H=   537:      891 ( 0.178%)
  H=   539:     1204 ( 0.241%)
  H=   541:      745 ( 0.149%)
  H=   543:      447 ( 0.089%)
  H=   545:     1479 ( 0.296%)
  H=   547:     1690 ( 0.338%)
  H=   549:      519 ( 0.104%)
  H=   551:     1201 ( 0.240%)
  H=   553:      845 ( 0.169%)
  H=   555:      744 ( 0.149%)
  H=   557:      454 ( 0.091%)
  H=   559:      437 ( 0.087%)
  H=   561:     1046 ( 0.209%)
  H=   563:      902 ( 0.180%)
  H=   565:      573 ( 0.115%)
  H=   567:      496 ( 0.099%)
  H=   569:     1023 ( 0.205%)
  H=   571:      731 ( 0.146%)
  H=   573:     1489 ( 0.298%)
  H=   575:      577 ( 0.115%)
  H=   577:      513 ( 0.103%)
  H=   579:     1000 ( 0.200%)
  H=   581:      908 ( 0.182%)
  H=   583:     1547 ( 0.309%)
  H=   585:     1304 ( 0.261%)
  H=   587:      758 ( 0.152%)
  H=   589:     1228 ( 0.246%)
  H=   591:      904 ( 0.181%)
  H=   593:     1673 ( 0.335%)
  H=   595:     1007 ( 0.201%)
  H=   597:      888 ( 0.178%)
  H=   599:      569 ( 0.114%)
  H=   601:      157 ( 0.031%)
  H=   603:      162 ( 0.032%)
  H=   605:      324 ( 0.065%)
  H=   607:      159 ( 0.032%)
  H=   609:      150 ( 0.030%)
  H=   613:      137 ( 0.027%)
  H=   621:       33 ( 0.007%)
  H=   627:      147 ( 0.029%)
  H=   629:       79 ( 0.016%)
  H=   631:      323 ( 0.065%)
  H=   633:       49 ( 0.010%)
  H=   637:       78 ( 0.016%)
  H=   639:      308 ( 0.062%)
  H=   641:      589 ( 0.118%)
  H=   643:      437 ( 0.087%)
  H=   645:      272 ( 0.054%)
  H=   649:      291 ( 0.058%)
  H=   651:      785 ( 0.157%)
  H=   653:      942 ( 0.188%)
  H=   657:      937 ( 0.187%)
  H=   659:      336 ( 0.067%)
  H=   661:      471 ( 0.094%)

============================================================
H VALUES NEAR 21
============================================================
  H=  10:        0
  H=  11:      307
  H=  12:        0
  H=  13:      287
  H=  14:        0
  H=  15:      744
  H=  16:        0
  H=  17:      435
  H=  18:        0
  H=  19:      443
  H=  20:        0
  H=  21:        0 <--- TARGET
  H=  22:        0
  H=  23:      885
  H=  24:        0
  H=  25:      656
  H=  26:        0
  H=  27:      732
  H=  28:        0
  H=  29:     1216
  H=  30:        0
  H=  31:      694
  H=  32:        0
  H=  33:     1358
  H=  34:        0
  H=  35:      302

============================================================
KEY QUESTION: Does H=21 occur?
============================================================
  NO. H=21 never occurred in 500000 samples.

============================================================
H PARITY ANALYSIS (n=8 is even)
============================================================
  Odd H values:  320 distinct, 500000 total (100.0%)
  Even H values: 0 distinct, 0 total (0.0%)
  Odd H list: [1, 3, 5, 9, 11, 13, 15, 17, 19, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83]...

  min(H)    = 1
  max(H)    = 661
  mean(H)   = 314.91
  median(H) = 317.0
  std(H)    = 152.27

  Missing H values in [1, 661]:
    [2, 4, 6, 7, 8, 10, 12, 14, 16, 18, 20, 21, 22, 24, 26, 28, 30, 32, 34, 36]
    [38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76]
    [78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116]
    [118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152, 154, 156]
    [158, 160, 162, 164, 166, 168, 170, 172, 174, 176, 178, 180, 182, 184, 186, 188, 190, 192, 194, 196]
    [198, 200, 202, 204, 206, 208, 210, 212, 214, 216, 218, 220, 222, 224, 226, 228, 230, 232, 234, 236]
    [238, 240, 242, 244, 246, 248, 250, 252, 254, 256, 258, 260, 262, 264, 266, 268, 270, 272, 274, 276]
    [278, 280, 282, 284, 286, 288, 290, 292, 294, 296, 298, 300, 302, 304, 306, 308, 310, 312, 314, 316]
    [318, 320, 322, 324, 326, 328, 330, 332, 334, 336, 338, 340, 342, 344, 346, 348, 350, 352, 354, 356]
