======================================================================
SUM b1(T\v) DELETION ANALYSIS — HYP-282
======================================================================

--- n=5 exhaustive (1024 tournaments) ---
  VIOLATION: bits=554, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=556, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=558, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=597, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=609, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=611, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=613, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=620, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=621, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=629, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=660, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=662, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=665, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=668, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=669, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=675, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=680, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=682, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=683, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=684, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=691, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=696, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=697, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=699, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=700, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=706, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=709, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=710, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=711, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=714, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=724, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=725, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=726, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=729, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=733, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=738, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=739, scores=(2, 2, 2, 2, 2), sum=5, b1=1
  VIOLATION: bits=741, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=743, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=746, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=774, scores=(1, 2, 2, 2, 3), sum=4, b1=1
  VIOLATION: bits=804, scores=(1, 2, 2, 2, 3), sum=4, b1=1
