G_9 edge computation via nauty
n=9, m=36
Read 191536 classes in 0.34s

Phase 2: Computing (score, c3, H) for 191536 classes...
  10000/191536 (18.3s)
  20000/191536 (36.4s)
  30000/191536 (55.5s)
  40000/191536 (74.3s)
  50000/191536 (92.8s)
  60000/191536 (111.3s)
  70000/191536 (129.5s)
  80000/191536 (148.1s)
  90000/191536 (167.0s)
  100000/191536 (185.8s)
  110000/191536 (205.1s)
  120000/191536 (223.8s)
  130000/191536 (243.0s)
  140000/191536 (262.2s)
  150000/191536 (281.1s)
  160000/191536 (299.7s)
  170000/191536 (318.2s)
  180000/191536 (337.6s)
  190000/191536 (356.3s)
Phase 2 done: 32210 hash groups in 359.3s
Ambiguous groups: 22074

Phase 2b: Canonical forms for ambiguous groups...
  176000/181400 canons (132.4s)
  177000/181400 canons (132.9s)
  178000/181400 canons (133.3s)
  179000/181400 canons (133.6s)
  180000/181400 canons (134.4s)
  181000/181400 canons (135.2s)
Phase 2b done: 181400 canonical forms in 135.6s

Phase 3: Computing edges...
  5000/191536 (402.4s, ETA 15013s, 140344 edges)
  10000/191536 (869.5s, ETA 15785s, 276476 edges)
  15000/191536 (1281.3s, ETA 15079s, 397836 edges)
  20000/191536 (1712.1s, ETA 14684s, 523461 edges)
  25000/191536 (2203.5s, ETA 14678s, 653740 edges)
  30000/191536 (2743.3s, ETA 14772s, 791401 edges)
  35000/191536 (3212.4s, ETA 14367s, 921472 edges)
  40000/191536 (3650.3s, ETA 13829s, 1036828 edges)
  45000/191536 (4029.4s, ETA 13121s, 1154945 edges)
  50000/191536 (4528.7s, ETA 12819s, 1268590 edges)
  55000/191536 (4973.3s, ETA 12346s, 1372050 edges)
  60000/191536 (5386.8s, ETA 11809s, 1470084 edges)
  65000/191536 (5798.2s, ETA 11287s, 1584493 edges)
  70000/191536 (6198.6s, ETA 10762s, 1660574 edges)
  75000/191536 (6627.6s, ETA 10298s, 1777910 edges)
  80000/191536 (7118.5s, ETA 9925s, 1893679 edges)
