======================================================================
SC MAXIMIZER — FIXED COMPLEMENTARY PAIR ANALYSIS (n=6)
======================================================================

  Total regular n=6 tournaments: 2640

  H=41: 720 tournaments
    Has invol anti-aut: 720/720
    comp_both (complement pairs both cyclic): {2: 720}
    alpha_2 (from full I.P.): {2: 720}
    Full IP: {(1, 16, 2): 720}

  H=43: 1440 tournaments
    Has invol anti-aut: 0/1440
    comp_both (complement pairs both cyclic): {1: 1440}
    alpha_2 (from full I.P.): {1: 1440}
    Full IP: {(1, 19, 1): 1440}

  H=45: 480 tournaments
    Has invol anti-aut: 480/480
    comp_both (complement pairs both cyclic): {1: 240, 4: 240}
    alpha_2 (from full I.P.): {1: 240, 4: 240}
    Full IP: {(1, 14, 4): 240, (1, 20, 1): 240}

  ===== THEOREM STRUCTURE =====
  comp_both -> alpha_2 -> H mapping:
  comp_both=1: 1680 tours, H={43: 1440, 45: 240}, alpha_2={1: 1680}, anti_aut=240/1680
  bits=2108: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2136: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2138: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2168: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2169: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2194: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2196: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2198: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2200: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2202: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2204: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2225: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2228: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2229: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2232: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2233: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2236: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2257: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=2258: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=2259: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
