==============================================================================
S702: lower-half deletion ladder M(AP_n \ {a}), a < n/2
  a= 3: M=    1/11=0.09091  1/M=11  t=7/22  binders=[6, 16]
  a= 4: M=    2/23=0.08696  1/M=23/2  t=17/23  binders=[8, 15]
  a= 5: M=    2/23=0.08696  1/M=23/2  t=9/23  binders=[10, 13]
  a= 6: M=    2/25=0.08000  1/M=25/2  t=4/25  binders=[12, 13]
  a= 7: M=    2/25=0.08000  1/M=25/2  t=7/25  binders=[11, 14]
  a= 8: M=    2/27=0.07407  1/M=27/2  t=17/27  binders=[11, 16]

--- n=19  (1/n=1/19, 2/n=2/19) ---
  a= 1: M=    1/10=0.10000  1/M=10  t=19/20  binders=[2, 18]
  a= 2: M=    2/21=0.09524  1/M=21/2  t=10/21  binders=[4, 17]
  a= 3: M=    1/11=0.09091  1/M=11  t=7/22  binders=[6, 16]
  a= 4: M=    2/23=0.08696  1/M=23/2  t=17/23  binders=[8, 15]
  a= 5: M=    1/12=0.08333  1/M=12  t=19/24  binders=[10, 14]
  a= 6: M=    2/25=0.08000  1/M=25/2  t=4/25  binders=[12, 13]
  a= 7: M=    1/13=0.07692  1/M=13  t=11/26  binders=[12, 14]
  a= 8: M=    2/27=0.07407  1/M=27/2  t=17/27  binders=[11, 16]
  a= 9: M=    1/14=0.07143  1/M=14  t=25/28  binders=[10, 18]

--- n=20  (1/n=1/20, 2/n=2/20) ---
  a= 1: M=    2/21=0.09524  1/M=21/2  t=20/21  binders=[2, 19]
  a= 2: M=    2/23=0.08696  1/M=23/2  t=11/23  binders=[4, 19]
  a= 3: M=    2/23=0.08696  1/M=23/2  t=8/23  binders=[6, 17]
  a= 4: M=    2/25=0.08000  1/M=25/2  t=6/25  binders=[8, 17]
  a= 5: M=    1/13=0.07692  1/M=13  t=5/26  binders=[10, 16]
  a= 6: M=    2/29=0.06897  1/M=29/2  t=5/29  binders=[12, 17]
  a= 7: M=    2/27=0.07407  1/M=27/2  t=4/27  binders=[13, 14]
  a= 8: M=    2/29=0.06897  1/M=29/2  t=18/29  binders=[13, 16]
  a= 9: M=    2/29=0.06897  1/M=29/2  t=13/29  binders=[11, 18]

--- n=21  (1/n=1/21, 2/n=2/21) ---
  a= 1: M=    1/11=0.09091  1/M=11  t=1/22  binders=[2, 20]
  a= 2: M=    2/23=0.08696  1/M=23/2  t=11/23  binders=[4, 19]
  a= 3: M=    2/25=0.08000  1/M=25/2  t=8/25  binders=[6, 19]
  a= 4: M=    2/25=0.08000  1/M=25/2  t=6/25  binders=[8, 17]
  a= 5: M=    1/13=0.07692  1/M=13  t=5/26  binders=[10, 16]
  a= 6: M=    2/29=0.06897  1/M=29/2  t=5/29  binders=[12, 17]
  a= 7: M=    2/29=0.06897  1/M=29/2  t=25/29  binders=[14, 15]
  a= 8: M=    2/29=0.06897  1/M=29/2  t=18/29  binders=[13, 16]
  a= 9: M=    2/31=0.06452  1/M=31/2  t=24/31  binders=[13, 18]
  a=10: M=    2/31=0.06452  1/M=31/2  t=28/31  binders=[11, 20]

--- n=22  (1/n=1/22, 2/n=2/22) ---
  a= 1: M=    2/23=0.08696  1/M=23/2  t=1/23  binders=[2, 21]
