2 18241159416480 7133 2538 1278 14307150 0 112633695927288 {10,16,42,85,88,95,120,143,145} 563 1 {170,176,190,193,240,252,264,286,290} 3823365072384 534 133497076242816 dd1337c2ecb64ea7 UNIFORM_COFINAL_TAIL
3 18241159416480 7137 2565 1286 14307150 0 109942858381824 {8,10,80,85,88,95,120,145,252} 587 1 {170,176,190,193,240,252,264,286,290} 3741634261460 538 129083612452920 976ef43436663cdd UNIFORM_COFINAL_TAIL
4 18241159416480 7133 2503 1281 14307150 0 116779387768632 {20,84,88,170,190,240,252,286,290} 589 1 {170,176,190,193,240,252,264,286,290} 3752754603194 542 129684110906556 c3e6a706a36fa2c3 UNIFORM_COFINAL_TAIL
5 18241159416480 7133 2531 1262 14307150 0 120557906817876 {8,63,80,88,168,170,190,286,290} 528 1 {170,176,190,193,240,252,264,286,290} 3911833669990 518 138274380513540 8a77a21ca276de0d UNIFORM_COFINAL_TAIL
6 18241159416480 7141 2558 1321 14307150 0 109403351459064 {16,20,42,170,176,190,193,240,290} 614 1 {170,176,190,193,240,252,264,286,290} 3661123254964 544 124736018102136 6f4fcec94a6e6cfd UNIFORM_COFINAL_TAIL
7 18241159416480 7147 2564 1268 14307150 0 111633396708132 {8,15,80,84,88,95,145,193,286} 557 1 {170,176,190,193,240,252,264,286,290} 3880603308594 540 136587940998156 e22a7a0977243fe6 UNIFORM_COFINAL_TAIL
9 18241159416480 7149 2568 1269 14307150 0 117605623543200 {8,10,60,80,85,88,95,145,168} 547 1 {170,176,190,193,240,252,264,286,290} 3887843075326 532 136978888401684 ddf1f086dd3575f5 UNIFORM_COFINAL_TAIL
11 18241159416480 7133 2579 1289 14307150 0 109399476614976 {8,63,80,88,95,143,168,170,193} 555 1 {170,176,190,193,240,252,264,286,290} 3887497985788 540 136960253566632 c2217dbc0383b1f2 UNIFORM_COFINAL_TAIL
12 18241159416480 7157 2581 1322 14307150 0 111934788863040 {10,42,95,120,132,145,170,193,252} 586 1 {170,176,190,193,240,252,264,286,290} 3717191421748 532 127763699108472 43478f82bea3b7eb UNIFORM_COFINAL_TAIL
13 18241159416480 7157 2574 1271 14307150 0 116237838366396 {8,15,80,88,145,168,170,190,286} 557 1 {170,176,190,193,240,252,264,286,290} 3879628324630 540 136535291864100 ff7091d4fe49372a UNIFORM_COFINAL_TAIL
14 18241159416480 7161 2553 1267 14307150 0 111709805825124 {8,10,60,80,85,88,95,145,168} 538 1 {170,176,190,193,240,252,264,286,290} 3928581684818 532 139178773314252 18a5f0ddfcdc1da8 UNIFORM_COFINAL_TAIL
17 18241159416480 7165 2579 1282 14307150 0 110180402814420 {8,10,63,80,88,143,168,170,193} 581 1 {170,176,190,193,240,252,264,286,290} 3775299694520 540 130901545838160 c8d8754d6d38c593 UNIFORM_COFINAL_TAIL
18 18241159416480 7165 2590 1274 14307150 0 111847987757844 {10,16,42,60,85,95,132,145,193} 560 1 {170,176,190,193,240,252,264,286,290} 3848158924408 536 134835944252112 19948aa64327c815 UNIFORM_COFINAL_TAIL
19 18241159416480 7169 2567 1274 14307150 0 114605292910032 {8,20,88,126,145,170,190,240,286} 572 1 {170,176,190,193,240,252,264,286,290} 3850420087212 548 134958047043528 61aace12d7c25789 UNIFORM_COFINAL_TAIL
21 18241159416480 7175 2533 1255 14307150 0 114848053959600 {10,16,85,88,95,120,145,193,252} 545 1 {170,176,190,193,240,252,264,286,290} 3888174384114 530 136996779076236 20517a6ef89167e2 UNIFORM_COFINAL_TAIL
22 18241159416480 7133 2579 1292 14307150 0 109205901753120 {8,30,63,80,85,95,145,264,286} 579 1 {170,176,190,193,240,252,264,286,290} 3700987059602 522 126888663552588 df0e621552d35845 UNIFORM_COFINAL_TAIL
23 419546666579040 7177 2552 1283 14307150 0 2507912779467888 {8,15,80,88,145,168,170,190,193} 565 1 {170,176,190,193,240,252,264,286,290} 88633398321796 542 3108016843060824 f27964976ac879b2 UNIFORM_COFINAL_TAIL
24 18241159416480 7165 2610 1309 14307150 0 109545988204944 {10,63,80,88,95,120,143,168,170} 589 1 {170,176,190,193,240,252,264,286,290} 3715875436022 534 127692635879268 40aab80f6f5df530 UNIFORM_COFINAL_TAIL
25 91205797082400 7173 2578 1313 14307150 0 504652933112436 {16,63,88,95,120,143,145,168,170} 598 1 {170,176,190,193,240,252,264,286,290} 18703148035338 548 645146805578652 b59299380be1d67e UNIFORM_COFINAL_TAIL
26 18241159416480 7181 2596 1277 14307150 0 110380524395112 {10,16,42,88,95,120,145,170,193} 561 1 {170,176,190,193,240,252,264,286,290} 3850969304384 538 134987704770816 f52c40ea23276fda UNIFORM_COFINAL_TAIL
27 54723478249440 7181 2568 1258 14307150 0 345704846845176 {8,15,80,88,143,145,168,170,190} 552 1 {170,176,190,193,240,252,264,286,290} 11824259627228 548 419616106872552 a0bca2c1ae99ecf5 UNIFORM_COFINAL_TAIL
28 18241159416480 7189 2533 1243 14307150 0 110809714610088 {8,10,60,80,85,88,95,145,252} 550 1 {170,176,190,193,240,252,264,286,290} 3901389120782 538 137710374856308 8eb0bd12f9bc569d UNIFORM_COFINAL_TAIL
29 18241159416480 7189 2569 1278 14307150 0 114423282560088 {8,30,63,80,88,95,143,168,290} 546 1 {170,176,190,193,240,252,264,286,290} 3930150096376 540 139263467538384 3904fca8734999d3 UNIFORM_COFINAL_TAIL
31 565475941910880 7193 2567 1287 14307150 0 3470039885868876 {8,15,80,88,145,168,170,190,286} 571 1 {170,176,190,193,240,252,264,286,290} 118039602768398 538 4112234781849972 5be0b33bda611ede UNIFORM_COFINAL_TAIL
32 36482318832960 7197 2551 1246 14307150 0 224480493689724 {8,20,63,80,88,95,168,170,286} 569 1 {170,176,190,193,240,252,264,286,290} 7743723500090 550 272231793673020 81b2ff5eec793864 UNIFORM_COFINAL_TAIL
33 18241159416480 7197 2556 1271 14307150 0 114342573779172 {8,30,63,80,88,95,143,168,290} 562 1 {170,176,190,193,240,252,264,286,290} 3866221044550 542 135811298739780 3fcf45b3fd68331b UNIFORM_COFINAL_TAIL
34 18241159416480 7197 2548 1273 14307150 0 116220704785992 {8,30,63,80,88,95,143,145,168} 551 1 {170,176,190,193,240,252,264,286,290} 3935039727668 546 139527507628152 a994f6c607503947 UNIFORM_COFINAL_TAIL
35 18241159416480 7189 2596 1273 14307150 0 109726461497484 {8,10,60,80,85,88,95,145,168} 541 1 {20,170,190,193,240,252,264,286,290} 3665738457724 480 124985239051176 15f2457fd6a49ff3 UNIFORM_COFINAL_TAIL
36 18241159416480 7181 2608 1293 14307150 0 108252262177020 {8,10,80,88,95,120,145,168,170} 546 1 {170,176,190,193,240,252,264,286,290} 3910304463792 536 138191803378848 011a170ec248daa9 UNIFORM_COFINAL_TAIL
37 674922898409760 7205 2567 1283 14307150 0 4216548224524896 {10,16,42,88,95,120,145,170,252} 552 1 {170,176,190,193,240,252,264,286,290} 144341684168608 540 5094759351465792 261eb0d25b8b023c UNIFORM_COFINAL_TAIL
38 18241159416480 7205 2532 1277 14307150 0 112127596770456 {8,30,42,80,88,170,252,286,290} 569 1 {170,176,190,193,240,252,264,286,290} 3897778416196 556 137515396808664 92e95300a275b849 UNIFORM_COFINAL_TAIL
39 18241159416480 7185 2584 1271 14307150 0 115654280925384 {8,10,60,80,85,88,95,145,168} 535 1 {170,176,190,193,240,252,264,286,290} 3966283707504 536 141214682539296 a33cde269487ab12 UNIFORM_COFINAL_TAIL
