THM-1097 exact three-comb component certificate
arithmetic=integer-rational (__int128 cross-products)
target=7*k3*L>1
tail_mass_lower=4*ell/7-(6/49)*(1/k1+1/k2+1/k3)
tail_component_upper=ell*(k1+k2+k3)+31/7
tail_condition=21*ell*k3-7*ell*(k1+k2)-6*(k3/k1+k3/k2)-37>0
finite_k1_guard=floor(7/ell)+1
finite_k2_guard=floor(k1*(7*ell*k1+43)/(14*ell*k1-6))+1
finite_k3_guard=floor((7*ell*(k1+k2)+37)/(21*ell-6/k1-6/k2))+1
cores=220
core=[1,3,4,5,7,8,9,10,11] ell=12/539 finite_triples=180554 failures=0 hardest_triple=(146,151,154) min_7k3L=801/302
core=[2,3,4,5,7,8,9,10,11] ell=15/308 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,2,3,6,7,8,9,10,11] ell=1/77 finite_triples=2480854 failures=0 hardest_triple=(162,168,174) min_7k3L=139/56
core=[1,2,4,6,7,8,9,10,11] ell=1/70 finite_triples=1633446 failures=0 hardest_triple=(148,152,156) min_7k3L=95/37
core=[1,3,4,6,7,8,9,10,11] ell=13/616 finite_triples=243096 failures=0 hardest_triple=(146,152,153) min_7k3L=30/11
core=[2,3,4,6,7,8,9,10,11] ell=15/308 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,2,5,6,7,8,9,10,11] ell=1/70 finite_triples=1633446 failures=0 hardest_triple=(144,149,151) min_7k3L=5889/2384
core=[1,3,5,6,7,8,9,10,11] ell=25/924 finite_triples=53789 failures=0 hardest_triple=(149,156,163) min_7k3L=6357/2384
core=[2,3,5,6,7,8,9,10,11] ell=15/308 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,4,5,6,7,8,9,10,11] ell=13/616 finite_triples=243096 failures=0 hardest_triple=(198,216,234) min_7k3L=59/24
core=[2,4,5,6,7,8,9,10,11] ell=15/308 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[3,4,5,6,7,8,9,10,11] ell=2/33 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,2,3,4,5,6,7,8,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(159,165,180) min_7k3L=39/11
core=[1,2,3,4,5,6,7,9,12] ell=1/35 finite_triples=23950 failures=0 hardest_triple=(158,165,170) min_7k3L=268/79
core=[1,2,3,4,5,6,8,9,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(160,164,165) min_7k3L=229/64
core=[1,2,3,4,5,7,8,9,12] ell=1/72 finite_triples=1627049 failures=0 hardest_triple=(158,166,170) min_7k3L=3825/1106
core=[1,2,3,4,6,7,8,9,12] ell=1/28 finite_triples=2105 failures=0 hardest_triple=(158,166,170) min_7k3L=3825/1106
core=[1,2,3,5,6,7,8,9,12] ell=13/784 finite_triples=702195 failures=0 hardest_triple=(164,176,182) min_7k3L=55/16
core=[1,2,4,5,6,7,8,9,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(158,165,170) min_7k3L=221/66
core=[1,3,4,5,6,7,8,9,12] ell=5/168 finite_triples=16773 failures=0 hardest_triple=(158,165,170) min_7k3L=221/66
core=[2,3,4,5,6,7,8,9,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,5,6,7,10,12] ell=1/35 finite_triples=23950 failures=0 hardest_triple=(164,176,188) min_7k3L=10/3
core=[1,2,3,4,5,6,8,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(160,161,163) min_7k3L=1141/320
core=[1,2,3,4,5,7,8,10,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(166,187,190) min_7k3L=1247/374
core=[1,2,3,4,6,7,8,10,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(164,176,188) min_7k3L=10/3
core=[1,2,3,5,6,7,8,10,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(160,161,163) min_7k3L=1141/320
core=[1,2,4,5,6,7,8,10,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(157,178,181) min_7k3L=538/157
core=[1,3,4,5,6,7,8,10,12] ell=17/392 finite_triples=4 failures=0 hardest_triple=(157,159,160) min_7k3L=1167/314
core=[2,3,4,5,6,7,8,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,5,6,9,10,12] ell=1/28 finite_triples=2105 failures=0 hardest_triple=(165,169,170) min_7k3L=227/66
core=[1,2,3,4,5,7,9,10,12] ell=1/35 finite_triples=23950 failures=0 hardest_triple=(158,159,162) min_7k3L=3645/1106
core=[1,2,3,4,6,7,9,10,12] ell=1/28 finite_triples=2105 failures=0 hardest_triple=(162,165,166) min_7k3L=1079/324
core=[1,2,3,5,6,7,9,10,12] ell=1/35 finite_triples=23950 failures=0 hardest_triple=(175,177,187) min_7k3L=561/175
core=[1,2,4,5,6,7,9,10,12] ell=17/420 finite_triples=156 failures=0 hardest_triple=(165,169,170) min_7k3L=227/66
core=[1,3,4,5,6,7,9,10,12] ell=5/168 finite_triples=16773 failures=0 hardest_triple=(175,187,188) min_7k3L=564/175
core=[2,3,4,5,6,7,9,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,5,8,9,10,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(210,212,220) min_7k3L=139/42
core=[1,2,3,4,6,8,9,10,12] ell=1/40 finite_triples=66113 failures=0 hardest_triple=(172,174,175) min_7k3L=1205/348
core=[1,2,3,5,6,8,9,10,12] ell=19/560 finite_triples=4215 failures=0 hardest_triple=(158,166,168) min_7k3L=523/158
core=[1,2,4,5,6,8,9,10,12] ell=1/40 finite_triples=66113 failures=0 hardest_triple=(210,212,220) min_7k3L=139/42
core=[1,3,4,5,6,8,9,10,12] ell=5/168 finite_triples=16773 failures=0 hardest_triple=(166,175,176) min_7k3L=1738/525
core=[2,3,4,5,6,8,9,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,7,8,9,10,12] ell=17/840 finite_triples=245838 failures=0 hardest_triple=(162,165,166) min_7k3L=1079/324
core=[1,2,3,5,7,8,9,10,12] ell=13/784 finite_triples=702195 failures=0 hardest_triple=(163,177,187) min_7k3L=581/177
core=[1,2,4,5,7,8,9,10,12] ell=25/1008 finite_triples=69848 failures=0 hardest_triple=(163,165,173) min_7k3L=539/163
core=[1,3,4,5,7,8,9,10,12] ell=5/168 finite_triples=16773 failures=0 hardest_triple=(163,177,187) min_7k3L=581/177
core=[2,3,4,5,7,8,9,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,6,7,8,9,10,12] ell=13/784 finite_triples=702195 failures=0 hardest_triple=(163,195,198) min_7k3L=443/130
core=[1,2,4,6,7,8,9,10,12] ell=1/48 finite_triples=208373 failures=0 hardest_triple=(158,165,166) min_7k3L=361/110
core=[1,3,4,6,7,8,9,10,12] ell=5/168 finite_triples=16773 failures=0 hardest_triple=(158,165,166) min_7k3L=361/110
core=[2,3,4,6,7,8,9,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,5,6,7,8,9,10,12] ell=1/48 finite_triples=208373 failures=0 hardest_triple=(163,165,173) min_7k3L=539/163
core=[1,3,5,6,7,8,9,10,12] ell=1/28 finite_triples=2105 failures=0 hardest_triple=(175,176,177) min_7k3L=4661/1400
core=[2,3,5,6,7,8,9,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,4,5,6,7,8,9,10,12] ell=5/168 finite_triples=16773 failures=0 hardest_triple=(158,165,166) min_7k3L=13/4
core=[2,4,5,6,7,8,9,10,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[3,4,5,6,7,8,9,10,12] ell=3/56 finite_triples=0 failures=0 hardest_triple=none min_7k3L=analytic
core=[1,2,3,4,5,6,7,11,12] ell=19/539 finite_triples=2541 failures=0 hardest_triple=(160,163,175) min_7k3L=199/64
core=[1,2,3,4,5,6,8,11,12] ell=1/33 finite_triples=14210 failures=0 hardest_triple=(174,177,189) min_7k3L=22617/6844
core=[1,2,3,4,5,7,8,11,12] ell=23/1232 finite_triples=382369 failures=0 hardest_triple=(160,175,190) min_7k3L=2983/1120
core=[1,2,3,4,6,7,8,11,12] ell=27/616 finite_triples=1 failures=0 hardest_triple=(157,158,159) min_7k3L=717/157
core=[1,2,3,5,6,7,8,11,12] ell=3/112 finite_triples=40092 failures=0 hardest_triple=(176,182,197) min_7k3L=1021/364
core=[1,2,4,5,6,7,8,11,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(160,175,190) min_7k3L=91/32
core=[1,3,4,5,6,7,8,11,12] ell=13/616 finite_triples=193326 failures=0 hardest_triple=(176,188,200) min_7k3L=69/22
core=[2,3,4,5,6,7,8,11,12] ell=1/24 finite_triples=53 failures=0 hardest_triple=(157,161,163) min_7k3L=687/157
core=[1,2,3,4,5,6,9,11,12] ell=1/28 finite_triples=2105 failures=0 hardest_triple=(159,160,164) min_7k3L=51/16
core=[1,2,3,4,5,7,9,11,12] ell=6/385 finite_triples=949868 failures=0 hardest_triple=(160,178,182) min_7k3L=232/89
core=[1,2,3,4,6,7,9,11,12] ell=25/616 finite_triples=141 failures=0 hardest_triple=(162,166,168) min_7k3L=547/166
core=[1,2,3,5,6,7,9,11,12] ell=6/385 finite_triples=949868 failures=0 hardest_triple=(158,160,162) min_7k3L=221/79
core=[1,2,4,5,6,7,9,11,12] ell=5/196 finite_triples=57371 failures=0 hardest_triple=(159,160,164) min_7k3L=213/80
core=[1,3,4,5,6,7,9,11,12] ell=13/616 finite_triples=193326 failures=0 hardest_triple=(157,161,162) min_7k3L=881/322
