3,115
12,148
25,380
31,57
31,81
31,89
31,148
31,162
31,197
31,219
31,230
31,242
31,328
31,381
31,433
31,444
31,495
35,98
35,196
35,271
35,406
35,538
39,173
47,519
51,173
57,173
59,179
59,383
62,163
69,383
69,538
70,121
70,213
70,235
70,293
70,326
70,342
70,392
70,460
70,490
70,524
70,547
74,538
75,459
78,173
78,271
81,296
81,420
83,219
83,358
83,444
83,538
83,541
86,173
86,383
89,148
93,148
93,538
98,127
98,313
98,383
98,512
99,306
99,383
102,296
107,148
109,173
115,148
115,173
115,203
115,265
115,296
115,308
115,381
115,383
115,384
115,406
115,420
115,462
115,519
115,538
116,242
118,148
121,128
121,148
121,294
121,383
127,164
127,269
127,271
127,444
127,538
128,230
128,392
131,173
131,383
148,161
148,178
148,179
148,188
148,203
148,214
148,242
148,243
148,245
148,259
148,267
148,279
148,293
148,297
148,304
148,312
148,318
148,337
148,358
148,363
148,369
148,379
148,391
148,395
148,404
148,406
148,407
148,408
148,411
148,415
148,427
148,433
148,471
148,473
148,477
148,508
148,509
148,518
148,525
148,537
148,541
148,544
148,546
148,547
148,556
148,558
148,570
148,571
148,575
148,591
153,508
155,163
155,179
155,271
155,296
155,313
155,381
155,383
155,395
155,409
155,444
156,173
156,383
156,420
163,179
163,203
163,242
163,409
163,420
163,462
163,538
166,383
166,444
166,538
169,179
172,179
172,538
173,195
173,242
173,245
173,257
173,262
173,269
173,293
173,297
173,304
173,311
173,312
173,335
173,360
173,381
173,383
173,407
173,444
173,448
173,460
173,462
173,471
173,487
173,489
173,491
173,495
173,514
173,537
173,541
173,545
173,564
173,594
179,219
179,242
179,306
179,324
179,325
179,328
179,369
179,381
179,383
179,465
179,512
179,519
179,538
187,313
189,383
196,313
196,383
196,420
203,230
203,271
203,383
203,420
203,538
204,296
218,383
219,296
219,409
219,459
219,512
222,242
227,383
230,383
230,406
242,271
242,313
242,337
242,383
242,385
242,420
242,550
244,296
245,265
253,383
254,383
254,444
254,538
257,383
259,313
265,296
265,408
265,431
265,545
269,420
271,325
271,358
271,361
271,383
271,519
271,557
296,301
296,325
296,359
296,409
296,459
296,489
296,540
301,444
308,383
310,444
312,383
313,326
313,335
313,358
313,369
313,381
313,409
313,487
313,545
325,383
325,444
325,538
328,358
335,383
335,538
337,383
337,538
344,420
346,495
346,538
358,420
358,484
358,538
361,383
361,420
361,538
369,383
369,409
378,383
381,519
381,538
381,592
381,594
383,393
383,406
383,431
383,437
383,444
383,459
383,462
383,467
383,468
383,471
383,484
383,487
383,495
383,509
383,514
383,538
383,542
383,543
383,564
383,573
383,592
383,594
395,538
406,420
406,538
409,516
409,538
409,541
409,567
420,431
420,433
420,476
420,508
431,444
443,538
444,459
444,538
444,564
459,538
508,538
516,538
518,538
519,538
538,543
538,550
538,558
538,567
