w0,w1,weight,count8,least8,count9,least9
0000000000000000,0000000000600000,2,1,094a0281,38,09460a81
0000000000000000,0000000000800000,1,0,,77,08090a8b
0000000000000000,0000000000800002,2,0,,2,0a290889
0000000000000000,0000000000840002,3,0,,3,08294889
0000000000000000,0000000000a00000,2,0,,65,08454a81
0000000000000000,0000000000c00000,2,3,09080a89,208,08084a8d
0000000000000000,0000000000c00002,3,0,,7,0a28088b
0000000000000000,0000000000c00003,4,0,,1,0aa84109
0000000000000000,0000000000c40000,3,0,,3,082c4889
0000000000000000,0000000000c40002,4,0,,4,08684889
0000000000000000,0000000000c40003,5,0,,1,08a84149
0000000000000000,0000000000e00000,3,2,09480a81,55,09480a83
0000000000000000,0000000001000000,1,226,01c0c0c4,3474,0164a08a
0000000000000000,0000000001000002,2,0,,41,0a80c12c
0000000000000000,0000000001000010,2,7,0284e082,89,0284e086
0000000000000000,0000000001000040,2,0,,1,02a4e140
0000000000000000,0000000001000450,4,0,,5,0284e142
0000000000000000,0000000001010000,2,7,08622888,97,0862208e
0000000000000000,0000000001030000,3,0,,1,08e6a080
0000000000000000,0000000001030010,4,0,,7,08c6a082
0000000000000000,0000000001040000,2,0,,1,08c4c148
0000000000000000,0000000001040002,3,0,,5,08c0c8c8
0000000000000000,0000000001040010,3,0,,2,08c4e0c0
0000000000000000,0000000001050000,3,0,,4,0864a888
0000000000000000,0000000001050002,4,0,,8,08c0e128
0000000000000000,0000000001070000,4,0,,2,08e4a880
0000000000000000,0000000001070010,5,0,,9,08c4a980
0000000000000000,0000000001080000,2,1,0282e088,55,0282a988
0000000000000000,0000000001080002,3,13,0280e188,199,0280c12e
0000000000000000,0000000001100010,3,0,,2,00c6e0c0
0000000000000000,0000000001110000,3,0,,8,0066a888
0000000000000000,0000000001130000,4,0,,5,00e6a082
0000000000000000,0000000001130010,5,1,00c6e080,8,00c6e082
0000000000000000,0000000001140000,3,0,,10,00c4c168
0000000000000000,0000000001140010,4,1,00c4e0c0,13,00c4e0c2
0000000000000000,0000000001150000,4,1,00c4e088,37,0064e08a
0000000000000000,0000000001170000,5,1,00e4e080,10,00e4a182
0000000000000000,0000000001170010,6,5,00c4e084,21,00c4e086
0000000000000000,0000000001180000,3,0,,1,00c2e0c8
0000000000000000,0000000001190000,4,0,,14,00c2a988
0000000000000000,00000000011c0002,5,0,,16,00c0c16c
0000000000000000,00000000011d0002,6,1,00c0e188,47,00c0c1ac
0000000000000000,0000000002000000,1,97,01804649,1130,00864649
0000000000000000,0000000002000001,2,29,02602609,423,00826649
0000000000000000,0000000002400000,2,4,09824049,79,08864149
0000000000000000,0000000002400001,3,0,,19,0882414d
0000000000000000,0000000002600000,3,0,,2,09c24241
0000000000000000,0000000003000000,2,0,,5,09c26048
0000000000000000,0000000004000000,1,435,000a9889,7766,0003988b
0000000000000000,0000000004000002,2,0,,3,0a098889
0000000000000000,0000000004000400,2,0,,3,02889125
0000000000000000,0000000004002000,2,0,,10,08479808
0000000000000000,0000000004010000,2,0,,4,088a8988
0000000000000000,0000000004040000,2,0,,1,084c8889
0000000000000000,0000000004040002,3,0,,2,08498889
0000000000000000,0000000004080000,2,0,,14,020a888b
0000000000000000,0000000004080002,3,0,,36,0208809f
0000000000000000,0000000004100000,2,0,,5,000f8889
0000000000000000,0000000004140000,3,0,,6,000c809f
0000000000000000,0000000004180000,3,0,,7,004a888b
0000000000000000,00000000041c0002,5,0,,5,0049888b
0000000000000000,0000000004400000,2,14,080e0889,176,080a009f
0000000000000000,0000000004800000,2,0,,3,090d0889
0000000000000000,0000000004c00000,3,0,,6,0948088d
0000000000000000,0000000005000000,2,0,,35,038081ac
0000000000000000,0000000005010000,3,0,,2,08c38888
0000000000000000,0000000006400000,3,0,,5,09860849
0000000000000000,0000000008000000,1,69,018c0609,1348,008c260b
0000000000000000,0000000008010000,2,0,,8,008d450c
0000000000000000,0000000008100000,2,0,,1,008e6109
0000000000000000,0000000008140000,3,0,,5,008c610b
0000000000000000,0000000008150000,4,0,,1,00cd6108
0000000000000000,0000000008400000,2,0,,4,088e0309
0000000000000000,0000000008600000,3,0,,2,09ce0201
0000000000000000,0000000008800000,2,0,,1,098d0209
0000000000000000,0000000008a00000,3,0,,3,09c54201
0000000000000000,0000000008c00000,3,0,,5,098c400d
0000000000000000,0000000008e00000,4,0,,5,09cc4201
0000000000000000,000000000a000000,2,9,01842609,229,00866309
0000000000000000,000000000a400000,3,1,09864009,20,0886410d
0000000000000000,000000000a600000,4,0,,1,09c64201
0000000000000000,000000000b000000,3,0,,2,09c62808
0000000000000000,000000000c000000,2,0,,1,098f0009
0000000000000000,000000000c400000,3,0,,6,098e000b
0000000000000000,000000000e400000,4,0,,2,09c60809
0000000000000000,0000000010000000,1,0,,33,03050649
0000000000000000,0000000012000000,2,0,,22,03040e49
0000000000000000,0000000018000000,2,15,03050609,337,0305060b
0000000000000000,0000000018200000,3,0,,1,0b470201
0000000000000000,0000000018400000,3,0,,2,0b0e0209
0000000000000000,0000000018800000,3,0,,1,0b0d0209
0000000000000000,0000000018c00000,4,0,,3,0b0c020b
0000000000000000,000000001a000000,3,7,03042609,115,0304041f
0000000000000000,000000001a400000,4,0,,9,0b06020b
0000000000000000,000000001c000000,3,0,,3,0b070809
0000000000000000,000000001c400000,4,0,,4,0b0e000b
0000000000000000,000000001e400000,5,0,,1,0b460809
0000000000000000,0000000020000000,1,199,0029a209,4261,0029220f
0000000000000000,0000000020000001,2,3,0228220b,76,0088624b
0000000000000000,0000000020000002,2,0,,41,0a80e049
0000000000000000,0000000020000003,3,0,,1,0aa86009
0000000000000000,0000000020000010,2,0,,2,02c4e041
0000000000000000,0000000020000040,2,0,,13,022ca043
0000000000000000,0000000020000080,2,4,00a9c201,112,0089c225
0000000000000000,0000000020000100,2,3,00a96202,110,00296207
0000000000000000,0000000020000140,3,0,,1,02ad6040
0000000000000000,0000000020000450,4,0,,9,028ce041
0000000000000000,0000000020002000,2,0,,3,0a0ac20c
0000000000000000,0000000020010000,2,0,,32,082f6008
0000000000000000,0000000020040000,2,0,,14,086d2009
0000000000000000,0000000020040002,3,0,,20,0888e049
0000000000000000,0000000020040003,4,0,,3,08a86049
0000000000000000,0000000020040010,3,0,,2,08c4e041
0000000000000000,0000000020040040,3,0,,2,08a4e041
0000000000000000,0000000020040140,4,0,,1,08ad6040
0000000000000000,0000000020040450,5,0,,2,088ce041
0000000000000000,0000000020050000,3,0,,2,08ace008
0000000000000000,0000000020050002,4,0,,4,08c8e808
0000000000000000,0000000020080000,2,0,,48,028ac00b
0000000000000000,0000000020080001,3,0,,2,02aa200b
0000000000000000,0000000020080002,3,14,0288e009,213,0280e00f
0000000000000000,0000000020080003,4,0,,13,02a8200f
0000000000000000,0000000020100000,2,0,,12,002fa009
0000000000000000,0000000020100010,3,0,,1,00cee040
0000000000000000,0000000020110000,3,0,,2,00aee008
0000000000000000,0000000020140000,3,0,,95,002d600b
0000000000000000,0000000020140010,4,1,00cce040,11,00c4e045
0000000000000000,0000000020140040,4,0,,5,00ace041
0000000000000000,0000000020140450,6,0,,1,008ce045
0000000000000000,0000000020150000,4,0,,30,006d600c
0000000000000000,0000000020180000,3,0,,12,00aac00b
0000000000000000,0000000020180001,4,0,,2,00aa600b
0000000000000000,0000000020190000,4,0,,3,00cae808
0000000000000000,00000000201c0002,5,0,,74,0088c82d
0000000000000000,00000000201c0003,6,0,,10,00a8600f
0000000000000000,00000000201d0002,6,0,,26,00a8e00e
0000000000000000,0000000020200000,2,0,,2,08e34201
0000000000000000,0000000020400000,2,1,0a2e0009,19,088e0249
0000000000000000,0000000020400001,3,4,088a4049,53,088a024b
0000000000000000,0000000020800000,2,0,,10,08694209
0000000000000000,0000000020800002,3,0,,1,0aa94009
0000000000000000,0000000020840002,4,0,,2,08a94049
0000000000000000,0000000020a00000,3,0,,9,08e14241
0000000000000000,0000000020c00000,3,0,,3,088c4249
0000000000000000,0000000020c00001,4,0,,9,08a84249
0000000000000000,0000000020c00003,5,0,,4,0aa8400b
0000000000000000,0000000020c40000,4,0,,2,08ac4049
0000000000000000,0000000020c40003,6,0,,4,08a8404b
0000000000000000,0000000021000000,2,0,,109,0224e00e
0000000000000000,0000000021000002,3,0,,12,0aa0c04a
0000000000000000,0000000021000010,3,1,02c4e040,9,02c4e042
0000000000000000,0000000021000040,3,0,,7,02a4e042
0000000000000000,0000000021000450,5,0,,1,0a86e040
0000000000000000,0000000021010000,3,0,,15,08c2c80c
0000000000000000,0000000021040000,3,0,,3,08c4e048
0000000000000000,0000000021040002,4,0,,4,08c0e848
0000000000000000,0000000021040010,4,0,,6,08c4e042
0000000000000000,0000000021080000,3,0,,8,02a2e00a
0000000000000000,0000000021080002,4,1,02e0e008,39,02a0e00e
0000000000000000,0000000021100000,3,0,,1,00e6e040
0000000000000000,0000000021100010,4,0,,2,00c6e840
0000000000000000,0000000021110000,4,0,,1,00c6e808
0000000000000000,0000000021140000,4,0,,11,00c4e04c
0000000000000000,0000000021140010,5,0,,6,00c4e064
0000000000000000,0000000021150000,5,0,,6,00c4e80c
0000000000000000,00000000211c0002,6,0,,1,00e1e048
0000000000000000,00000000211d0002,7,0,,1,00e1e808
0000000000000000,0000000022000000,2,0,,18,00866249
0000000000000000,0000000022000001,3,0,,45,00a2620b
0000000000000000,0000000022400000,3,0,,34,0886404d
0000000000000000,0000000022400001,4,3,08824249,73,0882406d
0000000000000000,0000000024000000,2,0,,36,020c801f
0000000000000000,0000000024080002,4,0,,1,02c98809
0000000000000000,0000000024400001,4,0,,1,08ca0849
0000000000000000,0000000028000000,2,0,,52,00876209
0000000000000000,0000000028010000,3,0,,1,088f6008
0000000000000000,0000000028040000,3,0,,1,08cc6009
0000000000000000,0000000028050000,4,0,,1,08cd6008
0000000000000000,0000000028100000,3,0,,2,008e600d
0000000000000000,0000000028140000,4,0,,8,008c600f
0000000000000000,0000000028150000,5,0,,2,00cd600a
0000000000000000,0000000028400000,3,0,,13,088e020b
0000000000000000,0000000029010000,4,0,,1,08c76008
0000000000000000,000000002a000000,3,0,,12,00c66209
0000000000000000,000000002a400000,4,0,,12,0886402d
0000000000000000,000000002c400000,4,0,,2,08ce0809
0000000000000000,0000000040000000,1,35,00d12601,546,00c92641
0000000000000000,0000000040000004,2,22,00d14441,562,00d14425
0000000000000000,0000000040000008,2,64,00d04641,1085,00d02e41
0000000000000000,000000004000000c,3,122,00d04524,1499,00d04447
0000000000000000,0000000040000024,3,2,00c96440,21,00c96441
0000000000000000,0000000040000200,2,10,00916604,534,00914325
0000000000000000,0000000040000204,3,24,00994424,645,00914465
0000000000000000,0000000040000208,3,81,00906324,1465,00904327
0000000000000000,000000004000020c,4,193,00906425,1913,00904476
0000000000000000,0000000040000300,3,0,,21,00896641
0000000000000000,0000000040000764,7,0,,26,008d6444
0000000000000000,0000000040140034,6,0,,1,00cd6140
0000000000000000,0000000048000000,2,0,,14,00cd2301
0000000000000000,0000000048000300,4,0,,24,008d6301
0000000000000000,0000000060000000,2,1,00c96240,14,00c96241
0000000000000000,0000000060000034,5,0,,1,02cd6040
0000000000000000,0000000060000300,4,0,,10,008d6241
0000000000000000,0000000060040034,6,0,,1,08cd6040
0000000000000000,0000000060100034,6,0,,1,00cf6040
0000000000000000,0000000060140034,7,0,,6,00cd6041
0000000000000000,0000000060a00000,4,0,,1,0ac94240
0000000000000000,0000000068000000,3,1,00cd6200,25,00cd2203
0000000000000000,0000000068000300,5,0,,15,008d6203
0000000000000000,0000000080000000,1,90,001c2609,1787,0014601f
0000000000000000,0000000080000800,2,310,00186609,3608,00106e0d
0000000000000000,0000000090000000,2,0,,3,024c2449
0000000000000000,0000000092000000,3,0,,2,0a064449
0000000000000000,0000000098000000,3,0,,75,02072609
0000000000000000,000000009a000000,4,0,,27,02062e09
0000000000000000,00000000b8000000,4,0,,28,020c201f
0000000000000000,00000000b8400000,5,0,,9,0a0e020b
0000000000000000,00000000ba000000,5,0,,8,0a06220b
0000000000000000,00000000ba400000,6,0,,2,0a064a09
0000000000000000,00000000bc400000,6,0,,1,0a4e0809
0000000000000000,00000000c0000000,2,5,00556201,146,00552603
0000000000000000,00000000c0000004,3,0,,107,00556405
0000000000000000,00000000c0000008,3,8,005c2601,214,00546207
0000000000000000,00000000c000000c,4,5,02542c01,260,00546c05
0000000000000000,00000000c0000200,3,0,,48,001d2603
0000000000000000,00000000c0000204,4,0,,43,02156c01
0000000000000000,00000000c0000208,4,4,021c2601,183,001c2217
0000000000000000,00000000c000020c,5,3,021c6404,173,001c6017
0000000000000000,00000000c0000800,3,22,00516601,349,00512e41
0000000000000000,00000000c0000804,4,1,0a532400,168,00516c41
0000000000000000,00000000c0000808,4,23,00586601,391,00506e05
0000000000000000,00000000c000080c,5,12,02522c01,325,00506c45
0000000000000000,00000000c0000a00,4,1,0a132600,106,00196603
0000000000000000,00000000c0000a04,5,0,,58,02192407
0000000000000000,00000000c0000a08,5,13,02186601,258,00186607
0000000000000000,00000000c0000a0c,6,12,02186406,192,02106c45
0000000000000000,00000000d8000000,4,0,,6,024d2601
0000000000000000,00000000d8000300,6,0,,1,0a0f2600
0000000000000000,00000000f8000000,5,0,,9,024d2203
0000000000000000,0000000100000000,1,234,00288649,2610,0028832d
0000000000000000,0000000100000001,2,4,00682609,96,0028260f
0000000000000000,0000000100000040,2,0,,10,002cc445
0000000000000000,0000000100010000,2,0,,26,002ce40c
0000000000000000,0000000100140000,3,0,,2,002ce109
0000000000000000,0000000100400000,2,2,092a0209,22,082e0309
0000000000000000,0000000100400001,3,0,,6,082a030b
0000000000000000,0000000100c00000,3,0,,31,0928021b
0000000000000000,0000000120000000,2,5,0028e209,215,0028821f
0000000000000000,0000000120000001,3,2,00686209,39,0028221f
0000000000000000,0000000120010000,3,0,,8,082ea00c
