trace_w0,trace_w1,weight,full_signature_preimages,maximal
8020000000100200,0000000000010012,7,1,1
8200000000000000,0000000000010012,5,3,0
0200000000000000,0000000000010080,3,8,0
0200000000004000,0000000000010080,4,1,1
0200000000400000,0000000000010080,4,6,0
0200010000000000,0000000000010080,4,3,0
0280000000000000,0000000000010080,4,10,0
0280000000400000,0000000000010080,5,1,0
0280010000000000,0000000000010080,5,1,1
8200000000000000,0000000000010080,4,7,0
8200000000400000,0000000000010080,5,1,0
8280000000000000,0000000000010080,5,8,0
8200000000000000,0000000000010082,5,4,0
0200000000000000,0000000000010090,4,8,0
0200000000400000,0000000000010090,5,7,0
0220000000000000,0000000000010090,5,1,0
0281000000000000,0000000000010090,6,4,0
0281000000400000,0000000000010090,7,2,0
02a1000000000000,0000000000010090,7,2,1
8200000000000000,0000000000010090,5,3,0
8281000000000000,0000000000010090,7,2,1
8200000000000000,0000000000010092,6,2,0
0000000000000000,0000000000010200,2,3,0
0000800000000000,0000000000010200,3,4,0
0200000002000000,0000000000010200,4,2,0
0200800002000000,0000000000010200,5,2,1
0000000000000000,0000000000010210,3,4,0
0000800000400000,0000000000010210,5,3,0
8000000000000000,0000000000010210,4,1,0
0281000002000000,0000000000010290,8,2,0
0000000000000000,0000000000011000,2,3,0
0000000000100000,0000000000011000,3,2,0
0020000000000000,0000000000011010,4,8,0
0020000000100000,0000000000011010,5,2,0
0020000000000000,0000000000011210,5,2,1
0000000000000000,0000000000012000,2,5,0
0020000000000000,0000000000012000,3,4,0
0020000000000020,0000000000012000,4,3,0
0020000000400020,0000000000012000,5,1,1
0021000000000000,0000000000012000,4,2,1
0220000000044000,0000000000013010,8,1,1
0000000000000000,0000000000018000,2,7,0
0020000000000000,0000000000018000,3,7,0
0020080000000000,0000000000018000,4,6,0
0000000000000000,0000000000019000,3,2,0
8020000000000000,0000000000019010,6,4,0
8020080000000000,0000000000019010,7,1,1
0000000000000000,000000000001a000,3,6,0
0020000000000000,000000000001a000,4,4,0
0020000000000020,000000000001a000,5,1,1
0020080000000000,000000000001a000,5,1,1
0000000000000000,0000000000080000,1,25,0
0000000000000020,0000000000080000,2,1,0
0000080000000000,0000000000080000,2,1,0
0020000000000000,0000000000080000,2,3,0
0020080000000000,0000000000080000,3,1,0
8000000000000000,0000000000080000,2,52,0
8000000020000000,0000000000080000,3,3,0
8000800000000000,0000000000080000,3,1,0
8080000000000000,0000000000080000,3,4,0
8200000000000000,0000000000080000,3,14,0
8200000000004000,0000000000080000,4,6,0
8200010000000000,0000000000080000,4,7,0
8200010000004000,0000000000080000,5,1,0
8280000000000000,0000000000080000,4,6,0
8280010000000000,0000000000080000,5,1,0
0000000000000000,0000000000080002,2,44,0
0000000000000200,0000000000080002,3,12,0
0000000000000220,0000000000080002,4,1,0
0000080000000000,0000000000080002,3,1,0
0020000000000000,0000000000080002,3,2,0
0020000000000200,0000000000080002,4,2,0
0020080000000000,0000000000080002,4,1,0
8000000000000000,0000000000080002,3,73,0
8000000000000200,0000000000080002,4,18,0
8000000000004000,0000000000080002,4,5,0
8000000020000000,0000000000080002,4,2,0
8000000020000200,0000000000080002,5,2,0
8000010000000000,0000000000080002,4,6,0
8000800000000000,0000000000080002,4,5,0
8080000000000000,0000000000080002,4,11,0
8080010000000000,0000000000080002,5,1,0
8200000000000000,0000000000080002,4,12,0
8200000000000200,0000000000080002,5,4,0
8200000000004000,0000000000080002,5,11,0
8200000000004200,0000000000080002,6,2,0
8200010000000000,0000000000080002,5,7,0
8200010000000200,0000000000080002,6,1,1
8200010000004000,0000000000080002,6,2,1
8280000000000000,0000000000080002,5,17,0
8280000000001000,0000000000080002,6,1,1
8280000000004000,0000000000080002,6,1,1
8280010000000000,0000000000080002,6,2,1
8000000000000000,0000000000080010,3,18,0
8000000000100000,0000000000080010,4,3,0
8000080000000000,0000000000080010,4,2,0
8020000000000000,0000000000080010,4,4,0
8020000000100000,0000000000080010,5,2,0
8080000000000000,0000000000080010,4,1,0
8200000000000000,0000000000080010,4,5,0
8200010000000000,0000000000080010,5,1,0
8000000000000000,0000000000080012,4,26,0
8000000000000200,0000000000080012,5,2,0
8000000000100200,0000000000080012,6,2,0
8000080000000000,0000000000080012,5,2,0
8020000000000000,0000000000080012,5,2,0
8020000000000200,0000000000080012,6,2,0
8020000000100200,0000000000080012,7,1,1
8080000000000000,0000000000080012,5,5,0
8200000000000000,0000000000080012,5,8,0
8200000000000200,0000000000080012,6,2,1
8200010000000000,0000000000080012,6,2,1
8220000000000000,0000000000080012,6,1,1
8280000000000000,0000000000080012,6,5,0
8000000000000000,0000000000080080,3,4,0
8000010000000000,0000000000080080,4,1,0
8080000000000000,0000000000080080,4,2,0
8200000000000000,0000000000080080,4,10,0
8200000000004000,0000000000080080,5,2,0
8200010000000000,0000000000080080,5,6,0
8280000000000000,0000000000080080,5,8,0
8280010000000000,0000000000080080,6,2,1
8000000000000000,0000000000080082,4,8,0
8000000000004000,0000000000080082,5,2,0
8000010000000000,0000000000080082,5,2,0
8080000000000000,0000000000080082,5,8,0
8200000000000000,0000000000080082,5,10,0
8200000000000200,0000000000080082,6,2,0
8200000000004000,0000000000080082,6,6,0
8200000000004200,0000000000080082,7,1,1
8200010000000000,0000000000080082,6,5,1
8280000000000000,0000000000080082,6,11,0
8000000000000000,0000000000080090,4,1,0
8200000000000000,0000000000080090,5,4,0
8000000000000000,0000000000080092,5,4,0
8200000000000000,0000000000080092,6,6,0
8281000000000000,0000000000080092,8,1,1
8000000000000000,0000000000080210,4,1,0
8000000000000000,0000000000080212,5,4,0
8020000000000000,0000000000081010,5,3,0
8020080000000000,0000000000081010,6,2,0
8000000000000000,0000000000081012,5,3,0
8000000000000200,0000000000081012,6,1,0
8020000000000000,0000000000081012,6,3,0
8020000000000200,0000000000081012,7,1,1
8020080000000000,0000000000081012,7,1,1
8200000000044000,0000000000081012,8,1,1
0000000000000000,0000000000100000,1,106,0
0000000000000020,0000000000100000,2,1,0
0000000000004000,0000000000100000,2,4,0
0000000000400000,0000000000100000,2,11,0
0000000020000000,0000000000100000,2,1,0
0000002000000000,0000000000100000,2,2,0
0000004000000000,0000000000100000,2,7,0
0000004020000000,0000000000100000,3,2,0
0000010000000000,0000000000100000,2,3,0
0000800000000000,0000000000100000,2,5,0
0000800000400000,0000000000100000,3,3,0
0001000000000000,0000000000100000,2,2,0
0020000000000000,0000000000100000,2,3,0
0020000000400000,0000000000100000,3,2,0
0080000000000000,0000000000100000,2,17,0
0080000000001000,0000000000100000,3,1,1
0080000000004000,0000000000100000,3,1,0
0200000000000000,0000000000100000,2,11,0
0200000000004000,0000000000100000,3,6,0
0200004000000000,0000000000100000,3,1,1
0280000000000000,0000000000100000,3,12,0
0280000000004000,0000000000100000,4,2,1
0000000000000000,0000000000100010,2,46,0
0000000000100000,0000000000100010,3,4,0
0000000000400000,0000000000100010,3,4,0
0000004000000000,0000000000100010,3,4,0
0000004000100000,0000000000100010,4,2,0
0020000000000000,0000000000100010,3,2,0
0020000000100000,0000000000100010,4,2,0
0020000000400000,0000000000100010,4,1,0
0080000000000000,0000000000100010,3,11,0
0080000002000000,0000000000100010,4,14,0
0200000000000000,0000000000100010,3,10,0
0280000000000000,0000000000100010,4,5,0
0280000002000000,0000000000100010,5,4,0
0000000000000000,0000000000100080,2,9,0
0000000000004000,0000000000100080,3,1,0
0000000000400000,0000000000100080,3,6,0
0000010000000000,0000000000100080,3,1,0
0080000000000000,0000000000100080,3,10,0
0080000000400000,0000000000100080,4,2,0
0080800000000000,0000000000100080,4,2,0
0080800000400000,0000000000100080,5,1,0
0200000000000000,0000000000100080,3,10,0
0200000000004000,0000000000100080,4,2,1
0280000000000000,0000000000100080,4,9,0
0280800000000000,0000000000100080,5,1,0
0000000000000000,0000000000100090,3,6,0
0000000000400000,0000000000100090,4,5,0
0080000000000000,0000000000100090,4,1,0
0081000000000000,0000000000100090,5,1,0
0081000000400000,0000000000100090,6,1,0
0200000000000000,0000000000100090,4,9,0
0280000000000000,0000000000100090,5,4,0
0000000000000000,0000000000100210,3,7,0
0000800000000000,0000000000100210,4,3,0
0000800000400000,0000000000100210,5,2,0
0081000002000000,0000000000100290,7,1,0
0280000002000000,0000000000100290,7,1,0
0280800002000000,0000000000100290,8,1,1
0000000000000000,0000000000101010,3,11,0
0000000000100000,0000000000101010,4,1,0
0020000000000000,0000000000101010,4,2,0
0200000000044000,0000000000101010,6,2,1
0000000000000000,0000000000110000,2,60,0
0000000000000020,0000000000110000,3,1,1
0000000000400000,0000000000110000,3,13,0
0000800000400000,0000000000110000,4,4,0
0001000000000000,0000000000110000,3,3,0
0001000000400000,0000000000110000,4,3,0
0020000000000000,0000000000110000,3,5,0
0020000000400000,0000000000110000,4,2,0
0200000000000000,0000000000110000,3,12,0
0200000000004000,0000000000110000,4,2,1
0200010000000000,0000000000110000,4,7,0
0280000000000000,0000000000110000,4,16,0
0000000000000000,0000000000110010,3,16,0
0000000000400000,0000000000110010,4,4,0
0020000000000000,0000000000110010,4,2,0
0020000000100000,0000000000110010,5,2,0
0020000000400000,0000000000110010,5,2,1
0200000000000000,0000000000110010,4,8,0
0220000000000000,0000000000110010,5,3,1
0280000000000000,0000000000110010,5,6,0
0280000002000000,0000000000110010,6,4,0
0200000000000000,0000000000110080,4,12,0
0200000000400000,0000000000110080,5,8,0
0200010000000000,0000000000110080,5,3,1
0280000000000000,0000000000110080,5,7,0
0280000000400000,0000000000110080,6,1,0
0280800000400000,0000000000110080,7,1,1
0200000000000000,0000000000110090,5,8,0
0200000000400000,0000000000110090,6,7,0
0281000000000000,0000000000110090,7,3,0
0281000000400000,0000000000110090,8,3,1
0000000000000000,0000000000110210,4,4,0
0000800000400000,0000000000110210,6,3,1
0281000002000000,0000000000110290,9,2,1
0020000000000000,0000000000111010,5,7,0
0020000000100000,0000000000111010,6,1,1
0020000000000000,0000000000112000,4,1,1
0000000000000000,0000000000180000,2,16,0
0000000000400000,0000000000180000,3,1,0
0020000000000000,0000000000180000,3,1,0
8000000000000000,0000000000180000,3,15,0
8000000000400000,0000000000180000,4,1,0
8000004000000000,0000000000180000,4,2,0
8080000000000000,0000000000180000,4,2,0
8200000000000000,0000000000180000,4,3,0
0000000000000000,0000000000180002,3,33,0
0000000000000200,0000000000180002,4,6,0
0000000000400000,0000000000180002,4,2,0
8000000000000000,0000000000180002,4,33,0
8000000000000200,0000000000180002,5,2,0
8000000000400000,0000000000180002,5,1,0
8000004000000200,0000000000180002,6,2,0
8080000000000000,0000000000180002,5,8,0
8200000000000000,0000000000180002,5,6,0
8280000000000000,0000000000180002,6,3,0
8000000000000000,0000000000180010,4,13,0
8000000000100000,0000000000180010,5,1,0
8000000000400000,0000000000180010,5,1,0
8000004000000000,0000000000180010,5,1,0
8000004000100000,0000000000180010,6,1,0
8020000000000000,0000000000180010,5,1,0
8200000000000000,0000000000180010,5,3,0
8000000000000000,0000000000180012,5,21,0
8000000000000200,0000000000180012,6,1,0
8000000000100200,0000000000180012,7,1,1
8000000000400000,0000000000180012,6,1,0
8000004000000200,0000000000180012,7,1,1
8020000000000000,0000000000180012,6,1,0
8080000000000000,0000000000180012,6,1,0
8080000002000000,0000000000180012,7,1,0
8200000000000000,0000000000180012,6,6,0
8000000000000000,0000000000180080,4,1,0
8200000000000000,0000000000180080,5,4,0
8000000000000000,0000000000180082,5,4,0
8200000000000000,0000000000180082,6,6,0
8280000000000000,0000000000180082,7,2,0
8200000000000000,0000000000180090,6,3,0
8000000000000000,0000000000180092,6,2,0
8200000000000000,0000000000180092,7,4,0
8280000000000000,0000000000180092,8,1,0
0000000000000000,0000000000188000,3,5,0
0000000000000000,0000000000188002,4,4,0
0000000000000200,0000000000188002,5,1,1
0000000000000000,0000000000190000,3,7,0
0000000000400000,0000000000190000,4,2,0
0020000000000000,0000000000190000,4,2,0
8000000000000000,0000000000190000,4,11,0
8000000000400000,0000000000190000,5,1,0
8200000000000000,0000000000190000,5,4,0
8280000000000000,0000000000190000,6,2,0
0000000000000000,0000000000190002,4,17,0
0000000000000200,0000000000190002,5,1,0
0000000000400000,0000000000190002,5,2,0
0020000000000000,0000000000190002,5,1,0
0020000000000200,0000000000190002,6,1,0
8000000000000000,0000000000190002,5,14,0
8000000000000200,0000000000190002,6,1,0
8000000000400000,0000000000190002,6,3,0
8200000000000000,0000000000190002,6,6,0
8280000000000000,0000000000190002,7,4,0
8000000000000000,0000000000190010,5,6,0
8000000000400000,0000000000190010,6,1,0
8020000000000000,0000000000190010,6,2,0
8200000000000000,0000000000190010,6,3,0
8000000000000000,0000000000190012,6,6,0
8000000000400000,0000000000190012,7,3,0
8020000000000000,0000000000190012,7,1,1
8200000000000000,0000000000190012,7,4,0
8280000000000000,0000000000190012,8,1,0
8200000000000000,0000000000190080,6,4,0
8200000000000000,0000000000190082,7,4,0
8200000000400000,0000000000190082,8,2,0
8280000000000000,0000000000190082,8,2,0
8200000000000000,0000000000190090,7,1,0
8200000000000000,0000000000190092,8,4,0
8200000000400000,0000000000190092,9,2,1
0000000000000000,0000000001000000,1,125,0
0000000000000001,0000000001000000,2,2,0
0000000000000020,0000000001000000,2,10,0
0000000000000200,0000000001000000,2,29,0
0000000000000220,0000000001000000,3,4,0
0000000000400000,0000000001000000,2,38,0
0000000000400001,0000000001000000,3,1,1
0000000000400200,0000000001000000,3,1,0
0000000020000000,0000000001000000,2,31,0
0000000020000200,0000000001000000,3,6,0
0000000020400000,0000000001000000,3,2,0
0000000100000000,0000000001000000,2,7,0
0000000100000020,0000000001000000,3,1,0
0000000100400000,0000000001000000,3,7,0
0000002000000000,0000000001000000,2,1,0
0000004000000000,0000000001000000,2,12,0
0000004000000200,0000000001000000,3,6,0
0000004000400000,0000000001000000,3,11,0
0000004000400200,0000000001000000,4,1,1
0000004001000000,0000000001000000,3,2,0
0000004001000200,0000000001000000,4,1,0
0000004001400000,0000000001000000,4,1,1
0000004020000000,0000000001000000,3,8,0
0000004020000200,0000000001000000,4,1,1
0000004020400000,0000000001000000,4,3,0
0000010000000000,0000000001000000,2,4,0
0000010000000020,0000000001000000,3,3,0
0000010000000200,0000000001000000,3,2,0
0000010000000220,0000000001000000,4,1,1
0000010020000001,0000000001000000,4,6,1
0000014000000000,0000000001000000,3,1,0
0000014001000000,0000000001000000,4,1,1
0000080000000000,0000000001000000,2,3,0
0000800100000000,0000000001000000,3,9,0
0000800100400000,0000000001000000,4,9,0
0001000000000000,0000000001000000,2,5,0
0001000000400000,0000000001000000,3,6,0
0001000100000000,0000000001000000,3,1,0
0001000100400000,0000000001000000,4,1,0
0020000000000000,0000000001000000,2,33,0
0020000000000020,0000000001000000,3,3,0
0020000000000200,0000000001000000,3,18,0
0020000000000220,0000000001000000,4,2,1
0020000000400000,0000000001000000,3,4,0
0020000020000000,0000000001000000,3,7,0
0020004000000000,0000000001000000,3,12,0
0020004000000200,0000000001000000,4,6,0
0020004000400000,0000000001000000,4,6,0
0020004001000000,0000000001000000,4,1,1
0020004020000000,0000000001000000,4,4,0
0020004020400000,0000000001000000,5,1,1
0020080000000000,0000000001000000,3,4,0
0021000000000000,0000000001000000,3,2,0
0021000000400000,0000000001000000,4,2,1
0080000000000000,0000000001000000,2,6,0
0200000000000000,0000000001000000,2,8,0
8000000000000000,0000000001000000,2,23,0
8000000000400000,0000000001000000,3,4,0
8000000020000000,0000000001000000,3,4,0
8000004000000000,0000000001000000,3,2,0
8000004020000000,0000000001000000,4,1,0
8000800100000000,0000000001000000,4,1,0
8080000000000000,0000000001000000,3,4,0
8200000000000000,0000000001000000,3,6,0
8280000000000000,0000000001000000,4,2,0
0000000000000000,0000000001000002,2,12,0
0000000000000200,0000000001000002,3,5,0
0000000000400000,0000000001000002,3,2,0
0020000000000200,0000000001000002,4,1,0
8000000000000000,0000000001000002,3,31,0
8000000000000200,0000000001000002,4,8,0
8000000000400000,0000000001000002,4,2,0
8000000020000000,0000000001000002,4,2,0
8000000020000200,0000000001000002,5,1,0
8080000000000000,0000000001000002,4,4,0
8200000000000000,0000000001000002,4,5,0
0000000000000000,0000000001000010,2,27,0
0000000000400000,0000000001000010,3,6,0
0000000020000000,0000000001000010,3,1,0
0020000000000000,0000000001000010,3,1,0
0020000000100000,0000000001000010,4,3,0
0020000020100000,0000000001000010,5,2,0
0020004000000000,0000000001000010,4,1,0
0020004000100000,0000000001000010,5,1,0
0020004020100000,0000000001000010,6,1,0
0080000000000000,0000000001000010,3,2,0
0200000000000000,0000000001000010,3,4,0
8000000000000000,0000000001000010,3,13,0
8000000000400000,0000000001000010,4,2,0
8000000020000000,0000000001000010,4,2,0
8020000000000000,0000000001000010,4,2,0
8020000000100000,0000000001000010,5,2,0
8020000020100000,0000000001000010,6,2,0
8020004000000000,0000000001000010,5,1,0
8020004000100000,0000000001000010,6,1,0
8080000000000000,0000000001000010,4,1,1
8200000000000000,0000000001000010,4,3,0
8000000000000000,0000000001000012,4,19,0
8020000000000200,0000000001000012,6,1,0
8200000000000000,0000000001000012,5,2,0
0000000000000000,0000000001000080,2,6,0
0000000000400000,0000000001000080,3,4,0
0080000000000000,0000000001000080,3,2,0
0080000000400000,0000000001000080,4,1,0
0200000000000000,0000000001000080,3,7,0
0280000000000000,0000000001000080,4,1,0
8000000000000000,0000000001000080,3,4,0
8000000000400000,0000000001000080,4,3,0
8080000000000000,0000000001000080,4,2,0
8080000000400000,0000000001000080,5,2,1
8080800100000000,0000000001000080,6,2,0
8200000000000000,0000000001000080,4,6,0
8280000000000000,0000000001000080,5,1,1
8000000000000000,0000000001000082,4,5,0
8200000000000000,0000000001000082,5,4,0
0000000000000000,0000000001000090,3,2,0
0000000000400000,0000000001000090,4,2,0
0200000000000000,0000000001000090,4,4,0
8000000000000000,0000000001000090,4,3,0
8200000000000000,0000000001000090,5,2,0
0020000000000000,0000000001001010,4,2,0
0020000000000020,0000000001002000,4,2,1
0000000000000000,0000000001010000,2,21,0
0000000000400000,0000000001010000,3,11,0
0000000020000000,0000000001010000,3,1,0
0000004000000000,0000000001010000,3,4,0
0000004000400000,0000000001010000,4,2,0
0000004020000000,0000000001010000,4,1,0
0001000000400000,0000000001010000,4,2,1
0020000000000000,0000000001010000,3,5,0
0020000000400000,0000000001010000,4,1,0
8000000000000000,0000000001010000,3,6,0
8000000000400000,0000000001010000,4,2,0
8000000020000000,0000000001010000,4,1,0
8000004000000000,0000000001010000,4,2,0
8000004000400000,0000000001010000,5,1,1
8000004020000000,0000000001010000,5,1,0
8200000000000000,0000000001010000,4,1,0
0000000000000000,0000000001010002,3,3,0
0000000000000200,0000000001010002,4,2,0
0000000000400000,0000000001010002,4,1,0
0020000000000200,0000000001010002,5,1,0
8000000000000000,0000000001010002,4,4,0
8000004000000200,0000000001010002,6,2,0
0000000000000000,0000000001010010,3,9,0
0000000000400000,0000000001010010,4,5,0
0000000020000000,0000000001010010,4,1,0
0020004000000000,0000000001010010,5,2,0
0020004000100000,0000000001010010,6,2,0
0020004000400000,0000000001010010,6,1,0
0020004000500000,0000000001010010,7,1,1
0020004020100000,0000000001010010,7,1,0
0200000000000000,0000000001010010,4,3,0
8000000000000000,0000000001010010,4,4,0
8000000000400000,0000000001010010,5,2,0
8000000020000000,0000000001010010,5,1,0
8020004000000000,0000000001010010,6,1,0
8020004000100000,0000000001010010,7,1,0
8020004020100000,0000000001010010,8,1,1
8200000000000000,0000000001010010,5,2,0
8000000000000000,0000000001010012,5,4,0
8000000000400000,0000000001010012,6,1,0
8020004000000200,0000000001010012,8,1,1
0200000000400000,0000000001010080,5,1,0
8200000000400000,0000000001010080,6,1,0
0200000000400000,0000000001010090,6,4,0
8200000000400000,0000000001010090,7,1,1
0000000000000000,0000000001080000,2,7,0
0020000000000000,0000000001080000,3,2,0
8000000000000000,0000000001080000,3,23,0
8000000020000000,0000000001080000,4,4,0
8200000000000000,0000000001080000,4,5,0
0000000000000000,0000000001080002,3,7,0
0000000000000200,0000000001080002,4,7,0
0000000000000220,0000000001080002,5,1,0
0020000000000200,0000000001080002,5,1,0
8000000000000000,0000000001080002,4,24,0
8000000000000200,0000000001080002,5,11,0
8000000020000000,0000000001080002,5,3,0
8000000020000200,0000000001080002,6,1,1
8200000000000000,0000000001080002,5,6,0
8200000000004220,0000000001080002,8,1,1
8000000000000000,0000000001080010,4,8,0
8000000020000000,0000000001080010,5,1,0
8020000000000000,0000000001080010,5,2,0
8020000000100000,0000000001080010,6,1,0
8020000020100000,0000000001080010,7,1,1
8200000000000000,0000000001080010,5,2,0
8000000000000000,0000000001080012,5,14,0
8020000000000200,0000000001080012,7,1,1
8200000000000000,0000000001080012,6,4,0
8000000000000000,0000000001080080,4,2,0
8200000000000000,0000000001080080,5,4,0
8000000000000000,0000000001080082,5,4,0
8200000000000000,0000000001080082,6,4,0
8200000000000000,0000000001080090,6,1,0
8200000000000000,0000000001080092,7,2,1
0000000000000000,0000000001100000,2,14,0
0000000000400000,0000000001100000,3,7,0
0000002000000000,0000000001100000,3,1,0
0000000000000000,0000000001100010,3,9,0
0000000000400000,0000000001100010,4,4,0
0000000000400000,0000000001100080,4,1,0
0000000000400000,0000000001100090,5,1,0
0000000000000000,0000000001110000,3,20,0
0000000000400000,0000000001110000,4,11,0
0000004000000000,0000000001110000,4,5,0
0000004000400000,0000000001110000,5,2,1
0000004020000000,0000000001110000,5,1,1
0020000000000000,0000000001110000,4,3,0
0020000000400000,0000000001110000,5,1,1
0200000000000000,0000000001110000,4,4,0
0000000000000000,0000000001110010,4,9,0
0000000000400000,0000000001110010,5,7,0
0020004000000000,0000000001110010,6,2,0
0020004000100000,0000000001110010,7,1,0
0200000000000000,0000000001110010,5,5,0
0200000000400000,0000000001110080,6,3,0
0200000000400000,0000000001110090,7,3,1
0000000000000000,0000000001180000,3,2,0
8000000000000000,0000000001180000,4,2,0
8000000000400000,0000000001180000,5,1,0
0000000000000000,0000000001180002,4,5,0
0000000000400000,0000000001180002,5,1,0
8000000000000000,0000000001180002,5,6,0
8000000000400000,0000000001180002,6,1,0
8000000000000000,0000000001180010,5,2,0
8000000000000000,0000000001180012,6,5,0
8000000000400000,0000000001180012,7,1,0
0000000000000000,0000000001190000,4,4,0
0000000000400000,0000000001190000,5,2,0
0020000000000000,0000000001190000,5,2,0
8000000000000000,0000000001190000,5,3,0
8000000000400000,0000000001190000,6,2,0
8000004000000000,0000000001190000,6,2,0
8200000000000000,0000000001190000,6,1,0
0000000000000000,0000000001190002,5,4,0
0000000000000200,0000000001190002,6,1,0
0000000000400000,0000000001190002,6,2,0
0020000000000200,0000000001190002,7,1,1
8000000000000000,0000000001190002,6,5,0
8000000000400000,0000000001190002,7,4,0
8000004000000200,0000000001190002,8,1,1
8200000000000000,0000000001190002,7,4,0
8000000000000000,0000000001190010,6,3,0
8000000000400000,0000000001190010,7,1,0
8020004000000000,0000000001190010,8,1,0
8020004000100000,0000000001190010,9,1,1
8200000000000000,0000000001190010,7,1,0
8000000000000000,0000000001190012,7,4,0
8000000000400000,0000000001190012,8,1,1
8200000000000000,0000000001190012,8,3,1
8200000000400000,0000000001190080,8,1,0
8200000000400000,0000000001190082,9,1,1
0000000000000000,0000000002000000,1,317,0
0000000000000001,0000000002000000,2,1,0
0000000000000020,0000000002000000,2,4,0
0000000000000021,0000000002000000,3,1,0
0000000000000200,0000000002000000,2,7,0
0000000000001000,0000000002000000,2,2,0
0000000020000000,0000000002000000,2,46,0
0000000020001000,0000000002000000,3,3,1
0000000100000000,0000000002000000,2,76,0
0000000100000001,0000000002000000,3,2,0
0000000100000020,0000000002000000,3,2,0
0000000100000021,0000000002000000,4,1,0
0000000800000000,0000000002000000,2,1,0
0000002000000000,0000000002000000,2,48,0
0000002100000000,0000000002000000,3,10,0
0000010000000001,0000000002000000,3,1,0
0000080000000000,0000000002000000,2,6,0
0000080000000001,0000000002000000,3,1,1
0000080100000000,0000000002000000,3,3,0
0000800000000000,0000000002000000,2,85,0
0000800000001000,0000000002000000,3,3,0
0000800020000000,0000000002000000,3,13,0
0000800100000000,0000000002000000,3,77,0
0000800100000020,0000000002000000,4,1,0
0000800100001000,0000000002000000,4,4,1
0000800120000000,0000000002000000,4,13,0
0000810100000001,0000000002000000,5,1,0
0000810100000021,0000000002000000,6,1,1
0000880100000000,0000000002000000,4,1,1
0001000100000000,0000000002000000,3,6,0
0001000100000020,0000000002000000,4,2,0
0001800100000000,0000000002000000,4,3,0
0080000000000000,0000000002000000,2,3,0
0200000000000000,0000000002000000,2,4,0
0200800000000000,0000000002000000,3,2,0
0200800100000000,0000000002000000,4,2,0
8000000000000000,0000000002000000,2,1,0
8080000000000000,0000000002000000,3,1,0
0000000000000000,0000000002000002,2,5,0
8000000000000000,0000000002000002,3,3,0
8080000000000000,0000000002000002,4,1,0
0000800000000000,0000000002000080,3,3,0
0000800100000000,0000000002000080,4,4,0
0080800000000000,0000000002000080,4,1,0
0000000000000000,0000000002010000,2,16,0
0000000100000000,0000000002010000,3,12,0
0000002000000000,0000000002010000,3,3,0
0000002100000000,0000000002010000,4,1,1
0000800100000000,0000000002010000,4,1,0
0200000000000000,0000000002010000,3,1,0
0200800100000000,0000000002010000,5,1,1
0000000000000000,0000000002080002,3,4,0
0000000000000200,0000000002080002,4,1,1
0000000000000000,0000000002100000,2,4,0
0000002000000000,0000000002100000,3,2,0
0000000000000000,0000000002180002,4,1,0
0000000000000000,0000000003000000,2,80,0
0000000000000001,0000000003000000,3,1,0
0000000000000020,0000000003000000,3,2,0
0000000000000021,0000000003000000,4,2,0
0000000000000200,0000000003000000,3,4,1
0000000020000000,0000000003000000,3,10,0
0000000100000000,0000000003000000,3,25,0
0000000100000001,0000000003000000,4,1,0
0000000100000020,0000000003000000,4,2,0
0000000100000021,0000000003000000,5,2,1
0000000100400000,0000000003000000,4,18,0
0000002000000000,0000000003000000,3,1,0
0000080000000000,0000000003000000,3,2,0
0000800100000000,0000000003000000,4,26,0
0000800100000020,0000000003000000,5,1,1
0000800100400000,0000000003000000,5,12,0
0000800120000000,0000000003000000,5,2,1
0001000100000000,0000000003000000,4,2,0
0001000100400000,0000000003000000,5,3,0
0001800100000000,0000000003000000,5,1,0
0001800100400000,0000000003000000,6,2,1
0020000000000000,0000000003000000,3,5,0
0020000000000020,0000000003000000,4,1,0
0020000100000000,0000000003000000,4,2,0
0020080000000000,0000000003000000,4,1,0
0020080020000000,0000000003000000,5,1,1
0080000000000000,0000000003000000,3,3,0
8000000000000000,0000000003000000,3,5,0
8000000020000000,0000000003000000,4,1,1
8000800100000000,0000000003000000,5,4,0
8080000000000000,0000000003000000,4,2,0
0000000000000000,0000000003000002,3,4,0
8000000000000000,0000000003000002,4,4,0
8080000000000000,0000000003000002,5,1,1
0080800100000000,0000000003000080,6,1,0
8080800100000000,0000000003000080,7,1,1
0000000000000000,0000000003010000,3,8,0
0000000100400000,0000000003010000,5,2,0
8000000000000000,0000000003010000,4,2,0
8000000000000000,0000000003080000,4,4,0
0000000000000000,0000000003080002,4,2,0
0000000100000000,0000000003080002,5,1,0
8000000000000000,0000000003080002,5,4,0
8000800100000000,0000000003080002,7,1,1
0000000000000000,0000000003100000,3,2,0
0000000000000000,0000000003110000,4,1,0
0000000100400000,0000000003110000,6,1,1
0000002000000000,0000000003110000,5,1,1
0000000000000000,0000000003190002,6,1,1
0000000000000000,0000000004000000,1,37,0
0000000000000200,0000000004000000,2,7,0
0000000000100000,0000000004000000,2,1,1
0000000800000000,0000000004000000,2,3,0
0000004000000000,0000000004000000,2,1,0
0000004001000000,0000000004000000,3,1,0
0000004001000200,0000000004000000,4,1,1
0000004020000000,0000000004000000,3,1,1
0000010000000000,0000000004000000,2,1,0
0000080000000000,0000000004000000,2,4,0
0000080800000000,0000000004000000,3,1,0
0000090000000000,0000000004000000,3,1,1
