q,r,body_hex,witness_hex,witness_rank,witness_origin
96,593,044c5481,33002206,8,carrier
96,593,05146488,02a08325,9,carrier
96,593,05166401,20681096,9,carrier
96,593,09156401,20681096,9,carrier
96,593,0c0c7401,31d28000,8,carrier
96,593,0c5c4401,33002206,8,carrier
96,593,0d146401,20681096,9,carrier
96,593,0d4c5001,00108576,9,carrier
96,593,144c5401,08222a88,8,carrier
96,593,15485408,02a08325,9,carrier
96,593,19186401,044512c0,8,carrier
96,593,1d106401,20681096,9,carrier
96,593,34027401,01790204,8,carrier
96,594,0d4c5001,00b0832c,9,carrier
96,594,15485009,2a920402,8,carrier
96,595,0019f408,1d260020,8,carrier
96,595,01097409,1a560800,8,carrier
96,595,01187608,10c48125,9,carrier
96,595,011fd000,36200428,8,carrier
96,595,040e7401,00b0832c,9,carrier
96,595,04187409,29070a80,9,carrier
96,595,041a7401,1284812c,9,carrier
96,595,044c5481,00b0832c,9,carrier
96,595,045e1401,29006206,8,carrier
96,595,048a7401,1154800c,8,carrier
96,595,05087409,1a560800,8,carrier
96,595,050a6409,1a541004,8,carrier
96,595,05186409,18261042,8,carrier
96,595,051a6401,1284812c,9,carrier
96,595,059e9000,08412a89,9,carrier
96,595,071e4200,0860bc00,8,carrier
96,595,078e3000,30110489,8,carrier
96,595,079e1000,08412a89,9,carrier
96,595,09b42408,34485200,8,carrier
96,595,0c0c7401,00b0832c,9,carrier
96,595,0c187401,1284812c,9,carrier
96,595,0c5c1401,30036208,8,carrier
96,595,0d007409,229c0202,8,carrier
96,595,0d086409,10361180,8,carrier
96,595,0d08d401,10452216,9,carrier
96,595,0d0c5101,00e12642,9,carrier
96,595,0d0cd001,00e12642,9,carrier
96,595,0d106405,102c10c8,8,carrier
96,595,0d18440c,10e41041,8,carrier
96,595,0d186401,1284812c,9,carrier
96,595,0d1c4401,22c0a124,9,carrier
96,595,0d1c4404,10413209,8,carrier
96,595,0d246408,201813a4,9,carrier
96,595,0d306401,1284812c,9,carrier
96,595,0d306408,10c48125,9,carrier
96,595,0d4c5001,00b0832c,9,carrier
96,595,0d584408,02a08325,9,carrier
96,595,0d585001,1284812c,9,carrier
96,595,0d883401,3032400a,8,carrier
96,595,0d942408,20681096,9,carrier
96,595,0dc85001,10342620,8,carrier
96,595,11186608,0a261081,8,carrier
96,595,15085601,22c0a124,9,carrier
96,595,150a4409,22c0a124,9,carrier
96,595,150ad400,08412a89,9,carrier
96,595,152a4401,22c0a124,9,carrier
96,595,152ae000,02541409,8,carrier
96,595,15485009,2a920402,8,carrier
96,595,15485408,02a08325,9,carrier
96,595,154a4408,02a08325,9,carrier
96,595,158a1401,22306082,8,carrier
96,595,19186401,24609208,8,carrier
96,595,19903408,260c8201,8,carrier
96,595,19b02408,260c8201,8,carrier
96,595,1c286401,01d09204,8,carrier
96,595,1d08f000,22b00403,8,carrier
96,595,1d184401,22c0a124,9,carrier
96,595,1d284401,22c0a124,9,carrier
96,595,21143601,1c82c080,8,carrier
96,595,21265401,14512300,8,carrier
96,595,25043409,1ab0c000,8,carrier
96,595,25065408,02a08325,9,carrier
96,595,25067100,12710009,8,carrier
96,595,2506f000,12710009,8,carrier
96,595,25106409,18261042,8,carrier
96,595,2510b088,18444816,9,carrier
96,595,25244488,08523202,8,carrier
96,595,25264401,08c83280,8,carrier
96,595,25264408,08c83280,8,carrier
96,595,25405608,1a262080,8,carrier
96,595,25407208,123c0440,8,carrier
96,595,25425408,02a08325,9,carrier
96,595,2552d000,1204003f,9,carrier
96,595,25605408,080e8281,8,carrier
96,595,25644088,02183c04,8,carrier
96,595,25c21408,101ce200,8,carrier
96,595,27067000,00b0832c,9,carrier
96,595,28545401,0228832c,9,carrier
96,595,2d003409,109c4044,8,carrier
96,595,2d005409,10452216,9,carrier
96,595,2d005601,1284812c,9,carrier
96,595,2d00d401,10452216,9,carrier
96,595,2d043408,02a08325,9,carrier
96,595,2d045408,02a08325,9,carrier
96,595,2d04d001,00e12642,9,carrier
96,595,2d10b001,00c045d4,9,carrier
96,595,2d10b008,00c045d4,9,carrier
96,595,2d244088,02183c04,8,carrier
96,595,2d244401,10923282,9,carrier
96,595,2d405408,02a08325,9,carrier
96,595,2d704001,1284812c,9,carrier
96,595,2d803401,0228832c,9,carrier
96,595,2d841088,10486203,8,carrier
96,595,2d841408,10486203,8,carrier
96,595,2d849001,106a600a,9,carrier
96,595,2da40401,02507084,8,carrier
96,595,2dc01408,101ce200,8,carrier
96,595,2f841001,106a600a,9,carrier
96,595,2f841008,10486203,8,carrier
96,595,2f861000,10486203,8,carrier
96,595,35003409,083f4000,8,carrier
96,595,3502f000,007c0403,8,carrier
96,595,3512b000,00c045d4,9,carrier
96,595,3512c200,00283059,8,carrier
96,595,3c206401,01d09204,8,carrier
96,595,3d104404,00283059,8,carrier
96,595,3d204401,004c3216,9,carrier
96,599,25065408,08c82881,8,carrier
96,599,2d045408,02c32282,9,carrier
100,595,0308f208,34b00003,8,carrier
100,595,052ec400,08412a89,9,carrier
100,595,054cd001,2a920402,8,carrier
100,595,072e4400,08412a89,9,carrier
100,595,07485408,3882a082,9,carrier
100,595,078c1088,0050c125,8,carrier
100,595,07986008,00619324,9,carrier
100,595,07d84008,1822a4c0,9,carrier
100,595,0d989008,02066406,8,carrier
100,595,13085608,0c422096,9,carrier
100,595,13095408,0c422096,9,carrier
100,595,150ad400,08412a89,9,carrier
100,595,17085408,08432a80,8,carrier
100,595,17284401,08432a80,8,carrier
100,595,179a1000,08412a89,9,carrier
100,595,1b085600,0062812d,9,carrier
100,595,2100f403,0eb80200,8,carrier
100,595,2100f608,06780011,8,carrier
100,595,22545401,0c038a88,9,carrier
100,595,2300f401,14050236,9,carrier
100,595,23047600,0062812d,9,carrier
100,595,23206409,14050236,9,carrier
100,595,23364001,14881608,8,carrier
100,595,2340d401,14050236,9,carrier
100,595,25007049,0a308c04,8,carrier
100,595,2500f401,1224003e,9,carrier
100,595,2500f408,10550a81,9,carrier
100,595,2504d088,1a682400,8,carrier
100,595,2510b048,18444816,9,carrier
100,595,2510f008,08a206c1,9,carrier
100,595,2520e401,1a541004,8,carrier
100,595,2520f008,10550a81,9,carrier
100,595,25246401,0250812c,8,carrier
100,595,2526c400,08412a89,9,carrier
100,595,2550b008,08a206c1,9,carrier
100,595,2560c401,10923282,9,carrier
100,595,2560c408,10923282,9,carrier
100,595,25644401,10923282,9,carrier
100,595,2584b008,12324c00,8,carrier
100,595,2590b008,18444816,9,carrier
100,595,2720e008,10550a81,9,carrier
100,595,27264400,08412a89,9,carrier
100,595,2760c008,10923282,9,carrier
100,595,27849008,08432a80,8,carrier
100,595,2f00d400,10550a81,9,carrier
100,595,2f244400,10923282,9,carrier
100,595,2f24c000,10923282,9,carrier
100,595,2f901008,1004c097,9,carrier
100,595,3502d400,08412a89,9,carrier
100,595,3520e400,0802023f,9,carrier
100,602,15a8a400,0802023f,9,carrier
100,602,25246401,0250812c,8,carrier
100,602,2560c401,10923282,9,carrier
100,602,27264400,08412a89,9,carrier
100,605,043c6401,0b421208,8,carrier
100,605,25246401,0250812c,8,carrier
100,605,2560c401,10923282,9,carrier
100,619,039e1008,04612216,9,carrier
100,619,03de1000,3c006208,8,carrier
100,619,078c1088,0050c125,8,carrier
100,619,23d41008,1822a4c0,9,carrier
100,619,25246401,0250812c,8,carrier
100,619,31306401,0c038a88,9,carrier
100,619,33901088,04612216,9,carrier
100,626,001c7608,3ae00840,9,carrier
100,626,0190340b,146d4000,8,carrier
100,626,01907409,284a0892,9,carrier
100,626,0190b403,146d4000,8,carrier
100,626,01943601,284a0892,9,carrier
100,626,01943608,284a0892,9,carrier
100,626,019c3208,26028450,8,carrier
100,626,0308f009,14850680,8,carrier
100,626,030c5601,0c422096,9,carrier
100,626,0310f401,284a0892,9,carrier
100,626,031e5001,04612216,9,carrier
100,626,031e5200,38408409,8,carrier
100,626,0332440c,144c2801,8,carrier
100,626,03384481,10443016,8,carrier
100,626,033c4088,04818325,9,carrier
100,626,033c4208,0c422096,9,carrier
100,626,03505481,348c8004,8,carrier
100,626,03585088,04818325,9,carrier
100,626,03585208,1822a4c0,9,carrier
100,626,03585408,04818325,9,carrier
100,626,03704481,348c8004,8,carrier
100,626,03744408,04818325,9,carrier
100,626,03784208,1405b400,8,carrier
100,626,03784408,04818325,9,carrier
100,626,0388b808,04744041,8,carrier
100,626,03987008,0c430a81,9,carrier
100,626,039e1200,38408409,8,carrier
100,626,03b86008,0c430a81,9,carrier
100,626,03bc0208,0c422096,9,carrier
100,626,03c8b008,14340841,8,carrier
100,626,03cc1208,1822a4c0,9,carrier
100,626,03cc9008,34036200,8,carrier
100,626,03d81088,34036200,8,carrier
100,626,03d83008,1004c097,9,carrier
100,626,03d85008,1822a4c0,9,carrier
100,626,03da1008,1004c097,9,carrier
100,626,03de1000,3c006208,8,carrier
100,626,03f84008,1405b400,8,carrier
100,626,043c6401,0b421208,8,carrier
100,626,049c3401,2b40c800,8,carrier
100,626,04dc1401,33002206,8,carrier
100,626,0510b403,3ae00840,9,carrier
100,626,0530a40a,32c05100,8,carrier
100,626,05706408,32850206,9,carrier
100,626,05744408,2280a126,9,carrier
100,626,0598b008,18444816,9,carrier
100,626,059c1401,08432a80,8,carrier
100,626,065c1401,088262c4,9,carrier
100,626,070c5408,08432a80,8,carrier
100,626,070c6408,00619324,9,carrier
100,626,071c1081,20c06406,8,carrier
100,626,071c3001,00c045d4,9,carrier
100,626,072c6001,288216c0,9,carrier
100,626,072e4400,08412a89,9,carrier
100,626,07485408,1094a801,8,carrier
100,626,078c9008,08432a80,8,carrier
100,626,0798200c,3045c440,9,carrier
100,626,07986008,00619324,9,carrier
100,626,0798a008,18444816,9,carrier
100,626,07c81408,1004c097,9,carrier
100,626,07c89008,28066480,8,carrier
100,626,07cc1008,1822a4c0,9,carrier
100,626,07d84008,1822a4c0,9,carrier
100,626,0b1c5200,0062812d,9,carrier
100,626,0b991008,1004c097,9,carrier
100,626,0b9c1200,0062812d,9,carrier
100,626,1110b403,24c44108,8,carrier
100,626,1128c488,00543007,8,carrier
100,626,1138c088,26001413,8,carrier
100,626,113ac400,08412a89,9,carrier
100,626,11903409,284a0892,9,carrier
100,626,11903608,284a0892,9,carrier
100,626,1198b008,0c430a81,9,carrier
100,626,119b9000,2464040c,8,carrier
100,626,11d81401,0c038a88,9,carrier
100,626,13085608,0c422096,9,carrier
100,626,1308d088,04612216,9,carrier
100,626,13095408,0c422096,9,carrier
100,626,13185208,0c422096,9,carrier
100,626,13384081,24403418,8,carrier
100,626,13384088,04818325,9,carrier
100,626,13384208,0c422096,9,carrier
100,626,133a4001,24403418,8,carrier
100,626,1348d008,08a206c1,9,carrier
100,626,13881089,04612216,9,carrier
100,626,139b1000,2464040c,8,carrier
100,626,13b80081,24403418,8,carrier
100,626,13b80088,0041c325,9,carrier
100,626,13b82001,0c038a88,9,carrier
100,626,13ba0001,24403418,8,carrier
100,626,13ba0008,0041c325,9,carrier
100,626,13d81008,28066480,8,carrier
100,626,13da1000,04252409,8,carrier
100,626,13f80008,28066480,8,carrier
100,626,1518e400,0802023f,9,carrier
100,626,159a9000,08412a89,9,carrier
100,626,15a8a400,0802023f,9,carrier
100,626,17085408,08432a80,8,carrier
100,626,17185001,08432a80,8,carrier
100,626,178c1001,08432a80,8,carrier
100,626,1b384001,24403418,8,carrier
100,626,1bb80001,24403418,8,carrier
100,626,1bb80008,0041c325,9,carrier
100,626,20147608,17280801,8,carrier
100,626,2110b403,146d4000,8,carrier
100,626,21344481,02c8b008,8,carrier
100,626,21346401,0c038a88,9,carrier
100,626,2134d080,0802023f,9,carrier
100,626,2144940a,088262c4,9,carrier
100,626,2170c408,16083003,8,carrier
100,626,21744401,0c038a88,9,carrier
100,626,21943208,1e08c400,8,carrier
100,626,22247401,0c038a88,9,carrier
100,626,22545401,0c038a88,9,carrier
100,626,23149088,04612216,9,carrier
100,626,23305081,1c4c2004,8,carrier
100,626,23344088,04818325,9,carrier
100,626,23449408,088262c4,9,carrier
100,626,23505088,04818325,9,carrier
100,626,23505408,04818325,9,carrier
100,626,23569000,0ca04049,8,carrier
100,626,23704408,04818325,9,carrier
100,626,2370c008,14850680,8,carrier
100,626,23907008,0c430a81,9,carrier
100,626,23961001,04612216,9,carrier
100,626,23b06008,0c430a81,9,carrier
100,626,23c41408,0438a801,8,carrier
100,626,23c81088,14340841,8,carrier
100,626,23cc1008,1822a4c0,9,carrier
100,626,23d09008,140c4406,8,carrier
100,626,23d41008,1822a4c0,9,carrier
100,626,23e44008,04182681,8,carrier
100,626,23e81008,1004c097,9,carrier
100,626,2410f402,13c40840,8,carrier
100,626,2490b402,11064109,8,carrier
100,626,24f02401,18068a88,9,carrier
100,626,25141608,1a40e001,8,carrier
100,626,25246401,0250812c,8,carrier
100,626,2530e002,124c1480,8,carrier
100,626,25344088,02408327,9,carrier
