mask_hex,private_obligations,private_rows,origin
18672040,13,1,addition
18920209,2,1,carrier
18a0d040,1,1,carrier
19048125,11,2,addition
190d2200,1,1,carrier
19114009,1,1,carrier
19223004,1,1,carrier
19420288,2,1,carrier
19c04044,5,2,carrier
19c41004,1,1,carrier
1a0e2400,1,1,carrier
1a262080,2,2,carrier
1a268080,2,1,carrier
1a40e001,2,2,carrier
1a462002,2,1,carrier
1a541004,2,2,carrier
1a560800,2,1,carrier
1a682400,2,2,carrier
1ab0c000,1,1,carrier
1b021009,1,1,carrier
1ba21000,1,1,carrier
1c4c2004,1,1,carrier
1c82c080,1,1,carrier
1d260020,1,1,carrier
1d410801,1,1,carrier
1e08c400,1,1,carrier
2002221f,8,2,addition
20084687,7,1,addition
20114889,1,1,carrier
2011e480,1,1,carrier
201813a4,8,3,carrier
2018140e,7,2,carrier
20249049,1,1,carrier
202810c9,3,1,carrier
202a5408,2,1,carrier
202a9440,5,2,carrier
2040a1a5,5,2,addition
2048009f,7,1,addition
20482682,3,1,carrier
20525801,1,1,carrier
20582c08,1,1,carrier
20681096,21,4,carrier
20749008,1,1,carrier
2080c127,17,3,addition
2084c324,12,3,addition
20898640,2,1,addition
20908525,16,2,addition
20946021,1,1,carrier
2098c600,5,1,carrier
20c04489,7,5,carrier
20c06406,1,1,carrier
20c52480,1,1,carrier
2100360c,1,1,carrier
210c1096,1,1,carrier
2144c124,6,2,addition
21491402,3,2,carrier
21680096,9,1,addition
21688808,1,1,carrier
21804708,1,1,carrier
21888126,2,2,carrier
21890249,6,1,addition
2190a600,1,1,carrier
21c91202,21,1,addition
2200cc48,8,5,carrier
22062209,1,1,carrier
22213003,1,1,carrier
22306009,1,1,carrier
22306082,1,1,carrier
223a8002,1,1,carrier
2244a088,1,1,carrier
2280a126,2,2,carrier
228d4202,20,1,addition
229c0202,1,1,carrier
22b00403,3,3,carrier
22b28008,1,1,carrier
22c0a124,7,2,carrier
22c0e020,1,1,carrier
22cc4080,1,1,carrier
23022209,1,1,carrier
23249100,2,1,carrier
23484404,1,1,carrier
23602408,1,1,carrier
23640c00,3,1,carrier
2368c000,2,1,carrier
24403418,6,1,carrier
24609208,1,1,carrier
2464040c,2,1,carrier
24c44108,1,1,carrier
250b0208,1,1,carrier
26001413,1,1,carrier
26028450,1,1,carrier
260c8201,2,1,carrier
26c48100,1,1,carrier
28066480,6,3,carrier
28070a88,3,2,carrier
280a0417,21,2,addition
280a8a88,10,1,addition
281a0816,17,2,addition
28224096,1,1,carrier
28283480,1,1,carrier
28284409,3,1,carrier
282a0a81,6,1,addition
282a3080,3,1,carrier
2842488c,6,2,addition
28438809,1,1,carrier
28490a09,10,3,addition
284a0892,8,3,carrier
288216c0,3,2,carrier
29006206,2,2,carrier
29070a80,6,5,carrier
29319000,1,1,carrier
29381800,1,1,carrier
29826008,1,1,carrier
2a920402,3,3,carrier
2b0a0016,12,1,addition
2b201404,1,1,carrier
2b40c800,3,2,carrier
2c468001,1,1,carrier
30036208,1,1,carrier
30046488,2,2,carrier
300e1280,1,1,carrier
3010d00c,2,1,carrier
30110489,1,1,carrier
302a6200,5,2,carrier
3032400a,1,1,carrier
3040a4c0,1,1,carrier
3045c440,3,2,carrier
30862402,1,1,carrier
30964400,1,1,carrier
30c86004,1,1,carrier
30d48008,1,1,carrier
31081418,1,1,carrier
310c8003,2,1,carrier
31142600,3,2,carrier
31206404,1,1,carrier
31250201,1,1,carrier
31d28000,1,1,carrier
31f40000,2,2,carrier
32140007,2,1,carrier
32306020,4,2,carrier
3280c108,1,1,carrier
32850206,10,6,carrier
32884202,2,1,carrier
32c01c00,1,1,carrier
32c05100,1,1,carrier
32e40400,2,1,carrier
33002206,3,2,carrier
3300408a,1,1,carrier
34036200,3,2,carrier
34485200,1,1,carrier
348c8004,2,1,carrier
34b00003,1,1,carrier
34c10201,1,1,carrier
36200428,1,1,carrier
38112a80,6,3,addition
38408409,3,2,carrier
38662000,3,3,carrier
3882a082,1,1,carrier
39201280,2,2,carrier
39805008,1,1,carrier
3a131000,1,1,carrier
3ad10800,5,2,addition
3ae00840,2,1,carrier
3c006208,2,2,carrier
