q,r,body_hex,rank8_responders,rank9_responders,total_responders
256,592,1430244c,287,13236,13523
256,592,14302468,351,17937,18288
256,592,14302489,206,7689,7895
256,592,1430248a,289,10935,11224
256,592,1430248c,245,9743,9988
256,592,143024a8,306,13181,13487
256,592,14302509,228,9599,9827
256,592,1430250a,372,15106,15478
256,592,1430250c,333,13988,14321
256,592,14302518,410,18799,19209
256,592,14302528,410,19410,19820
256,592,14302548,338,16932,17270
256,592,14302588,291,12265,12556
256,592,14302603,309,11376,11685
256,592,14302605,260,9333,9593
256,592,14302609,222,8089,8311
256,592,1430260a,358,12272,12630
256,592,1430260c,304,10855,11159
256,592,14302611,326,12795,13121
256,592,14302618,396,15269,15665
256,592,14302621,315,12681,12996
256,592,14302628,377,14861,15238
256,592,14302641,267,11190,11457
256,592,14302648,332,13766,14098
256,592,14302681,244,9145,9389
256,592,14302688,291,10399,10690
256,592,14302701,308,11982,12290
256,592,14302708,364,14062,14426
256,592,14302c09,203,8473,8676
256,592,14302c0a,319,13181,13500
256,592,14302c0c,281,12146,12427
256,592,14302c28,336,15934,16270
256,592,14302d08,321,14940,15261
256,592,14302e01,234,9458,9692
256,592,14302e04,792,18377,19169
256,592,14302e08,310,12078,12388
256,592,14303403,155,7751,7906
256,592,14303405,141,6658,6799
256,592,14303409,105,5180,5285
256,592,1430340a,191,9291,9482
256,592,1430340c,174,8525,8699
256,592,14303411,160,8598,8758
256,592,14303421,151,8172,8323
256,592,14303428,182,10358,10540
256,592,14303441,117,6929,7046
256,592,14303481,120,6023,6143
256,592,14303501,145,7611,7756
256,592,14303508,170,9624,9794
256,592,14303601,147,6600,6747
256,592,14303608,172,7949,8121
256,592,14303c01,105,6077,6182
256,592,14303c02,635,15921,16556
256,592,14303c04,616,15644,16260
256,592,14303c20,651,18553,19204
256,592,14303d00,631,17379,18010
256,592,14303e00,494,13626,14120
256,592,14306403,73,3522,3595
256,592,14306405,67,3033,3100
256,592,14306409,25,1826,1851
256,592,1430640a,87,4368,4455
256,592,1430640c,74,3940,4014
256,592,14306411,74,4024,4098
256,592,14306421,70,3967,4037
256,592,14306428,82,5252,5334
256,592,14306441,74,4033,4107
256,592,14306481,39,2385,2424
256,592,14306501,70,3833,3903
256,592,14306508,81,4953,5034
256,592,14306601,74,3265,3339
256,592,14306608,80,3921,4001
256,592,14306c01,30,2378,2408
256,592,14306c04,427,9382,9809
256,592,14307401,33,1682,1715
256,592,1430a409,71,5120,5191
256,592,1430a40a,115,7661,7776
256,592,1430a40c,99,6913,7012
256,592,1430a418,134,9965,10099
256,592,1430a428,134,10325,10459
256,592,1430a448,99,8670,8769
256,592,1430a488,86,6283,6369
256,592,1430a508,133,10262,10395
256,592,1430a601,111,6531,6642
256,592,1430a604,572,13233,13805
256,592,1430a608,117,7486,7603
256,592,1430ac08,109,8028,8137
256,592,1430b401,49,4032,4081
256,592,1430b402,496,11204,11700
256,592,1430b404,486,10999,11485
256,592,1430b408,44,4719,4763
256,592,1430b410,522,13350,13872
256,592,1430b420,528,14001,14529
256,592,1430b440,490,12176,12666
256,592,1430b480,310,9016,9326
256,592,1430b500,528,13895,14423
256,592,1430b600,381,9912,10293
256,592,1430bc00,355,10192,10547
256,592,1430e401,20,1628,1648
256,592,1430e404,360,7070,7430
256,592,1430e408,14,1887,1901
256,592,1430f400,240,4905,5145
256,592,14312409,244,9986,10230
256,592,1431240a,406,15866,16272
256,592,1431240c,350,14271,14621
256,592,14312428,423,19113,19536
256,592,14312508,408,18129,18537
256,592,14312601,325,12606,12931
256,592,14312608,395,15260,15655
256,592,14313401,159,8037,8196
256,592,14316401,74,3821,3895
256,592,14316404,620,12287,12907
256,592,1431a408,134,9681,9815
256,592,1431b400,490,12639,13129
256,592,14322403,237,8818,9055
256,592,14322405,190,7322,7512
256,592,14322406,433,14991,15424
256,592,14322409,223,8086,8309
256,592,1432240a,308,11135,11443
256,592,1432240c,255,10014,10269
256,592,14322411,254,10263,10517
256,592,14322412,531,19315,19846
256,592,14322414,478,17918,18396
256,592,14322421,243,9928,10171
256,592,14322422,507,18423,18930
256,592,14322424,474,18242,18716
256,592,14322428,325,13441,13766
256,592,14322430,566,22987,23553
256,592,14322441,197,8784,8981
256,592,14322442,466,17362,17828
256,592,14322444,422,16365,16787
256,592,14322460,502,21672,22174
256,592,14322481,213,7983,8196
256,592,14322482,384,13454,13838
256,592,14322484,342,12647,12989
256,592,143224a0,418,16727,17145
256,592,14322501,235,9259,9494
256,592,14322502,486,17166,17652
256,592,14322504,453,16728,17181
256,592,14322508,310,12578,12888
256,592,14322510,545,21555,22100
256,592,14322520,547,22838,23385
256,592,14322540,483,20383,20866
256,592,14322580,398,15544,15942
256,592,14322601,232,8431,8663
256,592,14322602,468,14532,15000
256,592,14322604,417,13543,13960
256,592,14322608,312,11094,11406
256,592,14322610,527,18079,18606
256,592,14322620,506,18069,18575
256,592,14322640,472,17070,17542
256,592,14322680,391,13411,13802
256,592,14322700,487,17045,17532
256,592,14322c01,204,8219,8423
256,592,14322c02,414,15017,15431
256,592,14322c04,380,14519,14899
256,592,14322c20,450,18753,19203
256,592,14322d00,429,17493,17922
256,592,14322e00,414,14641,15055
256,592,14323401,107,5107,5214
256,592,14323402,253,10858,11111
256,592,14323404,237,10449,10686
256,592,14323420,245,12656,12901
256,592,14323500,227,11688,11915
256,592,14323600,229,10006,10235
256,592,14326401,31,1875,1906
256,592,14326402,175,6118,6293
256,592,14326404,161,5991,6152
256,592,14326420,179,7784,7963
256,592,14326500,175,7330,7505
256,592,14326600,167,5922,6089
256,592,1432a401,62,4727,4789
256,592,1432a402,141,8653,8794
256,592,1432a404,130,8370,8500
256,592,1432a408,85,6336,6421
256,592,1432a410,171,11430,11601
256,592,1432a420,173,12274,12447
256,592,1432a440,142,10662,10804
256,592,1432a480,124,8343,8467
256,592,1432a500,172,12217,12389
256,592,1432a600,155,9229,9384
256,592,1432ac00,142,9499,9641
256,592,1432b400,56,5860,5916
256,592,1432e400,40,3142,3182
256,592,14332401,252,9777,10029
256,592,14332402,524,17629,18153
256,592,14332404,471,16622,17093
256,592,14332420,560,21882,22442
256,592,14332500,539,20649,21188
256,592,14332600,524,18133,18657
256,592,1433a400,171,11069,11240
256,592,14342409,114,5688,5802
256,592,1434240a,203,9393,9596
256,592,1434240c,165,8426,8591
256,592,14342428,205,11308,11513
256,592,14342508,200,10811,11011
256,592,14342601,150,6722,6872
256,592,14342608,188,8284,8472
256,592,14342e00,479,13776,14255
256,592,14343401,65,4255,4320
256,592,14346401,24,1901,1925
256,592,1434a408,63,5633,5696
256,592,1434a600,354,10178,10532
256,592,1434b400,298,7861,8159
256,592,1434e400,203,5099,5302
256,592,14362401,115,5481,5596
256,592,14362402,233,10457,10690
256,592,14362404,199,9862,10061
256,592,14362420,246,13040,13286
256,592,14362500,240,12378,12618
256,592,14362600,227,9887,10114
256,592,1436a400,60,6411,6471
256,592,14382409,226,7798,8024
256,592,1438240a,392,13132,13524
256,592,1438240c,338,11810,12148
256,592,14382428,405,14935,15340
256,592,14382508,390,13934,14324
256,592,14382601,307,9910,10217
256,592,14382608,378,12116,12494
256,592,14383401,150,6108,6258
256,592,14386401,74,2850,2924
256,592,1438a408,123,6963,7086
256,592,1438b400,407,9022,9429
256,592,143a2401,233,7573,7806
256,592,143a2402,477,14349,14826
256,592,143a2404,424,13229,13653
256,592,143a2420,507,16668,17175
256,592,143a2500,486,15420,15906
256,592,143a2600,479,14068,14547
256,592,143aa400,137,7628,7765
256,592,1440f401,316,6553,6869
256,592,1440f408,210,5872,6082
256,592,1440fc00,1020,14207,15227
256,592,1442b404,1001,17322,18323
256,592,1442f400,400,8037,8437
256,592,14503409,39,3648,3687
256,592,1450340c,69,6298,6367
256,592,14503428,70,7584,7654
256,592,14503508,61,6779,6840
256,592,14503608,69,5937,6006
256,592,1450b408,13,3269,3282
256,592,1450bc00,308,9599,9907
256,592,1450f400,207,4774,4981
256,592,1452b400,22,4480,4502
256,592,1454240c,536,13094,13630
256,592,14542484,1052,19667,20719
256,592,14543404,400,10543,10943
256,592,14543420,421,12431,12852
256,592,14543500,410,11590,12000
256,592,14543600,296,8959,9255
256,592,1454b400,263,7014,7277
256,592,14607401,387,6116,6503
256,592,1460b404,1438,18960,20398
256,592,1460b408,209,8461,8670
256,592,1460bc00,1171,18248,19419
256,592,1460f400,678,9240,9918
256,592,14647400,936,11598,12534
256,592,1464a401,641,12143,12784
256,592,1464b400,944,14717,15661
256,592,14702403,78,5787,5865
256,592,14702405,68,4698,4766
256,592,14702406,638,14131,14769
256,592,14702409,51,3931,3982
256,592,1470240a,96,6739,6835
256,592,1470240c,82,6106,6188
256,592,14702411,87,6932,7019
256,592,14702412,718,18034,18752
256,592,14702414,689,16993,17682
256,592,14702418,114,9159,9273
256,592,14702421,84,6577,6661
256,592,14702422,709,17232,17941
256,592,14702424,692,17157,17849
256,592,14702428,102,8485,8587
256,592,14702430,770,21684,22454
256,592,14702441,75,5694,5769
256,592,14702442,692,16181,16873
256,592,14702444,664,15510,16174
256,592,14702448,100,7884,7984
256,592,14702450,753,20456,21209
256,592,14702460,745,20364,21109
256,592,14702481,62,4573,4635
256,592,14702482,435,11347,11782
256,592,14702484,412,10910,11322
256,592,14702488,83,5656,5739
256,592,14702490,485,14795,15280
256,592,147024a0,474,14480,14954
256,592,147024c0,462,13599,14061
256,592,14702501,82,6180,6262
256,592,14702502,695,16249,16944
256,592,14702504,678,15963,16641
256,592,14702508,96,7947,8043
256,592,14702510,756,20536,21292
256,592,14702520,762,21441,22203
256,592,14702540,731,19371,20102
256,592,14702580,460,13604,14064
256,592,14702601,81,5321,5402
256,592,14702602,523,12697,13220
256,592,14702604,503,12074,12577
256,592,14702608,95,6515,6610
256,592,14702610,583,16107,16690
256,592,14702620,576,16068,16644
256,592,14702640,560,15177,15737
256,592,14702680,358,10945,11303
256,592,14702700,563,15296,15859
256,592,14702c01,70,5385,5455
256,592,14702c02,570,14619,15189
256,592,14702c04,545,14246,14791
256,592,14702c08,112,7992,8104
256,592,14702c10,625,18582,19207
256,592,14702c20,617,18438,19055
256,592,14702c40,601,17403,18004
256,592,14702c80,389,12806,13195
256,592,14702d00,603,17419,18022
256,592,14702e00,462,13570,14032
256,592,14703401,32,3271,3303
256,592,14703402,452,10564,11016
256,592,14703404,440,10386,10826
256,592,14703408,45,4344,4389
256,592,14703410,482,12872,13354
256,592,14703420,473,12514,12987
256,592,14703440,465,11815,12280
256,592,14703480,281,8489,8770
256,592,14703500,461,11773,12234
256,592,14703600,341,9193,9534
256,592,14703c00,369,10712,11081
256,592,14706401,13,1218,1231
256,592,14706402,336,6698,7034
256,592,14706404,325,6616,6941
256,592,14706408,11,1700,1711
256,592,14706410,356,8238,8594
256,592,14706420,352,8422,8774
256,592,14706440,357,8489,8846
256,592,14706480,182,5031,5213
256,592,14706500,349,8103,8452
256,592,14706600,235,5636,5871
256,592,14706c00,257,6634,6891
256,592,14707400,218,4696,4914
256,592,1470a401,23,3167,3190
256,592,1470a402,410,9164,9574
256,592,1470a404,398,9013,9411
256,592,1470a408,20,3820,3840
256,592,1470a410,449,11908,12357
256,592,1470a420,455,12605,13060
256,592,1470a440,438,11265,11703
256,592,1470a480,254,7825,8079
256,592,1470a500,455,12575,13030
256,592,1470a600,321,8991,9312
256,592,1470ac00,334,9963,10297
256,592,1470b008,946,13610,14556
256,592,1470b400,283,6820,7103
256,592,1470e400,208,4516,4724
256,592,14712401,87,6913,7000
256,592,14712402,689,17259,17948
256,592,14712404,660,16519,17179
256,592,14712408,114,9202,9316
256,592,14712410,750,21679,22429
256,592,14712420,742,21574,22316
256,592,14712440,725,20343,21068
256,592,14712480,470,14650,15120
256,592,14712500,728,20555,21283
256,592,14712600,569,16500,17069
256,592,14712c00,601,18547,19148
256,592,14713400,462,12636,13098
256,592,14716400,338,8060,8398
256,592,1471a400,425,12047,12472
256,592,14722401,58,3846,3904
256,592,14722402,142,8102,8244
256,592,14722404,133,7860,7993
256,592,14722408,86,5656,5742
256,592,14722410,174,11080,11254
256,592,14722420,161,10657,10818
256,592,14722440,164,10258,10422
256,592,14722480,126,7782,7908
256,592,14722500,150,9899,10049
256,592,14722600,151,8444,8595
256,592,14722c00,169,9949,10118
256,592,14723400,72,5745,5817
256,592,14726400,50,3128,3178
256,592,1472a400,29,4820,4849
256,592,14732400,175,11115,11290
256,592,14742401,42,3654,3696
256,592,14742402,439,10512,10951
256,592,14742404,416,10162,10578
256,592,14742408,64,5076,5140
256,592,14742410,478,13457,13935
256,592,14742420,471,13233,13704
256,592,14742440,458,12441,12899
256,592,14742480,291,9072,9363
256,592,14742500,466,12715,13181
256,592,14742600,329,9359,9688
256,592,14742c00,378,11505,11883
256,592,14743400,281,7538,7819
256,592,14746400,196,4899,5095
256,592,1474a400,282,7501,7783
256,592,14752400,457,13223,13680
256,592,14762400,87,6183,6270
256,592,14782401,75,4679,4754
256,592,14782402,578,12860,13438
256,592,14782404,556,12345,12901
256,592,14782408,103,6383,6486
256,592,14782410,633,15709,16342
256,592,14782420,625,15295,15920
256,592,14782440,608,14364,14972
256,592,14782480,389,10599,10988
256,592,14782500,611,14316,14927
256,592,14782600,486,12053,12539
256,592,14782c00,507,13200,13707
256,592,14783400,374,8769,9143
256,592,14786400,268,5536,5804
256,592,1478a400,340,7898,8238
256,592,1478b000,1882,19514,21396
256,592,14792400,606,15612,16218
256,592,147a2400,145,7413,7558
256,592,147c2400,379,9346,9725
256,592,1490b408,31,3953,3984
256,592,1490bc00,428,10308,10736
256,592,1490f400,349,7555,7904
256,592,1492a401,701,11768,12469
256,592,1492a408,794,13433,14227
256,592,1492a440,1043,20660,21703
256,592,1492a480,1032,17349,18381
256,592,1492b400,64,5516,5580
256,592,1494b400,363,8368,8731
256,592,149aa400,1019,15468,16487
256,592,14b02409,51,3461,3512
256,592,14b0240a,174,7715,7889
256,592,14b0240c,131,6307,6438
256,592,14b02428,172,9450,9622
256,592,14b02508,172,9188,9360
256,592,14b02601,130,5507,5637
256,592,14b02608,161,6937,7098
256,592,14b03401,53,2877,2930
256,592,14b06401,58,2813,2871
256,592,14b0a408,65,4813,4878
256,592,14b0b400,426,8135,8561
256,592,14b22401,52,3312,3364
256,592,14b22402,263,9381,9644
256,592,14b22404,219,8324,8543
256,592,14b22420,275,11979,12254
256,592,14b22500,273,11624,11897
256,592,14b22600,257,9111,9368
256,592,14b2a400,103,6175,6278
256,592,14c0b408,391,9112,9503
256,592,14c0bc00,1612,19976,21588
256,592,14d03408,21,2919,2940
256,592,14f02401,24,2136,2160
256,592,14f02402,526,9703,10229
256,592,14f02404,497,8947,9444
256,592,14f02408,30,3229,3259
256,592,14f02410,563,11871,12434
256,592,14f02420,563,12397,12960
256,592,14f02440,563,12662,13225
256,592,14f02480,311,7238,7549
256,592,14f02500,561,12169,12730
256,592,14f02600,406,8793,9199
256,592,14f02c00,429,9778,10207
256,592,14f03400,353,6817,7170
256,592,14f06400,312,6567,6879
256,592,14f0a400,374,7550,7924
256,592,14f12400,535,11890,12425
256,592,14f22400,63,4694,4757
256,592,14f42400,344,7450,7794
256,592,14f82400,437,8018,8455
256,592,1500b409,166,6651,6817
256,592,1500bc01,486,11049,11535
256,592,1500f401,208,4503,4711
256,592,1500fc00,893,11838,12731
256,592,1502b401,245,7242,7487
256,592,1502b408,272,8283,8555
256,592,1502b600,879,15519,16398
256,592,1502d480,924,15135,16059
256,592,1502f400,352,6693,7045
256,592,1503b400,949,17561,18510
256,592,1504b401,409,8690,9099
256,592,15103248,659,13511,14170
256,592,15103409,11,1933,1944
256,592,1510340c,20,3978,3998
256,592,15103428,19,4265,4284
256,592,15103508,15,3707,3722
256,592,15103608,17,3062,3079
256,592,15103c04,341,10536,10877
256,592,15103c20,356,11611,11967
256,592,15103d00,346,10601,10947
256,592,15103e00,245,8128,8373
256,592,15106405,91,4724,4815
256,592,15106421,101,6166,6267
256,592,15106501,107,6381,6488
256,592,1510b009,430,8857,9287
256,592,1510b048,488,10674,11162
256,592,1510b088,372,8298,8670
256,592,1510b208,493,9917,10410
256,592,1510b408,4,1705,1709
256,592,1510b801,1353,16780,18133
256,592,1510bc00,231,6474,6705
256,592,1510e401,65,3875,3940
256,592,1510e480,308,8223,8531
256,592,1510f001,881,9765,10646
256,592,1510f400,161,3354,3515
256,592,15123404,25,5272,5297
256,592,15123420,24,5718,5742
256,592,15123500,19,4995,5014
256,592,15123600,27,4193,4220
256,592,1512b001,658,10860,11518
256,592,1512b008,191,6468,6659
256,592,1512b400,1,2315,2316
256,592,1514240c,174,8127,8301
256,592,1514b001,1181,13945,15126
256,592,1514b400,206,4703,4909
256,592,15202407,1367,18977,20344
256,592,1520240d,585,10622,11207
256,592,15202415,1411,20418,21829
256,592,15202425,1373,19684,21057
256,592,15202445,1364,19265,20629
256,592,15202485,1150,16360,17510
256,592,15202505,1333,18733,20066
256,592,15202605,1280,17055,18335
256,592,15202c05,1044,15767,16811
256,592,15203405,786,12329,13115
256,592,15206405,436,6390,6826
256,592,15206409,157,3170,3327
256,592,15206421,473,7547,8020
256,592,15206501,467,7196,7663
256,592,1520a403,571,11843,12414
256,592,1520a405,506,10370,10876
256,592,1520a409,125,5882,6007
256,592,1520a411,585,13202,13787
256,592,1520a421,570,12431,13001
256,592,1520a441,567,12480,13047
256,592,1520a481,468,10561,11029
256,592,1520a501,563,12504,13067
256,592,1520a601,537,11094,11631
256,592,1520ac01,403,9929,10332
256,592,1520b401,277,6877,7154
256,592,1520e401,128,2878,3006
256,592,15212405,1388,19522,20910
256,592,1521a401,578,12805,13383
256,592,15222405,670,11474,12144
256,592,15222409,450,9035,9485
256,592,15222421,711,12740,13451
256,592,15222501,685,12292,12977
256,592,1522a401,174,6289,6463
256,592,1522f000,1051,12230,13281
256,592,15242405,807,12186,12993
256,592,1524a401,313,7608,7921
256,592,15282405,1158,15483,16641
256,592,15282409,555,9783,10338
256,592,15282421,1241,16844,18085
256,592,15282501,1210,16314,17524
256,592,1528a401,450,9008,9458
256,592,15302403,17,3197,3214
256,592,15302405,14,2843,2857
256,592,15302409,5,1626,1631
256,592,1530240a,14,3381,3395
256,592,1530240c,11,3289,3300
256,592,15302411,17,3621,3638
256,592,15302421,14,3340,3354
256,592,15302428,10,3882,3892
256,592,15302441,17,3040,3057
256,592,15302481,10,2483,2493
256,592,15302501,13,2975,2988
256,592,15302508,8,3405,3413
256,592,15302601,17,2514,2531
256,592,15302608,10,2669,2679
256,592,15302c01,9,2560,2569
256,592,15302c02,319,8958,9277
256,592,15302c04,311,9086,9397
256,592,15302c20,335,10704,11039
256,592,15302d00,329,9843,10172
256,592,15302e00,218,7152,7370
256,592,15303401,12,1982,1994
256,592,15306401,5,418,423
256,592,1530a401,5,1498,1503
256,592,1530a402,316,6144,6460
256,592,1530a404,308,6261,6569
256,592,1530a408,3,1464,1467
256,592,1530a410,334,7410,7744
256,592,1530a420,337,7842,8179
256,592,1530a440,327,7140,7467
256,592,1530a480,184,4791,4975
256,592,1530a500,336,7713,8049
256,592,1530a600,220,5093,5313
256,592,1530ac00,227,5794,6021
256,592,1530b001,797,11465,12262
256,592,1530b008,282,7354,7636
256,592,1530b400,235,4737,4972
256,592,1530e400,142,2772,2914
256,592,1530f000,874,10278,11152
256,592,15312401,17,3283,3300
256,592,15312402,418,10538,10956
256,592,15312404,407,10469,10876
256,592,15312420,438,12498,12936
256,592,15312500,432,11648,12080
256,592,15312600,305,9066,9371
256,592,1531a400,303,6869,7172
256,592,15322401,6,1638,1644
256,592,15322402,19,4125,4144
256,592,15322404,16,4220,4236
256,592,15322420,15,4986,5001
256,592,15322500,12,4373,4385
256,592,15322600,18,3507,3525
256,592,1532a008,241,6804,7045
256,592,1532a400,0,1819,1819
256,592,15342401,3,1520,1523
256,592,1534a400,203,4305,4508
256,592,15382401,17,2670,2687
256,592,1538a400,256,5152,5408
256,592,1542b400,428,10061,10489
256,592,1550048c,1075,18589,19664
256,592,15540484,1505,22743,24248
256,592,15602405,1000,13305,14305
256,592,15606401,323,5097,5420
256,592,1560a401,423,8709,9132
256,592,1560a408,190,6993,7183
256,592,1560a600,1181,16661,17842
256,592,1560b400,827,12172,12999
256,592,15622401,536,9217,9753
256,592,15682401,918,11983,12901
256,592,1568a400,1072,13861,14933
256,592,15700604,1823,20534,22357
256,592,15700620,2235,26582,28817
256,592,15700700,2176,25794,27970
256,592,15702401,9,1844,1853
256,592,15702402,328,7169,7497
256,592,15702404,321,7195,7516
256,592,15702408,10,2298,2308
256,592,15702410,350,8874,9224
256,592,15702420,347,8703,9050
256,592,15702440,342,8539,8881
256,592,15702480,200,5851,6051
256,592,15702500,342,8110,8452
256,592,15702600,231,5977,6208
256,592,15702c00,259,7546,7805
256,592,15703400,244,5630,5874
256,592,15706400,143,3130,3273
256,592,15708600,1469,18005,19474
256,592,1570a400,235,4905,5140
256,592,15712400,331,8544,8875
256,592,15722400,17,3050,3067
256,592,1572a000,629,10968,11597
256,592,15742400,214,5172,5386
256,592,15782400,270,6268,6538
256,592,1580bc00,1464,17249,18713
256,592,1582b400,609,10055,10664
256,592,1590b008,216,5146,5362
256,592,15920484,1321,22173,23494
256,592,15a02405,735,9530,10265
256,592,15a02c04,2214,21450,23664
256,592,15a0a401,324,6015,6339
256,592,15a0ac00,1287,15234,16521
256,592,15a2a400,453,8344,8797
256,592,15a4a400,1112,13068,14180
256,592,15b02401,9,956,965
256,592,15b0a400,279,4860,5139
256,592,15b2a000,395,7569,7964
256,592,15d01088,873,13505,14378
256,592,15e0a400,1011,12267,13278
256,592,15f00401,923,11025,11948
256,592,15f02400,266,4858,5124
256,592,16007049,347,9058,9405
256,592,16007403,250,6333,6583
256,592,16007405,244,5882,6126
256,592,16007409,32,2524,2556
256,592,16007411,247,6892,7139
256,592,16007421,249,6914,7163
256,592,16007441,239,6418,6657
256,592,16007481,162,4920,5082
256,592,16007501,249,6605,6854
256,592,16007601,225,5873,6098
256,592,16007809,392,9766,10158
256,592,16007c01,124,4472,4596
256,592,1600f009,222,6619,6841
256,592,1600f401,136,3938,4074
256,592,1600f408,308,5861,6169
256,592,1600fc00,1059,13187,14246
256,592,16017401,244,6704,6948
256,592,16027041,1047,13445,14492
256,592,16027401,32,2352,2384
256,592,1602f400,507,7760,8267
256,592,16047401,106,3541,3647
256,592,16087401,176,3608,3784
256,592,1608f400,1004,10437,11441
256,592,16102348,1223,26820,28043
256,592,16102518,558,19724,20282
256,592,16102548,334,15476,15810
256,592,16103049,188,7890,8078
256,592,1610304a,259,13133,13392
256,592,1610304c,160,10752,10912
256,592,16103058,263,14753,15016
256,592,16103068,258,14434,14692
256,592,161030c8,141,8609,8750
256,592,16103148,255,13752,14007
256,592,16103248,227,10676,10903
256,592,16103441,20,2815,2835
256,592,16103448,31,4228,4259
256,592,16103501,48,4031,4079
256,592,16103508,60,5286,5346
256,592,16103848,240,12576,12816
256,592,16103c40,367,10407,10774
256,592,16103d00,420,12199,12619
256,592,16106405,147,5502,5649
256,592,1610640c,164,6049,6213
256,592,16106421,150,6028,6178
256,592,16106428,177,7146,7323
256,592,16106501,157,6369,6526
256,592,16106508,177,7127,7304
256,592,16107048,26,4566,4592
256,592,16107401,7,614,621
256,592,16107408,7,807,814
256,592,16107880,1184,14725,15909
256,592,16107c00,170,4116,4286
256,592,1610a058,1062,25633,26695
256,592,1610a148,1070,25534,26604
256,592,1610b048,168,9204,9372
256,592,1610b440,384,8644,9028
256,592,1610b500,428,10652,11080
256,592,1610e048,456,11162,11618
256,592,1610e208,541,10621,11162
256,592,1610e401,106,4721,4827
256,592,1610e408,102,4870,4972
256,592,1610f001,563,8024,8587
256,592,1610f040,1347,15707,17054
256,592,1610f080,1063,12350,13413
256,592,1610f200,1186,13616,14802
256,592,1610f400,191,3932,4123
256,592,16113048,255,13509,13764
256,592,16117400,254,5444,5698
256,592,16122540,468,18291,18759
256,592,16123048,197,9067,9264
256,592,16123440,50,5575,5625
256,592,16123500,73,6621,6694
256,592,161250c0,2727,25697,28424
256,592,16125480,873,11289,12162
256,592,16127040,688,10611,11299
256,592,16127400,17,1682,1699
256,592,16127800,751,11299,12050
256,592,1612f000,588,8614,9202
256,592,16142148,974,23426,24400
256,592,16142508,289,12342,12631
256,592,16143048,155,8507,8662
256,592,16143401,17,2035,2052
256,592,16143408,23,2760,2783
256,592,16143c00,217,6863,7080
256,592,1614b400,238,5980,6218
256,592,16163400,14,3239,3253
256,592,16183048,167,8209,8376
256,592,16203409,214,7686,7900
256,592,16203c01,456,11226,11682
256,592,16206403,437,8095,8532
256,592,16206405,381,6963,7344
256,592,16206409,129,3853,3982
256,592,16206411,425,8374,8799
256,592,16206421,442,8896,9338
256,592,16206441,439,8763,9202
256,592,16206481,301,6079,6380
256,592,16206501,441,8804,9245
256,592,16206601,394,7272,7666
256,592,16206c01,245,5703,5948
256,592,16207009,180,5929,6109
256,592,16207401,137,3547,3684
256,592,1620b009,578,12837,13415
256,592,1620e401,235,5125,5360
256,592,1620f008,418,8170,8588
256,592,16216401,425,8335,8760
256,592,16226003,1126,15570,16696
256,592,16226005,1033,14009,15042
256,592,16226009,368,8048,8416
256,592,16226401,112,3394,3506
256,592,16227001,555,8840,9395
256,592,16246401,193,4606,4799
256,592,16262401,467,9810,10277
256,592,16286401,338,5444,5782
256,592,162a6001,546,8337,8883
256,592,16302049,277,9944,10221
256,592,1630204a,392,16231,16623
256,592,1630204c,255,13023,13278
256,592,16302058,416,18572,18988
256,592,16302068,409,18494,18903
256,592,163020c8,232,10975,11207
256,592,16302148,406,18079,18485
256,592,16302248,356,13518,13874
256,592,16302409,57,3822,3879
256,592,1630240a,121,7465,7586
256,592,1630240c,108,6282,6390
256,592,16302418,127,8664,8791
256,592,16302428,125,8543,8668
256,592,16302448,83,7297,7380
256,592,16302488,77,5280,5357
256,592,16302508,121,8295,8416
256,592,16302601,81,4670,4751
256,592,16302608,106,6126,6232
256,592,16302848,380,15901,16281
256,592,16302888,439,13339,13778
256,592,16302a08,565,15287,15852
256,592,16302c08,101,7158,7259
256,592,16303048,200,10219,10419
256,592,16303401,43,3037,3080
256,592,16303408,58,4283,4341
256,592,16303808,377,12134,12511
256,592,16303c00,334,9201,9535
256,592,16306048,40,5414,5454
256,592,16306088,20,3445,3465
256,592,16306208,49,4648,4697
256,592,16306401,12,915,927
256,592,16306408,14,1395,1409
256,592,16307008,20,3426,3446
256,592,1630a048,261,11803,12064
256,592,1630a088,262,8884,9146
256,592,1630a208,365,10962,11327
256,592,1630a408,56,4855,4911
256,592,1630b008,234,8354,8588
256,592,1630b400,341,7621,7962
256,592,1630f000,805,10494,11299
256,592,16312048,402,17206,17608
256,592,16312408,126,8283,8409
256,592,16322048,325,12284,12609
256,592,163220c0,985,18624,19609
256,592,16322401,51,3459,3510
256,592,16322402,146,8333,8479
256,592,16322404,133,7387,7520
256,592,16322408,77,5440,5517
256,592,16322410,153,9698,9851
256,592,16322420,152,9951,10103
256,592,16322440,115,8772,8887
256,592,16322480,102,6869,6971
256,592,16322500,147,9637,9784
256,592,16322600,131,7396,7527
256,592,16322808,533,14296,14829
256,592,16322880,1220,20792,22012
256,592,16322c00,122,8258,8380
256,592,16323400,67,5084,5151
256,592,16326001,241,5545,5786
256,592,16326008,36,4055,4091
256,592,16326080,493,8764,9257
256,592,16326400,32,2325,2357
256,592,16327000,422,7741,8163
256,592,1632a008,324,9672,9996
256,592,1632a080,885,15273,16158
256,592,1632a400,71,5766,5837
256,592,16332400,152,9349,9501
256,592,16342048,248,10947,11195
256,592,16342408,50,4580,4630
256,592,16362400,39,5021,5060
256,592,16366000,422,7993,8415
256,592,16382048,304,11786,12090
256,592,16382408,126,6522,6648
256,592,163a2400,132,6935,7067
