mask_hex,rank,active_rows
05809121,8,424
08028e09,8,424
0941d400,8,424
0a12a802,8,424
0c844103,8,424
0c982900,8,424
0d022184,8,424
124c4005,8,424
18542900,8,424
186420c0,8,424
19240418,8,424
20026429,8,424
20c44540,8,424
24085380,8,424
2812401a,8,424
29601028,8,424
0012e608,8,425
0090c1a4,8,425
014c6102,8,425
02606290,8,425
04005a0b,8,425
0419048c,8,425
070180c1,8,425
08120e88,8,425
081cc808,8,425
090e0284,8,425
0a264808,8,425
1250a0a0,8,425
13200603,8,425
14288441,8,425
1480401d,8,425
16504120,8,425
1c80400e,8,425
2014c40c,8,425
20826091,8,425
21265004,8,425
2410282c,8,425
2e060108,8,425
32144090,8,425
3c020c80,8,425
000e8609,8,426
0090450d,8,426
0210a486,8,426
02548181,8,426
02a0150c,8,426
03862208,8,426
04c98240,8,426
05010549,8,426
06322042,8,426
06632100,8,426
091aa010,8,426
0a02ec00,8,426
0c04400f,8,426
0c4a2003,8,426
1006a08c,8,426
1054101c,8,426
10843809,8,426
10a41490,8,426
14062094,8,426
14413420,8,426
15001286,8,426
15860018,8,426
2061b080,8,426
20d88041,8,426
21016c80,8,426
2206e004,8,426
22405601,8,426
2404b300,8,426
24103015,8,426
24940406,8,426
310a2042,8,426
31282021,8,426
3408c0c0,8,426
34124300,8,426
0059a801,8,427
0092510a,8,427
00b94600,8,427
02187021,8,427
0402f048,8,427
04410e81,8,427
04621181,8,427
0486300c,8,427
048a6104,8,427
0580c510,8,427
0a047804,8,427
0b40a810,8,427
0c3a0012,8,427
0f208140,8,427
11066041,8,427
11b11800,8,427
1540110a,8,427
18520288,8,427
1a065002,8,427
1a454008,8,427
1d042102,8,427
202c2109,8,427
205f4000,8,427
20a81016,8,427
2108121a,8,427
21c804a0,8,427
25110242,8,427
260b0a00,8,427
29894008,8,427
30470408,8,427
3a242200,8,427
003a180a,8,428
00705092,8,428
01028c49,8,428
01140709,8,428
013a2044,8,428
01742140,8,428
01805426,8,428
0208f0c0,8,428
02305811,8,428
028cb004,8,428
0300850d,8,428
03048650,8,428
040a3a08,8,428
04524828,8,428
04c020c9,8,428
04c06160,8,428
06014e01,8,428
06203904,8,428
083a008c,8,428
0a308405,8,428
0a904450,8,428
0c121241,8,428
0c1610c0,8,428
0e00480b,8,428
11c1c004,8,428
15002883,8,428
180c1c08,8,428
180c440a,8,428
2048244a,8,428
21096102,8,428
254808a0,8,428
29880206,8,428
30472400,8,428
3184100c,8,428
00b86044,8,429
00d060c4,8,429
014a0419,8,429
014d6100,8,429
019a0482,8,429
02507048,8,429
02a01618,8,429
030884a1,8,429
043a2012,8,429
0504e802,8,429
07428084,8,429
083c1280,8,429
09446048,8,429
09502610,8,429
0d4010a1,8,429
0d424840,8,429
10301207,8,429
11662020,8,429
11909018,8,429
14219011,8,429
18222680,8,429
1c005c01,8,429
1c0c0818,8,429
1e500011,8,429
20486211,8,429
20ce4200,8,429
244c1240,8,429
26060484,8,429
2a025280,8,429
30580888,8,429
308822c0,8,429
30904510,8,429
31002648,8,429
31444108,8,429
31e24000,8,429
34005105,8,429
01381160,8,430
021c1490,8,430
02c26204,8,430
035c0810,8,430
038e0402,8,430
044c5104,8,430
0494a420,8,430
04b12500,8,430
05043821,8,430
05a80019,8,430
080a2449,8,430
0a188803,8,430
102b3200,8,430
10313808,8,430
10864029,8,430
15011310,8,430
1510081a,8,430
15290028,8,430
16085180,8,430
18836008,8,430
19628008,8,430
1a209003,8,430
1c308003,8,430
24241188,8,430
24893040,8,430
2980a081,8,430
300cc018,8,430
30644081,8,430
38450408,8,430
3900c088,8,430
00b36400,8,431
00e33080,8,431
0121d204,8,431
01245c04,8,431
03043224,8,431
04116848,8,431
04211360,8,431
04292290,8,431
042b1082,8,431
0438042a,8,431
044430a4,8,431
04641260,8,431
046a1024,8,431
05058881,8,431
06281114,8,431
06a02e00,8,431
090a5402,8,431
093e0004,8,431
0a0e4c00,8,431
0b051401,8,431
0c492180,8,431
0d900844,8,431
0e201106,8,431
101c40c1,8,431
10321604,8,431
10846520,8,431
10c43401,8,431
11311840,8,431
14830680,8,431
2105a600,8,431
21462c00,8,431
21888206,8,431
242c8500,8,431
24348900,8,431
26221140,8,431
2898008a,8,431
2e300280,8,431
30441029,8,431
35020490,8,431
39402440,8,431
00103e81,8,432
005e6010,8,432
012d2402,8,432
034c0640,8,432
03560101,8,432
04191206,8,432
04814381,8,432
05184031,8,432
05622804,8,432
05900e04,8,432
06126204,8,432
070c4180,8,432
090d1600,8,432
09e22800,8,432
0b11a002,8,432
0b20a208,8,432
0c114805,8,432
1405022c,8,432
14124680,8,432
15009620,8,432
15088460,8,432
16214081,8,432
17400308,8,432
18084289,8,432
20d40488,8,432
2120a282,8,432
21cc0240,8,432
23018460,8,432
24099410,8,432
24504450,8,432
2a08208c,8,432
2c026500,8,432
2c21a008,8,432
2ee00040,8,432
3008108d,8,432
3282c008,8,432
34062012,8,432
34108442,8,432
34128a00,8,432
3c041840,8,432
01109a03,8,433
01445448,8,433
01d81090,8,433
022c8c08,8,433
02682580,8,433
0308b104,8,433
03848508,8,433
05c0a810,8,433
06292220,8,433
06443108,8,433
06904288,8,433
08194409,8,433
08a13408,8,433
0b82c004,8,433
0cc05011,8,433
0e04c00c,8,433
0f900280,8,433
10a81640,8,433
11144106,8,433
12922202,8,433
14644110,8,433
14a48088,8,433
15412102,8,433
15600085,8,433
16048106,8,433
18848089,8,433
1c222048,8,433
1c884840,8,433
204804c9,8,433
20827005,8,433
208c2c08,8,433
21200709,8,433
22908c04,8,433
24221580,8,433
3010d024,8,433
30296004,8,433
30421409,8,433
31044441,8,433
34308082,8,433
35024180,8,433
36c00048,8,433
03046016,8,434
038ec000,8,434
042112a4,8,434
044c2405,8,434
04c90809,8,434
05042aa0,8,434
05484188,8,434
06324280,8,434
06508980,8,434
0832b004,8,434
0842280d,8,434
087b2000,8,434
0d1b0004,8,434
10351880,8,434
10685014,8,434
11142430,8,434
14023490,8,434
1441b020,8,434
150b0401,8,434
16000629,8,434
18689040,8,434
2008b086,8,434
20231488,8,434
2184a202,8,434
24083320,8,434
26148204,8,434
2c141204,8,434
30ac0005,8,434
00349403,8,435
00b0450c,8,435
0140a648,8,435
01b21082,8,435
02508c0c,8,435
031a0085,8,435
03214680,8,435
04502a41,8,435
0460b810,8,435
04a80c88,8,435
05011612,8,435
0624001b,8,435
07081092,8,435
0934a040,8,435
0a309110,8,435
0d121050,8,435
0e921040,8,435
1018b880,8,435
11043980,8,435
1a446400,8,435
2009120b,8,435
2092100b,8,435
20d2b000,8,435
21089540,8,435
21119480,8,435
240a2890,8,435
244d00c0,8,435
27801180,8,435
2a2210c0,8,435
320c4090,8,435
3c0a1040,8,435
08c28e40,9,435
00309603,8,436
0082c449,8,436
00a86242,8,436
0110844b,8,436
03552020,8,436
03904061,8,436
03a02444,8,436
0490c0a4,8,436
0530c210,8,436
06003584,8,436
06111301,8,436
062012a1,8,436
06a41a00,8,436
090a3402,8,436
090c1a01,8,436
094200c9,8,436
0a285082,8,436
0a82020b,8,436
0c31000d,8,436
0d006428,8,436
0e408428,8,436
10245805,8,436
111a2011,8,436
14013428,8,436
141c0910,8,436
1420c4c0,8,436
148045c0,8,436
15019084,8,436
15404828,8,436
1818c208,8,436
18605201,8,436
1b080602,8,436
200e7800,8,436
2010b881,8,436
21522804,8,436
22026881,8,436
24a04016,8,436
3204a410,8,436
04511206,8,437
0458a202,8,437
0664800a,8,437
07214802,8,437
07800584,8,437
091484c0,8,437
09d08101,8,437
0c406a04,8,437
0e4c2010,8,437
1098b004,8,437
10c9c200,8,437
11148031,8,437
1b50000a,8,437
20211688,8,437
22884284,8,437
2c480049,8,437
2c824102,8,437
31426800,8,437
31a10408,8,437
34188044,8,437
34a08480,8,437
3c100248,8,437
01c16042,8,438
01ec4002,8,438
02680419,8,438
0342200b,8,438
03b80204,8,438
04c18241,8,438
0505c210,8,438
05120483,8,438
05209828,8,438
05800c0d,8,438
06843a00,8,438
069c000c,8,438
06c64001,8,438
08146288,8,438
091a0482,8,438
092a1022,8,438
0a2a2090,8,438
0a708021,8,438
0c096401,8,438
0c1cc020,8,438
1010a4c1,8,438
10b04481,8,438
10b0c480,8,438
1188200d,8,438
12442580,8,438
14692004,8,438
15014380,8,438
