family,mask_hex,rank,joint
augmented9088,0041212e,8,0
augmented9088,0041303c,8,0
augmented9088,0045106c,8,0
augmented9088,004c1542,8,0
augmented9088,00510855,8,0
augmented9088,00528360,8,0
augmented9088,006802ac,8,0
augmented9088,00838207,8,0
augmented9088,00871228,8,0
augmented9088,00890586,8,0
augmented9088,00911a11,8,0
augmented9088,0092211c,8,0
augmented9088,00952150,8,0
augmented9088,00e40512,8,0
augmented9088,01003961,8,0
augmented9088,0100c06b,8,0
augmented9088,01402932,8,0
augmented9088,01650112,8,0
augmented9088,018200d3,8,0
augmented9088,01820895,8,0
augmented9088,020810ce,8,0
augmented9088,020e0033,8,0
augmented9088,02250b80,8,0
augmented9088,02252828,8,0
augmented9088,02510d02,8,0
augmented9088,02d20884,8,0
augmented9088,03020265,8,0
augmented9088,03450118,8,0
augmented9088,04024f40,8,0
augmented9088,0440832a,8,0
augmented9088,045001e4,8,0
augmented9088,04802570,8,0
augmented9088,08003a64,8,0
augmented9088,08005172,8,0
augmented9088,0800ae60,8,0
augmented9088,08016918,8,0
augmented9088,08019107,8,0
augmented9088,084016a4,8,0
augmented9088,08411845,8,0
augmented9088,08891106,8,0
augmented9088,0a070061,8,0
augmented9088,0a881940,8,0
augmented9088,100053b0,8,0
augmented9088,10089852,8,0
augmented9088,10104474,8,0
augmented9088,10214191,8,0
augmented9088,10320b04,8,0
augmented9088,10401545,8,0
augmented9088,10401551,8,0
augmented9088,10802117,8,0
augmented9088,11030305,8,0
augmented9088,12029051,8,0
augmented9088,12e00414,8,0
augmented9088,1340005c,8,0
augmented9088,1800a311,8,0
augmented9088,1820028e,8,0
augmented9088,18409023,8,0
augmented9088,20130223,8,0
augmented9088,20421988,8,0
augmented9088,2064004e,8,0
augmented9088,20940246,8,0
augmented9088,21058c10,8,0
augmented9088,2200c831,8,0
augmented9088,22020169,8,0
augmented9088,22400c52,8,0
augmented9088,22411844,8,0
augmented9088,28012948,8,0
augmented9088,28028113,8,0
augmented9088,28101154,8,0
augmented9088,28400c13,8,0
augmented9088,28a002c4,8,0
augmented9088,300086c4,8,0
augmented9088,30418806,8,0
augmented9088,380086a0,8,0
augmented9088,388088c0,8,0
carrier9019,380086a0,8,0
carrier9019,388088c0,8,0
