a_hex	b_hex	cover	count	least_mask	labels
c4c6408131710600	0000000000000000	19	2	0842a4c0	6,7,10,13,15,17,22,27
c4c6498031740600	0000000000000000	20	1	08622c80	7,10,11,13,17,21,22,27
c712620000000000	0000000000000000	10	1	004ea440	6,10,13,15,17,18,19,22
cc02000000000000	0000000000000000	5	1	004ca680	7,9,10,13,15,18,19,22
cc02400000000000	0000000000000000	6	4	004ca4c0	6,7,10,13,15,18,19,22
cc02c00000000000	0000000000000000	7	1	084ca880	7,11,13,15,18,19,22,27
cc08400000000000	0000000000000000	6	1	000da4c0	6,7,10,13,15,16,18,19
cc0a000000000000	0000000000000000	6	1	000ca6c0	6,7,9,10,13,15,18,19
cc0a400000000000	0000000000000000	7	5	000ca4c2	1,6,7,10,13,15,18,19
cc23000000000000	0000000000000000	7	1	004c86c0	6,7,9,10,15,18,19,22
cc23400000000000	0000000000000000	8	2	004c84d0	4,6,7,10,15,18,19,22
cc46049000000000	0000000000000000	10	1	0048a6c0	6,7,9,10,13,15,19,22
cc46449000000000	0000000000000000	11	1	0048acc0	6,7,10,11,13,15,19,22
cf12220000000000	0000000000000000	10	1	004ca640	6,9,10,13,15,18,19,22
cf12620000000000	0000000000000000	11	1	004cac40	6,10,11,13,15,18,19,22
d000c00000000000	0000000000000000	5	1	08476080	7,13,14,16,17,18,22,27
d002800000000000	0000000000000000	5	5	00466284	2,7,9,13,14,17,18,22
d002c00000000000	0000000000000000	6	17	00466086	1,2,7,13,14,17,18,22
d002e00000000000	0000000000000000	7	1	0846e800	11,13,14,15,17,18,22,27
d004890000360000	0000000000000000	11	1	08436280	7,9,13,14,16,17,22,27
d004c90000360000	0000000000000000	12	1	08436880	7,11,13,14,16,17,22,27
d006800000320000	0000000000000000	9	1	0842e280	7,9,13,14,15,17,22,27
d006890000360000	0000000000000000	12	8	08426282	1,7,9,13,14,17,22,27
d006c00000320000	0000000000000000	10	5	0842e082	1,7,13,14,15,17,22,27
d006c90000360000	0000000000000000	13	12	08426086	1,2,7,13,14,17,22,27
d00a800000000000	0000000000000000	6	4	08066284	2,7,9,13,14,17,18,27
d00ac00000000000	0000000000000000	7	6	00266086	1,2,7,13,14,17,18,21
d4808041b280c800	0000000000000000	16	1	08472280	7,9,13,16,17,18,22,27
d480c041b280c800	0000000000000000	17	1	08472880	7,11,13,16,17,18,22,27
d4828001b280c000	0000000000000000	15	1	0846a280	7,9,13,15,17,18,22,27
d482804030800000	0000000000000000	11	1	08662280	7,9,13,17,18,21,22,27
d4828041b280c800	0000000000000000	17	4	08462282	1,7,9,13,17,18,22,27
d482c00030800000	0000000000000000	11	1	0866a080	7,13,15,17,18,21,22,27
