a_hex	b_hex	cover	count	least_mask	labels
0002a24000000000	0000000000000000	5	1	184e2200	9,13,17,18,19,22,27,28
0002a2400000c800	0000000000000000	8	3	18462202	1,9,13,17,18,22,27,28
0002c00000000000	0000000000000000	3	70	10446083	0,1,7,13,14,18,22,28
0002c00000008000	0000000000000000	4	3	1044a881	0,7,11,13,15,18,22,28
0002c00000008800	0000000000000000	5	2	10462881	0,7,11,13,17,18,22,28
0002c0000000c000	0000000000000000	5	6	1046a082	1,7,13,15,17,18,22,28
0002c02000000000	0000000000000000	4	1	104c2083	0,1,7,13,18,19,22,28
0002c04000000000	0000000000000000	4	13	104e2082	1,7,13,17,18,19,22,28
0002c0400000c800	0000000000000000	7	7	18462082	1,7,13,17,18,22,27,28
0002c06000000000	0000000000000000	5	3	104c2086	1,2,7,13,18,19,22,28
0002e00000000000	0000000000000000	4	132	10446007	0,1,2,13,14,18,22,28
0002e00000008000	0000000000000000	5	2	1844a801	0,11,13,15,18,22,27,28
0002e00000008800	0000000000000000	6	5	18462003	0,1,13,17,18,22,27,28
0002e04000000000	0000000000000000	5	12	106c2006	1,2,13,18,19,21,22,28
0002e20000000000	0000000000000000	5	5	104ca006	1,2,13,15,18,19,22,28
0002e2000000c000	0000000000000000	7	6	1846a002	1,13,15,17,18,22,27,28
0002e24000000000	0000000000000000	6	7	184e2002	1,13,17,18,19,22,27,28
0002e2400000c800	0000000000000000	9	4	18462006	1,2,13,17,18,22,27,28
0003000000000000	0000000000000000	2	3	104c4680	7,9,10,14,18,19,22,28
0003000000080000	0000000000000000	3	2	104486c0	6,7,9,10,15,18,22,28
0003200000000000	0000000000000000	3	1	106c4600	9,10,14,18,19,21,22,28
0003200000080000	0000000000000000	4	3	1044c640	6,9,10,14,15,18,22,28
0003220000000000	0000000000000000	4	1	104c8640	6,9,10,15,18,19,22,28
0003400000000000	0000000000000000	3	18	104c4481	0,7,10,14,18,19,22,28
0003400000080000	0000000000000000	4	15	104484c1	0,6,7,10,15,18,22,28
0003600000000000	0000000000000000	4	17	104c4403	0,1,10,14,18,19,22,28
0003600000080000	0000000000000000	5	13	1044c441	0,6,10,14,15,18,22,28
0003620000000000	0000000000000000	5	2	104c8c40	6,10,11,15,18,19,22,28
0003a00000000000	0000000000000000	4	1	104cc201	0,9,14,15,18,19,22,28
0003a00000080000	0000000000000000	5	2	1044c203	0,1,9,14,15,18,22,28
0003c00000000000	0000000000000000	4	9	104c4086	1,2,7,14,18,19,22,28
0003c00000002010	0000000000000000	6	1	104e8081	0,7,15,17,18,19,22,28
0003c00000080000	0000000000000000	5	6	1044c083	0,1,7,14,15,18,22,28
0003c0000008e030	0000000000000000	10	1	18468880	7,11,15,17,18,22,27,28
0003e00000000000	0000000000000000	5	22	104c4007	0,1,2,14,18,19,22,28
0003e00000080000	0000000000000000	6	10	10444017	0,1,2,4,14,18,22,28
000489cc0077dec1	0000000000000000	23	1	18432280	7,9,13,16,17,22,27,28
0004c90000360000	0000000000000000	9	1	18436080	7,13,14,16,17,22,27,28
0006090000340000	0000000000000000	7	1	10426680	7,9,10,13,14,17,22,28
0006098000000000	0000000000000000	5	1	104a2680	7,9,10,13,17,19,22,28
0006098000750600	0000000000000000	12	1	18422680	7,9,10,13,17,22,27,28
0006190000000000	0000000000000000	5	1	10486680	7,9,10,13,14,19,22,28
0006400000000000	0000000000000000	3	1	1048e480	7,10,13,14,15,19,22,28
0006400000300000	0000000000000000	5	2	1040e4c0	6,7,10,13,14,15,22,28
0006408000000000	0000000000000000	4	1	104aa480	7,10,13,15,17,19,22,28
0006408000710600	0000000000000000	10	1	1842a480	7,10,13,15,17,22,27,28
0006449000000000	0000000000000000	6	1	1048a4c0	6,7,10,13,15,19,22,28
0006490000000000	0000000000000000	5	1	104a6480	7,10,13,14,17,19,22,28
0006490000340000	0000000000000000	8	1	18426480	7,10,13,14,17,22,27,28
0006498000000000	0000000000000000	6	3	104a2481	0,7,10,13,17,19,22,28
0006498000640400	0000000000000000	10	1	18422481	0,7,10,13,17,22,27,28
0006498000740600	0000000000000000	12	1	18622480	7,10,13,17,21,22,27,28
0006498000750600	0000000000000000	13	1	18422c80	7,10,11,13,17,22,27,28
0006590000000000	0000000000000000	6	3	10486482	1,7,10,13,14,19,22,28
