SINGLETON_IDEAL_AGGREGATE_V1
UNIVERSE LIVE 22647 SINGLETON_GROUPS 192 SINGLETON_ROWS 3738
SUCCESS_GROUPS 110 SUCCESS_ROWS 1219 DISJOINT YES
SUCCESS_UNION FNV 3706723fd3574334 SHA256 fdef599768aba3cc1738e330f35c9b431486ab845023ef59050c546f22605ef1 MAX_ENDPOINT 626
REMAINING COUNT 21428 FNV ab885eb54c33882a SHA256 e0b6bb5ac69acd3e9fd9f56957257affe247cf6debf2778bb0ad6fda4511d989 MAX_ENDPOINT 636
REMAINING_TOP 100,636 256,636 294,636 338,636 372,636 384,636
WITNESS_LEDGER ROWS 110 SHA256 e914b3f60477a7bc4637064b8b5c53117d40a05f38e38a4461b1525d5502aa07
NODE J 224 ROWS 26 IDEAL_FNV c55db33319cc446 OLD 01b00548 OBLIGATIONS 3 OBLIGATION_FNV 558257b5c8992671 RESPONDERS 43758 COMMON 3277 WITNESS 00b0260a WEAKEST 271,612 GAP 41357455369/18174096330390 MARGIN_FNV 6ba089eb47d55399 REBUILT_FNV 20c927b19e4d35ca
NODE J 42 ROWS 22 IDEAL_FNV c9c6cded6a2431c1 OLD 38060490 OBLIGATIONS 6 OBLIGATION_FNV 3a1de3f31d2d0a9c RESPONDERS 3003 COMMON 14 WITNESS 18460083 WEAKEST 338,368 GAP 1416566393777/909017777587920 MARGIN_FNV 3d4c12806664f71d REBUILT_FNV cb3f5f72a01e6a75
NODE J 194 ROWS 21 IDEAL_FNV 702610e9a0c45159 OLD 18c0c140 OBLIGATIONS 1 OBLIGATION_FNV 7985fdfd912eb1a4 RESPONDERS 203490 COMMON 32905 WITNESS 0028601e WEAKEST 422,554 GAP 33945383142709/33316907637968955 MARGIN_FNV e45f7375d909fef6 REBUILT_FNV 3b5ec83aa7ae5723
NODE J 148 ROWS 19 IDEAL_FNV db4c9a1e17f5ec8d OLD 28144428 OBLIGATIONS 5 OBLIGATION_FNV 2221994fc1cb8226 RESPONDERS 24310 COMMON 58 WITNESS 0044cc48 WEAKEST 3,449 GAP 720357339529/4095140288999760 MARGIN_FNV 27b9eab8452e6e60 REBUILT_FNV 5cd0bb763153c836
NODE J 401 ROWS 19 IDEAL_FNV 270880298e7daa31 OLD 118c0540 OBLIGATIONS 7 OBLIGATION_FNV d57721017811ab36 RESPONDERS 495 COMMON 33 WITNESS 018c2450 WEAKEST 372,544 GAP 104216857/112689506160 MARGIN_FNV b583c98f34edfde3 REBUILT_FNV 3486727e5f227c31
NODE J 247 ROWS 18 IDEAL_FNV 5f10a36c14e47705 OLD 2380c108 OBLIGATIONS 4 OBLIGATION_FNV 8250782ec2aeee0e RESPONDERS 495 COMMON 45 WITNESS 0380e00a WEAKEST 294,614 GAP 243378749/157205968920 MARGIN_FNV b257de6022593765 REBUILT_FNV 2c8d5f3385a32393
NODE J 354 ROWS 18 IDEAL_FNV 7d53bbe0430e748f OLD 10c1a280 OBLIGATIONS 2 OBLIGATION_FNV 719f931afdc7ade0 RESPONDERS 43758 COMMON 1037 WITNESS 00a2a282 WEAKEST 313,330 GAP 54027485665/142737072433956 MARGIN_FNV b4239e353c0b7575 REBUILT_FNV c1a54e9ed34af267
NODE J 327 ROWS 17 IDEAL_FNV e275a06a208a4d42 OLD 19328040 OBLIGATIONS 5 OBLIGATION_FNV fafadc24bc3b9310 RESPONDERS 6435 COMMON 721 WITNESS 0433a800 WEAKEST 206,303 GAP 93840757665341/94881390704820720 MARGIN_FNV 9e958d05b3650318 REBUILT_FNV 22fc2a642c8622dc
NODE J 339 ROWS 13 IDEAL_FNV d9f67bde789052f2 OLD 01e08c40 OBLIGATIONS 2 OBLIGATION_FNV d868b9711d2c8af9 RESPONDERS 75582 COMMON 1995 WITNESS 0102a125 WEAKEST 306,543 GAP 1689067/5266931670 MARGIN_FNV 6a2ad8e7c7078569 REBUILT_FNV 293500a8b09d125e
NODE J 48 ROWS 11 IDEAL_FNV f4f561e536ded585 OLD 1a048128 OBLIGATIONS 5 OBLIGATION_FNV b6c6e11b03aea56 RESPONDERS 495 COMMON 1 WITNESS 1a459000 WEAKEST 212,442 GAP 51089793661/21972305660760 MARGIN_FNV 6aa56f5fcd4741c7 REBUILT_FNV 93fd39d0df2d8a10
NODE J 320 ROWS 11 IDEAL_FNV bffbd52a0da9f5d3 OLD 0806c80c OBLIGATIONS 2 OBLIGATION_FNV dd2b418a292f8371 RESPONDERS 125970 COMMON 8601 WITNESS 0080660e WEAKEST 205,466 GAP 150383469479/72789388431760 MARGIN_FNV 5bf3136b04bb34f2 REBUILT_FNV fb15c2e04db74944
NODE J 213 ROWS 10 IDEAL_FNV 1bde8e166e4807e6 OLD 210804a5 OBLIGATIONS 4 OBLIGATION_FNV bb529658deaab285 RESPONDERS 3003 COMMON 7 WITNESS 21080097 WEAKEST 275,512 GAP 2892979/980179200 MARGIN_FNV 173b9e2ac82a2426 REBUILT_FNV c63e645055819eb0
NODE J 203 ROWS 7 IDEAL_FNV 569ecadfe833575b OLD 118284c0 OBLIGATIONS 6 OBLIGATION_FNV 5b2d9dd990b8e467 RESPONDERS 12870 COMMON 172 WITNESS 0180a4c2 WEAKEST 272,384 GAP 223483937/189027558720 MARGIN_FNV c59a9856bae7b509 REBUILT_FNV 335db1e0dea9dc82
NODE J 326 ROWS 7 IDEAL_FNV b84537cc26a4fa15 OLD 16010219 OBLIGATIONS 6 OBLIGATION_FNV d1cea57a181f9a13 RESPONDERS 495 COMMON 55 WITNESS 04012619 WEAKEST 216,350 GAP 94707379/22927550800 MARGIN_FNV b8be39a028dc67b9 REBUILT_FNV 91490812bd3eb84c
