5,024085d0,02418cc0,3,c6a968239f2665b,8,35bf83d990c0e84d,495,3ce9e8cca967c61,1,141,254,25381949325191/27220370139242280,53b51544ba28e554,30509a03e819dcf0,409321127,10c4c3ed46d44bf1
10,04518811,00581053,1,664101d70b406169,6,8f3f8c89b925161,12870,605513c3eda9fdf0,3451,78,130,2719735/65146997916,7b679bc172220ef,ae7d14c4a65da221,403714288,10c4c3ed46d44bf1
12,12904122,12906012,46,52316acb55d5ff0b,19,cf2ffd597cb29921,165,e0b605b65de945e1,4,165,233,1985224301/4660296210570,1374c3596e4fb7df,2877beb7d6b9d2f1,403955389,10c4c3ed46d44bf1
16,0c82044a,0c82240a,6,5ea78e3731b849ca,4,ac2be96fd8c23e2,495,5a15b3245accad5d,5,155,431,82916624887861/30465016370448660,44cfafd925cd3bd1,557fb049c5702f26,404886453,10c4c3ed46d44bf1
20,19801c80,19001c88,28,1618f52c08658f8a,6,8d5f23cbae6449ef,495,dc63898eb79dde85,2,51,150,237227/8147739600,cea010dd9656796e,39d5bbfc9e602a7a,405764594,10c4c3ed46d44bf1
21,0202a129,3202a009,146,30d9bf96d0534762,8,512a7d72985a0089,1287,712384c914b2f761,1,147,546,29065628/30001906935,de4a6dbabbe68dd7,50d8f2328fb6761d,406678759,10c4c3ed46d44bf1
31,32a40801,32842005,33,a8d02bcb0b35cf74,11,bdbbd399d80d4414,1287,ddc2f499404130c1,10,192,580,1154185751/1403166108960,b2da00777bd9b86c,2a39e72dda196dda,405416480,10c4c3ed46d44bf1
36,10864540,10076404,69,23e7f7d8b8599a70,7,1e60edbc62e443e3,3003,21e09dc6064d7e7d,50,229,260,72976771897/417722550637392,64610f33952a3f61,b8de0130c0833c44,406049344,10c4c3ed46d44bf1
38,0090c4a4,0031e480,29,de43d93b1b7ed014,4,2142615677c32211,495,3e64548d79f0f4d5,38,161,224,14852846941/104886666644760,a8da0bebdbd6a753,4624907bae70839b,406331798,10c4c3ed46d44bf1
40,0a204449,0001660d,2,4a83c1f5c856224a,9,c9f709bf15e6d0dd,6435,ddffd3de5a31a52d,116,93,310,11347037281/31415330106160,f136780d50bafaec,8741747de2e42737,405002262,10c4c3ed46d44bf1
41,01e05110,00275012,1,502332f8dedcc21a,6,c1b53d53c79fee19,3003,a231d3a074a0326d,280,12,147,2290499/21962180240,e2af1ce9526d090,da2e80334fcaff4b,405419515,10c4c3ed46d44bf1
42,38060490,18460083,22,c9c6cded6a2431c1,6,3a1de3f31d2d0a9c,3003,363955350d89b2d,14,105,340,190672861/701583054480,89d0d4070c9d1e43,cb3f5f72a01e6a75,405067298,10c4c3ed46d44bf1
48,1a048128,1a459000,11,f4f561e536ded585,5,b6c6e11b03aea56,495,f739e295af62a1e5,1,212,347,77094199491/84332117352560,f94b50b1b19384cc,93fd39d0df2d8a10,405491683,10c4c3ed46d44bf1
50,19104884,00084497,5,effa831f9ef44ad,2,224c8a961f590865,12870,389ab0c273c480d3,589,318,372,1015176281527/1665012495626480,4fd00be9be7d626e,f67ab1a59c7ee5be,405391752,10c4c3ed46d44bf1
59,080a2a0c,09022a0c,2,26a4cd8e9915de72,13,76795aec7bcb3447,45,878a1a62a95e1d25,12,66,366,42768587/120111261270,bb3dae0193426a10,5a531745a161576d,405368776,10c4c3ed46d44bf1
66,16005805,00807035,1,d30a6871b1c35d5b,7,91ded26563e908e4,495,463f93c12436f671,179,110,299,266214625/200740031856,50b4b0ccc8a9f381,25505c622a14ea90,405302068,10c4c3ed46d44bf1
72,11420c88,01422498,4,827151364a050db8,9,ae5a025a1f8f852a,495,f2632a5deca79315,33,385,540,13041179/9451377936,f68687ee415ec36f,f01f3722edaeb762,405545825,10c4c3ed46d44bf1
77,05800683,00003297,2,5e0f93f495d5b890,3,b7d5d5f8d3229e8d,75582,682981f8bdeaac31,10088,92,152,97785396263/209773333289520,36a53afb48f88c66,d3dc89088a757365,405427832,10c4c3ed46d44bf1
83,30026601,12026601,2,a63c1fec06643764,9,7818ba6c266144a0,1287,f250ff83af65df61,25,140,232,103986529/101339774536,1ff21124338bd65a,6a1bf1454b9c8134,405254329,10c4c3ed46d44bf1
93,30168440,0407a402,1,c2994e5367065179,3,15700159a1fe421b,3003,fc7f3abaf88b60d5,598,67,127,1512777842803/19401753184353540,419e528b63e85dfd,c8c2f1ae13212211,405289010,10c4c3ed46d44bf1
102,1c210049,1c202019,1,5a8c328332d813a3,14,d329d9e486a1e1f8,45,be919438189a12b5,5,65,300,14829714817/9120579708240,c26809d57b75f2f2,432c5f164698c247,405126375,10c4c3ed46d44bf1
111,082a1828,080b1888,4,ff490c3874e4501d,6,7feeee968a491917,3003,819eb38b7988e6bd,40,237,366,1723037411765/1098801840350214,c174a0f9bf93de2b,2953621e0aed4717,405280809,10c4c3ed46d44bf1
113,1180c043,01a8c003,1,c5188f8600f04d87,9,2630fb8774fff454,3003,dd5c3f4bf6e12fe5,347,46,204,1006253/794523730,b35d175ee60007a4,880bb396ad952eae,405223618,10c4c3ed46d44bf1
124,01b04124,00b06124,2,89876afd0ae2cd03,5,fa49710f6ee5c281,3003,9cd7fb8c463a19c5,501,52,83,11542294411/39842532409680,376f34f418ef266c,41945b11bfe735c9,405218635,10c4c3ed46d44bf1
125,002884c9,0000229f,2,afe849b43b6b51e8,1,45ed7ce5710cbd11,203490,4d5644b1ebd94469,55948,308,512,56879095787/97286183554560,e242253fb8d6bbdd,3c5a623886e313f2,405287007,10c4c3ed46d44bf1
130,2b02080a,0b02280a,6,3dd825ebdaef5f61,14,d3d7bc742c7804c,495,57c50f23196cf985,16,116,406,2216833/2148040440,dff7cc6fd67c3dfd,aedc18dbe009c22e,405172692,10c4c3ed46d44bf1
138,20804487,00844097,1,1db376ae274ce4af,6,4dcda0524974cbd7,6435,44b6529017945645,219,232,313,86362453/8347197218360,201503d70ef0e240,e08dd44de1a4281a,405163298,10c4c3ed46d44bf1
140,01860c09,0006220f,34,16600053a60d8fee,2,7a7ec8bf0aabf3ff,125970,fc8b2973e590a375,21874,230,416,43304697/2026795490720,2b0ade57c9a3779e,f251f7dfa8d18379,405191266,10c4c3ed46d44bf1
147,00e03092,006030d2,1,ba80926f32db650f,13,b3126496bdb1042b,165,b0571dc02b5b1f31,11,72,441,323271083/1251844273680,10e56098ff41fb18,232ccd1907fd3a76,405220002,10c4c3ed46d44bf1
148,28144428,0044cc48,19,db4c9a1e17f5ec8d,5,2221994fc1cb8226,24310,665c864a86469469,58,3,449,720357339529/4095140288999760,505a5c1abcf7705b,5cd0bb763153c836,405165599,10c4c3ed46d44bf1
151,00da0809,101a080d,3,83cbe80ae888ace0,3,23ce24881d67948b,3003,440d7f63f8d91625,26,35,49,225696623/446461943760,4e05132788959840,5a4d788c0413dd8a,405173411,10c4c3ed46d44bf1
155,0314480c,0114601c,6,baf50005bbb807c7,7,d94feb4d35709c9a,3003,3e791e08bbabd4ed,43,19,567,1348453/3271630824,f42e9f7c94d0cfe,5cb575975e036bf4,405245274,10c4c3ed46d44bf1
160,04c10690,04c90680,83,6549b6376bd8ac75,11,91cac10ab5faabf9,165,54b05c0088ef819d,1,108,152,1092671351/977204968740,70f8228a9a37028e,4bdf32950cd46c32,405181968,10c4c3ed46d44bf1
162,0184c121,0184c013,3,6408a911e2464dd2,8,32d25b818d147805,495,35a43b73e238c15d,28,138,308,32641729/28602854280,7bee7451bcb7241e,519150399a665eb3,405172859,10c4c3ed46d44bf1
163,390084c0,1100a4c4,4,fc639e556a744cfa,8,f7d91cda34d32248,495,2cdec2f86abed67d,22,372,543,425564074571/265158407994480,c3924379decf421a,c2984f4e6f2e8f0e,405174580,10c4c3ed46d44bf1
165,20a81604,00a81416,1,db4d8f558985c522,13,5046f65b51081cba,495,9b662b8c6fd117a5,42,11,12,84501883/89417448120,188423bb8a1cf3af,33f570dfa0669d5a,405175760,10c4c3ed46d44bf1
175,01884c44,01884464,1,e704c4c211030b6a,11,ed778607d7bccf68,45,daf3aabc91615fe5,1,384,606,2595071/3849926080,474febea79cca8ba,71543cc05347dce2,405206797,10c4c3ed46d44bf1
180,04710841,04312124,3,95d63ba5952a82bd,12,74323bed85ddbb66,1287,a10a14791cc6ff65,11,335,550,547945425473/1527697101130200,c9b0e842c60a9b42,4aa39e5337199bf4,405176574,10c4c3ed46d44bf1
183,03648840,23648800,69,d09626515b58ceb7,3,55d2722cc09c6ced,3003,c2ea02da3e5f1475,1,24,515,101205179/4867459637040,72849fdb2cb1953,1969155731c63882,405203356,10c4c3ed46d44bf1
