q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
192,595,3021,d809c4a1442f6fa9,320,2701,13992,4f9b43efe6098e0d,1,220,2,9381250795417b6b
192,596,3449,a39da960ae629d63,414,3035,92,5eac2200a70bb80d,6,159,0,cbf29ce484222325
192,597,3444,e8ad71eda76428ea,412,3032,134,3265af490e1367b9,4,162,0,cbf29ce484222325
192,598,3478,e0063848566cc509,420,3058,7,45a2aa4e74bae208,14,62,0,cbf29ce484222325
192,599,3397,29e3eb22be0a3c2,394,3003,696,2e54f4f9e656137b,2,202,0,cbf29ce484222325
192,600,3467,c4aa8b21208bee44,417,3050,36,63f64a24434d674a,8,93,0,cbf29ce484222325
192,602,3456,dc32112cb4dbb9d,411,3045,135,9cf9e5798c4752a,5,132,0,cbf29ce484222325
192,603,3436,b491dc1da2959569,403,3033,283,9a125a1fcee40156,2,165,0,cbf29ce484222325
192,604,3462,2e2c8bd577eb1bc0,415,3047,66,8a8a30ef05c65332,6,90,0,cbf29ce484222325
192,605,3443,8663624f9d9b37ec,404,3039,277,3a698f00a4fad9d3,4,163,0,cbf29ce484222325
192,606,3088,40de786503326af1,346,2742,3844,cbfe3951859343ac,1,208,0,cbf29ce484222325
192,607,3468,676ba750b5907dc8,414,3054,102,2eb7da677c5f9bd6,6,101,0,cbf29ce484222325
192,608,3455,c81d114b087a0684,410,3045,142,3c5ed69e13358a4b,4,143,0,cbf29ce484222325
192,609,3476,4441786993ce6985,419,3057,15,5ab9db121af70dd5,14,71,0,cbf29ce484222325
192,610,3467,fd42c691c8237d56,419,3048,22,562541a249e9f98f,7,163,0,cbf29ce484222325
192,611,3460,fca1a5259828de60,413,3047,86,7765381d6bac6db1,7,164,0,cbf29ce484222325
192,612,3304,f8561def28d270c3,382,2922,1041,82e9d4430492b775,2,201,0,cbf29ce484222325
206,595,3268,1a3db79d3e8faa81,394,2874,694,fedb90e9b086cde0,2,194,0,cbf29ce484222325
