q,r,grid,coarse_ticks,minimum_mass,minimum_ticks,minimum_body_hex,direct_replay_mass,identity_ok,nodes,prunes
50,366,5563553622026400,-597128900040162,415254111414654,3906794531017602,03147401,415254111414654,1,79,36
50,383,34931820282559200,-2419325354531862,2628493490084050,25867808745058350,039c7000,2628493490084050,1,51,24
50,385,91205797082400,-4404752720676,6906949263878,70314615294714,231c7000,6906949263878,1,97,48
50,390,91205797082400,-10769875234524,6764818108642,61360352514846,231c6001,6764818108642,1,81,37
50,410,3739437680378400,-128642464442016,288984973047318,3248302580467434,231c5400,288984973047318,1,177,88
50,416,182411594164800,-20958535728900,13912818592100,146861194643100,071c6400,13912818592100,1,101,49
50,433,39492110136679200,-3561165810363168,2980685287500494,29814732565814322,230c7001,2980685287500494,1,99,47
50,440,91205797082400,-19231398880974,6720314923912,58556651876856,071c6400,6720314923912,1,69,31
50,520,91205797082400,-8805347293554,6750247269212,60442389630756,07186401,6750247269212,1,75,36
50,530,4833907245367200,-94917767642208,373700440704724,4207498782928812,239c5000,373700440704724,1,119,57
50,554,25264005791824800,-1117252836930258,1937114505944324,20982190707193212,031c7400,1937114505944324,1,91,44
65,105,18241159416480,-2270745579312,1369961220728,13342919239944,07987000,1369961220728,1,65,30
70,100,91205797082400,-43756884628884,6546511921816,47607062744808,03b07400,6546511921816,1,153,71
72,96,36482318832960,-9292782766176,2640835532160,20443363194240,39903001,2640835532160,1,139,66
72,105,18241159416480,-703921878828,1388597461498,14517002408454,03983088,1388597461498,1,83,37
72,210,18241159416480,-1306536846300,1357354561528,12548699710344,07903088,1357354561528,1,99,48
72,256,291858550663680,-8984100823614,21825319406854,207560919977082,0b143009,21825319406854,1,69,33
75,105,91205797082400,-32890983121206,6396213859808,38138284838304,05987008,6396213859808,1,29,14
75,210,91205797082400,-11957395992444,6760139566070,61065604332810,07907008,6760139566070,1,55,26
96,100,182411594164800,-11535089097672,13865026409654,143850287149002,21f44008,13865026409654,1,257,122
96,105,36482318832960,-751179785706,2708472730776,24704506707048,05987001,2708472730776,1,43,18
96,208,36482318832960,-778115515212,2744462217342,26971844360706,051c6408,2744462217342,1,53,25
96,256,291858550663680,-84977481678516,21040877444160,158141076327360,1d502401,21040877444160,1,55,26
100,105,91205797082400,-19016485461036,6513126315374,45503769538962,07987000,6513126315374,1,43,19
100,130,91205797082400,-13812005118240,6656169437174,54515486212362,25a46001,6656169437174,1,99,47
100,140,91205797082400,-43352097893496,6360266911300,35873627082300,07386400,6360266911300,1,97,48
100,210,91205797082400,-14697679752630,6579807491550,49704683638050,07983008,6579807491550,1,65,29
100,220,91205797082400,-6144510721104,6989599079712,75521553692256,05946408,6989599079712,1,239,118
105,130,18241159416480,-3773772345546,1342149511470,11590781556690,05987001,1342149511470,1,83,39
105,147,127688115915360,-9790188066162,9703881239864,100592054449992,0d187080,9703881239864,1,81,35
105,150,91205797082400,-2176095609450,6865391386284,67696469006292,07987000,6865391386284,1,47,23
105,294,127688115915360,-24315224843448,9650340911308,97219013750964,0d187080,9650340911308,1,79,34
130,140,18241159416480,-383811932574,1337090812452,11272083518556,0d386400,1337090812452,1,71,35
130,210,18241159416480,-5395365407754,1302840873866,9114337387638,05b86001,1302840873866,1,211,102
140,200,91205797082400,-3103801646652,7289755117340,94431384062820,07341480,7289755117340,1,119,55
140,260,18241159416480,-98402134068,1347467129336,11925791482248,0f183400,1347467129336,1,73,34
150,210,91205797082400,-18865851323256,6692388856484,56797309628892,07983008,6692388856484,1,81,37
210,230,419546666579040,-38754725310504,32125574558294,345724530856362,27981080,32125574558294,1,127,63
210,294,127688115915360,-23118254081496,9398519848936,81354286821528,07187080,9398519848936,1,99,47
256,260,291858550663680,-26211220351092,21273383216744,172788940000152,0f142401,21273383216744,1,51,20
