q,r,grid,body_hex,accepted_cells,replay_mass,replay_ticks,expected_mass,expected_ticks,match
50,385,91205797082400,231c7000,382,6906949263878,70314615294714,6906949263878,70314615294714,1
50,390,91205797082400,231c6001,366,6764818108642,61360352514846,6764818108642,61360352514846,1
50,410,3739437680378400,231c5400,398,288984973047318,3248302580467434,288984973047318,3248302580467434,1
50,416,182411594164800,071c6400,396,13912818592100,146861194643100,13912818592100,146861194643100,1
50,433,39492110136679200,230c7001,396,2980685287500494,29814732565814322,2980685287500494,29814732565814322,1
50,440,91205797082400,071c6400,396,6720314923912,58556651876856,6720314923912,58556651876856,1
50,520,91205797082400,07186401,358,6750247269212,60442389630756,6750247269212,60442389630756,1
50,530,4833907245367200,239c5000,446,373700440704724,4207498782928812,373700440704724,4207498782928812,1
50,554,25264005791824800,031c7400,380,1937114505944324,20982190707193212,1937114505944324,20982190707193212,1
65,105,18241159416480,07987000,332,1369961220728,13342919239944,1369961220728,13342919239944,1
70,100,91205797082400,03b07400,356,6546511921816,47607062744808,6546511921816,47607062744808,1
72,96,36482318832960,39903001,326,2640835532160,20443363194240,2640835532160,20443363194240,1
72,105,18241159416480,03983088,356,1388597461498,14517002408454,1388597461498,14517002408454,1
72,210,18241159416480,07903088,394,1357354561528,12548699710344,1357354561528,12548699710344,1
72,256,291858550663680,0b143009,392,21825319406854,207560919977082,21825319406854,207560919977082,1
75,105,91205797082400,05987008,340,6396213859808,38138284838304,6396213859808,38138284838304,1
75,210,91205797082400,07907008,382,6760139566070,61065604332810,6760139566070,61065604332810,1
96,100,182411594164800,21f44008,372,13865026409654,143850287149002,13865026409654,143850287149002,1
96,105,36482318832960,05987001,356,2708472730776,24704506707048,2708472730776,24704506707048,1
96,208,36482318832960,051c6408,332,2744462217342,26971844360706,2744462217342,26971844360706,1
96,256,291858550663680,1d502401,388,21040877444160,158141076327360,21040877444160,158141076327360,1
100,105,91205797082400,07987000,368,6513126315374,45503769538962,6513126315374,45503769538962,1
100,110,91205797082400,04f06408,374,6793674168008,63178284254904,6793674168008,63178284254904,1
100,130,91205797082400,25a46001,354,6656169437174,54515486212362,6656169437174,54515486212362,1
100,140,91205797082400,07386400,362,6360266911300,35873627082300,6360266911300,35873627082300,1
100,210,91205797082400,07983008,382,6579807491550,49704683638050,6579807491550,49704683638050,1
100,220,91205797082400,05946408,372,6989599079712,75521553692256,6989599079712,75521553692256,1
105,130,18241159416480,05987001,334,1342149511470,11590781556690,1342149511470,11590781556690,1
105,147,127688115915360,0d187080,396,9703881239864,100592054449992,9703881239864,100592054449992,1
105,150,91205797082400,07987000,352,6865391386284,67696469006292,6865391386284,67696469006292,1
105,294,127688115915360,0d187080,408,9650340911308,97219013750964,9650340911308,97219013750964,1
130,140,18241159416480,0d386400,314,1337090812452,11272083518556,1337090812452,11272083518556,1
130,210,18241159416480,05b86001,354,1302840873866,9114337387638,1302840873866,9114337387638,1
140,200,91205797082400,07341480,396,7289755117340,94431384062820,7289755117340,94431384062820,1
140,260,18241159416480,0f183400,338,1347467129336,11925791482248,1347467129336,11925791482248,1
150,210,91205797082400,07983008,384,6692388856484,56797309628892,6692388856484,56797309628892,1
210,230,419546666579040,27981080,418,32125574558294,345724530856362,32125574558294,345724530856362,1
210,294,127688115915360,07187080,438,9398519848936,81354286821528,9398519848936,81354286821528,1
256,260,291858550663680,0f142401,380,21273383216744,172788940000152,21273383216744,172788940000152,1
