mask_hex,rank,private_obligations,private_rows
202a5408,8,2,1
202a9440,8,5,2
2040a1a5,9,4,2
2048009f,9,7,1
20482682,8,3,1
20525801,8,1,1
20582c08,8,1,1
20681096,9,20,3
20749008,8,1,1
2080c127,9,14,3
2084c324,9,13,4
20898640,8,1,1
20908525,9,18,4
20946021,8,1,1
2098c600,8,5,1
20c04489,8,5,3
20c06406,8,1,1
20c52480,8,1,1
2100360c,8,1,1
2101b081,8,1,1
210c1096,9,1,1
2120a282,8,3,1
2144c124,9,6,2
21491402,8,3,2
21680096,9,9,1
21688808,8,1,1
21888126,9,2,2
21890249,9,6,1
2190a600,8,1,1
21c91202,9,21,1
2200cc48,8,10,6
22062209,8,1,1
22143a00,8,1,1
22213003,8,1,1
22306009,8,1,1
22306082,8,1,1
223a8002,8,1,1
2244a088,8,1,1
2280a126,9,2,2
228d4202,9,20,1
229c0202,8,1,1
22b00403,8,3,3
22b28008,8,1,1
22c0a124,9,8,2
22c0e020,8,1,1
22cc4080,8,1,1
23022209,8,1,1
23249100,8,2,1
23403202,8,3,1
23416200,8,3,1
23484404,8,1,1
23602408,8,1,1
2368c000,8,2,1
24403418,8,6,1
24609208,8,1,1
2464040c,8,2,1
24c44108,8,1,1
250b0208,8,1,1
26001413,8,1,1
26028450,8,1,1
260c8201,8,1,1
26c48100,8,1,1
28066480,8,6,3
28070a88,9,3,2
280a0417,9,19,2
280a8a88,9,11,2
281a0816,9,17,2
28224096,9,1,1
28283480,8,1,1
28284409,8,2,1
282a0a81,9,6,1
282a3080,8,3,1
2842488c,9,8,4
28438809,9,3,2
28490a09,9,7,2
284a0892,9,10,4
288216c0,9,4,3
29006206,8,1,1
29070a80,9,7,5
29319000,8,1,1
29381800,8,1,1
29826008,8,1,1
2a920402,8,3,3
2b0a0016,9,12,1
2b201404,8,1,1
2b40c800,8,1,1
2c468001,8,1,1
30036208,8,1,1
30046488,8,3,3
3010d00c,8,2,1
30110489,8,2,1
30160109,8,1,1
