21,25
38,65
52,332
89,183
91,128
102,238
102,320
113,183
113,366
121,320
121,366
125,512
151,416
156,332
172,201
172,279
172,445
183,213
183,238
183,526
184,416
188,440
227,512
235,256
238,320
238,366
238,372
238,440
242,366
249,320
256,474
256,506
256,515
258,347
263,320
269,567
291,320
293,366
300,372
300,440
301,366
306,360
319,372
320,506
320,584
324,512
332,496
332,500
332,558
332,604
342,512
346,402
347,512
350,640
366,426
366,497
366,547
366,585
366,631
366,644
372,562
375,512
383,526
416,500
466,512
488,512
512,513
512,544
512,549
512,630
512,644
516,558
