id,label,deleted,witnesses,obligations,obligation_fnv,deck_size,deck_fnv,candidates,common,common_fnv
60,greedy,4,6,49,a35fe576f8becdc0,423,411eb66bfb701a2b,167,117,9dc691ceb706ead5
61,greedy,5,7,82,e45789f1d610ffcb,423,eb53bbe6d83c61af,237,186,8989cb0ec31ccba8
62,greedy,25,24,329,7fdc2c90878df74d,420,a0f172a128a966be,517,451,d23e2f452deeac2e
63,greedy,26,26,382,317fc1fb836d311c,421,1f9c0643393a84c1,603,479,de934fbf2199d03f
64,greedy,2,3,20,534bd49ebf6aa688,422,e1529a142375e9c2,38,13,11f2d980da26313b
65,greedy,3,5,53,d2e195259740079e,423,ac8904f2eb0ddf72,107,66,77cd22a47c8b4e43
66,greedy,22,21,246,3d2f6f6011ae0b9,420,93228558f2d3e272,377,281,97415da2acd785d8
67,greedy,23,22,297,ef9c1ccaedc04e20,420,94da5d7ba0da4fd4,460,208,df581ff0a30df773
68,greedy,3,4,24,a8ecb482b2e44694,422,abe0cf7dec31a725,78,30,bd108979c1f66f8f
69,greedy,4,5,57,e8356ec1981a7e4a,422,e489b5edbdd8e709,147,97,5a66f9f7458f30cd
70,greedy,23,23,254,e85b8d7de7c1e501,421,884de392015420d4,417,308,2389219fdcdfb5e2
71,greedy,24,22,305,36933fb166415c54,419,e7721ba1fd1f40f7,500,314,e319aaea05a685b5
72,greedy,3,4,38,8724ae947a3fd1cd,422,f50945647259c809,76,48,bee820e567bdaeba
73,greedy,4,6,71,77ce11f2583422bb,423,a4a2450e8a137b80,147,113,121c4674ed32e309
74,greedy,23,21,290,a4b3d7fc8fa7f5a4,419,dad60a8e964ee0a9,417,315,6c007a35cfb8ffe2
75,greedy,24,24,342,79a2b48df9614e40,421,125382437993ec10,502,282,c1d6ff5195f70c1
76,greedy,4,5,42,983138f0924e4c31,422,b692eac02c144af5,116,65,73d2acad3e95f738
77,greedy,5,6,75,5cd7e28f82bcda87,422,1272d811572fd8c2,187,135,7b4b68d117d29d18
78,greedy,24,22,298,355edd010d7f5268,419,edf7639d5a93d9e2,457,327,ed70d96de50c66d9
79,greedy,25,24,350,1a7efa9c05493fac,420,fc783d66fe63ad9b,542,315,2dc6a290d7a02ecb
80,greedy,3,4,28,c36ee94472bce3b0,422,546ea8411bced46,74,48,5462faf2c0184379
81,greedy,4,6,61,bfc07c234368d1a6,423,65aec696b2cca63e,144,100,61e1f29807d15e19
82,greedy,23,23,256,25fb49958c752d3f,421,d26e0724add4f2a6,414,257,27bf5968bcec6d28
83,greedy,24,23,307,e6db3aa58f1979d2,420,c3f9c9c0892fab35,498,340,63e9cbb10b1f8415
84,greedy,4,5,32,e77cf7f420e007e8,422,46c644d5b57b9b91,114,62,88bff7e9a0a606ec
85,greedy,5,6,65,303ce788c7b1dc0e,422,62c49cd3e99a33dd,184,131,c7637481ebb5c56
86,greedy,24,23,264,66cce74d1561c2f7,420,1e06305df7fc0ab1,454,291,12f7aca4c8699375
87,greedy,25,24,315,2a76b31a9315e036,420,617d5d0b432f3d85,538,441,80a5c60342b0cdb3
88,greedy,4,5,46,6296e01381f0d385,422,ee8906421a4a9359,112,82,2dd9374f4f6f1ac8
89,greedy,5,7,79,bd171bcd72491103,423,9efd390df83163d0,184,148,f797215997930499
90,greedy,24,22,300,1eb7188d6ce10b7e,419,cd1693ab69282fa,454,317,8f3bc00bd843428e
91,greedy,25,24,352,835af5d331ba1c6a,420,8dcfcd094d67fadf,540,420,b4ce875b23848562
92,greedy,5,6,50,607007395979789d,422,d196b3dfc992fb5d,152,98,261cfac5497d5651
93,greedy,6,7,83,ea6cfd823dea2c83,422,a20a6b0d77b39292,224,168,ba9d45df0e85ac2f
94,greedy,25,24,308,e248c862e65f353a,420,ed47caddbf1ae024,494,327,2d5266c40c8162fc
